time,x,y,yaw
1.000000000000000021e-03,5.999999982265632470e-01,5.383882126896999409e-06,-1.012730143788691256e-04
2.000000000000000042e-03,5.999999748027866620e-01,2.139393040290205050e-05,-4.016890304741824180e-04
3.000000000000000062e-03,5.999998845841831852e-01,4.768041050889904042e-05,-8.960584365914493320e-04
4.000000000000000083e-03,5.999996513909902074e-01,8.388298381800662895e-05,-1.579308035811602569e-03
5.000000000000000104e-03,5.999991735655945124e-01,1.296165678004723709e-04,-2.446472091597251368e-03
6.000000000000000125e-03,5.999983268806976522e-01,1.844739970738862311e-04,-3.492682210583628651e-03
7.000000000000000146e-03,5.999969673894723909e-01,2.480285934705062090e-04,-4.713156518352120371e-03
8.000000000000000167e-03,5.999949341892822918e-01,3.198366453533996179e-04,-6.103188545864452440e-03
9.000000000000001055e-03,5.999920520970868365e-01,3.994397927359893963e-04,-7.658136207670551178e-03
1.000000000000000194e-02,5.999881342612786161e-01,4.863673049724792641e-04,-9.373411265803266446e-03
1.100000000000000283e-02,5.999829846297982661e-01,5.801382659160747579e-04,-1.124446947797643620e-02
1.200000000000000372e-02,5.999764002486351888e-01,6.802636691489727383e-04,-1.326680167513146630e-02
1.300000000000000461e-02,5.999681734378542464e-01,7.862484134805725056e-04,-1.543592595420363589e-02
1.400000000000000550e-02,5.999580938178209477e-01,8.975932016765386656e-04,-1.774738110199706315e-02
1.500000000000000638e-02,5.999459501798534156e-01,1.013796342581751997e-03,-2.019672131920635660e-02
1.600000000000000727e-02,5.999315321990688066e-01,1.134355457192870453e-03,-2.277951227140405724e-02
1.700000000000000816e-02,5.999146319885427792e-01,1.258769088986144702e-03,-2.549132845667208963e-02
1.800000000000000905e-02,5.998950454955774836e-01,1.386538218943800249e-03,-2.832775184781228042e-02
1.900000000000000994e-02,5.998725737423873383e-01,1.517167685844977854e-03,-3.128437174128824438e-02
2.000000000000001082e-02,5.998470239148524508e-01,1.650167512531497405e-03,-3.435678572503325645e-02
2.100000000000001171e-02,5.998182103041571622e-01,1.785054139032238307e-03,-3.754060166262917358e-02
2.200000000000001260e-02,5.997859551071159645e-01,1.921351563623829861e-03,-4.083144058161657791e-02
2.300000000000001349e-02,5.997500890918079364e-01,2.058592393123781505e-03,-4.422494034825422832e-02
2.400000000000001438e-02,5.997104521357820017e-01,2.196318803945052078e-03,-4.771676000928838646e-02
2.500000000000001527e-02,5.996668936445872511e-01,2.334083415683696483e-03,-5.130258468259810134e-02
2.600000000000001615e-02,5.996192728587110832e-01,2.471450079259585042e-03,-5.497813088235242035e-02
2.700000000000001704e-02,5.995674618944979439e-01,2.607984137742935804e-03,-5.873897482909672119e-02
2.800000000000001793e-02,5.995113543163266279e-01,2.743235139578303894e-03,-6.257973378875415771e-02
2.900000000000001882e-02,5.994508655786995321e-01,2.876742857118086416e-03,-6.649459968761024797e-02
3.000000000000001971e-02,5.993859283283607953e-01,3.008064544339217328e-03,-7.047781389221077775e-02
3.100000000000002059e-02,5.993164916964203170e-01,3.136776392407392144e-03,-7.452367792912446831e-02
3.200000000000002148e-02,5.992425212591413475e-01,3.262472809987759792e-03,-7.862656406880215443e-02
3.300000000000002237e-02,5.991639986597596668e-01,3.384766766549585082e-03,-8.278092567311075289e-02
3.400000000000002326e-02,5.990809211239408461e-01,3.503290033093353628e-03,-8.698130721659813602e-02
3.500000000000002415e-02,5.989933008811135773e-01,3.617693326645354812e-03,-9.122235390522684395e-02
3.600000000000002504e-02,5.989011645032986664e-01,3.727646365046743959e-03,-9.549882082883408285e-02
3.700000000000002592e-02,5.988045521723215359e-01,3.832837838628366800e-03,-9.980558159447436295e-02
3.800000000000002681e-02,5.987035168854899503e-01,3.932975305273256339e-03,-1.041376363964128526e-01
3.900000000000002770e-02,5.985981236090317514e-01,4.027785015085216802e-03,-1.084901194837670224e-01
4.000000000000002859e-02,5.984884483881385275e-01,4.117011670303316606e-03,-1.128583059868345506e-01
4.100000000000002948e-02,5.983745774233074632e-01,4.200418125136773373e-03,-1.172376180556625319e-01
4.200000000000003036e-02,5.982566061274080527e-01,4.277785028950320534e-03,-1.216236302496532529e-01
4.300000000000003125e-02,5.981346381923817734e-01,4.348910415915119287e-03,-1.260120741123489374e-01
4.400000000000003214e-02,5.980087886602890590e-01,4.413606806563497020e-03,-1.303987585688993478e-01
4.500000000000003303e-02,5.978792033984500209e-01,4.471694505010281873e-03,-1.347789941747384868e-01
4.600000000000003392e-02,5.977460546753522452e-01,4.523006852761912722e-03,-1.391478468515410793e-01
4.700000000000003481e-02,5.976095297117740568e-01,4.567396131067935627e-03,-1.435005649487173240e-01
4.800000000000003569e-02,5.974698238018604224e-01,4.604735386835590027e-03,-1.478325744966541566e-01
4.900000000000003658e-02,5.973271412382324952e-01,4.634916195882465839e-03,-1.521394807478996247e-01
5.000000000000003747e-02,5.971816949283761389e-01,4.657848286512777936e-03,-1.564170781941351951e-01
5.100000000000003836e-02,5.970337046016410687e-01,4.673458657082907308e-03,-1.606613601055840168e-01
5.200000000000003925e-02,5.968833941587547987e-01,4.681690812490646447e-03,-1.648685164779062629e-01
5.300000000000004013e-02,5.967309911091079888e-01,4.682503611931065901e-03,-1.690349352430510210e-01
5.400000000000004102e-02,5.965767250172626657e-01,4.675870394657222207e-03,-1.731572033432838276e-01
