time,x,y,yaw
1.000000000000000021e-03,5.999999999388287986e-01,-3.985545025453340884e-06,5.037086988255748638e-05
2.000000000000000042e-03,5.999999987094514209e-01,-1.588183330025749740e-05,2.002757991536035652e-04
3.000000000000000062e-03,5.999999939498864565e-01,-3.551709443461170679e-05,4.480690571106079050e-04
4.000000000000000083e-03,5.999999815956755800e-01,-6.272671831752951732e-05,7.919955279017067053e-04
5.000000000000000104e-03,5.999999561819794325e-01,-9.733779342691040171e-05,1.230196395365602260e-03
6.000000000000000125e-03,5.999999109869651459e-01,-1.391695490799427226e-04,1.760714819867263952e-03
7.000000000000000146e-03,5.999998381758903099e-01,-1.880338031900463669e-04,2.381501599298838263e-03
8.000000000000000167e-03,5.999997289478191664e-01,-2.437354150366388694e-04,3.090420806902989710e-03
9.000000000000001055e-03,5.999995736838729110e-01,-3.060727423014886206e-04,3.885255399701956214e-03
1.000000000000000194e-02,5.999993620971071362e-01,-3.748381017245061564e-04,4.763712791832942772e-03
1.100000000000000283e-02,5.999990833797963496e-01,-4.498182327792310531e-04,5.723430385990251751e-03
1.200000000000000372e-02,5.999987263482777777e-01,-5.307947638215071429e-04,6.761981057406721111e-03
1.300000000000000461e-02,5.999982795842050409e-01,-6.175446798461492470e-04,7.876878585256274351e-03
1.400000000000000550e-02,5.999977315712707870e-01,-7.098407910129389542e-04,9.065583026389439567e-03
1.500000000000000638e-02,5.999970708265659480e-01,-8.074522010991791454e-04,1.032550602647017667e-02
1.600000000000000727e-02,5.999962860258665209e-01,-9.101447749990110303e-04,1.165401606369511830e-02
1.700000000000000816e-02,5.999953661222457990e-01,-1.017681604373710247e-03,1.304844362035424699e-02
1.800000000000000905e-02,5.999943004575259975e-01,-1.129823470542690167e-03,1.450608627754473336e-02
1.900000000000000994e-02,5.999930788661854697e-01,-1.246329303700499658e-03,1.602421372838754715e-02
2.000000000000001082e-02,5.999916917714392950e-01,-1.366956637546934417e-03,1.760007270512971983e-02
2.100000000000001171e-02,5.999901302732989494e-01,-1.491462058421155756e-03,1.923089181555380500e-02
2.200000000000001260e-02,5.999883862285011471e-01,-1.619601648041479880e-03,2.091388628416886511e-02
2.300000000000001349e-02,5.999864523222684376e-01,-1.751131418964602116e-03,2.264626259373159201e-02
2.400000000000001438e-02,5.999843220998706261e-01,-1.885807743531586755e-03,2.442522302722272345e-02
