time,x,y,yaw
1.000000000000000021e-03,5.999999980173649217e-01,-7.328785782523272729e-06,1.247359858429884110e-04
2.000000000000000042e-03,5.999999718959628803e-01,-2.916557849796941326e-05,4.952279486559951153e-04
3.000000000000000062e-03,5.999998710760449105e-01,-6.511667296860146337e-05,1.106144500665667439e-03
4.000000000000000083e-03,5.999996099912904279e-01,-1.147970288568056496e-04,1.952462928171428899e-03
5.000000000000000104e-03,5.999990739763769731e-01,-1.778054927653593964e-04,3.029449326556953384e-03
6.000000000000000125e-03,5.999981222457964058e-01,-2.537268118615321200e-04,4.332637246640942338e-03
7.000000000000000146e-03,5.999965908154792915e-01,-3.421335343886111602e-04,5.857805397146535926e-03
8.000000000000000167e-03,5.999942953474973750e-01,-4.425878024583163040e-04,7.600954910142901193e-03
9.000000000000001055e-03,5.999910338933263088e-01,-5.546430456120909902e-04,9.558286623098202414e-03
1.000000000000000194e-02,5.999865895080288558e-01,-6.778455892005874617e-04,1.172617876059149633e-02
1.100000000000000283e-02,5.999807327285329173e-01,-8.117361837816083892e-04,1.410116534789204734e-02
1.200000000000000372e-02,5.999732243844704271e-01,-9.558514913685089986e-04,1.667986778082013177e-02
1.300000000000000461e-02,5.999638190300971008e-01,-1.109727066971211151e-03,1.945888604035411057e-02
1.400000000000000550e-02,5.999522674322247395e-01,-1.272899016592221599e-03,2.243486912403108019e-02
1.500000000000000638e-02,5.999383189664744265e-01,-1.444906096028708564e-03,2.560452868012845495e-02
1.600000000000000727e-02,5.999217236198086667e-01,-1.625291078385548982e-03,2.896462485392727049e-02
1.700000000000000816e-02,5.999022338403782184e-01,-1.813602158346250270e-03,3.251195415179632120e-02
1.800000000000000905e-02,5.998796061899431820e-01,-2.009394242466377989e-03,3.624333928210205641e-02
1.900000000000000994e-02,5.998536027958853989e-01,-2.212230122623282114e-03,4.015562089074933838e-02
2.000000000000001082e-02,5.998239926078806628e-01,-2.421681533897102057e-03,4.424565107721187968e-02
2.100000000000001171e-02,5.997905524663207366e-01,-2.637330098733625672e-03,4.851028855357629455e-02
2.200000000000001260e-02,5.997530708332623473e-01,-2.858763305596478954e-03,5.294619916071413579e-02
2.300000000000001349e-02,5.997113499600797981e-01,-3.085578450167492104e-03,5.754971216422612862e-02
2.400000000000001438e-02,5.996652070552109803e-01,-3.317382100522681121e-03,6.231709640578129289e-02
2.500000000000001527e-02,5.996144731999720756e-01,-3.553796775946194142e-03,6.724460645517985058e-02
2.600000000000001615e-02,5.995589939591740025e-01,-3.794460211947126016e-03,7.232848615355996769e-02
2.700000000000001704e-02,5.994986295787971819e-01,-4.039025798079742824e-03,7.756497293834545281e-02
2.800000000000001793e-02,5.994332550332100995e-01,-4.287162897673224560e-03,8.295030276936680991e-02
2.900000000000001882e-02,5.993627599378914539e-01,-4.538557055771830218e-03,8.848071549101209354e-02
3.000000000000001971e-02,5.992870483433687667e-01,-4.792910102038694387e-03,9.415246048195635709e-02
3.100000000000002059e-02,5.992060384256233663e-01,-5.049940155733456670e-03,9.996180246123949342e-02
3.200000000000002148e-02,5.991196665653777398e-01,-5.309369683262010753e-03,1.059048196606235948e-01
3.300000000000002237e-02,5.990278956082182304e-01,-5.570781268921909390e-03,1.119754615270554254e-01
3.400000000000002326e-02,5.989307144663793547e-01,-5.833708442992413534e-03,1.181660631975891274e-01
3.500000000000002415e-02,5.988281324338335931e-01,-6.097639978224989044e-03,1.244689868893792406e-01
3.600000000000002504e-02,5.987201771881285328e-01,-6.362109962329887125e-03,1.308766473744487346e-01
3.700000000000002592e-02,5.986069073498941906e-01,-6.626602902587763744e-03,1.373805362531577423e-01
3.800000000000002681e-02,5.984884077486924969e-01,-6.890601175141120027e-03,1.439711663194608304e-01
3.900000000000002770e-02,5.983647900484859727e-01,-7.153573849331296142e-03,1.506391249063826487e-01
4.000000000000002859e-02,5.982361843225388887e-01,-7.415028024234160409e-03,1.573751157390630984e-01
4.100000000000002948e-02,5.981027393378044454e-01,-7.674496037477496202e-03,1.641699753282646335e-01
4.200000000000003036e-02,5.979646211758505858e-01,-7.931535120334398670e-03,1.710146882772148047e-01
4.300000000000003125e-02,5.978220118170415320e-01,-8.185726956155325862e-03,1.779004014834853487e-01
4.400000000000003214e-02,5.976751077018483960e-01,-8.436677154752492136e-03,1.848184372323037894e-01
4.500000000000003303e-02,5.975241182816154462e-01,-8.684014654840088721e-03,1.917603051899862965e-01
4.600000000000003392e-02,5.973692645696647707e-01,-8.927391066045620160e-03,1.987177133162828513e-01
4.700000000000003481e-02,5.972107777022763742e-01,-9.166479961351114980e-03,2.056825777225607110e-01
4.800000000000003569e-02,5.970488975178438462e-01,-9.400976130122473684e-03,2.126470315091413821e-01
4.900000000000003658e-02,5.968838711613758674e-01,-9.630594801151859397e-03,2.196034326199669262e-01
5.000000000000003747e-02,5.967159517204833064e-01,-9.855070844385582784e-03,2.265443707563077336e-01
5.100000000000003836e-02,5.965453968980634070e-01,-1.007415795925281632e-02,2.334626733936242537e-01
5.200000000000003925e-02,5.963724677260551221e-01,-1.028762785675768621e-02,2.403514109471310278e-01
5.300000000000004013e-02,5.961974273238934696e-01,-1.049526944175932508e-02,2.472039011322366142e-01
5.400000000000004102e-02,5.960205397046274278e-01,-1.069688800114459992e-02,2.540137125659812645e-01
5.500000000000004191e-02,5.958420686310795800e-01,-1.089230440291200086e-02,2.607746676549838050e-01
5.600000000000004280e-02,5.956622765239201200e-01,-1.108135431052498232e-02,2.674808448143402018e-01
5.700000000000004369e-02,5.954814234230886294e-01,-1.126388741627371015e-02,2.741265800604772984e-01
5.800000000000004458e-02,5.952997660036404293e-01,-1.143976669680063507e-02,2.807064680192296602e-01
5.900000000000004546e-02,5.951175566468099865e-01,-1.160886769340790936e-02,2.872153623884513007e-01
6.000000000000004635e-02,5.949350425668918918e-01,-1.177107781926522989e-02,2.936483758923693621e-01
6.100000000000004724e-02,5.947524649944513353e-01,-1.192629569519443322e-02,3.000008797627348733e-01
6.200000000000004813e-02,5.945700584164217428e-01,-1.207443051531509326e-02,3.062685027797734105e-01
6.300000000000004208e-02,5.943880498738707274e-01,-1.221540144352656343e-02,3.124471299042069772e-01
6.400000000000004297e-02,5.942066583185150463e-01,-1.234913704335655060e-02,3.185329005223151433e-01
6.500000000000004385e-02,5.940260940301078652e-01,-1.247557474070798422e-02,3.245222063310944649e-01
6.600000000000004474e-02,5.938465580982060787e-01,-1.259466031946332443e-02,3.304116889233362775e-01
6.700000000000004563e-02,5.936682419739987004e-01,-1.270634744973553332e-02,3.361982371102397726e-01
6.800000000000004652e-02,5.934913271012450808e-01,-1.281059725339550592e-02,3.418789840409662273e-01
6.900000000000004741e-02,5.933159846420604788e-01,-1.290737791239421339e-02,3.474513042257308948e-01
7.000000000000004829e-02,5.931423753246516384e-01,-1.299666433042745428e-02,3.529128106493478190e-01
7.100000000000004918e-02,5.929706494910429448e-01,-1.307843779261791406e-02,3.582613513481802681e-01
