time,x,y,yaw
1.000000000000000021e-03,5.999999987115063327e-01,2.683171214046264907e-06,-6.388250896913247442e-05
2.000000000000000042e-03,5.999999816346596182e-01,1.065658082488596392e-05,-2.529133474506257344e-04
3.000000000000000062e-03,5.999999159524114223e-01,2.374240154340290232e-05,-5.629852557678106896e-04
4.000000000000000083e-03,5.999997464089167343e-01,4.174831102937703875e-05,-9.900550405894665684e-04
5.000000000000000104e-03,5.999993994852481638e-01,6.446470777854429457e-05,-1.530141475954540156e-03
6.000000000000000125e-03,5.999987856151083321e-01,9.166665857307521037e-05,-2.179322750846061571e-03
7.000000000000000146e-03,5.999978013438221902e-01,1.231157769874813290e-04,-2.933733629619020549e-03
8.000000000000000167e-03,5.999963314070053677e-01,1.585620299277556988e-04,-3.789562475667399791e-03
9.000000000000001055e-03,5.999942507713096340e-01,1.977454640040843259e-04,-4.743048286977630604e-03
1.000000000000000194e-02,5.999914265621749676e-01,2.403978555474695078e-04,-5.790477859389296308e-03
1.100000000000000283e-02,5.999877199135466022e-01,2.862442777109563963e-04,-6.928183164957182547e-03
1.200000000000000372e-02,5.999829876922690985e-01,3.350045886886809932e-04,-8.152539041508940695e-03
1.300000000000000461e-02,5.999770841322834558e-01,3.863948356290780595e-04,-9.459961253532073178e-03
1.400000000000000550e-02,5.999698623558082922e-01,4.401285760917139633e-04,-1.084690497094192504e-02
1.500000000000000638e-02,5.999611757813578805e-01,4.959181169719162341e-04,-1.230986369593936591e-02
1.600000000000000727e-02,5.999508794168200154e-01,5.534756714848376724e-04,-1.384536865322884801e-02
1.700000000000000816e-02,5.999388310368438670e-01,6.125144351487588068e-04,-1.544998864552079437e-02
1.800000000000000905e-02,5.999248922447495413e-01,6.727495820201268018e-04,-1.712033036460027663e-02
1.900000000000000994e-02,5.999089294200448119e-01,7.338991827219309982e-04,-1.885303913835542980e-02
2.000000000000001082e-02,5.998908145534486147e-01,7.956850460704156802e-04,-2.064480008601603939e-02
2.100000000000001171e-02,5.998704259720395449e-01,8.578334863391101628e-04,-2.249233964739984909e-02
2.200000000000001260e-02,5.998476489578091764e-01,9.200760184123746299e-04,-2.439242744710798383e-02
2.300000000000001349e-02,5.998223762634610212e-01,9.821499832658453499e-04,-2.634187845122904978e-02
2.400000000000001438e-02,5.997945085298015400e-01,1.043799106373699548e-03,-2.833755537206181230e-02
2.500000000000001527e-02,5.997639546094741814e-01,1.104773991778384978e-03,-3.037637127549421348e-02
2.600000000000001615e-02,5.997306318021364824e-01,1.164832554673533860e-03,-3.245529234582237438e-02
2.700000000000001704e-02,5.996944697766856125e-01,1.223735338183651322e-03,-3.457115285464054666e-02
2.800000000000001793e-02,5.996554157561115872e-01,1.281244610012999274e-03,-3.672023489025612319e-02
2.900000000000001882e-02,5.996134344845008846e-01,1.337125749026280008e-03,-3.889873379001031889e-02
3.000000000000001971e-02,5.995685040521430142e-01,1.391156896278500366e-03,-4.110290655083941730e-02
3.100000000000002059e-02,5.995206162214598011e-01,1.443127539382027535e-03,-4.332907722164806852e-02
3.200000000000002148e-02,5.994697761542251424e-01,1.492838664283346883e-03,-4.557364221841352092e-02
3.300000000000002237e-02,5.994160020364188712e-01,1.540102836945500542e-03,-4.783307550761727728e-02
3.400000000000002326e-02,5.993593246112488560e-01,1.584744220270661863e-03,-5.010393360976858612e-02
3.500000000000002415e-02,5.992997866307531174e-01,1.626598531614009691e-03,-5.238286038103975861e-02
