x_fit,y_fit
-2.673691345404102804e-02,5.756629560694824788e-01
-3.993895070733846642e-02,5.890658750825820134e-01
-5.415843458804331378e-02,6.013840853371413830e-01
-6.930650474909755276e-02,6.125406079183463026e-01
-8.528849792543011232e-02,6.224657235257746724e-01
-1.020045395032895819e-01,6.310974081629951993e-01
-1.193501676563179792e-01,6.383817207377016079e-01
-1.372169861480167508e-01,6.442731401501902155e-01
-1.554933417211146751e-01,6.487348497636510336e-01
-1.740650218406978034e-01,6.517389674785615261e-01
-1.928159684307681476e-01,6.532667199734008001e-01
-2.116290031439508890e-01,6.533085600228231149e-01
-2.303865596319979170e-01,6.518642261601435006e-01
-2.489714182409839827e-01,6.489427443112943950e-01
-2.672674385399428920e-01,6.445623713900422436e-01
-2.851602851052273402e-01,6.387504812069481064e-01
-3.025381420250230491e-01,6.315433934050501685e-01
-3.192924116589390682e-01,6.229861464912820335e-01
-3.353183932859884475e-01,6.131322163819989957e-01
-3.505159373999530148e-01,6.020431822214754591e-01
-3.647900715633148883e-01,5.897883415617400926e-01
-3.780515939086679378e-01,5.764442773085652894e-01
-3.902176305787037336e-01,5.620943791398499423e-01
-4.012121536212202577e-01,5.468283223871475140e-01
-4.109664561027243646e-01,5.307415076369094153e-01
-4.194195814715516724e-01,5.139344645534861256e-01
-4.265187044873276490e-01,4.965122236495140284e-01
-4.322194613362680959e-01,4.785836599296167115e-01
-4.364862268693633363e-01,4.602608125091216529e-01
-4.392923372309300856e-01,4.416581844596264017e-01
-4.406202564862814475e-01,4.228920272568204575e-01
-4.404616862072265882e-01,4.040796143021845310e-01
-4.388176173305778915e-01,3.853385080584753597e-01
-4.356983239655920492e-01,3.667858253788111034e-01
-4.311232991890443511e-01,3.485375056204572664e-01
-4.251211332291633949e-01,3.307075861170157283e-01
-4.177293347996809958e-01,3.134074895367344737e-01
-4.089940967005144534e-01,2.967453275803728641e-01
-3.989700071498886724e-01,2.808252253699536904e-01
-3.877197086518413549e-01,2.657466707504289039e-01
-3.753135065309139984e-01,2.516038925705996188e-01
-3.618289295803727157e-01,2.384852718285365991e-01
-3.473502455695550717e-01,2.264727893613674437e-01
-3.319679346380312035e-01,2.156415135309269204e-01
-3.157781238674453039e-01,2.060591311068230846e-01
-2.988819865645042095e-01,1.977855242785216128e-01
-2.813851100091173119e-01,1.908723964397850414e-01
-2.633968356187505466e-01,1.853629490840123517e-01
-2.450295756524362156e-01,1.812916118296228063e-01
-2.263981107244921187e-01,1.786838272626097290e-01
-2.076188725179241024e-01,1.775558919408245229e-01
-1.888092161799735935e-01,1.779148545535861881e-01
-1.700866869467591025e-01,1.797584718730379227e-01
-1.515682855800117579e-01,1.830752227725183923e-01
-1.333697372063404885e-01,1.878443802243446037e-01
-1.156047681281914263e-01,1.940361408270780130e-01
-9.838439512585012148e-02,2.016118110528329066e-01
-8.181623169178184329e-02,2.105240490507302442e-01
-6.600381553278550362e-02,2.207171604954200061e-01
-5.104596154253104867e-02,2.321274466318577478e-01
-3.703614428788518098e-02,2.446836023413330452e-01
-2.406191386798772758e-02,2.583071617411581422e-01
-1.220434879648907289e-02,2.729129885333780314e-01
-1.537549325997200622e-03,2.884098080382143658e-01
7.871825618951472370e-03,3.047007775874623903e-01
1.596497500660212787e-02,3.216840917133426681e-01
2.269132315717534154e-02,3.392536183508603198e-01
2.800883580022142660e-02,3.572995620779198522e-01
3.188428275503135678e-02,3.757091502484795065e-01
3.429344559256092273e-02,3.943673377309609984e-01
3.522126898114977256e-02,4.131575258478676904e-01
3.466195477024544558e-02,4.319622910238180014e-01
3.261899822418473649e-02,4.506641185885259526e-01
2.910516617960046126e-02,4.691461371490514010e-01
2.414241726295227042e-02,4.872928489420860210e-01
1.776176466675788435e-02,5.049908516021558436e-01
1.000308234206317981e-02,5.221295468352715741e-01
9.148558182917043702e-04,5.386018315693870129e-01
-9.446120792349743667e-03,5.543047672625274203e-01
-2.101509971243054054e-02,5.691402231859522542e-01
-3.371978412087284216e-02,5.830154896623498395e-01
-4.748077994998237128e-02,5.958438574268156707e-01
-6.221209203456903869e-02,6.075451594900762586e-01
-7.782166151262091824e-02,6.180462721177473195e-01
-9.421194111920981606e-02,6.272815717949093983e-01
-1.112805047785064283e-01,6.351933453203393309e-01
-1.289206876844410654e-01,6.417321504676375410e-01
-1.470222528700220743e-01,6.468571249594097239e-01
-1.654720800997909469e-01,6.505362418236630973e-01
-1.841548727803867247e-01,6.527465095366424830e-01
-2.029538784715979594e-01,6.534741157013783663e-01
-2.217516184952897651e-01,6.527145133640667174e-01
-2.404306220827318874e-01,6.504724494288769421e-01
-2.588741604725007250e-01,6.467619349936153395e-01
-2.769669763714305843e-01,6.416061577916236658e-01
-2.945960042200739259e-01,6.350373372870795619e-01
-3.116510767615827127e-01,6.270965233292389307e-01
-3.280256134985308769e-01,6.178333396238662178e-01
-3.436172867353735616e-01,6.073056736249524690e-01
-3.583286610443081610e-01,5.955793147846482061e-01
-3.720678021583975204e-01,5.827275434220583472e-01
-3.847488514868577791e-01,5.688306727801361040e-01
-3.962925626622506581e-01,5.539755471324591118e-01
-4.066267967665962990e-01,5.382549990763089154e-01
-4.156869731416379388e-01,5.217672694035402348e-01
-4.234164729660561677e-01,5.046153931745825938e-01
-4.297669930776020220e-01,4.869065558321143405e-01
-4.346988478290437219e-01,4.687514233781815420e-01
-4.381812170915683757e-01,4.502634508006221892e-01
-4.401923388558197647e-01,4.315581730705669861e-01
-4.407196452269681597e-01,4.127524831417154205e-01
-4.397598409639527084e-01,3.939639014633167236e-01
-4.373189240720903870e-01,3.753098415718033598e-01
-4.334121483203624003e-01,3.569068763505442443e-01
-4.280639279176170486e-01,3.388700095430074999e-01
-4.213076849433841087e-01,3.213119570717829498e-01
-4.131856404867362831e-01,3.043424426546466055e-01
-4.037485507984134858e-01,2.880675121195040989e-01
-3.930553901050446441e-01,2.725888707031866587e-01
-3.811729820676237890e-01,2.580032474754531679e-01
-3.681755821873317069e-01,2.444017908600407407e-01
-3.541444137683271154e-01,2.318694990302646031e-01
-3.391671603373677124e-01,2.204846887387412746e-01
-3.233374176922350074e-01,2.103185059006239810e-01
-3.067541090032138706e-01,2.014344809888071464e-01
-2.895208666227743755e-01,1.938881320195249003e-01
-2.717453844666532503e-01,1.877266176093671524e-01
-2.535387450134253817e-01,1.829884422718228432e-01
-2.350147251282806715e-01,1.797032157950141651e-01
-2.162890850490533923e-01,1.778914682043164219e-01
-1.974788449777629684e-01,1.775645214661977778e-01
-1.787015537983908942e-01,1.787244187350273683e-01
-1.600745544908241669e-01,1.813639115850026740e-01
-1.417142508315299421e-01,1.854665053069855241e-01
-1.237353799634968859e-01,1.910065619871788578e-01
-1.062502953813002221e-01,1.979494607234842107e-01
-8.936826481204980521e-02,2.062518139783175164e-01
-7.319478737990545159e-02,2.158617387158521250e-01
-5.783093432133543099e-02,2.267191806292970513e-01
-4.337271737111098036e-02,2.387562894320531814e-01
-2.991048876612120710e-02,2.518978428674791825e-01
-1.752837661650399892e-02,2.660617167875429789e-01
-6.303759172564510349e-03,2.811593983627503901e-01
3.693218727106484245e-03,2.970965392161987184e-01
1.240008400450182124e-02,3.137735450251096792e-01
1.976242574873113278e-02,3.310861979053104642e-01
2.573423524048806810e-02,3.489263076892586413e-01
3.027819346957111302e-02,3.671823880276420815e-01
3.336590434870714827e-02,3.857403530894696342e-01
3.497807216627712990e-02,4.044842305068332422e-01
3.510462216900678278e-02,4.232968861090062318e-01
3.374476352107835808e-02,4.420607559168790446e-01
3.090699424621892732e-02,4.606585808233519819e-01
2.660904812188127910e-02,4.789741393685193471e-01
2.087778385738656151e-02,4.968929740303960063e-01
1.374901724857477414e-02,5.143031064924495910e-01
5.267297357864131335e-03,5.310957374180873547e-01
-4.514371881588180591e-03,5.471659263590767930e-01
-1.553486289787373020e-02,5.624132475490147831e-01
-2.772530647853180263e-02,5.767424174836605077e-01
-4.100952214778300076e-02,5.900638903662656087e-01
-5.530449423328137604e-02,6.022944176968416663e-01
-7.052089064735395096e-02,6.133575685083854090e-01
-8.656362114075707992e-02,6.231842069989983468e-01
-1.033324315403175570e-01,6.317129245750903177e-01
-1.207225302569490538e-01,6.388904236057397767e-01
-1.386252431488680381e-01,6.446718504900545987e-01
-1.569286926476472777e-01,6.490210759561330089e-01
-1.755184969031115538e-01,6.519109208399779254e-01
-1.942784845779783609e-01,6.533233259334294551e-01
-2.130914208253582576e-01,6.532494648397041415e-01
-2.318397399123358904e-01,6.516897991312806671e-01
-2.504062799113189741e-01,6.486540754654435137e-01
-2.686750148679320493e-01,6.441612646755070504e-01
-2.865317798699908991e-01,6.382394432183532418e-01
-3.038649844864548810e-01,6.309256177191391313e-01
-3.205663101179445640e-01,6.222654937096291361e-01
-3.365313869009414760e-01,6.123131900053515597e-01
-3.516604459355575640e-01,6.011309005064939814e-01
-3.658589427609839628e-01,5.887885055360069231e-01
-3.790381481823926757e-01,5.753631351437431540e-01
-3.911157027570975053e-01,5.609386871056312174e-01
-4.020161314748851300e-01,5.456053026299984010e-01
-4.116713154161754096e-01,5.294588030474569607e-01
-4.200209174405255541e-01,5.126000910045952486e-01
-4.270127592452693799e-01,4.951345199035237510e-01
-4.326031474379776753e-01,4.771712355277758499e-01
-4.367571465850465517e-01,4.588224939688755888e-01
-4.394487975300829241e-01,4.402029601159771488e-01
-4.406612796177703517e-01,4.214289910924541860e-01
-4.403870158094471132e-01,4.026179091173894276e-01
-4.386277200335088056e-01,3.838872683359876303e-01
-4.353943864747330528e-01,3.653541202006368449e-01
-4.307072208694601168e-01,3.471342819933994628e-01
-4.245955142359786327e-01,3.293416130610721249e-01
-4.170974598292001012e-01,3.120873032857681695e-01
-4.082599144635093991e-01,2.954791782375117415e-01
-3.981381056953304798e-01,2.796210253510758026e-01
-3.867952866952804047e-01,2.646119453379215392e-01
-3.743023409666859647e-01,2.505457328863922584e-01
-3.607373393806522222e-01,2.375102905202877701e-01
