x_fit,y_fit
5.790994924323944471e-03,6.028507238662219603e-01
-3.479384551993258690e-03,6.205454535293004614e-01
-1.361045716055364618e-02,6.377618631806891702e-01
-2.457760674955766778e-02,6.544581209463312677e-01
-3.635418569446224879e-02,6.705936588003597043e-01
-4.891157964551512416e-02,6.861292711359715524e-01
-6.221927705397400921e-02,7.010272100259404837e-01
-7.624494330807901621e-02,7.152512769413066351e-01
-9.095449929864390937e-02,7.287669107053885709e-01
-1.063122042233707876e-01,7.415412714694101792e-01
-1.222807424286928568e-01,7.535433205057008310e-01
-1.388213140781399402e-01,7.647438956245892205e-01
-1.558937294269231999e-01,7.751157820317466918e-01
-1.734565064736744433e-01,7.846337784538128801e-01
-1.914669717520678105e-01,7.932747583716313056e-01
-2.098813640174252704e-01,8.010177262123173714e-01
-2.286549405763702025e-01,8.078438683636197659e-01
-2.477420860011732562e-01,8.137365988866263056e-01
-2.670964229646400345e-01,8.186815998157400687e-01
-2.866709249262372472e-01,8.226668559480083687e-01
-3.064180303956561269e-01,8.256826840372735177e-01
-3.262897584961802488e-01,8.277217563222096786e-01
-3.462378255470638933e-01,8.287791183310808663e-01
-3.662137623816545395e-01,8.288522009199550400e-01
-3.861690321162027928e-01,8.279408265151269042e-01
-4.060551480832089166e-01,8.260472095445806628e-01
-4.258237916427555780e-01,8.231759510574450101e-01
-4.454269295855731170e-01,8.193340275445127885e-01
-4.648169308425740831e-01,8.145307739869898089e-01
-4.839466822172806548e-01,8.087778611746605506e-01
-5.027697028599427131e-01,8.020892673485808810e-01
-5.212402572051991756e-01,7.944812442372013450e-01
-5.393134660988722073e-01,7.859722775684446772e-01
-5.569454158438813529e-01,7.765830421536824568e-01
-5.740932649003211985e-01,7.663363516527494923e-01
-5.907153479804456708e-01,7.552571031420519665e-01
-6.067712772856344028e-01,7.433722166204591586e-01
-6.222220406393554892e-01,7.307105695999620565e-01
-6.370300962776882514e-01,7.173029269400312824e-01
-6.511594640670839151e-01,7.031818660961590695e-01
-6.645758129277272719e-01,6.883816979642131129e-01
-6.772465442500822386e-01,6.729383835129352232e-01
-6.891408711019357813e-01,6.568894464071444173e-01
-7.002298930334887039e-01,6.402738818339529514e-01
-7.104866662987304737e-01,6.231320617535246464e-01
-7.198862693224808984e-01,6.055056368045950155e-01
-7.284058632540252320e-01,5.874374351030988706e-01
-7.360247474602129580e-01,5.689713581798035991e-01
-7.427244098231855496e-01,5.501522743097921886e-01
-7.484885717205203015e-01,5.310259094929832280e-01
-7.533032275784989906e-01,5.116387363505783270e-01
-7.571566789023974620e-01,4.920378612073940117e-01
-7.600395627011082844e-01,4.722709096344406277e-01
-7.619448742370336092e-01,4.523859107298536797e-01
-7.628679840459688943e-01,4.324311804193483044e-01
-7.628066491856251297e-01,4.124552040597492253e-01
