time,x,y,yaw
1.000000000000000021e-03,2.399999999801504025e+00,-5.548980587688490118e-06,5.567684939166252163e-05
2.000000000000000042e-03,2.399999996165179006e+00,-2.208333974540455102e-05,2.207556037292614584e-04
3.000000000000000062e-03,2.399999982139537469e+00,-4.930491083143806463e-05,4.922064568081936176e-04
4.000000000000000083e-03,2.399999945845685101e+00,-8.692917214458972808e-05,8.668892490872429383e-04
5.000000000000000104e-03,2.399999871408478480e+00,-1.346625813766766377e-04,1.341561067526148314e-03
6.000000000000000125e-03,2.399999739418162914e+00,-1.922031907415355789e-04,1.912883838830967131e-03
7.000000000000000146e-03,2.399999527404407917e+00,-2.592412513631181525e-04,2.577431905827925942e-03
8.000000000000000167e-03,2.399999210310739706e+00,-3.354598081027337919e-04,3.331699577050292564e-03
9.000000000000001055e-03,2.399998760970194489e+00,-4.205352861495481598e-04,4.172108640036491581e-03
1.000000000000000194e-02,2.399998150571222677e+00,-5.141380703796993856e-04,5.095015828137350843e-03
1.100000000000000283e-02,2.399997349117258150e+00,-6.159330785968086808e-04,6.096720231012225759e-03
1.200000000000000372e-02,2.399996325873432479e+00,-7.255803294842766427e-04,7.173470638871242734e-03
1.300000000000000461e-02,2.399995049797754465e+00,-8.427355060082741822e-04,8.321472810484450283e-03
1.400000000000000550e-02,2.399993489953932357e+00,-9.670505148519636940e-04,9.536896654954747990e-03
1.500000000000000638e-02,2.399991615903340314e+00,-1.098174042306720999e-03,1.081588331725084721e-02
1.600000000000000727e-02,2.399989398073939295e+00,-1.235752106890142255e-03,1.215455215752882581e-02
1.700000000000000816e-02,2.399986808104270786e+00,-1.379428608804245115e-03,1.354900761434443303e-02
1.800000000000000905e-02,2.399983819160963261e+00,-1.528845876194506737e-03,1.499534594198008962e-02
1.900000000000000994e-02,2.399980406228481744e+00,-1.683645208024997508e-03,1.648966181228599809e-02
2.000000000000001082e-02,2.399976546370159891e+00,-1.843467413244481712e-03,1.802805477166761691e-02
2.100000000000001171e-02,2.399972218952024061e+00,-2.007953345333657325e-03,1.960663554345004958e-02
2.200000000000001260e-02,2.399967405838108636e+00,-2.176744432067445612e-03,2.122153216606250531e-02
2.300000000000001349e-02,2.399962091557262145e+00,-2.349483199907020925e-03,2.286889596295815091e-02
2.400000000000001438e-02,2.399956263454424921e+00,-2.525813792971676186e-03,2.454490733314194234e-02
2.500000000000001527e-02,2.399949911800108193e+00,-2.705382484304075241e-03,2.624578135513631894e-02
2.600000000000001615e-02,2.399943029872723343e+00,-2.887838179238377823e-03,2.796777319803799011e-02
2.700000000000001704e-02,2.399935614012854046e+00,-3.072832909820133462e-03,2.970718333352803317e-02
2.800000000000001793e-02,2.399927663650429643e+00,-3.260022319275357461e-03,3.146036254333577781e-02
2.900000000000001882e-02,2.399919181305905092e+00,-3.449066135500500341e-03,3.322371671731824683e-02
3.000000000000001971e-02,2.399910172566700695e+00,-3.639628632537084130e-03,3.499371143799287487e-02
3.100000000000002059e-02,2.399900646040256991e+00,-3.831379078997609877e-03,3.676687634804347293e-02
3.200000000000002148e-02,2.399890613285159180e+00,-4.023992172423274116e-03,3.853980929799923766e-02
3.300000000000002237e-02,2.399880088721873861e+00,-4.217148458581843062e-03,4.030918027195635328e-02
3.400000000000002326e-02,2.399869089524687027e+00,-4.410534734752558084e-03,4.207173508986390004e-02
3.500000000000002415e-02,2.399857635496492669e+00,-4.603844436088855296e-03,4.382429888552332592e-02
3.600000000000002504e-02,2.399845748928094658e+00,-4.796778004208301915e-03,4.556377936004782359e-02
3.700000000000002592e-02,2.399833454443721870e+00,-4.989043237220935900e-03,4.728716981108909562e-02
3.800000000000002681e-02,2.399820778834440116e+00,-5.180355620476917444e-03,4.899155193865925573e-02
3.900000000000002770e-02,2.399807750881154167e+00,-5.370438637390895220e-03,5.067409842885135102e-02
4.000000000000002859e-02,2.399794401168864777e+00,-5.559024059778538973e-03,5.233207531718891276e-02
4.100000000000002948e-02,2.399780761893829606e+00,-5.745852217225899672e-03,5.396284413370997651e-02
4.200000000000003036e-02,2.399766866665247189e+00,-5.930672245096080264e-03,5.556386383221065262e-02
4.300000000000003125e-02,2.399752750303042248e+00,-6.113242310867572638e-03,5.713269250633365437e-02
4.400000000000003214e-02,2.399738448633312871e+00,-6.293329818584547652e-03,5.866698889538438100e-02
4.500000000000003303e-02,2.399723998282965454e+00,-6.470711591289812770e-03,6.016451368288686097e-02
4.600000000000003392e-02,2.399709436475059299e+00,-6.645174031398803915e-03,6.162313059094971096e-02
4.700000000000003481e-02,2.399694800826397856e+00,-6.816513259060075214e-03,6.304080727349685442e-02
4.800000000000003569e-02,2.399680129149000418e+00,-6.984535228635069259e-03,6.441561601133154180e-02
4.900000000000003658e-02,2.399665459257255939e+00,-7.149055823514660624e-03,6.574573421186014066e-02
5.000000000000003747e-02,2.399650828783002510e+00,-7.309900929576007567e-03,6.702944471613579702e-02
5.100000000000003836e-02,2.399636275001713059e+00,-7.466906487673230508e-03,6.826513591572870576e-02
5.200000000000003925e-02,2.399621834675248699e+00,-7.619918525664293174e-03,6.945130168174108720e-02
5.300000000000004013e-02,2.399607543923142572e+00,-7.768793170661647540e-03,7.058654110747537846e-02
5.400000000000004102e-02,2.399593438156598868e+00,-7.913396642703518502e-03,7.166955806213094748e-02
5.500000000000004191e-02,2.399579551884408524e+00,-8.053605285278819803e-03,7.269915777491660347e-02
5.600000000000004280e-02,2.399565919989431251e+00,-8.189305453966178039e-03,7.367424777069508934e-02
5.700000000000004369e-02,2.399552575046101754e+00,-8.320393360756572765e-03,7.459384599506065083e-02
5.800000000000004458e-02,2.399539547036917853e+00,-8.446775023791541770e-03,7.545707565513980197e-02
5.900000000000004546e-02,2.399526862435245711e+00,-8.568366251293646485e-03,7.626315278901366068e-02
6.000000000000004635e-02,2.399514548159806804e+00,-8.685092598125720986e-03,7.701139260009427778e-02
6.100000000000004724e-02,2.399502629794652453e+00,-8.796889139817576364e-03,7.770121043015244811e-02
6.200000000000004813e-02,2.399491131027365665e+00,-8.903700335493924811e-03,7.833211791429192661e-02
6.300000000000004208e-02,2.399480073472901154e+00,-9.005479894194423629e-03,7.890372108123536177e-02
6.400000000000004297e-02,2.399469476519806133e+00,-9.102190601849691198e-03,7.941571822374858536e-02
6.500000000000004385e-02,2.399459357228274747e+00,-9.193804142060224560e-03,7.986789765524107687e-02
6.600000000000004474e-02,2.399449730268967240e+00,-9.280300904944027707e-03,8.026013541538838669e-02
6.700000000000004563e-02,2.399440607900501288e+00,-9.361669823587992489e-03,8.059239296721291967e-02
6.800000000000004652e-02,2.399431999952492678e+00,-9.437908318063348290e-03,8.086471495506913909e-02
6.900000000000004741e-02,2.399423913824280774e+00,-9.509022184430948599e-03,8.107722690573511415e-02
7.000000000000004829e-02,2.399416354361904702e+00,-9.575025390936464653e-03,8.123013273824992997e-02
7.100000000000004918e-02,2.399409323787485615e+00,-9.635939797941861507e-03,8.132371195630297422e-02
7.200000000000005007e-02,2.399402822032178584e+00,-9.691794939012621235e-03,8.135831774336876876e-02
7.300000000000005096e-02,2.399396847029100055e+00,-9.742627784634916299e-03,8.133437478050571656e-02
7.400000000000005185e-02,2.399391394571760650e+00,-9.788482384010810389e-03,8.125237735608882572e-02
