timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,5.245037674000000294e+01,5.234496716850000553e+01,5.254894360849999657e+01,5.249702679999999333e+01,5.216702519999999765e+01,5.257564359999999937e+01,5.255144739999999359e+01,5.232617159999999501e+01,5.220051539999999335e+01,5.260609219999999908e+01,5.248073539999999326e+01,5.240475139999999499e+01,5.269435839999999871e+01
1.000000000000000000e+04,5.197850097999999974e+01,5.169540376549999650e+01,5.226241231250000396e+01,5.138471320000000020e+01,5.134137259999999969e+01,5.215002560000000642e+01,5.267093760000000202e+01,5.139592119999999653e+01,5.187227560000000182e+01,5.200226460000000372e+01,5.204705799999999272e+01,5.269076079999999962e+01,5.222968060000000889e+01
1.500000000000000000e+04,5.175954145999999412e+01,5.135434096899999190e+01,5.214974846850000034e+01,5.046752460000000440e+01,5.145819679999999607e+01,5.212246740000000500e+01,5.220299100000001147e+01,5.106007820000000663e+01,5.162426799999999361e+01,5.159487940000000350e+01,5.228891000000000133e+01,5.290772779999999642e+01,5.186837140000000090e+01
2.000000000000000000e+04,5.156563639999999538e+01,5.087529926600000607e+01,5.225641935950000772e+01,5.034634880000000123e+01,5.184506260000000566e+01,5.212448860000000650e+01,5.188412040000000758e+01,4.933451040000000631e+01,5.170658140000000458e+01,5.130735680000000087e+01,5.189800079999999838e+01,5.386513139999999566e+01,5.134476279999999804e+01
2.500000000000000000e+04,5.127015258000000131e+01,5.065183770999999524e+01,5.186614577449999075e+01,5.054506319999999420e+01,5.202419059999999718e+01,5.223108340000000283e+01,5.175693099999999447e+01,4.938768999999999920e+01,5.098618480000000375e+01,5.047397519999999815e+01,5.171850500000000750e+01,5.286885179999999451e+01,5.070905080000000709e+01
3.000000000000000000e+04,5.108867570000000313e+01,5.052573789350000055e+01,5.163471233900000357e+01,5.042685079999999687e+01,5.125650879999999177e+01,5.206620880000000540e+01,5.229969080000000758e+01,4.940312559999999564e+01,5.068251039999999819e+01,5.048512380000001087e+01,5.154207319999999015e+01,5.221675339999999466e+01,5.050791139999999757e+01
3.500000000000000000e+04,5.105269432000000052e+01,5.041799623600000047e+01,5.161946479650000441e+01,5.033477040000000358e+01,5.043769739999999757e+01,5.205857759999999956e+01,5.228581440000000669e+01,4.905833640000000173e+01,5.037315620000000393e+01,5.088858159999999486e+01,5.183740279999999245e+01,5.205260080000000755e+01,5.120000559999999723e+01
4.000000000000000000e+04,5.098113359999999972e+01,5.025691974650000304e+01,5.160449056450001137e+01,5.051576580000000405e+01,5.029892740000000373e+01,5.163868700000000445e+01,5.186372300000000735e+01,4.858058760000000120e+01,5.017942880000000372e+01,5.079052120000000059e+01,5.231454800000000205e+01,5.225765539999999731e+01,5.137149180000000115e+01
4.500000000000000000e+04,5.098940019999999151e+01,5.012642049549999967e+01,5.176816131749998817e+01,5.004213160000000471e+01,5.001614779999999882e+01,5.168923000000000911e+01,5.199055819999999528e+01,4.826647759999999465e+01,5.005593679999999779e+01,5.089698380000000100e+01,5.234277099999999194e+01,5.293330479999999483e+01,5.166046039999999806e+01
5.000000000000000000e+04,5.089741949999999804e+01,5.003923248299999926e+01,5.170269070099999453e+01,4.953970059999999620e+01,4.989430280000000550e+01,5.127786460000000091e+01,5.153540719999999453e+01,4.835213799999999651e+01,5.003110139999999717e+01,5.133165679999999753e+01,5.247669019999999307e+01,5.294442579999999765e+01,5.159090760000000131e+01
