time,x,y,yaw
1.000000000000000021e-03,5.999999999008724938e-01,-4.279088426983879145e-06,4.676533000684529308e-05
2.000000000000000042e-03,5.999999980013144274e-01,-1.704771138671956621e-05,1.859784762271887606e-04
3.000000000000000062e-03,5.999999906588198151e-01,-3.811262874031662307e-05,4.161879103301793391e-04
4.000000000000000083e-03,5.999999716247359505e-01,-6.728885905049608596e-05,7.358369776241546105e-04
5.000000000000000104e-03,5.999999325187318489e-01,-1.043826369404587950e-04,1.143269282526308264e-03
6.000000000000000125e-03,5.999998630576830472e-01,-1.491918646189249742e-04,1.636734071587111171e-03
7.000000000000000146e-03,5.999997512825049339e-01,-2.015065714117691975e-04,2.214391604965864312e-03
8.000000000000000167e-03,5.999995837912812657e-01,-2.611093810711007102e-04,2.874318507971210940e-03
9.000000000000001055e-03,5.999993459680469376e-01,-3.277759864535045864e-04,3.614513095023743402e-03
1.000000000000000194e-02,5.999990222147038033e-01,-4.012756311428944400e-04,4.432900658745003893e-03
1.100000000000000283e-02,5.999985961853075978e-01,-4.813715977888821662e-04,5.327338715898698868e-03
1.200000000000000372e-02,5.999980510101625697e-01,-5.678217018924569537e-04,6.295622205773378222e-03
1.300000000000000461e-02,5.999973695115460304e-01,-6.603787903934343895e-04,7.335488635254164627e-03
1.400000000000000550e-02,5.999965344108501020e-01,-7.587912440867872199e-04,8.444623163995376366e-03
1.500000000000000638e-02,5.999955285289075846e-01,-8.628034830555630919e-04,9.620663624904523745e-03
1.600000000000000727e-02,5.999943349755911814e-01,-9.721564739297861024e-04,1.086120547501868462e-02
1.700000000000000816e-02,5.999929373281749356e-01,-1.086588237862451400e-03,1.216380667209391447e-02
1.800000000000000905e-02,5.999913197976317614e-01,-1.205834358047497279e-03,1.352599247243786197e-02
1.900000000000000994e-02,5.999894673821933866e-01,-1.329628485571832108e-03,1.494526014570073981e-02
2.000000000000001082e-02,5.999873660076493476e-01,-1.457702842369679175e-03,1.641908360250582052e-02
2.100000000000001171e-02,5.999850026540097803e-01,-1.589788720036622305e-03,1.794491793095322196e-02
2.200000000000001260e-02,5.999823654683192897e-01,-1.725616972235277657e-03,1.952020384016974960e-02
2.300000000000001349e-02,5.999794438635692728e-01,-1.864918497949508147e-03,2.114237201442062744e-02
2.400000000000001438e-02,5.999762286037259029e-01,-2.007424717262673575e-03,2.280884736329431145e-02
2.500000000000001527e-02,5.999727118750425303e-01,-2.152868039324074001e-03,2.451705316130464371e-02
2.600000000000001615e-02,5.999688873439434911e-01,-2.300982321097599925e-03,2.626441507850263077e-02
2.700000000000001704e-02,5.999647502018905509e-01,-2.451503314664371658e-03,2.804836509913074746e-02
2.800000000000001793e-02,5.999602971977140431e-01,-2.604169102298992122e-03,2.986634532537127060e-02
2.900000000000001882e-02,5.999555266130607301e-01,-2.758720520873281234e-03,3.171581166743103752e-02
3.000000000000001971e-02,5.999504382582885320e-01,-2.914901570390926455e-03,3.359423741462934376e-02
3.100000000000002059e-02,5.999450334479921043e-01,-3.072459808144301086e-03,3.549911667539193405e-02
3.200000000000002148e-02,5.999393150130836183e-01,-3.231146724486932964e-03,3.742796769581913097e-02
3.300000000000002237e-02,5.999332872597509247e-01,-3.390718104617884698e-03,3.937833605246096602e-02
3.400000000000002326e-02,5.999269559248993078e-01,-3.550934373012515355e-03,4.134779771673510740e-02
3.500000000000002415e-02,5.999203281223813855e-01,-3.711560920303225153e-03,4.333396198950913852e-02
3.600000000000002504e-02,5.999134122808303937e-01,-3.872368412638549362e-03,4.533447430185140459e-02
3.700000000000002592e-02,5.999062180739421768e-01,-4.033133082979756256e-03,4.734701887796302633e-02
3.800000000000002681e-02,5.998987563440804083e-01,-4.193637003515660044e-03,4.936932126967836371e-02
3.900000000000002770e-02,5.998910390200784537e-01,-4.353668338437421959e-03,5.139915076058612642e-02
4.000000000000002859e-02,5.998830790300933025e-01,-4.513021577404408013e-03,5.343432263665418014e-02
4.100000000000002948e-02,5.998748902103574476e-01,-4.671497749691555512e-03,5.547270032332806550e-02
4.200000000000003036e-02,5.998664872106670432e-01,-4.828904618925655701e-03,5.751219738930495040e-02
4.300000000000003125e-02,5.998578853974168013e-01,-4.985056858427761028e-03,5.955077941741101361e-02
4.400000000000003214e-02,5.998491007549618947e-01,-5.139776207239654671e-03,6.158646574323182327e-02
4.500000000000003303e-02,5.998401497860514908e-01,-5.292891606972272012e-03,6.361733106236271140e-02
4.600000000000003392e-02,5.998310494120351333e-01,-5.444239319665977739e-03,6.564150690736071658e-02
4.700000000000003481e-02,5.998218168734902322e-01,-5.593663026900452806e-03,6.765718299569306593e-02
4.800000000000003569e-02,5.998124697214513024e-01,-5.741014077874639909e-03,6.966260804128568407e-02
