timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,7.843157604000001015e+01,7.383307088149999231e+01,8.337476819099997272e+01,6.360266040000000487e+01,7.574153279999998745e+01,7.692587039999999377e+01,7.866727720000000090e+01,7.424629120000000171e+01,7.963882820000000606e+01,7.442394140000000391e+01,8.947581099999999310e+01,7.843295620000000667e+01,9.316059160000000361e+01
1.000000000000000000e+04,9.745249481999999830e+01,8.859127059350001332e+01,1.063013534724999687e+02,7.535668139999999937e+01,1.072902787999999816e+02,9.835225660000000403e+01,1.073615798000000012e+02,8.770506760000000668e+01,8.451114499999999907e+01,1.082647670000000062e+02,1.020266945999999990e+02,8.004346879999999942e+01,1.236130085999999864e+02
1.500000000000000000e+04,1.117211497799999904e+02,1.047930709984999851e+02,1.180378837979999957e+02,1.002559905999999899e+02,1.277599543999999980e+02,1.147511704000000066e+02,1.163958561999999972e+02,1.101721799999999831e+02,9.935125039999999785e+01,1.146561423999999931e+02,1.182273140000000069e+02,9.211440120000000320e+01,1.235272382000000135e+02
2.000000000000000000e+04,1.277077954199999965e+02,1.156099404249999907e+02,1.399192263629999786e+02,1.253606874000000033e+02,1.629124058000000161e+02,1.356761610000000076e+02,1.132981138000000101e+02,1.242981487999999928e+02,1.055868122000000113e+02,1.454020144000000130e+02,1.220978951999999964e+02,9.362299819999999784e+01,1.488227173999999877e+02
2.500000000000000000e+04,1.496902076199999954e+02,1.331166493495000225e+02,1.653474880944999938e+02,1.442401601999999912e+02,1.799574498000000062e+02,1.675912559999999871e+02,1.435777816000000087e+02,1.756902213999999844e+02,1.089913698000000011e+02,1.666887989999999604e+02,1.224577000000000027e+02,1.112725840000000090e+02,1.764347544000000312e+02
3.000000000000000000e+04,1.703526658199999986e+02,1.584566152439999769e+02,1.831879208464999920e+02,1.585359267999999986e+02,1.978945043999999882e+02,1.601300824000000205e+02,1.525175628000000074e+02,2.029854588000000035e+02,1.426728407999999888e+02,1.944936792000000025e+02,1.591882943999999895e+02,1.566730180000000132e+02,1.784352906000000019e+02
3.500000000000000000e+04,1.883041008600000055e+02,1.764858465235000153e+02,2.015905764475000126e+02,1.642787429999999915e+02,2.124680491999999958e+02,1.704480682000000229e+02,1.684842060000000004e+02,2.285627312000000018e+02,1.836362894000000097e+02,2.058294266000000334e+02,1.803161587999999824e+02,1.735025136000000145e+02,1.955148226000000022e+02
4.000000000000000000e+04,2.143013077800000303e+02,2.015190585009999893e+02,2.281404049120000366e+02,1.967377079999999978e+02,2.295578124000000173e+02,1.962968500000000347e+02,1.893520201999999983e+02,2.505653618000000336e+02,2.184204810000000236e+02,2.119814883999999893e+02,2.138946375999999816e+02,1.885235705999999993e+02,2.476831478000000004e+02
4.500000000000000000e+04,2.349669450399999846e+02,2.158397855309999898e+02,2.534706145099999617e+02,2.088679788000000030e+02,2.556791187999999693e+02,2.679253803999999946e+02,1.790720019999999977e+02,2.595361148000000071e+02,2.447944379999999853e+02,2.337362274000000184e+02,2.262847973999999738e+02,1.969657205999999974e+02,2.768076721999999563e+02
5.000000000000000000e+04,2.441166779399999882e+02,2.194973242245000336e+02,2.657016721505000305e+02,2.141971218000000192e+02,2.587221739999999954e+02,2.800884793999999829e+02,1.655639199999999960e+02,2.642988682000000153e+02,2.734647363999999925e+02,2.672554790000000366e+02,2.489377155999999900e+02,1.929742899999999963e+02,2.756639949999999999e+02
