time,x,y,yaw
1.000000000000000021e-03,5.999999998168068505e-01,-5.606778717248683819e-06,5.878760176485377221e-05
2.000000000000000042e-03,5.999999963783306800e-01,-2.233656484257329211e-05,2.337723772751113091e-04
3.000000000000000062e-03,5.999999831141359374e-01,-4.993463511926421461e-05,5.231012041043009431e-04
4.000000000000000083e-03,5.999999487896642281e-01,-8.815826148250716088e-05,9.247875391288401439e-04
5.000000000000000104e-03,5.999998783935017732e-01,-1.367539852979993142e-04,1.436718443994072000e-03
6.000000000000000125e-03,5.999997535701462326e-01,-1.954581064924632017e-04,2.056661607122136411e-03
7.000000000000000146e-03,5.999995530600649163e-01,-2.639971847885336231e-04,2.782272349772239948e-03
8.000000000000000167e-03,5.999992531463287371e-01,-3.420885541118856565e-04,3.611100603776585486e-03
9.000000000000001055e-03,5.999988280988276523e-01,-4.294408506404501225e-04,4.540597851237931221e-03
1.000000000000000194e-02,5.999982506069029276e-01,-5.257545547200925817e-04,5.568124016148711525e-03
1.100000000000000283e-02,5.999974922065418603e-01,-6.307225467534482988e-04,6.690954298706278287e-03
1.200000000000000372e-02,5.999965236954432068e-01,-7.440306765334470107e-04,7.906285943665325444e-03
1.300000000000000461e-02,5.999953155315392861e-01,-8.653583431955658156e-04,9.211244930239753659e-03
1.400000000000000550e-02,5.999938382166692952e-01,-9.943790853522149753e-04,1.060289257302208556e-02
1.500000000000000638e-02,5.999920626596645379e-01,-1.130761181455774977e-03,1.207823203681958335e-02
1.600000000000000727e-02,5.999899605194309871e-01,-1.274168261131913837e-03,1.363421475843815643e-02
1.700000000000000816e-02,5.999875045241447324e-01,-1.424259924824922141e-03,1.526774676710437872e-02
1.800000000000000905e-02,5.999846687661709588e-01,-1.580692369900549288e-03,1.697569489731242873e-02
1.900000000000000994e-02,5.999814289714350268e-01,-1.743119021580807892e-03,1.875489288823999762e-02
2.000000000000001082e-02,5.999777627424008886e-01,-1.911191166913184247e-03,2.060214736405145686e-02
2.100000000000001171e-02,5.999736497740955077e-01,-2.084558589892371305e-03,2.251424368955648805e-02
2.200000000000001260e-02,5.999690720428952906e-01,-2.262870205786526867e-03,2.448795169583797490e-02
2.300000000000001349e-02,5.999640139680728623e-01,-2.445774692686031315e-03,2.652003127061439147e-02
2.400000000000001438e-02,5.999584625463726395e-01,-2.632921118271569494e-03,2.860723780826769994e-02
2.500000000000001527e-02,5.999524074601493284e-01,-2.823959559803246311e-03,3.074632751465443750e-02
2.600000000000001615e-02,5.999458411598567187e-01,-3.018541715351485966e-03,3.293406256203056798e-02
2.700000000000001704e-02,5.999387589219163930e-01,-3.216321504331487446e-03,3.516721608966374979e-02
2.800000000000001793e-02,5.999311588832101361e-01,-3.416955655456577201e-03,3.744257704598227821e-02
2.900000000000001882e-02,5.999230420536444397e-01,-3.620104280296909671e-03,3.975695486841904214e-02
3.000000000000001971e-02,5.999144123083999247e-01,-3.825431430714620884e-03,4.210718399745094070e-02
3.100000000000002059e-02,5.999052763616210537e-01,-4.032605638544572990e-03,4.449012822170762133e-02
3.200000000000002148e-02,5.998956437127119790e-01,-4.241300437414829982e-03,4.690268485346152372e-02
3.300000000000002237e-02,5.998855264311701019e-01,-4.451194882101439099e-03,4.934178877254656592e-02
3.400000000000002326e-02,5.998749390914743795e-01,-4.661974013790870508e-03,5.180441629001305420e-02
3.500000000000002415e-02,5.998638986459217115e-01,-4.873329310358776034e-03,5.428758881187351060e-02
3.600000000000002504e-02,5.998524243583455151e-01,-5.084959104160013954e-03,5.678837632482963693e-02
3.700000000000002592e-02,5.998405376448728843e-01,-5.296568994137940134e-03,5.930390069855557417e-02
3.800000000000002681e-02,5.998282619184737152e-01,-5.507872229315646795e-03,6.183133880853128317e-02
3.900000000000002770e-02,5.998156224237123357e-01,-5.718590066569162467e-03,6.436792547948110010e-02
4.000000000000002859e-02,5.998026460633263390e-01,-5.928452102208658925e-03,6.691095624985354817e-02
4.100000000000002948e-02,5.997893612182353396e-01,-6.137196576979586649e-03,6.945778995814275159e-02
4.200000000000003036e-02,5.997757975625503946e-01,-6.344570654214509720e-03,7.200585115219554355e-02
4.300000000000003125e-02,5.997619858751112032e-01,-6.550330670984538806e-03,7.455263232295894493e-02
4.400000000000003214e-02,5.997479578489620655e-01,-6.754242363713969244e-03,7.709569595616275195e-02
4.500000000000003303e-02,5.997337459002025639e-01,-6.956081067422237307e-03,7.963267639906174145e-02
4.600000000000003392e-02,5.997193829775975260e-01,-7.155631887902247357e-03,8.216128157115784592e-02
4.700000000000003481e-02,5.997049023742679896e-01,-7.352689845604887253e-03,8.467929451479379310e-02
4.800000000000003569e-02,5.996903375425798322e-01,-7.547059993244231713e-03,8.718457478189826915e-02
4.900000000000003658e-02,5.996757219133052041e-01,-7.738557507664223234e-03,8.967505965983044169e-02
5.000000000000003747e-02,5.996610887200308770e-01,-7.927007756379778058e-03,9.214876523944970366e-02
5.100000000000003836e-02,5.996464708296644908e-01,-8.112246339354256541e-03,9.460378732870182439e-02
5.200000000000003925e-02,5.996319005797490220e-01,-8.294119106626085536e-03,9.703830221517256716e-02
5.300000000000004013e-02,5.996174096231209338e-01,-8.472482152431737301e-03,9.945056728122099454e-02
5.400000000000004102e-02,5.996030287802216474e-01,-8.647201786491309772e-03,1.018389214754863298e-01
5.500000000000004191e-02,5.995887878990509012e-01,-8.818154483102913499e-03,1.042017856447998575e-01
5.600000000000004280e-02,5.995747158644860741e-01,-8.985227302138298899e-03,1.065376615031219804e-01
5.700000000000004369e-02,5.995608403319883095e-01,-9.148317439121755879e-03,1.088451316272033703e-01
5.800000000000004458e-02,5.995471875733946465e-01,-9.307332005601576252e-03,1.111228616158543847e-01
5.900000000000004546e-02,5.995337822349429135e-01,-9.462187411746536547e-03,1.133695999702901969e-01
6.000000000000004635e-02,5.995206473128990021e-01,-9.612809408399314304e-03,1.155841775799357762e-01
6.100000000000004724e-02,5.995078041038969241e-01,-9.759132948709559052e-03,1.177655071806100462e-01
6.200000000000004813e-02,5.994952723777876580e-01,-9.901101432220782428e-03,1.199125840627964790e-01
6.300000000000004208e-02,5.994830706364288053e-01,-1.003866580872364578e-02,1.220244870568430035e-01
6.400000000000004297e-02,5.994712163322678533e-01,-1.017178422071995936e-02,1.241003768828893156e-01
6.500000000000004385e-02,5.994597256411540176e-01,-1.030042218477167371e-02,1.261394963619670018e-01
6.600000000000004474e-02,5.994486134186165494e-01,-1.042455279980097904e-02,1.281411695638622061e-01
6.700000000000004563e-02,5.994378929999230055e-01,-1.054415643708134231e-02,1.301048005174537392e-01
6.800000000000004652e-02,5.994275762729133206e-01,-1.065922053807544234e-02,1.320298718244361791e-01
6.900000000000004741e-02,5.994176736010827788e-01,-1.076973944904890956e-02,1.339159433558765877e-01
7.000000000000004829e-02,5.994081930140867653e-01,-1.087571409392779076e-02,1.357626502973023896e-01
7.100000000000004918e-02,5.993991406191825355e-01,-1.097715137962346210e-02,1.375697013411213143e-01
7.200000000000005007e-02,5.993905209502908837e-01,-1.107406394965659846e-02,1.393368781076931295e-01
7.300000000000005096e-02,5.993823376105802403e-01,-1.116647003227416723e-02,1.410640325620165225e-01
7.400000000000005185e-02,5.993745930591026783e-01,-1.125439359083885149e-02,1.427510849343067711e-01
7.500000000000005274e-02,5.993672887143548511e-01,-1.133786407825032594e-02,1.443980217929283771e-01
7.600000000000005362e-02,5.993604250967620173e-01,-1.141691626262003600e-02,1.460048941012380697e-01
7.700000000000005451e-02,5.993540013884663953e-01,-1.149159020854889635e-02,1.475718161223555924e-01
7.800000000000005540e-02,5.993480154699081242e-01,-1.156193107726849467e-02,1.490989640525464954e-01
7.900000000000005629e-02,5.993424637925938159e-01,-1.162798896974553964e-02,1.505865730796406843e-01
8.000000000000005718e-02,5.993373418084290138e-01,-1.168981862409651518e-02,1.520349351857855080e-01
8.100000000000005806e-02,5.993326439567328023e-01,-1.174747925337615850e-02,1.534443970278686620e-01
8.200000000000005895e-02,5.993283637212206694e-01,-1.180103436449070342e-02,1.548153577417874516e-01
8.300000000000005984e-02,5.993244936878698859e-01,-1.185055156996867032e-02,1.561482667487396059e-01
