time,x,y,yaw,reward,velocity_x,velocity_y,steady_state,frequency,phase_lag_1,phase_lag_2,phase_lag_3,phase_lag_4,phase_lag_5
2.000000000000001082e-02,5.999769871425580936e-01,-1.962913193725768224e-03,2.302328347453886509e-02,0.000000000000000000e+00,-4.082153230449884693e-03,-1.748409216580791847e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.880728006362915039e-01,6.632223129272460938e-01,6.955485939979553223e-01,7.011405229568481445e-01,5.863985419273376465e-01
4.000000000000002859e-02,5.997841023605796629e-01,-6.048041230816592062e-03,7.484865747739813391e-02,0.000000000000000000e+00,-9.557968975537959461e-03,-1.931049038341896840e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.509683132171630859e-01,6.819748282432556152e-01,7.144594192504882812e-01,8.000000119209289551e-01,5.876610279083251953e-01
6.000000000000004635e-02,5.994360632884199180e-01,-9.735945642523224919e-03,1.294015129990992441e-01,0.000000000000000000e+00,-1.227012158759991506e-02,-1.776536128172738760e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.473665237426757812e-01,6.839461922645568848e-01,7.149415612220764160e-01,8.000000119209289551e-01,5.941247940063476562e-01
8.000000000000005718e-02,5.991420411839063487e-01,-1.172784351554528870e-02,1.701098234630895878e-01,0.000000000000000000e+00,-1.190981041130780016e-02,-1.464107755015654488e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.503611803054809570e-01,6.843879222869873047e-01,7.152901291847229004e-01,8.000000119209289551e-01,5.987187027931213379e-01
1.000000000000000749e-01,5.990058586267753560e-01,-1.199782367486579293e-02,1.938085892285432710e-01,0.000000000000000000e+00,-1.019434418965148303e-02,-1.132610033538512945e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.604955792427062988e-01,6.814200282096862793e-01,7.080070376396179199e-01,7.980382442474365234e-01,6.151026487350463867e-01
1.200000000000000927e-01,5.989754272411743630e-01,-1.123846276020601387e-02,2.065304148842297127e-01,0.000000000000000000e+00,-8.600825991063714912e-03,-8.608357754116006955e-02,0.000000000000000000e+00,1.000000000000000000e+00,6.769081950187683105e-01,6.730218529701232910e-01,6.957969069480895996e-01,7.492488026618957520e-01,6.286624670028686523e-01
1.400000000000000966e-01,5.989476798213803077e-01,-1.021927317789433909e-02,2.164833649681556504e-01,0.000000000000000000e+00,-7.768934995396234097e-03,-6.683172142062433763e-02,0.000000000000000000e+00,1.000000000000000000e+00,6.865212917327880859e-01,6.677196025848388672e-01,6.914188265800476074e-01,7.219932079315185547e-01,6.272981166839599609e-01
1.600000000000001144e-01,5.988470388978788250e-01,-9.346600180936970315e-03,2.287958097440774830e-01,0.000000000000000000e+00,-7.736076179678649280e-03,-5.359348837519817971e-02,0.000000000000000000e+00,1.000000000000000000e+00,6.865537166595458984e-01,6.686248183250427246e-01,6.939166188240051270e-01,7.254313826560974121e-01,6.222575902938842773e-01
1.800000000000001321e-01,5.986458923321592573e-01,-8.582035172515656285e-03,2.438399870098509059e-01,0.000000000000000000e+00,-8.261321672391800514e-03,-4.317665416095447378e-02,0.000000000000000000e+00,1.000000000000000000e+00,6.833567619323730469e-01,6.713706851005554199e-01,6.974172592163085938e-01,7.385607957839965820e-01,6.196419000625610352e-01
2.000000000000001499e-01,5.983601493462109566e-01,-7.617284450595451784e-03,2.585546746583924360e-01,0.000000000000000000e+00,-9.003598957640529185e-03,-3.293211112570838123e-02,0.000000000000000000e+00,1.000000000000000000e+00,6.834385395050048828e-01,6.721231341361999512e-01,6.976034641265869141e-01,7.410258650779724121e-01,6.211836338043212891e-01
