timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,-8.369061833999998612e+01,-8.505769848349999052e+01,-8.240308862199999851e+01,-8.428984919999999192e+01,-8.409197959999998773e+01,-8.173226379999999835e+01,-8.343488120000000663e+01,-8.784094020000000569e+01,-8.218730180000000018e+01,-8.636181060000001253e+01,-8.249789539999999022e+01,-8.434336980000000494e+01,-8.012589180000000511e+01
1.000000000000000000e+04,-7.831759924000002115e+01,-8.069831930000000852e+01,-7.560745242950000033e+01,-8.047963259999998797e+01,-7.751766940000000261e+01,-7.444782580000000394e+01,-8.244476440000001105e+01,-8.201563079999999673e+01,-7.868708339999999168e+01,-7.892738740000000064e+01,-7.548623720000000503e+01,-8.380826260000000616e+01,-6.936149880000000678e+01
1.500000000000000000e+04,-7.296015615999999682e+01,-7.713289414849998593e+01,-6.889703767199998197e+01,-7.380762579999998252e+01,-7.428894879999998579e+01,-6.998246419999999546e+01,-8.106990540000001033e+01,-6.350724279999999311e+01,-7.612683520000000215e+01,-6.823299140000000307e+01,-7.292715439999999205e+01,-8.572471740000000295e+01,-6.393367620000000073e+01
2.000000000000000000e+04,-6.690774134000000117e+01,-7.254069054400000027e+01,-6.110726616350000029e+01,-6.283568860000000456e+01,-7.313894260000000713e+01,-5.424157879999999921e+01,-8.068707320000000038e+01,-5.319144220000000445e+01,-6.980532759999999826e+01,-6.088794000000000040e+01,-7.149694959999999355e+01,-8.001405979999999829e+01,-6.277841099999999130e+01
2.500000000000000000e+04,-6.104282238000000405e+01,-6.718720878050000067e+01,-5.517401012200000565e+01,-5.108004820000000024e+01,-6.985477199999999698e+01,-4.738056179999999529e+01,-7.893755380000000343e+01,-5.083017180000000224e+01,-5.618733819999999923e+01,-5.951681399999999655e+01,-6.407153160000000014e+01,-7.230928500000000270e+01,-6.026014739999999392e+01
3.000000000000000000e+04,-5.452238608000000397e+01,-6.077563817750001363e+01,-4.896819240850000909e+01,-4.847442080000000431e+01,-6.140848340000000150e+01,-4.380802359999999851e+01,-7.542094879999999080e+01,-4.711589980000000111e+01,-4.912322820000000689e+01,-5.135442659999999648e+01,-5.887026799999999582e+01,-6.356349920000000253e+01,-4.608466239999999914e+01
3.500000000000000000e+04,-4.846157995999999457e+01,-5.298468215700000172e+01,-4.411366666750001286e+01,-4.437456519999999927e+01,-5.405034359999999793e+01,-3.946701199999999687e+01,-6.185252640000000213e+01,-5.044655920000000293e+01,-4.512993179999999427e+01,-4.212625580000000269e+01,-4.954275140000000022e+01,-5.732209819999999212e+01,-4.030375599999999991e+01
4.000000000000000000e+04,-4.520991510000000346e+01,-4.835426710449999632e+01,-4.191205366550000377e+01,-4.486448479999999961e+01,-4.843909299999999973e+01,-3.735484319999999059e+01,-4.675027699999999697e+01,-5.219874320000000267e+01,-4.094640080000000637e+01,-4.232996499999999429e+01,-4.867062659999999852e+01,-5.272706379999999626e+01,-3.781765359999999987e+01
4.500000000000000000e+04,-4.292126269999999266e+01,-4.627231029249999494e+01,-3.983925599949999707e+01,-4.098742519999999701e+01,-4.144714119999999724e+01,-3.564812719999999757e+01,-4.292768099999999976e+01,-5.107106699999999933e+01,-3.818144719999999381e+01,-4.083146019999999510e+01,-5.166077419999999165e+01,-4.800984679999999827e+01,-3.844765700000000663e+01
5.000000000000000000e+04,-4.053038422000000196e+01,-4.274427050700000308e+01,-3.829656217499999826e+01,-3.859634679999999918e+01,-4.116688520000000295e+01,-3.438742240000000550e+01,-3.921238319999999788e+01,-4.600522579999999806e+01,-3.566880539999999655e+01,-3.959081899999999621e+01,-4.564907300000000134e+01,-4.353086479999999625e+01,-4.149601660000000436e+01
