time,x,y,yaw
1.000000000000000021e-03,5.999999998140951307e-01,-5.462497052466375180e-06,5.466394509746912476e-05
2.000000000000000042e-03,5.999999963960663818e-01,-2.176209636162163008e-05,2.173961150614589944e-04
3.000000000000000062e-03,5.999999832296663005e-01,-4.865089091576901836e-05,4.865204404899825400e-04
4.000000000000000083e-03,5.999999492071275142e-01,-8.589372675338324825e-05,8.602322985325502967e-04
5.000000000000000104e-03,5.999998795318174372e-01,-1.332456858511021913e-04,1.336605220359237409e-03
6.000000000000000125e-03,5.999997561685557201e-01,-1.904524813399199878e-04,1.913597617674941747e-03
7.000000000000000146e-03,5.999995583023060020e-01,-2.572508636964898621e-04,2.589059513134599807e-03
8.000000000000000167e-03,5.999992627912588139e-01,-3.333690396769561914e-04,3.360739260481181937e-03
9.000000000000001055e-03,5.999988446194025604e-01,-4.185271056239558973e-04,4.226290241797086428e-03
1.000000000000000194e-02,5.999982773334894270e-01,-5.124374961064104284e-04,5.183277529232266541e-03
1.100000000000000283e-02,5.999975334718090636e-01,-6.148054487851162264e-04,6.229184499802312841e-03
1.200000000000000372e-02,5.999965849777522120e-01,-7.253294858249881294e-04,7.361419392526834943e-03
1.300000000000000461e-02,5.999954035962037358e-01,-8.437019118823774200e-04,8.577321797859083219e-03
1.400000000000000550e-02,5.999939612505107434e-01,-9.696093283498852244e-04,9.874169069989911784e-03
1.500000000000000638e-02,5.999922303980463889e-01,-1.102733163223068580e-03,1.124918265318866108e-02
1.600000000000000727e-02,5.999901843626660458e-01,-1.242750215661447832e-03,1.269953431387443529e-02
1.700000000000000816e-02,5.999877976426224446e-01,-1.389333214051713394e-03,1.422235227059861357e-02
1.800000000000000905e-02,5.999850461927697109e-01,-1.542151386145995673e-03,1.581472721456884598e-02
1.900000000000000994e-02,5.999819076801331530e-01,-1.700871039640117210e-03,1.747371821376123013e-02
2.000000000000001082e-02,5.999783617121605683e-01,-1.865156151380331639e-03,1.919635849405263231e-02
2.100000000000001171e-02,5.999743900371747873e-01,-2.034668963226127225e-03,2.097966109114922026e-02
2.200000000000001260e-02,5.999699767167084863e-01,-2.209070582429473184e-03,2.282062436733164196e-02
2.300000000000001349e-02,5.999651082695354187e-01,-2.388021584083188653e-03,2.471623738690724437e-02
2.400000000000001438e-02,5.999597737888404669e-01,-2.571182612341793572e-03,2.666348514280262108e-02
2.500000000000001527e-02,5.999539650328252760e-01,-2.758214979662110267e-03,2.865935363062746197e-02
2.600000000000001615e-02,5.999476764584543709e-01,-2.948781247227028057e-03,3.070083474558751857e-02
2.700000000000001704e-02,5.999409052703437162e-01,-3.142545804988072788e-03,3.278493100149590389e-02
2.800000000000001793e-02,5.999336514408427634e-01,-3.339175436983810030e-03,3.490866012138555546e-02
2.900000000000001882e-02,5.999259177026400325e-01,-3.538339889497088553e-03,3.706905946045534889e-02
3.000000000000001971e-02,5.999177095124478276e-01,-3.739712422111240997e-03,3.926319026367135201e-02
3.100000000000002059e-02,5.999090349982875159e-01,-3.942970345703178392e-03,4.148814175481283645e-02
3.200000000000002148e-02,5.998999048878005391e-01,-4.147795544339971663e-03,4.374103505436355982e-02
3.300000000000002237e-02,5.998903324197442100e-01,-4.353874979296956660e-03,4.601902692452831956e-02
3.400000000000002326e-02,5.998803332406982269e-01,-4.560901173595810487e-03,4.831931334020476282e-02
3.500000000000002415e-02,5.998699252890776767e-01,-4.768572675603988120e-03,5.063913288519619055e-02
