time,x,y,yaw,reward,velocity_x,velocity_y,steady_state,frequency,phase_lag_1,phase_lag_2,phase_lag_3,phase_lag_4,phase_lag_5
2.000000000000001082e-02,5.999769767890741345e-01,-1.963103410030031526e-03,2.303158437342386899e-02,0.000000000000000000e+00,-4.084630031579584118e-03,-1.748634152478765469e-01,0.000000000000000000e+00,1.009925246238708496e+00,6.420441865921020508e-01,6.462662220001220703e-01,6.302857995033264160e-01,6.833446621894836426e-01,6.629562377929687500e-01
4.000000000000002859e-02,5.997837726556535243e-01,-6.048697882886588939e-03,7.491600058842949605e-02,0.000000000000000000e+00,-9.580135678081838982e-03,-1.931160885286611617e-01,0.000000000000000000e+00,1.035239219665527344e+00,7.243264913558959961e-01,6.847472786903381348e-01,7.172852158546447754e-01,6.361039280891418457e-01,6.378517150878906250e-01
6.000000000000004635e-02,5.994336217864828509e-01,-9.734525200818855417e-03,1.296236644211516131e-01,0.000000000000000000e+00,-1.234850885524270588e-02,-1.775717314924493140e-01,0.000000000000000000e+00,1.040697336196899414e+00,7.273336052894592285e-01,6.851201653480529785e-01,7.222152352333068848e-01,6.387900114059448242e-01,6.374847888946533203e-01
8.000000000000005718e-02,5.991336117665531091e-01,-1.171449616325209719e-02,1.705381422203528785e-01,0.000000000000000000e+00,-1.206942740316263758e-02,-1.460986803329777373e-01,0.000000000000000000e+00,1.028629183769226074e+00,7.143267393112182617e-01,6.757442355155944824e-01,7.156454324722290039e-01,6.600891947746276855e-01,6.424263119697570801e-01
1.000000000000000749e-01,5.989881569334906120e-01,-1.195468106530345187e-02,1.943694626221865451e-01,0.000000000000000000e+00,-1.041964385890640880e-02,-1.126161643444545807e-01,0.000000000000000000e+00,1.015343189239501953e+00,6.741273999214172363e-01,6.520932316780090332e-01,6.782051920890808105e-01,6.913510560989379883e-01,6.567001342773437500e-01
1.200000000000000927e-01,5.989488419069485259e-01,-1.114690654587385810e-02,2.070411142444179564e-01,0.000000000000000000e+00,-8.850966159291312821e-03,-8.507405671693675508e-02,0.000000000000000000e+00,1.015986204147338867e+00,6.245049238204956055e-01,6.288357377052307129e-01,6.212855577468872070e-01,7.117234468460083008e-01,6.746792793273925781e-01
1.400000000000000966e-01,5.989156196532703369e-01,-1.006421264180640263e-02,2.167268772898126306e-01,0.000000000000000000e+00,-8.007234486556725692e-03,-6.546868751330926772e-02,0.000000000000000000e+00,1.014334678649902344e+00,6.094800829887390137e-01,6.232540607452392578e-01,6.027356982231140137e-01,7.149515151977539062e-01,6.797348856925964355e-01
1.600000000000001144e-01,5.988137917975632218e-01,-9.117263054064350669e-03,2.285773674148439683e-01,0.000000000000000000e+00,-7.938853782596294248e-03,-5.191363862100018683e-02,0.000000000000000000e+00,1.008859038352966309e+00,6.149855256080627441e-01,6.263468265533447266e-01,6.073263287544250488e-01,7.117396593093872070e-01,6.779667735099792480e-01
1.800000000000001321e-01,5.986154626908258836e-01,-8.272994869860439415e-03,2.430181681811021122e-01,0.000000000000000000e+00,-8.416204256336354966e-03,-4.123628098196094327e-02,0.000000000000000000e+00,1.005391955375671387e+00,6.233801841735839844e-01,6.300082206726074219e-01,6.166154146194458008e-01,7.088999748229980469e-01,6.751302480697631836e-01
2.000000000000001499e-01,5.983356255755454267e-01,-7.228229805364916327e-03,2.570414223679527987e-01,0.000000000000000000e+00,-9.107998855210061584e-03,-3.079018269406312222e-02,0.000000000000000000e+00,1.005826473236083984e+00,6.215085387229919434e-01,6.284911632537841797e-01,6.156629920005798340e-01,7.105213999748229980e-01,6.755687594413757324e-01
2.200000000000001676e-01,5.980211203281217136e-01,-5.646708538125821963e-03,2.666514260949369719e-01,0.000000000000000000e+00,-9.698750863999015467e-03,-1.920859238510170749e-02,0.000000000000000000e+00,1.009197950363159180e+00,6.077249646186828613e-01,6.218563914299011230e-01,6.016831994056701660e-01,7.158241868019104004e-01,6.797596216201782227e-01
2.400000000000001854e-01,5.977316960758575215e-01,-3.328554008474371440e-03,2.688162692744416882e-01,0.000000000000000000e+00,-9.969120706647365340e-03,-6.336525712547854024e-03,0.000000000000000000e+00,1.013866186141967773e+00,5.900474190711975098e-01,6.144646406173706055e-01,5.835568308830261230e-01,7.206740379333496094e-01,6.845272183418273926e-01
2.600000000000001754e-01,5.975168624273812235e-01,-2.594841196588149046e-04,2.621980461141649177e-01,0.000000000000000000e+00,-9.836832732251468009e-03,7.265228714998263164e-03,0.000000000000000000e+00,1.017541646957397461e+00,5.761766433715820312e-01,6.094858646392822266e-01,5.698392987251281738e-01,7.224752306938171387e-01,6.871985197067260742e-01
2.800000000000001932e-01,5.974107828021899547e-01,3.434328542726960976e-03,2.468842760591017649e-01,0.000000000000000000e+00,-9.288876747065766618e-03,2.083681484207313903e-02,0.000000000000000000e+00,1.018907070159912109e+00,5.676522254943847656e-01,6.069862842559814453e-01,5.617704391479492188e-01,7.215637564659118652e-01,6.878420710563659668e-01
3.000000000000002109e-01,5.974370218195341753e-01,7.568919556337871946e-03,2.236746824349157559e-01,0.000000000000000000e+00,-8.339105217213507032e-03,3.375776911073451181e-02,0.000000000000000000e+00,1.018074154853820801e+00,5.629658102989196777e-01,6.059983372688293457e-01,5.573282837867736816e-01,7.190557122230529785e-01,6.873947978019714355e-01
3.200000000000002287e-01,5.976163001930555607e-01,1.196718679385827544e-02,1.934653052260419115e-01,0.000000000000000000e+00,-6.996074107649797626e-03,4.564333462800755636e-02,0.000000000000000000e+00,1.015633583068847656e+00,5.605223178863525391e-01,6.058153510093688965e-01,5.546673536300659180e-01,7.156018018722534180e-01,6.864278912544250488e-01
3.400000000000002465e-01,5.979697521305404884e-01,1.648253658446929837e-02,1.569610020872221623e-01,0.000000000000000000e+00,-5.268445481269098431e-03,5.628444710469320683e-02,0.000000000000000000e+00,1.012001514434814453e+00,5.594352483749389648e-01,6.061392426490783691e-01,5.527957081794738770e-01,7.114500403404235840e-01,6.851795315742492676e-01
3.600000000000002642e-01,5.985173621727211124e-01,2.099088495031109503e-02,1.147047024583473240e-01,0.000000000000000000e+00,-3.169024889988759225e-03,6.556264580600684733e-02,0.000000000000000000e+00,1.007335066795349121e+00,5.594224929809570312e-01,6.069582700729370117e-01,5.513126850128173828e-01,7.067133188247680664e-01,6.837539076805114746e-01
3.800000000000002820e-01,5.992742029005846405e-01,2.537657018034916723e-02,6.726457297590486550e-02,0.000000000000000000e+00,-7.273881626534241859e-04,7.338761183166805924e-02,0.000000000000000000e+00,1.001748681068420410e+00,5.605775713920593262e-01,6.084517240524291992e-01,5.501943230628967285e-01,7.015520930290222168e-01,6.821960210800170898e-01
