timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
5.000000000000000000e+03,2.389062324160000514e+02,2.112529408277000869e+02,2.631574236091000216e+02,5.245924879999999746e+01,5.221134819999999621e+01,5.277467360000000696e+01,5.299159959999999359e+01,5.234494740000000235e+01,5.201599399999999918e+01,5.220856479999999777e+01,5.257609779999999944e+01,5.270044900000000609e+01,5.251798440000000312e+01,2.876831925999999839e+02,2.816426910000000134e+02,2.894200208000000316e+02,2.973610441999999807e+02,2.935623514000000114e+02,2.886147420000000352e+02,2.836008368000000246e+02,2.761285679999999729e+02,2.841455976000000305e+02,2.970927385999999615e+02,2.850618051999999807e+02,2.853165115999999557e+02,2.855445470000000228e+02,2.765179289999999810e+02,2.876218729999999937e+02,2.876897847999999840e+02,2.743488364000000388e+02,2.821877062000000365e+02,2.855914045999999757e+02,2.888714840000000095e+02,2.739656234000000268e+02,2.811929327999999941e+02,2.757387911999999801e+02,2.858597842000000355e+02,2.841107575999999995e+02,3.037819642000000044e+02,2.835520174000000111e+02,2.879087743999999702e+02,2.941197472000000062e+02,2.839605107999999518e+02,2.895461076000000276e+02,2.928970037999999931e+02,2.844183867999999507e+02,2.717035897999999747e+02,2.828951041999999916e+02,2.792717721999999867e+02,2.943604140000000484e+02,2.839708688000000052e+02,2.944948636000000306e+02,2.747580343999999855e+02
1.000000000000000000e+04,2.348534734279999725e+02,2.078646772533000444e+02,2.591246811728998978e+02,5.164327180000000084e+01,5.191402060000000063e+01,5.230932180000000642e+01,5.372921119999999462e+01,5.218410880000000418e+01,5.141689139999999725e+01,5.159972319999999257e+01,5.187245840000000641e+01,5.232944259999999304e+01,5.208898100000000397e+01,2.848894819999999868e+02,2.713246133999999756e+02,2.815411516000000347e+02,2.839288272000000006e+02,2.945477793999999676e+02,2.862072440000000029e+02,2.843025584000000094e+02,2.675183629999999653e+02,2.832041054000000031e+02,2.804898182000000020e+02,2.771106032000000141e+02,2.870474836000000209e+02,2.891245806000000016e+02,2.722699988000000531e+02,2.709100116000000185e+02,2.745935910000000035e+02,2.559585012000000006e+02,2.706767922000000226e+02,2.786362135999999623e+02,2.871831745999999725e+02,2.744622507999999925e+02,2.699408913999999982e+02,2.622664207999999917e+02,2.866573450000000207e+02,2.817597405999999864e+02,3.053007548000000497e+02,2.858602309999999989e+02,2.907565987999999493e+02,2.899283080000000155e+02,2.792454970000000003e+02,2.913965260000000512e+02,2.978477100000000064e+02,2.793107037999999989e+02,2.633560143999999923e+02,2.833397595999999794e+02,2.663452220000000352e+02,2.854735684000000333e+02,2.746700394000000074e+02,2.959202363999999648e+02,2.762835294000000204e+02
1.500000000000000000e+04,2.373105180839999662e+02,2.099947893332999342e+02,2.622920583642999759e+02,5.154113780000000133e+01,5.155857579999999274e+01,5.162297919999999607e+01,5.437503799999999643e+01,5.245881139999998766e+01,5.105243860000000211e+01,5.207936740000000242e+01,5.217415160000000185e+01,5.225919380000000558e+01,5.249357239999999081e+01,2.772117746000000125e+02,2.825849148000000355e+02,2.926933991999999876e+02,2.927241603999999597e+02,2.998537780000000339e+02,2.966683087999999771e+02,2.867720019999999863e+02,2.754512619999999856e+02,2.903018955999999662e+02,2.760833506000000170e+02,2.768876334000000270e+02,2.904523158000000649e+02,2.915238228000000049e+02,2.789672544000000016e+02,2.797952489999999557e+02,2.677089792000000443e+02,2.548249390000000005e+02,2.750924216000000229e+02,2.991803284000000076e+02,2.892667287999999530e+02,2.827505965999999944e+02,2.785758005999999796e+02,2.619073715999999763e+02,3.050179843999999889e+02,2.814265341999999919e+02,3.042845937999999819e+02,2.815175462000000266e+02,3.014926901999999131e+02,2.900902171999999837e+02,2.834321748000000412e+02,2.818736869999999612e+02,3.110283078000000501e+02,2.700219749999999976e+02,2.789601298000000043e+02,2.739906482000000096e+02,2.562563786000000050e+02,2.879130137999999306e+02,2.712695727999999917e+02,2.927248445999999831e+02,2.753320525999999973e+02
2.000000000000000000e+04,2.380553260320000106e+02,2.107602584514000057e+02,2.632919796196999869e+02,5.069320420000000382e+01,5.191135540000000503e+01,5.067392320000000439e+01,5.384931459999999959e+01,5.237690219999999641e+01,5.149738459999999662e+01,5.258495980000000003e+01,5.179868499999999898e+01,5.160539320000000174e+01,5.315129360000000958e+01,2.818886171999999988e+02,2.854831978000000277e+02,2.873803052000000093e+02,3.072296251999999868e+02,3.043776628000000528e+02,2.956531901999999832e+02,2.952302738000000204e+02,2.763719671999999719e+02,2.848857807999999636e+02,2.783287056000000348e+02,2.700777994000000035e+02,2.824962575999999785e+02,2.957652954000000136e+02,2.748886628000000201e+02,2.837134849999999915e+02,2.713128026000000546e+02,2.506035248000000024e+02,2.793094906000000037e+02,2.968811023999999748e+02,3.035594191999999794e+02,2.876334196000000247e+02,2.926503281999999899e+02,2.612857971999999904e+02,3.170989221999999472e+02,2.899617500000000518e+02,3.000512200000000007e+02,2.811237524000000008e+02,3.040322913999999628e+02,3.012666140000000041e+02,2.718116871999999375e+02,2.731857889999999998e+02,3.155313514000000055e+02,2.760852295999999910e+02,2.647331265999999914e+02,2.842635071999999923e+02,2.381343009999999936e+02,2.860530451999999855e+02,2.698232714000000101e+02,2.942126470000000040e+02,2.682486695999999711e+02
2.500000000000000000e+04,2.398840551199999709e+02,2.121784239814000159e+02,2.657400148076000619e+02,4.986107799999999912e+01,5.199127140000000225e+01,5.030914339999999640e+01,5.328921199999999914e+01,5.256756460000000430e+01,5.147835719999999071e+01,5.239640060000000688e+01,5.089311699999999661e+01,5.060275880000000370e+01,5.349202580000000040e+01,2.966812833999999839e+02,2.952927262000000042e+02,2.775474351999999953e+02,3.145915367999999717e+02,2.959231187999999975e+02,2.941391292000000135e+02,3.128784604000000513e+02,2.701303427999999940e+02,2.775944177999999738e+02,2.852624762000000374e+02,2.658657144000000017e+02,2.775717379999999821e+02,2.986918271999999774e+02,2.638254412000000002e+02,2.931732925999999679e+02,2.552095917999999983e+02,2.574291145999999344e+02,2.832611299999999801e+02,2.990155626000000098e+02,3.116279741999999828e+02,2.811596849999999677e+02,3.093770094000000199e+02,2.628012679999999932e+02,3.239828528000000460e+02,2.914422029999999495e+02,3.024563201999999933e+02,2.750920406000000185e+02,3.119867960000000267e+02,3.128954534000000081e+02,2.806998697999999877e+02,2.745176205999999866e+02,3.075905498000000193e+02,2.824657605999999532e+02,2.657732175999999527e+02,2.940715188000000353e+02,2.252169985999999824e+02,2.937207758000000126e+02,2.742035136000000648e+02,3.013638111999999865e+02,2.807922490000000266e+02
3.000000000000000000e+04,2.414627493960000777e+02,2.134685189118000324e+02,2.675000682332000110e+02,4.921772439999999449e+01,5.148749579999999781e+01,4.999072840000000184e+01,5.309504140000001371e+01,5.273021500000000117e+01,5.197474500000000575e+01,5.232038179999999272e+01,5.061862639999999658e+01,5.021330279999999391e+01,5.297266340000000184e+01,3.090757303999999976e+02,3.080040526000000227e+02,2.728225854000000368e+02,3.137533669999999688e+02,2.896983269999999493e+02,2.922940013999999564e+02,3.225123856000000160e+02,2.729088505999999938e+02,2.858731412000000205e+02,2.937204138000000171e+02,2.712695247999999992e+02,2.754921413999999800e+02,3.078785848000000556e+02,2.603551027999999974e+02,3.060347170000000574e+02,2.429778345999999942e+02,2.735450508000000127e+02,2.940715255999999727e+02,2.814781735999999910e+02,3.185606538000000114e+02,2.729305677999999489e+02,3.113304066000000034e+02,2.644532533999999941e+02,3.275432730000000561e+02,2.961459530000000200e+02,2.954405831999999918e+02,2.784672309999999698e+02,3.215384674000000018e+02,3.129328719999999748e+02,2.818322942000000353e+02,2.858976883999999927e+02,3.066997489999999971e+02,2.743885178000000451e+02,2.562065258000000654e+02,3.008068134000000100e+02,2.233412735999999654e+02,2.958784094000000096e+02,2.637629421999999977e+02,3.083431867999999554e+02,2.882503732000000127e+02
3.500000000000000000e+04,2.408173391239999148e+02,2.128924377484999582e+02,2.667270804087999068e+02,4.917263359999999750e+01,5.149413080000000775e+01,4.985700960000000492e+01,5.265129819999999938e+01,5.286733100000000007e+01,5.150977440000000485e+01,5.172943760000000424e+01,5.044933439999999791e+01,4.970415200000000056e+01,5.269877079999999836e+01,3.237800394000000210e+02,3.008412984000000279e+02,2.679008039999999937e+02,3.210613827999999899e+02,2.983806445999999823e+02,2.801069120000000225e+02,3.037334105999999565e+02,2.662916507999999567e+02,2.956083583999999860e+02,2.947284201999999596e+02,2.625558775999999739e+02,2.814152589999999918e+02,3.058151765999999725e+02,2.637425594000000046e+02,3.046204813999999601e+02,2.494441496000000029e+02,2.845663601999999628e+02,3.049293470000000070e+02,2.627149593999999979e+02,3.095739725999999905e+02,2.893735513999999966e+02,3.049181290000000217e+02,2.686903194000000212e+02,3.107776729999999930e+02,2.970833301999999776e+02,2.886470184000000359e+02,2.757940937999999846e+02,3.239820807999999488e+02,3.126234083999999598e+02,2.952330101999999670e+02,2.863314985999999749e+02,2.959626919999999473e+02,2.685894231999999420e+02,2.567195619999999963e+02,2.902250461999999516e+02,2.167962551999999903e+02,3.017267502000000263e+02,2.536932224000000247e+02,3.075803799999999910e+02,3.021745753999999806e+02
4.000000000000000000e+04,2.437915637800000752e+02,2.152586796355000160e+02,2.704210451496000474e+02,4.940548079999999942e+01,5.158790480000000400e+01,4.920589199999999153e+01,5.180339239999999279e+01,5.292271899999999363e+01,5.108493880000000331e+01,5.168249439999999595e+01,5.027706819999999510e+01,4.978969420000000667e+01,5.164597720000000436e+01,3.394930172000000539e+02,3.168658351999999923e+02,2.679472463999999832e+02,3.262446215999999595e+02,2.937398105999999416e+02,2.917796549999999911e+02,2.999845248000000311e+02,2.631443120000000135e+02,2.978632807999999272e+02,3.127958214000000225e+02,2.591960606000000666e+02,2.982051319999999350e+02,3.044648342000000412e+02,2.585447546000000330e+02,3.166404370000000199e+02,2.549487579999999980e+02,2.951155994000000078e+02,3.032719929999999522e+02,2.628660371999999938e+02,3.051677642000000219e+02,2.821251104000000396e+02,3.071002617999999984e+02,2.739779913999999508e+02,3.163970190000000002e+02,2.979309150000000272e+02,2.840724767999999472e+02,2.733597063999999932e+02,3.291110974000000056e+02,3.325743942000000288e+02,3.037052186000000233e+02,2.911536485999999968e+02,3.011121913999999720e+02,2.897869156000000430e+02,2.375286153999999783e+02,2.857752847999999517e+02,2.203732699999999909e+02,3.052224336000000449e+02,2.576568912000000182e+02,3.302769285999999624e+02,2.926527617999999507e+02
4.500000000000000000e+04,2.471577030960000343e+02,2.180939957377999576e+02,2.742745543767999266e+02,4.974665960000000808e+01,5.148138380000000325e+01,4.918029540000000566e+01,5.129660319999999274e+01,5.311571759999999642e+01,5.100715540000000203e+01,5.057320259999999479e+01,4.986705460000000301e+01,4.968911140000000159e+01,5.105363140000000044e+01,3.469969474000000105e+02,3.390997697999999900e+02,2.777752227999999945e+02,3.217457936000000132e+02,3.078529433999999583e+02,2.863445184000000268e+02,2.930724013999999897e+02,2.717935956000000033e+02,2.962810008000000153e+02,3.195691952000000242e+02,2.516958583999999917e+02,2.998183745999999701e+02,2.989425454000000286e+02,2.589740161999999941e+02,3.144064098000000058e+02,2.471305902000000003e+02,2.929729647999999997e+02,3.030366836000000035e+02,2.691388052000000357e+02,2.950466322000000332e+02,2.956930578000000196e+02,3.132595819999999662e+02,2.839879904000000579e+02,3.132497045999999727e+02,3.051969301999999971e+02,2.857849852000000510e+02,2.695977698000000373e+02,3.335444175999999743e+02,3.386140392000000361e+02,2.989586250000000405e+02,3.074209101999999803e+02,3.084973816000000397e+02,2.996601407999999651e+02,2.579294871999999827e+02,2.845940615999999750e+02,2.222672668000000158e+02,3.094639675999999895e+02,2.685585833999999750e+02,3.517808919999999375e+02,3.111202779999999848e+02
5.000000000000000000e+04,2.500537673600000517e+02,2.202187512904000073e+02,2.776589802742000188e+02,4.987637299999999385e+01,5.128279919999999947e+01,4.949829319999999910e+01,5.109565420000000557e+01,5.329557700000000153e+01,5.068454219999999566e+01,4.974548919999999441e+01,4.975125899999999746e+01,4.915191380000000265e+01,4.997074680000000058e+01,3.374277827999999886e+02,3.479897529999999506e+02,2.743135255999999913e+02,3.204798790000000395e+02,3.189389196000000197e+02,2.763098630000000071e+02,3.204423218000000020e+02,2.688133724000000484e+02,2.934748652000000106e+02,3.206740353999999797e+02,2.497052153999999859e+02,3.061205956000000015e+02,2.964907028000000082e+02,2.617380670000000009e+02,3.177063774000000080e+02,2.616672820000000002e+02,2.921162497999999914e+02,2.958594309999999723e+02,2.718400379999999927e+02,2.852474100000000590e+02,3.058580817999999226e+02,3.051546013999999332e+02,2.994339982000000191e+02,3.147275753999999779e+02,3.112936832000000322e+02,3.004325089999999818e+02,2.644263255999999842e+02,3.425421615999999858e+02,3.507014737999999738e+02,3.036505940000000123e+02,3.168084073999999646e+02,2.976576623999999924e+02,2.865374805999999808e+02,2.781576489999999922e+02,2.773978705999999761e+02,2.460253168000000130e+02,3.036136200000000258e+02,2.667578522000000021e+02,3.486669499999999857e+02,3.611362206000000015e+02
