time,x,y,yaw
1.000000000000000021e-03,5.999999998957310510e-01,-4.199649666747351517e-06,4.353987324676839124e-05
2.000000000000000042e-03,5.999999979445507226e-01,-1.673194209206307903e-05,1.731856532186931013e-04
3.000000000000000062e-03,5.999999904181776422e-01,-3.740815232017302705e-05,3.876573884105460411e-04
4.000000000000000083e-03,5.999999709469149289e-01,-6.604828226414172221e-05,6.855725815244423848e-04
5.000000000000000104e-03,5.999999310265775598e-01,-1.024640414556965418e-04,1.065451296142509632e-03
6.000000000000000125e-03,5.999998602683609406e-01,-1.464592444182510889e-04,1.525721279701538254e-03
7.000000000000000146e-03,5.999997466479650710e-01,-1.978302155977162968e-04,2.064723092311507475e-03
8.000000000000000167e-03,5.999995767545118763e-01,-2.563662021641821553e-04,2.680715231599403899e-03
9.000000000000001055e-03,5.999993360379517471e-01,-3.218497948749288184e-04,3.371879244243574953e-03
1.000000000000000194e-02,5.999990090595016534e-01,-3.940573571997174618e-04,4.136324814462059678e-03
1.100000000000000283e-02,5.999985797320951386e-01,-4.727594622740416419e-04,4.972094822204874316e-03
1.200000000000000372e-02,5.999980315509313433e-01,-5.577213373875178348e-04,5.877170363151637371e-03
1.300000000000000461e-02,5.999973478158612261e-01,-6.487033155506138904e-04,6.849475722655878548e-03
1.400000000000000550e-02,5.999965118448539192e-01,-7.454612935496318649e-04,7.886883296831907059e-03
1.500000000000000638e-02,5.999955071758719116e-01,-8.477471954729809411e-04,8.987218453812922947e-03
1.600000000000000727e-02,5.999943177544602158e-01,-9.553094383107363363e-04,1.014826432375683443e-02
1.700000000000000816e-02,5.999929281107290180e-01,-1.067893399629815665e-03,1.136776650935863824e-02
1.800000000000000905e-02,5.999913235213303331e-01,-1.185241887403265526e-03,1.264343772296392873e-02
1.900000000000000994e-02,5.999894901582529805e-01,-1.307095613199860118e-03,1.397296234387833576e-02
2.000000000000001082e-02,5.999874152217926637e-01,-1.433193665832832586e-03,1.535400088867009023e-02
2.100000000000001171e-02,5.999850870585232698e-01,-1.563273983979873716e-03,1.678419438974939129e-02
2.200000000000001260e-02,5.999824952639702946e-01,-1.697073826601835922e-03,1.826116867798727519e-02
2.300000000000001349e-02,5.999796307699734044e-01,-1.834330239899317760e-03,1.978253856541363834e-02
2.400000000000001438e-02,5.999764859168577047e-01,-1.974780519533203549e-03,2.134591192429193332e-02
2.500000000000001527e-02,5.999730545106554125e-01,-2.118162666838174779e-03,2.294889365912011064e-02
2.600000000000001615e-02,5.999693318657445262e-01,-2.264215837775140905e-03,2.458908956835691509e-02
2.700000000000001704e-02,5.999653148333794483e-01,-2.412680783393017503e-03,2.626411009292134446e-02
2.800000000000001793e-02,5.999610018166968706e-01,-2.563300280606806147e-03,2.797157394876233910e-02
2.900000000000001882e-02,5.999563927728788215e-01,-2.715819552142506588e-03,2.970911164104646229e-02
3.000000000000001971e-02,5.999514892032374869e-01,-2.869986674553182127e-03,3.147436885776383475e-02
3.100000000000002059e-02,5.999462941320643505e-01,-3.025552973268230694e-03,3.326500974080714990e-02
3.200000000000002148e-02,5.999408120751492657e-01,-3.182273403706248338e-03,3.507872003283497853e-02
3.300000000000002237e-02,5.999350489990180613e-01,-3.339906913636059294e-03,3.691321010646749640e-02
3.400000000000002326e-02,5.999290122719223017e-01,-3.498216785717933597e-03,3.876621788747013075e-02
3.500000000000002415e-02,5.999227106074628280e-01,-3.656970964833361482e-03,4.063551163757623402e-02
3.600000000000002504e-02,5.999161540017673433e-01,-3.815942373255720721e-03,4.251889259779834812e-02
3.700000000000002592e-02,5.999093535983099912e-01,-3.974909215594568668e-03,4.441419751277145972e-02
3.800000000000002681e-02,5.999023215845219470e-01,-4.133655261451874008e-03,4.631930103197121062e-02
3.900000000000002770e-02,5.998950710812374076e-01,-4.291970110052278908e-03,4.823211795297715349e-02
4.000000000000002859e-02,5.998876161126605044e-01,-4.449649428230229020e-03,5.015060534556157329e-02
4.100000000000002948e-02,5.998799714966918106e-01,-4.606495176895319954e-03,5.207276455052059494e-02
4.200000000000003036e-02,5.998721527438447554e-01,-4.762315817965545595e-03,5.399664304724827862e-02
4.300000000000003125e-02,5.998641759544388607e-01,-4.916926503080953914e-03,5.592033618365507830e-02
4.400000000000003214e-02,5.998560577149266715e-01,-5.070149242815735757e-03,5.784198878567337054e-02
4.500000000000003303e-02,5.998478149941527393e-01,-5.221813055893032018e-03,5.975979664823905663e-02
4.600000000000003392e-02,5.998394650402752992e-01,-5.371754099045999986e-03,6.167200790287530321e-02
4.700000000000003481e-02,5.998310252790362007e-01,-5.519815778124048666e-03,6.357692426329765445e-02
4.800000000000003569e-02,5.998225132140297955e-01,-5.665848840575526957e-03,6.547290215069714869e-02
4.900000000000003658e-02,5.998139463295613094e-01,-5.809711449605348133e-03,6.735835370049204907e-02
5.000000000000003747e-02,5.998053419966277167e-01,-5.951269240358936230e-03,6.923174765246728479e-02
5.100000000000003836e-02,5.997967173845578648e-01,-6.090395361927569695e-03,7.109161011886412640e-02
5.200000000000003925e-02,5.997880895018892211e-01,-6.226970728487712936e-03,7.293652463344682535e-02
5.300000000000004013e-02,5.997794749895672961e-01,-6.360883840964726144e-03,7.476513288592899487e-02
5.400000000000004102e-02,5.997708900182512348e-01,-6.492030740188170501e-03,7.657613588547937389e-02
5.500000000000004191e-02,5.997623501447059136e-01,-6.620314836898455457e-03,7.836829429941626068e-02
5.600000000000004280e-02,5.997538702833453694e-01,-6.745646910621794223e-03,8.014042867857545938e-02
5.700000000000004369e-02,5.997454646569684300e-01,-6.867945059683799869e-03,8.189141957289049201e-02
5.800000000000004458e-02,5.997371467480220320e-01,-6.987134639915792977e-03,8.362020754156780644e-02
5.900000000000004546e-02,5.997289291645329090e-01,-7.103148106567813702e-03,8.532579308282492447e-02
6.000000000000004635e-02,5.997208235225837125e-01,-7.215924410896468189e-03,8.700723737676374636e-02
6.100000000000004724e-02,5.997128405591320988e-01,-7.325408573105096632e-03,8.866366382169356408e-02
6.200000000000004813e-02,5.997049905323150742e-01,-7.431551362657828896e-03,9.029425821599515456e-02
6.300000000000004208e-02,5.996972833313813922e-01,-7.534309340482603368e-03,9.189826814370954944e-02
6.400000000000004297e-02,5.996897283106910059e-01,-7.633644827127583632e-03,9.347500201707326095e-02
6.500000000000004385e-02,5.996823340027668259e-01,-7.729525858843733221e-03,9.502382841824173754e-02
6.600000000000004474e-02,5.996751080646074428e-01,-7.821926034294934826e-03,9.654417542415782982e-02
6.700000000000004563e-02,5.996680573802740666e-01,-7.910824385560621952e-03,9.803552980721287613e-02
6.800000000000004652e-02,5.996611879111513055e-01,-7.996205262580213802e-03,9.949743622293590051e-02
6.900000000000004741e-02,5.996545045641423766e-01,-8.078058144944999519e-03,1.009294958610428283e-01
7.000000000000004829e-02,5.996480112458020262e-01,-8.156377506091994078e-03,1.023313651784348716e-01
7.100000000000004918e-02,5.996417111734800853e-01,-8.231162683661807922e-03,1.037027549666070803e-01
7.200000000000005007e-02,5.996356068507420201e-01,-8.302417767365288803e-03,1.050434292059336250e-01
7.300000000000005096e-02,5.996297000607364591e-01,-8.370151455049212874e-03,1.063532038677085234e-01
7.400000000000005185e-02,5.996239919946436681e-01,-8.434376801569887228e-03,1.076319459350069674e-01
7.500000000000005274e-02,5.996184833238149547e-01,-8.495111082720108175e-03,1.088795724189811076e-01
7.600000000000005362e-02,5.996131742780070883e-01,-8.552375647909282730e-03,1.100960486506779301e-01
7.700000000000005451e-02,5.996080646228644229e-01,-8.606195911477210192e-03,1.112813868409817109e-01
7.800000000000005540e-02,5.996031534370078742e-01,-8.656601226608162669e-03,1.124356449065119223e-01
7.900000000000005629e-02,5.995984391504982636e-01,-8.703624738879089939e-03,1.135589251630615693e-01
8.000000000000005718e-02,5.995939195020475454e-01,-8.747303250525806373e-03,1.146513725516316862e-01
8.100000000000005806e-02,5.995895917818817589e-01,-8.787677047088715554e-03,1.157131730961194482e-01
8.200000000000005895e-02,5.995854528234041414e-01,-8.824789751953998618e-03,1.167445523884258485e-01
8.300000000000005984e-02,5.995814990353895979e-01,-8.858688172112161308e-03,1.177457740509546130e-01
8.400000000000006073e-02,5.995777264340204082e-01,-8.889422142284053585e-03,1.187171381791261721e-01
8.500000000000006162e-02,5.995741306746311672e-01,-8.917044367242776826e-03,1.196589797665288113e-01
8.600000000000006251e-02,5.995707070830125218e-01,-8.941610262555688138e-03,1.205716671153000547e-01
8.700000000000006339e-02,5.995674506861348174e-01,-8.963177793974930196e-03,1.214556002342779828e-01
8.800000000000006428e-02,5.995643561330404880e-01,-8.981807296387311901e-03,1.223112090800135415e-01
8.900000000000006517e-02,5.995614176902860359e-01,-8.997561301975431913e-03,1.231389515019030295e-01
9.000000000000006606e-02,5.995586293564419966e-01,-9.010504390933760099e-03,1.239393122273904774e-01
9.100000000000006695e-02,5.995559851423717390e-01,-9.020703072491642605e-03,1.247128014581628808e-01
9.200000000000006783e-02,5.995534790212321274e-01,-9.028225611241003090e-03,1.254599531952921287e-01
9.300000000000006872e-02,5.995511049078825483e-01,-9.033141857421655985e-03,1.261813235741033878e-01
9.400000000000006961e-02,5.995488566544452391e-01,-9.035523080168195165e-03,1.268774892094436391e-01
9.500000000000007050e-02,5.995467280499889862e-01,-9.035441802615118423e-03,1.275490455506714804e-01
9.600000000000007139e-02,5.995447128331063968e-01,-9.032971638352316202e-03,1.281966052488942298e-01
9.700000000000007228e-02,5.995428047176707409e-01,-9.028187130486531320e-03,1.288207965398045218e-01
9.800000000000007316e-02,5.995409974438190570e-01,-9.021163595800296697e-03,1.294222616690099692e-01
9.900000000000007405e-02,5.995392847250481383e-01,-9.011976966654622334e-03,1.300016554129591884e-01
1.000000000000000749e-01,5.995376601043407305e-01,-9.000703613482485821e-03,1.305596433519526089e-01
1.010000000000000758e-01,5.995361170464268419e-01,-8.987420194690676212e-03,1.310969001047493920e-01
1.020000000000000767e-01,5.995346490859230215e-01,-8.972203514574506045e-03,1.316141079590285867e-01
