time,x,y,yaw,reward,velocity_x,velocity_y,steady_state,frequency,phase_lag_1,phase_lag_2,phase_lag_3,phase_lag_4,phase_lag_5
2.000000000000001082e-02,5.999869014871339612e-01,-1.474921443161358869e-03,1.733692608341285205e-02,0.000000000000000000e+00,-2.335650680121949957e-03,-1.315311640556418304e-01,0.000000000000000000e+00,1.137097954750061035e+00,6.742556691169738770e-01,6.192736625671386719e-01,6.524937152862548828e-01,6.795874834060668945e-01,6.487234830856323242e-01
4.000000000000002859e-02,5.998740511199891490e-01,-4.555948871500514752e-03,5.648199683637330354e-02,0.000000000000000000e+00,-5.650111320851807992e-03,-1.456987575421277437e-01,0.000000000000000000e+00,1.109165906906127930e+00,6.180154085159301758e-01,7.222345471382141113e-01,7.423903942108154297e-01,6.100899577140808105e-01,7.032078504562377930e-01
6.000000000000004635e-02,5.996585966554177638e-01,-7.353570481265836456e-03,9.768840275803515605e-02,0.000000000000000000e+00,-7.584091584984434427e-03,-1.343335471433103889e-01,0.000000000000000000e+00,1.106217741966247559e+00,6.103541254997253418e-01,7.206678390502929688e-01,7.419578433036804199e-01,6.059774756431579590e-01,7.194303274154663086e-01
8.000000000000005718e-02,5.994539995853870318e-01,-8.864800599303113149e-03,1.281918887816256569e-01,0.000000000000000000e+00,-7.797867270253455024e-03,-1.106191371562321168e-01,0.000000000000000000e+00,1.117139697074890137e+00,6.202536225318908691e-01,6.843037605285644531e-01,7.194684147834777832e-01,6.235015392303466797e-01,7.291514277458190918e-01
1.000000000000000749e-01,5.993261139633682122e-01,-9.041370114925784129e-03,1.453112164809556572e-01,0.000000000000000000e+00,-7.153526811451401193e-03,-8.505265715799663340e-02,0.000000000000000000e+00,1.139198780059814453e+00,6.525404453277587891e-01,6.102851629257202148e-01,6.591929197311401367e-01,6.664268374443054199e-01,7.156872749328613281e-01
1.200000000000000927e-01,5.992546852664599744e-01,-8.383279724743564199e-03,1.533513742900866894e-01,0.000000000000000000e+00,-6.467513249217632897e-03,-6.360479903504964727e-02,0.000000000000000000e+00,1.151742458343505859e+00,6.804101467132568359e-01,5.603433847427368164e-01,6.128893494606018066e-01,7.025254964828491211e-01,6.886900663375854492e-01
1.400000000000000966e-01,5.991876266863876976e-01,-7.452029893849743125e-03,1.583058207409871188e-01,0.000000000000000000e+00,-6.114268977132565792e-03,-4.780775839399214328e-02,0.000000000000000000e+00,1.154558658599853516e+00,6.910316348075866699e-01,5.487578511238098145e-01,6.005244255065917969e-01,7.143301367759704590e-01,6.722800135612487793e-01
1.600000000000001144e-01,5.990865087715199211e-01,-6.544540615207816714e-03,1.638812967239681173e-01,0.000000000000000000e+00,-6.125262559211913996e-03,-3.631548958836419011e-02,0.000000000000000000e+00,1.155278205871582031e+00,6.930425167083740234e-01,5.509023070335388184e-01,6.020607352256774902e-01,7.146888971328735352e-01,6.677637100219726562e-01
1.800000000000001321e-01,5.989404492818456438e-01,-5.632387409407857426e-03,1.702286052217751589e-01,0.000000000000000000e+00,-6.363956964132462708e-03,-2.682553800909668121e-02,0.000000000000000000e+00,1.155721306800842285e+00,6.929627060890197754e-01,5.529369711875915527e-01,6.045312881469726562e-01,7.135359644889831543e-01,6.687087416648864746e-01
2.000000000000001499e-01,5.987640001882841290e-01,-4.492298767199198739e-03,1.749355789242109660e-01,0.000000000000000000e+00,-6.636820948896046679e-03,-1.744405169455839899e-02,0.000000000000000000e+00,1.156600832939147949e+00,6.956338286399841309e-01,5.477327704429626465e-01,6.002439260482788086e-01,7.171627283096313477e-01,6.673771142959594727e-01
