time,x,y,yaw
1.000000000000000021e-03,5.999999997800468110e-01,-5.426137380193374327e-06,5.160674465209878591e-05
2.000000000000000042e-03,5.999999958797478383e-01,-2.159285761232920819e-05,2.045812712472593119e-04
3.000000000000000062e-03,5.999999808341142105e-01,-4.820493873813891383e-05,4.560483717349040570e-04
4.000000000000000083e-03,5.999999418907133730e-01,-8.498160687647748901e-05,8.030285851125390506e-04
5.000000000000000104e-03,5.999998619979778347e-01,-1.316339848638770071e-04,1.242445572671577918e-03
6.000000000000000125e-03,5.999997202983216038e-01,-1.878656242488285777e-04,1.771133491889711944e-03
7.000000000000000146e-03,5.999994926270604267e-01,-2.533730254293820039e-04,2.385844355852524343e-03
8.000000000000000167e-03,5.999991520154622782e-01,-3.278461480765160196e-04,3.083255367547456036e-03
9.000000000000001055e-03,5.999986691946486150e-01,-4.109689138762639971e-04,3.859976217057701012e-03
1.000000000000000194e-02,5.999980130936002354e-01,-5.024197035354838192e-04,4.712556329958565368e-03
1.100000000000000283e-02,5.999971513278823387e-01,-6.018718497360908692e-04,5.637492055653822720e-03
1.200000000000000372e-02,5.999960506756518708e-01,-7.089941275381095309e-04,6.631233784461702460e-03
1.300000000000000461e-02,5.999946775367566154e-01,-8.234512434955321147e-04,7.690192982411494377e-03
1.400000000000000550e-02,5.999929983682885659e-01,-9.449043244562638222e-04,8.810749132737631314e-03
1.500000000000000638e-02,5.999909801020093525e-01,-1.073011406990398431e-03,9.989256573665537126e-03
1.600000000000000727e-02,5.999885905370724304e-01,-1.207427927956084002e-03,1.122205122212225313e-02
1.700000000000000816e-02,5.999857987077343857e-01,-1.347807216596830227e-03,1.250545717306696288e-02
1.800000000000000905e-02,5.999825752210550256e-01,-1.493800988236593241e-03,1.383579316468733916e-02
1.900000000000000994e-02,5.999788925654687688e-01,-1.645059839525120360e-03,1.520937889999214067e-02
2.000000000000001082e-02,5.999747253888618737e-01,-1.801233744943786519e-03,1.662254121572723925e-02
2.100000000000001171e-02,5.999700507454588383e-01,-1.961972554102575650e-03,1.807162008998514785e-02
2.200000000000001260e-02,5.999648483111243991e-01,-2.126926489189773228e-03,1.955297448036688243e-02
2.300000000000001349e-02,5.999591005669714372e-01,-2.295746641782447917e-03,2.106298798508749945e-02
2.400000000000001438e-02,5.999527929514361091e-01,-2.468085468092351409e-03,2.259807431998937105e-02
2.500000000000001527e-02,5.999459139812260977e-01,-2.643597281607013016e-03,2.415468260503519232e-02
2.600000000000001615e-02,5.999384553417798083e-01,-2.821938741990381860e-03,2.572930245448944858e-02
2.700000000000001704e-02,5.999304119480781683e-01,-3.002769339028654727e-03,2.731846886565545210e-02
2.800000000000001793e-02,5.999217819768359883e-01,-3.185751870354247561e-03,2.891876690170707212e-02
2.900000000000001882e-02,5.999125668712644854e-01,-3.370552911637070270e-03,3.052683616483173670e-02
3.000000000000001971e-02,5.999027713197372380e-01,-3.556843277916110768e-03,3.213937505657592231e-02
3.100000000000002059e-02,5.998924032098129633e-01,-3.744298474738450011e-03,3.375314482294831248e-02
3.200000000000002148e-02,5.998814735591729841e-01,-3.932599137787207155e-03,3.536497338248177635e-02
3.300000000000002237e-02,5.998699964251134054e-01,-4.121431459707003420e-03,3.697175893607700797e-02
3.400000000000002326e-02,5.998579887943024103e-01,-4.310487602878332325e-03,3.857047335804251326e-02
3.500000000000002415e-02,5.998454704545674865e-01,-4.499466096944571003e-03,4.015816536830368877e-02
3.600000000000002504e-02,5.998324638505212469e-01,-4.688072219963923537e-03,4.173196348627498942e-02
3.700000000000002592e-02,5.998189939248711466e-01,-4.876018362129752592e-03,4.328907876737232013e-02
3.800000000000002681e-02,5.998050879472922592e-01,-5.063024371089519526e-03,4.482680732358808318e-02
3.900000000000002770e-02,5.997907753327804681e-01,-5.248817877979761182e-03,4.634253262996018696e-02
4.000000000000002859e-02,5.997760874514580509e-01,-5.433134603392619777e-03,4.783372761914204269e-02
4.100000000000002948e-02,5.997610574319002241e-01,-5.615718642587752552e-03,4.929795656662575021e-02
4.200000000000003036e-02,5.997457199602256317e-01,-5.796322729367975324e-03,5.073287676948508990e-02
4.300000000000003125e-02,5.997301110775604682e-01,-5.974708478143575530e-03,5.213624002177489475e-02
4.400000000000003214e-02,5.997142679792609732e-01,-6.150646603824083680e-03,5.350589388990122791e-02
4.500000000000003303e-02,5.996982288210720435e-01,-6.323917119300359602e-03,5.483978279122889848e-02
4.600000000000003392e-02,5.996820325418615871e-01,-6.494309510438112110e-03,5.613594887862727312e-02
4.700000000000003481e-02,5.996657187245395537e-01,-6.661622888739893167e-03,5.739253273229148744e-02
4.800000000000003569e-02,5.996493272450367229e-01,-6.825666178640998893e-03,5.860777082442121533e-02
4.900000000000003658e-02,5.996328988961469042e-01,-6.986258152585300696e-03,5.977999810691045357e-02
5.000000000000003747e-02,5.996164755561772530e-01,-7.143227505633231722e-03,6.090765290865012699e-02
5.100000000000003836e-02,5.996000967200656451e-01,-7.296412818279307544e-03,6.198927817242305682e-02
5.200000000000003925e-02,5.995838000643705090e-01,-7.445662707084632626e-03,6.302351740051358175e-02
5.300000000000004013e-02,5.995676213395071397e-01,-7.590835905155302044e-03,6.400910752275569549e-02
5.400000000000004102e-02,5.995515971115100706e-01,-7.731801256179060555e-03,6.494488167058458383e-02
5.500000000000004191e-02,5.995357634328741803e-01,-7.868437653019033640e-03,6.582977406288244293e-02
5.600000000000004280e-02,5.995201553066153988e-01,-8.000633947895963161e-03,6.666281670680673788e-02
5.700000000000004369e-02,5.995048064277922473e-01,-8.128288948943962478e-03,6.744313808251817255e-02
5.800000000000004458e-02,5.994897489833673765e-01,-8.251311330042254699e-03,6.816996207600990731e-02
5.900000000000004546e-02,5.994750134672044428e-01,-8.369619533748984264e-03,6.884260671081864069e-02
6.000000000000004635e-02,5.994606285211848684e-01,-8.483141658056636558e-03,6.946048271168576982e-02
6.100000000000004724e-02,5.994466208013378150e-01,-8.591815327492646759e-03,7.002309192633865420e-02
6.200000000000004813e-02,5.994330148676705328e-01,-8.695587549093664048e-03,7.053002562806832965e-02
6.300000000000004208e-02,5.994198330967583921e-01,-8.794414554245344462e-03,7.098096271792891931e-02
6.400000000000004297e-02,5.994070956131077876e-01,-8.888261632636340615e-03,7.137566784323531865e-02
6.500000000000004385e-02,5.993948202787857671e-01,-8.977103032357658385e-03,7.171398948096682768e-02
6.600000000000004474e-02,5.993830226210791201e-01,-9.060921864336768383e-03,7.199585798476502985e-02
6.700000000000004563e-02,5.993717158077366269e-01,-9.139709978296106652e-03,7.222128351098514032e-02
6.800000000000004652e-02,5.993609106101457362e-01,-9.213467741191472271e-03,7.239035386299533248e-02
6.900000000000004741e-02,5.993506152605467818e-01,-9.282203783663955932e-03,7.250323217134799214e-02
7.000000000000004829e-02,5.993408354119451609e-01,-9.345934747166106948e-03,7.256015428728362915e-02
7.100000000000004918e-02,5.993315744060332406e-01,-9.404685066119855552e-03,7.256142703769230540e-02
7.200000000000005007e-02,5.993228336139254653e-01,-9.458486712923042106e-03,7.250742642690614914e-02
7.300000000000005096e-02,5.993146122816151999e-01,-9.507378839137325954e-03,7.239859613513877079e-02
7.400000000000005185e-02,5.993069074481520708e-01,-9.551407405386624916e-03,7.223544533666202694e-02
7.500000000000005274e-02,5.992997140395314171e-01,-9.590624899373401124e-03,7.201854604850398134e-02
7.600000000000005362e-02,5.992930247058536608e-01,-9.625090054562301933e-03,7.174853027544586537e-02
7.700000000000005451e-02,5.992868300394738057e-01,-9.654867572712499957e-03,7.142608652252881163e-02
7.800000000000005540e-02,5.992811187211846136e-01,-9.680027911842192800e-03,7.105195670722608270e-02
7.900000000000005629e-02,5.992758776561831757e-01,-9.700647207587675958e-03,7.062693329661974551e-02
8.000000000000005718e-02,5.992710920421044918e-01,-9.716807128032300955e-03,7.015185658626298115e-02
8.100000000000005806e-02,5.992667453650331044e-01,-9.728594601644324769e-03,6.962761212444656955e-02
8.200000000000005895e-02,5.992628194481884885e-01,-9.736101484984049925e-03,6.905512815433825780e-02
8.300000000000005984e-02,5.992592945697020612e-01,-9.739424238220439900e-03,6.843537301917403115e-02
8.400000000000006073e-02,5.992561495596809840e-01,-9.738663602344488357e-03,6.776935255428218063e-02
8.500000000000006162e-02,5.992533620340297906e-01,-9.733924270756144637e-03,6.705810754715714472e-02
8.600000000000006251e-02,5.992509085821551285e-01,-9.725314551966679488e-03,6.630271125743533722e-02
8.700000000000006339e-02,5.992487649147697493e-01,-9.712946049621251632e-03,6.550426687804329628e-02
8.800000000000006428e-02,5.992469058796815462e-01,-9.696933360790471745e-03,6.466390500801172392e-02
8.900000000000006517e-02,5.992453055708966136e-01,-9.677393764733976944e-03,6.378278116623925520e-02
9.000000000000006606e-02,5.992439374505836858e-01,-9.654446914627301535e-03,6.286207332650700641e-02
9.100000000000006695e-02,5.992427744651963595e-01,-9.628214540052915105e-03,6.190297945582289713e-02
9.200000000000006783e-02,5.992417891602185298e-01,-9.598820153612241945e-03,6.090671506708921629e-02
9.300000000000006872e-02,5.992409537925803553e-01,-9.566388762048849692e-03,5.987451083558156806e-02
9.400000000000006961e-02,5.992402404403406324e-01,-9.531046577888224736e-03,5.880761025548113946e-02
9.500000000000007050e-02,5.992396211084853874e-01,-9.492920738438159756e-03,5.770726733060836666e-02
9.600000000000007139e-02,5.992390678303487483e-01,-9.452139031786210843e-03,5.657474430171733487e-02
9.700000000000007228e-02,5.992385527641040932e-01,-9.408829630010773215e-03,5.541130941271364685e-02
9.800000000000007316e-02,5.992380482836395794e-01,-9.363120829907645160e-03,5.421823471833226576e-02
9.900000000000007405e-02,5.992375270628403916e-01,-9.315140801573362772e-03,5.299679393635826907e-02
1.000000000000000749e-01,5.992369621520194922e-01,-9.265017345346293620e-03,5.174826034872678782e-02
1.010000000000000758e-01,5.992363270465717040e-01,-9.212877658029805517e-03,5.047390475786728281e-02
1.020000000000000767e-01,5.992355957567265801e-01,-9.158848109653783265e-03,4.917499350287169585e-02
1.030000000000000776e-01,5.992347429002592429e-01,-9.103054029506063571e-03,4.785278651791922272e-02
1.040000000000000785e-01,5.992337437821723123e-01,-9.045619496532708581e-03,4.650853541062839602e-02
1.050000000000000794e-01,5.992325744393280917e-01,-8.986667137671766614e-03,4.514348161633416345e-02
1.060000000000000803e-01,5.992312116588760507e-01,-8.926317936807370845e-03,4.375885464140459591e-02
1.070000000000000812e-01,5.992296330119329939e-01,-8.864691056482576492e-03,4.235587036205493844e-02
1.080000000000000820e-01,5.992278168954401352e-01,-8.801903668121779933e-03,4.093572937799912909e-02
1.090000000000000829e-01,5.992257425674530902e-01,-8.738070790587026959e-03,3.949961542582045015e-02
1.100000000000000838e-01,5.992233901767014537e-01,-8.673305137483044991e-03,3.804869385481082777e-02
1.110000000000000847e-01,5.992207407870772107e-01,-8.607716973295209684e-03,3.658411016697134255e-02
1.120000000000000856e-01,5.992177763974381177e-01,-8.541413978351508618e-03,3.510698862244279739e-02
1.130000000000000865e-01,5.992144799570049418e-01,-8.474501122563482536e-03,3.361843091142540513e-02
1.140000000000000874e-01,5.992108353765828177e-01,-8.407080547877421317e-03,3.211951489349863798e-02
1.150000000000000883e-01,5.992068275357996798e-01,-8.339251459349827922e-03,3.061129340511320809e-02
1.160000000000000892e-01,5.992024422865350752e-01,-8.271110024740235822e-03,2.909479313587222740e-02
1.170000000000000900e-01,5.991976664527035590e-01,-8.202749282489096849e-03,2.757101357401803288e-02
1.180000000000000909e-01,5.991924878266299270e-01,-8.134259057915427249e-03,2.604092602123701458e-02
1.190000000000000918e-01,5.991868951626392326e-01,-8.065725887427932506e-03,2.450547267637944934e-02
1.200000000000000927e-01,5.991808781699584641e-01,-7.997232950565258403e-03,2.296556578686688790e-02
1.210000000000000936e-01,5.991744275112139695e-01,-7.928860010085914123e-03,2.142208686622217376e-02
1.220000000000000945e-01,5.991675348098619569e-01,-7.860683361463671748e-03,1.987588598338516435e-02
1.230000000000000954e-01,5.991601926414118484e-01,-7.792775791559680698e-03,1.832778114221506743e-02
1.240000000000000963e-01,5.991523945028802700e-01,-7.725206543872209508e-03,1.677855773977103213e-02
1.250000000000000833e-01,5.991441347730952494e-01,-7.658041288948369552e-03,1.522896807698790461e-02
1.260000000000000842e-01,5.991354086854279171e-01,-7.591342100856657282e-03,1.367973092716030965e-02
1.270000000000000850e-01,5.991262123080258739e-01,-7.525167441088387310e-03,1.213153117147294617e-02
1.280000000000000859e-01,5.991165425238492714e-01,-7.459572149672855090e-03,1.058501950318956053e-02
1.290000000000000868e-01,5.991063970088766899e-01,-7.394607443011846915e-03,9.040812198953179085e-03
1.300000000000000877e-01,5.990957742085434301e-01,-7.330320918040700295e-03,7.499490955156189534e-03
1.310000000000000886e-01,5.990846733128166735e-01,-7.266756562422760357e-03,5.961602787519146990e-03
1.320000000000000895e-01,5.990730942302838757e-01,-7.203954770537424057e-03,4.427659992203711141e-03
1.330000000000000904e-01,5.990610375615463834e-01,-7.141952365048331863e-03,2.898140166876803613e-03
1.340000000000000913e-01,5.990485045721465340e-01,-7.080782623848314028e-03,1.373486290164493062e-03
1.350000000000000921e-01,5.990354971652055438e-01,-7.020475312184526473e-03,-1.458931420847923034e-04
1.360000000000000930e-01,5.990220178539189533e-01,-6.961056719770042367e-03,-1.659623925348021559e-03
1.370000000000000939e-01,5.990080697340307569e-01,-6.902549702689775302e-03,-3.167365901455935183e-03
1.380000000000000948e-01,5.989936564563875798e-01,-6.844973729908887528e-03,-4.668812661823800239e-03
1.390000000000000957e-01,5.989787821996614969e-01,-6.788344934193835112e-03,-6.163691200657234540e-03
1.400000000000000966e-01,5.989634516433168798e-01,-6.732676167254481037e-03,-7.651761519953350320e-03
1.410000000000000975e-01,5.989476699408839977e-01,-6.677977058918149744e-03,-9.132816188160577595e-03
1.420000000000000984e-01,5.989314426935948843e-01,-6.624254080145663970e-03,-1.060667985439863251e-02
