time,x,y,yaw
1.000000000000000021e-03,5.999999977840503318e-01,6.077070925203376106e-06,-1.104196599967479964e-04
2.000000000000000042e-03,5.999999685205090749e-01,2.413153692792935345e-05,-4.378666005476811087e-04
3.000000000000000062e-03,5.999998558315341457e-01,5.372971470385401460e-05,-9.765137690123459153e-04
4.000000000000000083e-03,5.999995646297632268e-01,9.441390504821844942e-05,-1.720685656364558851e-03
5.000000000000000104e-03,5.999989681118544915e-01,1.456882038880502606e-04,-2.664845989602314044e-03
6.000000000000000125e-03,5.999979114354129228e-01,2.070227592892437407e-04,-3.803584196680004359e-03
7.000000000000000146e-03,5.999962156509370814e-01,2.778506391710178214e-04,-5.131377518300539106e-03
8.000000000000000167e-03,5.999936826789298294e-01,3.575683856640865521e-04,-6.642121565970705160e-03
9.000000000000001055e-03,5.999900999006962943e-01,4.455454036242367799e-04,-8.329449459726327373e-03
1.000000000000000194e-02,5.999852445013198476e-01,5.411345213506280061e-04,-1.018697802589097444e-02
1.100000000000000283e-02,5.999788874661927673e-01,6.436757306615970009e-04,-1.220829836474662637e-02
1.200000000000000372e-02,5.999707973046597420e-01,7.525002288442661502e-04,-1.438696800257147079e-02
1.300000000000000461e-02,5.999607435679753520e-01,8.669342974169103044e-04,-1.671650488752948749e-02
1.400000000000000550e-02,5.999485000849968941e-01,9.863029399417300169e-04,-1.919038335372347595e-02
1.500000000000000638e-02,5.999338479052745976e-01,1.109933268742591128e-03,-2.180203211642626690e-02
1.600000000000000727e-02,5.999165779405717380e-01,1.237157634271179862e-03,-2.454483429425982979e-02
1.700000000000000816e-02,5.998964933004711231e-01,1.367316493642023456e-03,-2.741212939627615808e-02
1.800000000000000905e-02,5.998734113219303943e-01,1.499761017541789698e-03,-3.039721716482111230e-02
1.900000000000000994e-02,5.998471652964116885e-01,1.633855437137676780e-03,-3.349336312855079323e-02
2.000000000000001082e-02,5.998176064989768630e-01,1.768980163523059534e-03,-3.669377494871789436e-02
2.100000000000001171e-02,5.997846081021932507e-01,1.904537609928091957e-03,-3.999144879194464763e-02
2.200000000000001260e-02,5.997480664443363141e-01,2.039953793808502169e-03,-4.337926056771304606e-02
2.300000000000001349e-02,5.997079015266836288e-01,2.174679204293872292e-03,-4.685006165722391952e-02
2.400000000000001438e-02,5.996640579462174658e-01,2.308192087987659402e-03,-5.039666573415081674e-02
2.500000000000001527e-02,5.996165050691448783e-01,2.439999535528536434e-03,-5.401187944587172718e-02
2.600000000000001615e-02,5.995652368439641222e-01,2.569638222820969098e-03,-5.768852429332326642e-02
2.700000000000001704e-02,5.995102712837436787e-01,2.696674691516798283e-03,-6.141945094219104090e-02
2.800000000000001793e-02,5.994516497718872516e-01,2.820705493926489726e-03,-6.519755372549349004e-02
2.900000000000001882e-02,5.993894361652005731e-01,2.941357094932539606e-03,-6.901578514070087766e-02
3.000000000000001971e-02,5.993237157206412480e-01,3.058285550263606378e-03,-7.286717016781310563e-02
3.100000000000002059e-02,5.992545938718953913e-01,3.171175985294649724e-03,-7.674482025872328417e-02
3.200000000000002148e-02,5.991821948808390141e-01,3.279741898221166796e-03,-8.064194687151193808e-02
3.300000000000002237e-02,5.991066603876400443e-01,3.383724310862146201e-03,-8.455187444553841081e-02
3.400000000000002326e-02,5.990281478817920391e-01,3.482890789527237629e-03,-8.846805273396213254e-02
3.500000000000002415e-02,5.989468291147911350e-01,3.577034357370112438e-03,-9.238406842939900221e-02
3.600000000000002504e-02,5.988628884735270885e-01,3.665972318492916049e-03,-9.629365603566272802e-02
3.700000000000002592e-02,5.987765213317847168e-01,3.749545012791177800e-03,-1.001907079538994078e-01
3.800000000000002681e-02,5.986879323955904830e-01,3.827614519174460384e-03,-1.040692837648926200e-01
3.900000000000002770e-02,5.985973340565219347e-01,3.900063323390934311e-03,-1.079236187009137427e-01
4.000000000000002859e-02,5.985049447655614863e-01,3.966792965244381186e-03,-1.117481313101981871e-01
4.100000000000002948e-02,5.984109875612191320e-01,4.027722678267453560e-03,-1.155374302735856923e-01
4.200000000000003036e-02,5.983156886403806496e-01,4.082788025147665589e-03,-1.192863201836216885e-01
4.300000000000003125e-02,5.982192754761911369e-01,4.131939557363351057e-03,-1.229898071564564654e-01
4.400000000000003214e-02,5.981219751017738950e-01,4.175141502621271261e-03,-1.266431037272525706e-01
4.500000000000003303e-02,5.980240128591890469e-01,4.212370482665706017e-03,-1.302416325917407636e-01
4.600000000000003392e-02,5.979256116398525833e-01,4.243614277362972587e-03,-1.337810296319555947e-01
4.700000000000003481e-02,5.978269904968813719e-01,4.268870533233992681e-03,-1.372571450333492094e-01
4.800000000000003569e-02,5.977283635858838817e-01,4.288145566352319360e-03,-1.406660439631166326e-01
4.900000000000003658e-02,5.976299386853305418e-01,4.301453217505135651e-03,-1.440040077912918826e-01
5.000000000000003747e-02,5.975319162491088409e-01,4.308813827750168635e-03,-1.472675351089518525e-01
5.100000000000003836e-02,5.974344887231117784e-01,4.310253300348176886e-03,-1.504533430725727428e-01
5.200000000000003925e-02,5.973378397062198975e-01,4.305802188983021139e-03,-1.535583673938408222e-01
5.300000000000004013e-02,5.972421430628345185e-01,4.295494830320767399e-03,-1.565797617373024253e-01
5.400000000000004102e-02,5.971475621172381842e-01,4.279368547791040367e-03,-1.595148970741764594e-01
5.500000000000004191e-02,5.970542490038142081e-01,4.257462930292499337e-03,-1.623613606941034238e-01
5.600000000000004280e-02,5.969623440688409666e-01,4.229819172192006427e-03,-1.651169549034501582e-01
5.700000000000004369e-02,5.968719753381717119e-01,4.196479476934855679e-03,-1.677796954373110550e-01
5.800000000000004458e-02,5.967832580463408032e-01,4.157486526164433371e-03,-1.703478096044040158e-01
5.900000000000004546e-02,5.966962942187796770e-01,4.112883032160175034e-03,-1.728197341159865563e-01
6.000000000000004635e-02,5.966111722895298675e-01,4.062711345590885870e-03,-1.751941126472125743e-01
6.100000000000004724e-02,5.965279665796665576e-01,4.007013119437297100e-03,-1.774697921834108849e-01
6.200000000000004813e-02,5.964467385183885861e-01,3.945829575363046793e-03,-1.796458129506194601e-01
6.300000000000004208e-02,5.963675396145741159e-01,3.879203485052939993e-03,-1.817213767073409536e-01
6.400000000000004297e-02,5.962904121236869415e-01,3.807177017719931555e-03,-1.836958249926664288e-01
6.500000000000004385e-02,5.962153898035702504e-01,3.729790771136554106e-03,-1.855686333128280519e-01
6.600000000000004474e-02,5.961425001209446073e-01,3.647083375051873855e-03,-1.873394073007936533e-01
