time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998809118680501484e-01,-2.370819639755272767e-03,3.733162797189214926e-02,0.000000000000000000e+00,3.533374819438022563e+00,3.359123815028520338e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-2.357306890189647675e-02,3.499999940395355225e-01,1.494649201631546021e-01
4.000000000000002859e-02,5.985612755789629924e-01,-7.395850083664612384e-03,1.385679630849570854e-01,0.000000000000000000e+00,4.995791071186846288e+00,3.770418448561852626e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.160086274147033691e-02,3.499999940395355225e-01,1.596103012561798096e-01
6.000000000000004635e-02,5.947798171042578685e-01,-1.271495597509669784e-02,2.857664231668889943e-01,0.000000000000000000e+00,6.047222138475702558e+00,3.788194530686268824e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-4.847566410899162292e-02,3.499999940395355225e-01,9.645950794219970703e-02
8.000000000000005718e-02,5.883396543712244853e-01,-1.778040547353876288e-02,4.626026214446387064e-01,0.000000000000000000e+00,6.891736502494779870e+00,3.856574399901573774e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-5.811134818941354752e-03,3.499999940395355225e-01,9.566236287355422974e-02
1.000000000000000749e-01,5.796693029584809587e-01,-2.269671130748568411e-02,6.577962768814556993e-01,0.000000000000000000e+00,7.511411370379361685e+00,4.056619267708435478e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-2.797785773873329163e-02,3.499999940395355225e-01,4.350767657160758972e-02
1.200000000000000927e-01,5.708866032485280240e-01,-2.633517275744873265e-02,8.410087771966415771e-01,0.000000000000000000e+00,7.584243107407623086e+00,4.313465353150393311e-02,0.000000000000000000e+00,3.499999940395355225e-01,2.688807845115661621e-01,3.499999940395355225e-01,5.777306482195854187e-02,3.499999940395355225e-01,4.970291256904602051e-02
1.400000000000000966e-01,5.648947915063097236e-01,-2.658618040303084573e-02,9.721001530050457085e-01,0.000000000000000000e+00,7.224946617808418736e+00,4.353601719227769701e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-4.912795871496200562e-02,3.499999940395355225e-01,2.733437716960906982e-02
1.600000000000001144e-01,5.627182842968589949e-01,-2.333132414920979780e-02,1.042199768303034846e+00,0.000000000000000000e+00,6.576273207030149948e+00,4.179838532005215879e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-1.711630374193191528e-01,3.499999940395355225e-01,7.147362828254699707e-02
1.800000000000001321e-01,5.640951092278075896e-01,-1.742222216093225473e-02,1.057556358929375273e+00,0.000000000000000000e+00,5.812885497647945598e+00,3.814187476055055925e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-1.840613037347793579e-01,2.695758938789367676e-01,1.534182727336883545e-01
2.000000000000001499e-01,5.671471021383971411e-01,-1.054641777803111413e-02,1.042317003519371399e+00,0.000000000000000000e+00,5.131904906339856076e+00,3.361734165845364775e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-1.225991100072860718e-01,8.081783354282379150e-02,1.748234629631042480e-01
2.200000000000001676e-01,5.702634807411854911e-01,-4.124082994101163635e-03,1.022137579627920623e+00,0.000000000000000000e+00,4.581167068735233272e+00,2.978710652192911174e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-1.617602258920669556e-01,-1.145754903554916382e-01,1.212005764245986938e-01
2.400000000000001854e-01,5.730045300739265990e-01,1.174841328338560587e-03,1.006194413998786619e+00,0.000000000000000000e+00,4.146784136341368665e+00,2.715057968071002761e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.087761402130126953e-01,-8.483561873435974121e-02,-7.472749054431915283e-02,1.010882481932640076e-01
2.600000000000001754e-01,5.753288870725741244e-01,5.872822717235992585e-03,9.891965803610989205e-01,0.000000000000000000e+00,3.748362491810289576e+00,2.602211002208566076e-02,0.000000000000000000e+00,3.213507533073425293e-01,3.499999940395355225e-01,3.291963040828704834e-01,-1.831931322813034058e-01,-1.105984821915626526e-01,2.725817821919918060e-02
2.800000000000001932e-01,5.773774763494772255e-01,1.009331956924341966e-02,9.708800306868621277e-01,0.000000000000000000e+00,3.420451144393034770e+00,2.586546242695528935e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-2.218543589115142822e-01,-6.443825084716081619e-03,5.110453348606824875e-03
3.000000000000002109e-01,5.795451128157841358e-01,1.413950395888280420e-02,9.508178687776084326e-01,0.000000000000000000e+00,3.110319908548261569e+00,2.664913613318633384e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-3.350185751914978027e-01,6.274428963661193848e-02,1.578141748905181885e-02
3.200000000000002287e-01,5.818575093719734470e-01,1.869791474474241655e-02,9.232187263490142515e-01,0.000000000000000000e+00,2.821317277346888641e+00,2.885737664106445208e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-2.783403098583221436e-01,7.195239514112472534e-02,8.048819005489349365e-02
3.400000000000002465e-01,5.843917337452361194e-01,2.401248902438640753e-02,8.855208382476802420e-01,0.000000000000000000e+00,2.524480671135840293e+00,3.336672456513855439e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-3.499999940395355225e-01,-1.241723150014877319e-01,3.060975298285484314e-02
3.600000000000002642e-01,5.875164377996576759e-01,2.975721717756890650e-02,8.350348008288690504e-01,0.000000000000000000e+00,2.230195462005565510e+00,4.019287131003615454e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-3.499999940395355225e-01,-1.713212430477142334e-01,5.380771309137344360e-02
3.800000000000002820e-01,5.908407248467318906e-01,3.546500549120989998e-02,7.782335408965991297e-01,0.000000000000000000e+00,1.960798645452327404e+00,4.915916176381458780e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-2.952066957950592041e-01,-2.393854707479476929e-01,6.491505354642868042e-02
4.000000000000002998e-01,5.943279593805879113e-01,4.195170817708054889e-02,7.025815414964695638e-01,0.000000000000000000e+00,1.631075651413914418e+00,6.488572901614680921e-02,0.000000000000000000e+00,2.190658301115036011e-01,3.499999940395355225e-01,2.408053129911422729e-01,-2.768290340900421143e-01,-3.154746890068054199e-01,3.570198267698287964e-02
4.200000000000003175e-01,5.983227183846410169e-01,4.985095262082722689e-02,5.846395940218380716e-01,0.000000000000000000e+00,1.216881835983624649e+00,9.759362396149263985e-02,0.000000000000000000e+00,1.343432515859603882e-01,2.587860822677612305e-01,1.587874889373779297e-01,-3.022195696830749512e-01,-3.499999940395355225e-01,1.148510072380304337e-02
4.400000000000003353e-01,6.024090945320071944e-01,5.751729476840894417e-02,4.341731708470391027e-01,0.000000000000000000e+00,8.119458978720976994e-01,1.611384926406601859e-01,0.000000000000000000e+00,1.770103871822357178e-01,3.062566220760345459e-01,1.506862789392471313e-01,-2.477015405893325806e-01,-3.499999940395355225e-01,2.212382107973098755e-02
4.600000000000003531e-01,6.068035471535592196e-01,6.124922443893615620e-02,3.141120274431861148e-01,0.000000000000000000e+00,5.873556120712094542e-01,2.280891151918587323e-01,0.000000000000000000e+00,2.395934760570526123e-01,3.499999940395355225e-01,3.079185783863067627e-01,-3.485343158245086670e-01,-3.499999940395355225e-01,5.614017136394977570e-03
4.800000000000003708e-01,6.118293769144951266e-01,5.990114628427811727e-02,2.715456377535732102e-01,0.000000000000000000e+00,5.538827531534940007e-01,2.296590787784916210e-01,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-1.473810076713562012e-01,-1.080755218863487244e-01,8.501601964235305786e-02
5.000000000000003331e-01,6.160009729020634595e-01,5.576240025525808219e-02,2.887686332881751472e-01,0.000000000000000000e+00,5.970173095922185480e-01,1.943418570825249381e-01,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-2.095256000757217407e-01,2.241984456777572632e-01,4.975505918264389038e-02
5.200000000000003508e-01,6.186975560140988151e-01,5.122933933981160814e-02,3.274889964484718474e-01,0.000000000000000000e+00,6.451687159487351497e-01,1.625537664744393096e-01,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-1.168116256594657898e-01,3.499999940395355225e-01,6.243655085563659668e-02
5.400000000000003686e-01,6.202188057838364799e-01,4.922677899151489678e-02,3.395363524905125052e-01,0.000000000000000000e+00,5.984890125010444706e-01,1.646654558898340559e-01,0.000000000000000000e+00,3.009043931961059570e-01,3.499999940395355225e-01,3.499999940395355225e-01,-2.892698943614959717e-01,2.017563879489898682e-01,-1.538671273738145828e-02
5.600000000000003864e-01,6.215490917694037609e-01,4.949151997855361085e-02,3.140539775719517479e-01,0.000000000000000000e+00,5.099457270462250946e-01,1.890235610907978758e-01,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-3.089830279350280762e-01,1.214719712734222412e-01,-7.835164666175842285e-03
5.800000000000004041e-01,6.227883412203609748e-01,5.007757566571952035e-02,2.797325259758521865e-01,0.000000000000000000e+00,4.415436700510113610e-01,2.148373192195356107e-01,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.435904532670974731e-02,2.085110545158386230e-01,1.031495854258537292e-01
6.000000000000004219e-01,6.241668394526144192e-01,5.013894529401291544e-02,2.477345634145114994e-01,0.000000000000000000e+00,3.725355150333082843e-01,2.490108480657842183e-01,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-3.499999940395355225e-01,-1.671413481235504150e-01,7.327274419367313385e-03
6.200000000000004396e-01,6.257229756675751764e-01,4.897445749179635266e-02,2.300197489611216783e-01,0.000000000000000000e+00,3.555793698771613776e-01,2.509253032214259216e-01,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,2.660205066204071045e-01,3.159419298171997070e-01,1.988747715950012207e-01
6.400000000000004574e-01,6.274790311282533173e-01,4.662334337669260531e-02,2.284099207085074079e-01,0.000000000000000000e+00,3.443231555547917599e-01,2.455845961887888895e-01,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-1.531478464603424072e-01,6.072778627276420593e-02,6.609510630369186401e-02
