time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.997693036090079310e-01,-2.281146516269316749e-03,4.466904537281556065e-02,0.000000000000000000e+00,4.244577899262739429e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,2.564081251621246338e-01,2.903808057308197021e-01,2.840136885643005371e-01,2.464101761579513550e-01
4.000000000000002859e-02,5.991221182412216351e-01,-2.472993464104122907e-03,7.172739223934093689e-02,0.000000000000000000e+00,1.527757669254638628e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-2.887176871299743652e-01,-1.622462123632431030e-01,-1.504426896572113037e-01,3.414683789014816284e-02
6.000000000000004635e-02,5.983528741191492806e-01,-2.660598280562531670e-03,9.732866515292556975e-02,0.000000000000000000e+00,2.164933098749374452e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.418850302696228027e-01,2.173577994108200073e-01
8.000000000000005718e-02,5.975395165350744220e-01,-1.873932087731178253e-03,1.110038927981620571e-01,0.000000000000000000e+00,1.188864365183128768e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-2.595313191413879395e-01,-1.327575743198394775e-01,-9.877212345600128174e-02,7.551318407058715820e-02
1.000000000000000749e-01,5.965515091335273912e-01,-1.543786244159628396e-03,1.272437848625910251e-01,0.000000000000000000e+00,1.560213893080925507e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,2.140570282936096191e-01
1.200000000000000927e-01,5.955345971483104739e-01,-5.037076935852646820e-04,1.343456577150898834e-01,0.000000000000000000e+00,9.654850198763051949e-01,inf,0.000000000000000000e+00,-3.058787584304809570e-01,-3.499999940395355225e-01,-2.246422171592712402e-01,-1.067420244216918945e-01,-6.326034665107727051e-02,1.002183035016059875e-01
1.400000000000000966e-01,5.943410725067694855e-01,-2.116116717931770808e-05,1.460075992760841712e-01,0.000000000000000000e+00,1.235012048010975416e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,2.198359370231628418e-01
1.600000000000001144e-01,5.930448386286845119e-01,1.127797864263646588e-03,1.523451949210596346e-01,0.000000000000000000e+00,8.472703401506196386e-01,inf,0.000000000000000000e+00,-2.691315114498138428e-01,-3.499999940395355225e-01,-1.817247867584228516e-01,-8.047513663768768311e-02,-3.877973929047584534e-02,1.107557713985443115e-01
1.800000000000001321e-01,5.915587614822348517e-01,1.754519819820776760e-03,1.666606719848235385e-01,0.000000000000000000e+00,1.083824916794528193e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,2.793340384960174561e-01
2.000000000000001499e-01,5.898020027489203621e-01,3.118561304713662885e-03,1.798605392230519795e-01,0.000000000000000000e+00,8.412195292760952237e-01,inf,0.000000000000000000e+00,-2.581312656402587891e-01,-3.499999940395355225e-01,-1.687335669994354248e-01,-6.922490894794464111e-02,-2.968881651759147644e-02,1.292593479156494141e-01
