time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998047715084445786e-01,1.972778850975243081e-03,-3.950744120897047018e-02,0.000000000000000000e+00,-3.527819891611600145e+00,2.809688980001227507e-02,0.000000000000000000e+00,-1.801564693450927734e-01,-1.749137938022613525e-01,-1.159753650426864624e-01,-1.167575865983963013e-01,-6.240404397249221802e-02,-6.584648787975311279e-02
4.000000000000002859e-02,5.983759833677855244e-01,3.822167039658153076e-03,-1.148867971839737934e-01,0.000000000000000000e+00,-3.570795325866271686e+00,2.907529727450873860e-02,0.000000000000000000e+00,-1.280366331338882446e-01,-1.967764049768447876e-01,-9.162503480911254883e-02,-1.139694005250930786e-01,-7.180055975914001465e-02,-1.359825432300567627e-01
6.000000000000004635e-02,5.963495041388590101e-01,2.681679932455993676e-03,-1.714434470462542215e-01,0.000000000000000000e+00,-3.016813318198086069e+00,2.502435099227092591e-02,0.000000000000000000e+00,-1.339181363582611084e-01,-1.880383938550949097e-01,-8.033469319343566895e-02,-1.050900295376777649e-01,-7.448743283748626709e-02,-1.427150070667266846e-01
8.000000000000005718e-02,5.950860812906739739e-01,-1.594679107032592746e-04,-1.963323593091628738e-01,0.000000000000000000e+00,-2.402036683951781271e+00,2.558508791015948886e-02,0.000000000000000000e+00,-1.797663420438766479e-01,-1.785135120153427124e-01,-8.197426795959472656e-02,-1.019051596522331238e-01,-8.532889187335968018e-02,-1.321733146905899048e-01
1.000000000000000749e-01,5.947335882533912876e-01,-3.880154944728320121e-03,-1.882046078642414799e-01,0.000000000000000000e+00,-1.665568399959467261e+00,3.927463865040771440e-02,0.000000000000000000e+00,-1.804649531841278076e-01,-1.305964738130569458e-01,-8.676370233297348022e-02,-7.795175909996032715e-02,-7.130556553602218628e-02,-8.938958495855331421e-02
1.200000000000000927e-01,5.944536022820742227e-01,-8.628156465308844947e-03,-1.346548843661227179e-01,0.000000000000000000e+00,-7.417871430716062031e-01,1.152293290333654824e-01,0.000000000000000000e+00,-1.247786059975624084e-01,-5.496777594089508057e-02,-8.932244777679443359e-02,-4.454503580927848816e-02,-2.375280670821666718e-02,3.607108723372220993e-03
1.400000000000000966e-01,5.931802224612098273e-01,-1.331965205852830847e-02,-3.566407133411606672e-02,0.000000000000000000e+00,1.621388788210083864e-01,6.592249904321045850e-01,0.000000000000000000e+00,-9.703969955444335938e-02,-2.074386551976203918e-02,-6.535615026950836182e-02,-3.035773895680904388e-02,-5.990983452647924423e-03,5.190194025635719299e-02
1.600000000000001144e-01,5.907473761675096080e-01,-1.617747331200425354e-02,8.189114624868687464e-02,0.000000000000000000e+00,8.591389274088446770e-01,1.355759240591743464e-01,0.000000000000000000e+00,-7.123019546270370483e-02,4.182669799774885178e-03,-3.957862034440040588e-02,-1.608805917203426361e-02,9.205674869008362293e-04,6.362715363502502441e-02
1.800000000000001321e-01,5.881549015547081760e-01,-1.613691894647167890e-02,1.799871635475043807e-01,0.000000000000000000e+00,1.197298833239229365e+00,9.288340651296887740e-02,0.000000000000000000e+00,-7.278373837471008301e-02,-1.493887975811958313e-03,-4.046974703669548035e-02,-1.899143122136592865e-02,-3.780588740482926369e-03,5.237248539924621582e-02
2.000000000000001499e-01,5.866474651383667416e-01,-1.234095340963564658e-02,2.223229156091890979e-01,0.000000000000000000e+00,1.128135080712343363e+00,8.058483266903171405e-02,0.000000000000000000e+00,-1.105021461844444275e-01,-3.626983612775802612e-02,-7.231625914573669434e-02,-3.755958750844001770e-02,-1.555468887090682983e-02,2.035675011575222015e-02
2.200000000000001676e-01,5.862946590261841617e-01,-5.049347718712238198e-03,1.946404515606194319e-01,0.000000000000000000e+00,7.513350675749669305e-01,8.836330493966002009e-02,0.000000000000000000e+00,-1.314507126808166504e-01,-1.295649707317352295e-01,-1.250543296337127686e-01,-8.966305851936340332e-02,-2.782544493675231934e-02,-7.144974172115325928e-02
2.400000000000001854e-01,5.856936504470151572e-01,3.141447390985596666e-03,1.147120690609900878e-01,0.000000000000000000e+00,3.012382151784636641e-01,2.025970717245601238e-01,0.000000000000000000e+00,-1.249520331621170044e-01,-1.816960871219635010e-01,-1.198066920042037964e-01,-1.160209327936172485e-01,-3.556059300899505615e-02,-9.759365022182464600e-02
2.600000000000001754e-01,5.840758225140175730e-01,9.884944332420209090e-03,2.293599711372860256e-02,0.000000000000000000e+00,-4.669512844907276056e-02,4.805839321953681020e-01,0.000000000000000000e+00,-1.117524504661560059e-01,-1.869678944349288940e-01,-1.216498538851737976e-01,-1.202670410275459290e-01,-2.520870417356491089e-02,-9.321282804012298584e-02
2.800000000000001932e-01,5.820104779902324221e-01,1.411872946947612117e-02,-4.366411424943825170e-02,0.000000000000000000e+00,-2.161652627218337563e-01,3.778251738408521798e-01,0.000000000000000000e+00,-8.555037528276443481e-02,-1.847039759159088135e-01,-1.402118206024169922e-01,-1.269303858280181885e-01,-6.199175957590341568e-03,-7.483472675085067749e-02
3.000000000000002109e-01,5.799750120015754185e-01,1.684589700603689177e-02,-8.581198311493790087e-02,0.000000000000000000e+00,-3.240565485794612566e-01,2.691750913544383450e-01,0.000000000000000000e+00,-1.093277558684349060e-01,-2.034906446933746338e-01,-1.665111780166625977e-01,-1.444419324398040771e-01,-1.335544604808092117e-02,-4.055992141366004944e-02
3.200000000000002287e-01,5.779559011903127042e-01,1.925373938344049352e-02,-1.141030422326774207e-01,0.000000000000000000e+00,-3.743104111819952617e-01,2.443540340899053309e-01,0.000000000000000000e+00,-9.704223275184631348e-02,-1.829734146595001221e-01,-1.579240858554840088e-01,-1.347906291484832764e-01,-1.508889067918062210e-02,-2.012022212147712708e-02
3.400000000000002465e-01,5.759116374168457009e-01,2.135979567670692747e-02,-1.266246338931818483e-01,0.000000000000000000e+00,-3.731911001072422129e-01,2.537303277764653142e-01,0.000000000000000000e+00,-7.734332233667373657e-02,-1.475155204534530640e-01,-1.397050470113754272e-01,-1.105934679508209229e-01,-1.545570604503154755e-02,-9.512173943221569061e-03
3.600000000000002642e-01,5.737071683555434731e-01,2.363663049896030932e-02,-1.339344280422470335e-01,0.000000000000000000e+00,-3.841036795659393821e-01,2.556846234929294748e-01,0.000000000000000000e+00,-8.144302666187286377e-02,-1.272822469472885132e-01,-1.348040550947189331e-01,-9.521568566560745239e-02,-1.986083388328552246e-02,-8.954797871410846710e-03
3.800000000000002820e-01,5.713096043462693174e-01,2.718783762318344177e-02,-1.620411208057322139e-01,0.000000000000000000e+00,-4.810099172145304580e-01,2.162454589235673907e-01,0.000000000000000000e+00,-1.020639389753341675e-01,-1.470763981342315674e-01,-1.483457833528518677e-01,-1.073704063892364502e-01,-2.716015651822090149e-02,-2.766140922904014587e-02
4.000000000000002998e-01,5.687474301475125005e-01,3.233149371072363554e-02,-2.274194388231763897e-01,0.000000000000000000e+00,-6.656122995033848522e-01,1.688940950722851719e-01,0.000000000000000000e+00,-1.091764494776725769e-01,-2.024347931146621704e-01,-1.602975428104400635e-01,-1.381340473890304565e-01,-3.237364068627357483e-02,-7.175037264823913574e-02
4.200000000000003175e-01,5.659611088998042217e-01,3.789960128480018842e-02,-3.233156444660669759e-01,0.000000000000000000e+00,-8.849097930469118634e-01,1.370637328394142540e-01,0.000000000000000000e+00,-1.177781149744987488e-01,-2.171682119369506836e-01,-1.383295953273773193e-01,-1.416368931531906128e-01,-3.607650101184844971e-02,-9.466338902711868286e-02
4.400000000000003353e-01,5.630910071600945255e-01,4.248406180499586515e-02,-4.295448487905514923e-01,0.000000000000000000e+00,-1.079670299483846074e+00,1.184654765250796604e-01,0.000000000000000000e+00,-1.147118732333183289e-01,-2.191473245620727539e-01,-1.320835649967193604e-01,-1.398711502552032471e-01,-3.571414947509765625e-02,-1.045679375529289246e-01
4.600000000000003531e-01,5.606627894371833953e-01,4.531718504648624135e-02,-5.260931530006339729e-01,0.000000000000000000e+00,-1.224734602408904527e+00,1.065161752914769860e-01,0.000000000000000000e+00,-1.117833107709884644e-01,-2.253855466842651367e-01,-1.363233774900436401e-01,-1.430377811193466187e-01,-3.935259580612182617e-02,-1.061619892716407776e-01
4.800000000000003708e-01,5.589284584814704360e-01,4.649694628797534923e-02,-6.074899177540625805e-01,0.000000000000000000e+00,-1.328894593791578371e+00,9.725972062497702242e-02,0.000000000000000000e+00,-1.142345294356346130e-01,-2.339050173759460449e-01,-1.393378227949142456e-01,-1.468131393194198608e-01,-5.195786431431770325e-02,-1.024123355746269226e-01
5.000000000000003331e-01,5.577413632529026888e-01,4.649731920056660028e-02,-6.780434091928795315e-01,0.000000000000000000e+00,-1.409614475104491449e+00,8.914702102524724170e-02,0.000000000000000000e+00,-1.220895275473594666e-01,-2.396321892738342285e-01,-1.365994662046432495e-01,-1.472738534212112427e-01,-6.899482756853103638e-02,-1.002891808748245239e-01
5.200000000000003508e-01,5.568527541618069066e-01,4.575590212479863084e-02,-7.435959245862939770e-01,0.000000000000000000e+00,-1.478897416868751202e+00,8.178009844780648185e-02,0.000000000000000000e+00,-1.326095163822174072e-01,-2.414360940456390381e-01,-1.296228915452957153e-01,-1.444228589534759521e-01,-8.252857625484466553e-02,-1.083454489707946777e-01
5.400000000000003686e-01,5.560802990937407930e-01,4.447759289228053747e-02,-8.080004947126855352e-01,0.000000000000000000e+00,-1.542876123979511016e+00,7.502531071134617424e-02,0.000000000000000000e+00,-1.467519104480743408e-01,-2.412661164999008179e-01,-1.213677227497100830e-01,-1.406658589839935303e-01,-9.134375303983688354e-02,-1.234143078327178955e-01
5.600000000000003864e-01,5.553717408380413056e-01,4.258435133284599328e-02,-8.717301232654773857e-01,0.000000000000000000e+00,-1.599466057194085744e+00,6.886847510741921086e-02,0.000000000000000000e+00,-1.600521802902221680e-01,-2.376665771007537842e-01,-1.132080703973770142e-01,-1.370293200016021729e-01,-9.505854547023773193e-02,-1.351927965879440308e-01
5.800000000000004041e-01,5.547644246732580386e-01,3.985390265374449958e-02,-9.323814274018988879e-01,0.000000000000000000e+00,-1.644213105470254455e+00,6.321813278161239613e-02,0.000000000000000000e+00,-1.711104363203048706e-01,-2.340129315853118896e-01,-1.068087518215179443e-01,-1.355754733085632324e-01,-9.637106209993362427e-02,-1.384436786174774170e-01
6.000000000000004219e-01,5.542674353905017171e-01,3.614331470178938632e-02,-9.872338207018412914e-01,0.000000000000000000e+00,-1.674451426199722981e+00,5.801970652992861216e-02,0.000000000000000000e+00,-1.787296384572982788e-01,-2.344320565462112427e-01,-1.026637926697731018e-01,-1.372546255588531494e-01,-9.847422689199447632e-02,-1.353240013122558594e-01
6.200000000000004396e-01,5.538613982124626078e-01,3.141591773527191434e-02,-1.033597453378823250e+00,0.000000000000000000e+00,-1.687039868900544581e+00,5.336578528600585680e-02,0.000000000000000000e+00,-1.814774721860885620e-01,-2.350250780582427979e-01,-9.845385700464248657e-02,-1.386031955480575562e-01,-1.010005995631217957e-01,-1.284335851669311523e-01
6.400000000000004574e-01,5.536769692701499768e-01,2.574308211561898707e-02,-1.068454259013213559e+00,0.000000000000000000e+00,-1.678843248809337663e+00,4.932298690559790838e-02,0.000000000000000000e+00,-1.832629591226577759e-01,-2.298412024974822998e-01,-9.179820120334625244e-02,-1.356316059827804565e-01,-1.036088243126869202e-01,-1.190729215741157532e-01
6.600000000000004752e-01,5.540467565894540147e-01,1.932951066866089862e-02,-1.089149325291852932e+00,0.000000000000000000e+00,-1.648432213636006560e+00,4.582231766711775123e-02,0.000000000000000000e+00,-1.882580071687698364e-01,-2.156557589769363403e-01,-8.171860873699188232e-02,-1.263530105352401733e-01,-1.079373285174369812e-01,-1.090778708457946777e-01
6.800000000000004929e-01,5.553454976194187598e-01,1.238773162630696367e-02,-1.093825320412773028e+00,0.000000000000000000e+00,-1.595549353541368509e+00,4.271156228745261185e-02,0.000000000000000000e+00,-1.961404681205749512e-01,-1.910872608423233032e-01,-6.870114803314208984e-02,-1.103110164403915405e-01,-1.136289983987808228e-01,-9.766425192356109619e-02
7.000000000000005107e-01,5.577547042242135822e-01,4.937672307089857604e-03,-1.081147254110966793e+00,0.000000000000000000e+00,-1.520631046208905213e+00,3.995791941766824173e-02,0.000000000000000000e+00,-2.007970064878463745e-01,-1.597155630588531494e-01,-5.637549608945846558e-02,-9.080698341131210327e-02,-1.154086291790008545e-01,-8.416105061769485474e-02
7.200000000000005285e-01,5.610281869800558541e-01,-3.059915725269424236e-03,-1.051713661444180659e+00,0.000000000000000000e+00,-1.428152056979472118e+00,3.801703301876957486e-02,0.000000000000000000e+00,-2.017613202333450317e-01,-1.308868378400802612e-01,-4.685423523187637329e-02,-7.377544790506362915e-02,-1.119146943092346191e-01,-6.915999948978424072e-02
7.400000000000005462e-01,5.645858837874493386e-01,-1.119062174065649229e-02,-1.010699519557901382e+00,0.000000000000000000e+00,-1.330079627620016858e+00,3.773411067914459599e-02,0.000000000000000000e+00,-2.050990462303161621e-01,-1.157645806670188904e-01,-4.204507172107696533e-02,-6.519315391778945923e-02,-1.072034388780593872e-01,-5.650932341814041138e-02
7.600000000000005640e-01,5.678967209278148465e-01,-1.878926813006231988e-02,-9.674126218869976146e-01,0.000000000000000000e+00,-1.239843722497905976e+00,3.947605105568931932e-02,0.000000000000000000e+00,-2.128194123506546021e-01,-1.153162121772766113e-01,-4.162639006972312927e-02,-6.533841043710708618e-02,-1.043038219213485718e-01,-5.180350691080093384e-02
7.800000000000005818e-01,5.707116976235795391e-01,-2.539537363642418999e-02,-9.295880113900578667e-01,0.000000000000000000e+00,-1.163671155284239367e+00,4.270862178862075420e-02,0.000000000000000000e+00,-2.220919281244277954e-01,-1.241884753108024597e-01,-4.445659369230270386e-02,-7.137685269117355347e-02,-1.033709943294525146e-01,-5.769007280468940735e-02
8.000000000000005995e-01,5.731112708804966260e-01,-3.109232258569560869e-02,-8.985085182427511308e-01,0.000000000000000000e+00,-1.097831453542225777e+00,4.680409020284903576e-02,0.000000000000000000e+00,-2.289371639490127563e-01,-1.348653435707092285e-01,-4.815629497170448303e-02,-7.889846712350845337e-02,-1.022130176424980164e-01,-7.041443884372711182e-02
