timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,-2.938347727320000104e+03,-3.005989243658500072e+03,-2.867027501932500400e+03,-3.027711148800000046e+03,-2.805150558600000295e+03,-3.084193962199999987e+03,-2.896191944000000149e+03,-3.061666506599999593e+03,-2.903824588199999653e+03,-2.869731404799999837e+03,-2.957467398600000251e+03,-2.737770227799999702e+03,-3.039769533600000159e+03
1.000000000000000000e+04,-2.724811284400000204e+03,-2.848785306209999817e+03,-2.604013435470000331e+03,-2.781706196000000091e+03,-2.565093941999999970e+03,-2.936874420000000100e+03,-2.666092986999999994e+03,-2.951029376999999840e+03,-2.612661042000000180e+03,-2.510242545999999948e+03,-2.770472072000000026e+03,-2.421315501999999924e+03,-3.032624760000000151e+03
1.500000000000000000e+04,-2.485269871899999998e+03,-2.653567140799999834e+03,-2.312852855232499678e+03,-2.509336628000000019e+03,-2.351411575000000084e+03,-2.820550759000000198e+03,-2.485084302000000207e+03,-2.650388246999999865e+03,-2.347981533000000127e+03,-2.077473669999999856e+03,-2.620547489000000041e+03,-2.057716801999999916e+03,-2.932207714000000124e+03
2.000000000000000000e+04,-2.208436609200000021e+03,-2.404680144419999579e+03,-2.008208112200000414e+03,-2.250674307000000226e+03,-2.065511625000000095e+03,-2.530021536000000197e+03,-2.178785546999999951e+03,-2.380049730000000181e+03,-2.137477013000000170e+03,-1.694071799000000055e+03,-2.351624303999999938e+03,-1.721544460000000299e+03,-2.774605771000000004e+03
2.500000000000000000e+04,-1.889402080900000101e+03,-2.143865904627500186e+03,-1.613842505765000169e+03,-1.939445960000000241e+03,-1.795917817000000014e+03,-2.279580254999999852e+03,-1.974436457000000246e+03,-2.061325984999999946e+03,-1.880787915000000112e+03,-1.097449276999999938e+03,-2.065498574000000190e+03,-1.204465290999999979e+03,-2.595113277999999809e+03
3.000000000000000000e+04,-1.604531974099999843e+03,-1.962055693620000284e+03,-1.251127353035000169e+03,-1.680460569999999962e+03,-1.465367919999999913e+03,-1.944703303999999889e+03,-1.523999338999999964e+03,-1.442056154999999990e+03,-2.056676433000000088e+03,-5.949002249999999776e+02,-1.788797160999999960e+03,-8.247245430000000397e+02,-2.723634090999999898e+03
3.500000000000000000e+04,-1.381083141800000249e+03,-1.895707662617500091e+03,-9.215930112325006576e+02,-1.309636257999999998e+03,-8.348502130000000534e+02,-1.552101707999999917e+03,-1.113507147000000032e+03,-1.097003079000000071e+03,-1.772639901000000009e+03,-2.194040289999999800e+02,-2.233986269999999877e+03,-6.136193670000000111e+02,-3.064083446000000095e+03
4.000000000000000000e+04,-9.540169042000001127e+02,-1.401825768980000021e+03,-5.420212768925000546e+02,-8.151966549999999643e+02,-6.978619690000000446e+02,-1.119523991000000024e+03,-7.433590219999999817e+02,-4.855219240000000127e+02,-1.306143608000000086e+03,-7.259883399999999654e+01,-2.197895731000000069e+03,-5.810526300000000077e+01,-2.043962044999999762e+03
4.500000000000000000e+04,-5.194955936000000065e+02,-8.001551685724999743e+02,-2.719677520925000067e+02,-4.283808409999999753e+02,-8.515484299999999962e+01,-7.799191080000000511e+02,-2.533846179999999890e+02,-1.960191930000000013e+02,-8.790336039999999684e+02,-1.215897809999999879e+02,-9.496368260000001555e+02,-1.230139259999999979e+02,-1.378823196000000053e+03
5.000000000000000000e+04,-3.682756034999999883e+02,-7.736914543249999952e+02,-1.233005406825000705e+02,-1.138397590000000008e+02,-1.242079050000000109e+02,-3.550731180000000222e+02,-8.488962999999999681e+01,-7.960707499999999470e+01,-8.407723599999999919e+01,-1.660674980000000005e+02,-4.548716339999999718e+02,-1.458669710000000066e+02,-2.074255208999999923e+03
5.500000000000000000e+04,-1.761560714999999959e+02,-2.408196791674999702e+02,-1.365430164575000163e+02,-1.338081720000000132e+02,-1.511899129999999900e+02,-1.752357649999999865e+02,-1.404664779999999951e+02,-1.543773490000000095e+02,-1.371615429999999947e+02,-1.583496440000000121e+02,-1.035449160000000148e+02,-1.561201499999999953e+02,-4.513067849999999339e+02
6.000000000000000000e+04,-1.401496882000000141e+02,-1.565207827700000109e+02,-1.205037135200000193e+02,-1.371964820000000032e+02,-1.510817930000000047e+02,-1.031669899999999842e+02,-1.453378649999999936e+02,-1.724259879999999896e+02,-1.648457650000000001e+02,-1.453489800000000116e+02,-1.430166830000000004e+02,-1.681652009999999962e+02,-7.091113500000000158e+01
6.500000000000000000e+04,-1.545519406999999887e+02,-1.619025341649999916e+02,-1.465731557775000056e+02,-1.477822299999999984e+02,-1.580354000000000099e+02,-1.473314829999999915e+02,-1.333448830000000100e+02,-1.658895789999999977e+02,-1.715035790000000020e+02,-1.588006990000000087e+02,-1.608214570000000094e+02,-1.668815600000000074e+02,-1.351285369999999944e+02
