timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,-2.883988014779999503e+03,-2.946054255809000097e+03,-2.818742280252499768e+03,-2.882210495199999968e+03,-2.752866045199999917e+03,-2.923339890399999604e+03,-3.013694101200000205e+03,-3.017420569400000204e+03,-2.830630898000000343e+03,-2.926647264400000040e+03,-2.990826114800000141e+03,-2.798283836199999314e+03,-2.703960932999999841e+03
1.000000000000000000e+04,-2.652679791000000023e+03,-2.725811718130000372e+03,-2.577460913115000039e+03,-2.712364926000000196e+03,-2.470522062000000005e+03,-2.862762842999999975e+03,-2.705680293999999776e+03,-2.754896846999999980e+03,-2.693360137000000122e+03,-2.544173561000000063e+03,-2.726427315999999792e+03,-2.539391612999999779e+03,-2.517218311000000085e+03
1.500000000000000000e+04,-2.441593107300000156e+03,-2.526007348130000082e+03,-2.350101898639999945e+03,-2.462047294999999849e+03,-2.173522372999999789e+03,-2.576341081999999915e+03,-2.572918896000000132e+03,-2.638945650000000114e+03,-2.526267588000000160e+03,-2.329088824999999815e+03,-2.493064107000000149e+03,-2.280514606000000185e+03,-2.363220651000000089e+03
2.000000000000000000e+04,-2.202901823299999705e+03,-2.336910564352499932e+03,-2.063264166980000027e+03,-2.149861729000000196e+03,-1.792605023999999958e+03,-2.385873250000000098e+03,-2.447720280000000002e+03,-2.565583247999999912e+03,-2.272680465999999797e+03,-2.036331220999999914e+03,-2.283690486999999848e+03,-2.034836018999999851e+03,-2.059836509000000206e+03
2.500000000000000000e+04,-2.006121640699999716e+03,-2.212581905902500239e+03,-1.755021507097499807e+03,-1.930670048999999835e+03,-1.070837543000000096e+03,-2.216439383999999791e+03,-2.263719567999999981e+03,-2.126615260999999919e+03,-2.032719649999999774e+03,-2.538198553000000175e+03,-2.208361131999999998e+03,-1.839139611999999715e+03,-1.834515654999999924e+03
3.000000000000000000e+04,-1.551175435999999991e+03,-1.765737643115000083e+03,-1.293627707742499979e+03,-1.491871362000000090e+03,-6.277792719999999917e+02,-1.952946470999999974e+03,-1.990466611999999714e+03,-1.642670571000000109e+03,-1.551227732999999944e+03,-1.484496746000000030e+03,-1.978617880000000241e+03,-1.297133147999999892e+03,-1.494544564999999920e+03
3.500000000000000000e+04,-1.451531685400000015e+03,-1.926423617552499991e+03,-1.018076059285000156e+03,-9.459940850000000410e+02,-1.867771720000000073e+02,-2.999021608000000015e+03,-1.543623693000000003e+03,-1.266237411999999949e+03,-1.028206132999999909e+03,-2.390318862000000081e+03,-1.731166672000000062e+03,-1.332944952999999941e+03,-1.091026264000000083e+03
4.000000000000000000e+04,-1.122972872300000063e+03,-1.718221354552499633e+03,-6.643183158850001746e+02,-5.081373780000000124e+02,-1.000220460000000031e+02,-3.437305150999999569e+03,-1.447074491999999964e+03,-1.457341259999999920e+03,-6.266354219999999486e+02,-9.460990260000000944e+02,-1.200347964999999931e+03,-9.406316480000001548e+02,-5.661343349999999646e+02
4.500000000000000000e+04,-6.571870564999999260e+02,-1.109539035199999944e+03,-3.379153132150002534e+02,-2.307944799999999645e+02,-1.673567569999999876e+02,-2.509322400999999900e+03,-7.259597019999999929e+02,-8.951155249999999342e+02,-3.234809440000000222e+02,-2.895960410000000138e+02,-7.216723879999999554e+02,-3.662061719999999809e+02,-3.423661549999999920e+02
5.000000000000000000e+04,-2.117356296999999756e+02,-3.629250988999999095e+02,-1.107948639350000093e+02,-7.980156399999999906e+01,-1.748512020000000007e+02,-8.358355229999999665e+02,-2.063380459999999914e+02,-1.948396400000000028e+02,-5.937476199999999693e+01,-1.280617000000000019e+02,-2.716876720000000205e+02,-5.998635199999999656e+01,-1.065798360000000002e+02
