timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,-1.192418821999999921e+02,-1.225578265679999959e+02,-1.156763262815000104e+02,-1.257080964000000023e+02,-1.186117703999999975e+02,-1.260567124000000092e+02,-1.104659678000000014e+02,-1.123005385999999817e+02,-1.244917723999999879e+02,-1.173977454000000051e+02,-1.207375189999999918e+02,-1.237625713999999988e+02,-1.128861282000000017e+02
1.000000000000000000e+04,-6.570190780000000075e+01,-7.347680854749999924e+01,-5.784810513000000753e+01,-7.330086699999999666e+01,-5.966056600000000287e+01,-7.429717399999999827e+01,-5.633144099999999810e+01,-4.188915000000000077e+01,-8.901032100000000469e+01,-7.227650199999999359e+01,-6.157484399999999880e+01,-7.306726100000000201e+01,-5.561095199999999750e+01
1.500000000000000000e+04,-1.513160750000000121e+01,-2.201485081750000106e+01,-9.568802300000001537e+00,-7.112502000000000990e+00,-8.079295999999999367e+00,-7.325021999999999700e+00,-1.523601900000000242e+01,-3.654904499999999956e+01,-1.395487600000000228e+01,-1.257273099999999921e+01,-3.306031099999999867e+01,-8.733570999999999529e+00,-8.692702000000000595e+00
2.000000000000000000e+04,-3.596035729999999830e+01,-4.924525150249999683e+01,-2.587691276749999858e+01,-3.118764600000000087e+01,-1.454669999999999774e+01,-4.180642499999999728e+01,-2.884878900000000002e+01,-4.914662200000000070e+01,-2.656377300000000474e+01,-3.420752600000000143e+01,-8.670020100000000696e+01,-2.600236299999999545e+01,-2.059352799999999917e+01
2.500000000000000000e+04,-4.271023250000000360e+01,-5.603423591750000554e+01,-3.139104179999999999e+01,-5.945651900000000012e+01,-2.375067200000000156e+01,-3.283001099999999894e+01,-2.333212199999999825e+01,-5.144829700000000372e+01,-5.032094099999999770e+01,-8.794993800000000306e+01,-4.914086499999999802e+01,-1.936534899999999837e+01,-2.950761100000000425e+01
3.000000000000000000e+04,-5.194016930000000087e+01,-6.135263960249999116e+01,-4.351590009749999410e+01,-5.062404000000000082e+01,-3.055526599999999959e+01,-4.745429599999999937e+01,-4.148546699999999987e+01,-7.173688199999999426e+01,-5.585679400000000072e+01,-4.342482600000000303e+01,-3.893384900000000215e+01,-8.140056199999999365e+01,-5.792971099999999751e+01
3.500000000000000000e+04,-5.272347070000000713e+01,-6.564178603999999950e+01,-4.041881943750001938e+01,-4.052243599999999901e+01,-4.916789899999999847e+01,-2.315190399999999826e+01,-4.305303899999999828e+01,-7.943329799999999352e+01,-7.759279200000000287e+01,-8.136015600000000347e+01,-6.435016199999999742e+01,-2.452470599999999834e+01,-4.407831500000000347e+01
4.000000000000000000e+04,-6.317874219999998786e+01,-7.314857189250000147e+01,-5.366088842499999600e+01,-4.241937099999999816e+01,-9.431645699999999977e+01,-6.952457099999999457e+01,-6.663961999999999364e+01,-4.485776299999999850e+01,-4.491359200000000129e+01,-7.565796699999999930e+01,-7.424362800000000107e+01,-5.265054599999999851e+01,-6.656390700000000038e+01
4.500000000000000000e+04,-6.824020900000000722e+01,-8.452432244250000792e+01,-5.309597211749999701e+01,-3.072751900000000091e+01,-9.635561800000000687e+01,-7.099337300000000539e+01,-8.806820100000000195e+01,-5.163798500000000047e+01,-4.838584999999999781e+01,-1.191805429999999859e+02,-7.168651499999999999e+01,-4.649593399999999832e+01,-5.887055199999999644e+01
5.000000000000000000e+04,-5.788275589999999227e+01,-6.810519053499999131e+01,-4.738246275000000196e+01,-6.286024299999998988e+01,-3.127055700000000371e+01,-6.853509499999999832e+01,-8.098230700000000581e+01,-5.934289099999999451e+01,-5.476627899999999727e+01,-4.149536700000000167e+01,-8.591278099999999540e+01,-3.929667200000000093e+01,-5.436536700000000621e+01
