timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,-1.189472963200000066e+02,-1.220033356615000031e+02,-1.162090569939999796e+02,-1.162085883999999822e+02,-1.194383950000000141e+02,-1.297132952000000046e+02,-1.233320046000000048e+02,-1.175344735999999983e+02,-1.173657043999999985e+02,-1.135126453999999967e+02,-1.180154931999999945e+02,-1.218331827999999888e+02,-1.125191805999999985e+02
1.000000000000000000e+04,-6.056300439999998986e+01,-7.084865023749999580e+01,-4.973150459749999897e+01,-7.207665500000000236e+01,-5.961866599999999750e+01,-9.202474499999999580e+01,-7.005377199999999505e+01,-6.463054099999999380e+01,-5.317539399999999716e+01,-4.699406100000000208e+01,-5.113062699999999694e+01,-7.078876999999999953e+01,-2.513681300000000007e+01
1.500000000000000000e+04,-2.590736190000000150e+01,-3.551535115750000671e+01,-1.729693129750000224e+01,-1.878818599999999961e+01,-2.712137000000000242e+01,-6.942342999999999265e+00,-1.708335399999999993e+01,-1.906828300000000098e+01,-1.443610800000000083e+01,-4.138886300000000062e+01,-4.843706300000000198e+01,-1.404056999999999888e+01,-5.176747900000000158e+01
2.000000000000000000e+04,-5.883396410000000287e+01,-6.994793136500000230e+01,-4.819063069500001006e+01,-3.578927900000000051e+01,-4.595523599999999931e+01,-5.017372000000000298e+01,-8.453284100000000478e+01,-6.546402500000000657e+01,-4.645595500000000300e+01,-8.103417899999999463e+01,-7.023870800000000258e+01,-3.405868699999999905e+01,-7.463701100000000110e+01
2.500000000000000000e+04,-6.582700859999999921e+01,-8.249949745000000689e+01,-5.074909937750001632e+01,-6.501640000000000441e+01,-6.115719199999999489e+01,-2.491805000000000092e+01,-9.173482799999999315e+01,-6.060666400000000209e+01,-4.225013500000000022e+01,-6.134855300000000256e+01,-8.738295700000000465e+01,-4.563023199999999946e+01,-1.182250750000000181e+02
3.000000000000000000e+04,-5.665780809999999690e+01,-7.338629171750000069e+01,-4.444859368000000899e+01,-5.181519500000000278e+01,-4.657114599999999882e+01,-4.031439000000000306e+01,-6.348142900000000566e+01,-5.388401599999999547e+01,-2.919050700000000376e+01,-6.387681800000000010e+01,-4.772689400000000148e+01,-4.838208999999999804e+01,-1.213355959999999811e+02
3.500000000000000000e+04,-6.547470510000000843e+01,-7.741695545750000917e+01,-5.372936304500001370e+01,-5.869539400000000029e+01,-5.499177999999999145e+01,-4.744436199999999815e+01,-7.724876999999999327e+01,-8.309218799999999305e+01,-9.224367700000000525e+01,-6.128993799999999226e+01,-5.644693300000000136e+01,-3.088070300000000046e+01,-9.241330600000000572e+01
4.000000000000000000e+04,-5.795761179999999513e+01,-7.204044071750000455e+01,-4.460901765250000039e+01,-5.107893899999999832e+01,-6.946567100000000039e+01,-3.098164899999999733e+01,-6.551712000000000558e+01,-7.991020000000000323e+01,-4.604970500000000300e+01,-9.018664200000000619e+01,-2.907718300000000156e+01,-3.096339599999999947e+01,-8.634561300000000017e+01
4.500000000000000000e+04,-6.377682709999999133e+01,-7.483871240000000569e+01,-5.511969967750000166e+01,-5.554256800000000283e+01,-6.303721199999999669e+01,-5.867153700000000072e+01,-4.875631700000000279e+01,-5.954019600000000167e+01,-5.098472100000000040e+01,-9.986049099999999612e+01,-6.064459100000000547e+01,-5.241907300000000447e+01,-8.831156500000000165e+01
5.000000000000000000e+04,-6.146795930000000396e+01,-7.482773449999999116e+01,-5.119074512500000651e+01,-5.963172999999999035e+01,-4.697928100000000029e+01,-5.567615800000000092e+01,-5.993345599999999962e+01,-5.281502600000000314e+01,-5.173753599999999864e+01,-8.265605200000000252e+01,-4.112517199999999917e+01,-5.327494099999999833e+01,-1.108502410000000111e+02
5.500000000000000000e+04,-5.988129230000000547e+01,-7.090375260750001019e+01,-5.247702527250000770e+01,-5.999379100000000165e+01,-5.215258200000000954e+01,-5.614256500000000472e+01,-5.395756099999999833e+01,-6.472094199999999375e+01,-5.352995099999999695e+01,-5.943646400000000085e+01,-4.911693199999999848e+01,-4.557362400000000235e+01,-1.041885110000000196e+02
6.000000000000000000e+04,-6.446088760000000661e+01,-7.312937277249999113e+01,-5.658427840000000231e+01,-5.552403999999999940e+01,-6.077293399999999934e+01,-4.948948500000000195e+01,-5.406772999999999740e+01,-5.775265699999999924e+01,-8.693758599999999603e+01,-6.709437099999999532e+01,-8.055252699999999777e+01,-4.933754700000000071e+01,-8.307999900000000082e+01
6.500000000000000000e+04,-6.153506259999998917e+01,-7.091483989999998983e+01,-5.239917584999999889e+01,-4.060855899999999963e+01,-5.502533300000000338e+01,-4.279849600000000009e+01,-7.538479900000000100e+01,-5.046715900000000232e+01,-8.146056299999999339e+01,-5.112144899999999836e+01,-8.178946000000000538e+01,-6.354602200000000778e+01,-7.314878600000000120e+01
7.000000000000000000e+04,-6.301684800000000308e+01,-6.985173618000000317e+01,-5.481436410000000592e+01,-6.974553899999999373e+01,-7.365312199999999621e+01,-3.403007999999999811e+01,-7.597919000000000267e+01,-4.991487300000000005e+01,-7.048272699999999702e+01,-5.494827500000000242e+01,-7.051862300000000516e+01,-6.810645399999999938e+01,-6.278959700000000055e+01
7.500000000000000000e+04,-5.673395200000000216e+01,-7.235979513000000907e+01,-4.361036828750001604e+01,-5.640062600000000259e+01,-4.198494500000000329e+01,-2.927726000000000184e+01,-1.034296960000000070e+02,-4.287477899999999664e+01,-9.690862900000000479e+01,-3.740667700000000195e+01,-5.663322500000000304e+01,-4.813346200000000152e+01,-5.429022099999999540e+01
8.000000000000000000e+04,-4.639397920000000397e+01,-5.504685110999999154e+01,-3.841925410500000027e+01,-3.971274300000000324e+01,-5.135937299999999084e+01,-1.994409100000000024e+01,-7.694593299999999658e+01,-4.398775200000000041e+01,-5.473693500000000256e+01,-4.634508699999999948e+01,-4.011750800000000083e+01,-4.783867500000000206e+01,-4.295169500000000085e+01
8.500000000000000000e+04,-4.825869900000000001e+01,-5.735895266750000587e+01,-3.965290049250000237e+01,-3.534536500000000103e+01,-5.866259999999999764e+01,-2.838998900000000347e+01,-6.839605600000000152e+01,-3.249197499999999650e+01,-7.214208899999999858e+01,-5.719554100000000574e+01,-4.056009600000000148e+01,-4.529504299999999972e+01,-4.410823599999999800e+01
9.000000000000000000e+04,-3.998561349999999948e+01,-5.193670951749999176e+01,-3.043273899999999443e+01,-1.545849100000000043e+01,-3.550961499999999660e+01,-2.420643899999999960e+01,-5.877293600000000140e+01,-3.714142199999999860e+01,-8.096065600000000018e+01,-3.971614300000000242e+01,-3.618736400000000231e+01,-3.698083599999999649e+01,-3.492223299999999853e+01
9.500000000000000000e+04,-4.253072100000000688e+01,-5.228938223749999992e+01,-3.362989144250000351e+01,-3.388075400000000315e+01,-4.442243100000000311e+01,-2.402641699999999858e+01,-6.695114800000000344e+01,-3.712345899999999688e+01,-6.964302200000000198e+01,-4.149666400000000266e+01,-4.146113799999999827e+01,-4.566569400000000201e+01,-2.063648299999999836e+01
1.000000000000000000e+05,-3.674838729999999742e+01,-4.794446135749999627e+01,-2.802881980500000836e+01,-3.212573199999999929e+01,-2.221901899999999941e+01,-2.240281600000000140e+01,-5.532856500000000466e+01,-4.252629799999999705e+01,-7.586288999999999305e+01,-3.256713200000000086e+01,-2.823394400000000104e+01,-3.018685699999999628e+01,-2.603061999999999898e+01
1.050000000000000000e+05,-3.304194989999999876e+01,-4.349564141499999437e+01,-2.361093388000000459e+01,-2.116212700000000169e+01,-1.242978100000000019e+01,-2.363087499999999963e+01,-6.256115400000000193e+01,-5.333548499999999137e+01,-5.381902000000000186e+01,-2.335471300000000028e+01,-2.437593199999999882e+01,-3.413635599999999926e+01,-2.161405600000000149e+01
1.100000000000000000e+05,-3.028680680000000436e+01,-3.986979803499999520e+01,-2.239050758249999973e+01,-1.207868999999999993e+01,-3.703951500000000152e+01,-2.035111900000000063e+01,-6.433916200000000174e+01,-2.935511799999999738e+01,-4.048637999999999693e+01,-1.698943600000000131e+01,-2.198105199999999826e+01,-3.055744800000000083e+01,-2.969014800000000065e+01
1.150000000000000000e+05,-2.832081450000000089e+01,-3.731617950000000405e+01,-2.057164405000000329e+01,-1.365091400000000021e+01,-1.364073400000000014e+01,-1.466435000000000244e+01,-5.692335599999999829e+01,-2.792940300000000065e+01,-4.312282299999999680e+01,-3.430304300000000239e+01,-2.095769699999999958e+01,-2.359767400000000137e+01,-3.441815100000000172e+01
1.200000000000000000e+05,-2.724577060000000372e+01,-3.291606328249999791e+01,-2.169903301000000084e+01,-1.602614099999999908e+01,-3.317982099999999690e+01,-1.250076499999999946e+01,-4.051624000000000336e+01,-2.623406400000000005e+01,-4.131602199999999669e+01,-2.898301700000000025e+01,-1.910701999999999856e+01,-2.734195700000000073e+01,-2.725265900000000130e+01
1.250000000000000000e+05,-2.375437199999999649e+01,-3.033403297249999397e+01,-1.859134819250000348e+01,-1.490675500000000042e+01,-2.843223300000000364e+01,-1.683291200000000032e+01,-4.805331499999999778e+01,-2.069928399999999868e+01,-1.737297500000000028e+01,-2.477417499999999961e+01,-2.783974799999999661e+01,-1.424103400000000264e+01,-2.439128900000000044e+01
1.300000000000000000e+05,-2.608688660000000326e+01,-3.596530427999999802e+01,-1.826434397750000116e+01,-1.490485100000000251e+01,-4.520044000000000040e+01,-1.474259499999999967e+01,-6.056971200000000266e+01,-2.720862500000000139e+01,-1.603391900000000092e+01,-2.271363500000000002e+01,-2.204854999999999876e+01,-1.616990699999999848e+01,-2.127663199999999932e+01
1.350000000000000000e+05,-2.159889100000000184e+01,-2.634848073500000254e+01,-1.796920231999999729e+01,-1.888385200000000097e+01,-2.516743500000000111e+01,-1.998171100000000067e+01,-3.932386600000000243e+01,-1.762572600000000023e+01,-2.361928400000000039e+01,-1.292016100000000201e+01,-1.816288399999999825e+01,-2.267912700000000115e+01,-1.762486399999999875e+01
1.400000000000000000e+05,-2.303782239999999604e+01,-2.618088691000000168e+01,-2.014470122750000058e+01,-1.638232199999999850e+01,-2.686430700000000371e+01,-2.649199499999999574e+01,-3.336468200000000195e+01,-2.048519699999999943e+01,-2.176066799999999901e+01,-1.800452999999999903e+01,-2.066582700000000017e+01,-1.964511099999999999e+01,-2.671358500000000191e+01
1.450000000000000000e+05,-2.472305419999999643e+01,-2.796104198500000138e+01,-2.119386495999999909e+01,-3.209915000000000163e+01,-2.358559599999999890e+01,-3.178203099999999992e+01,-2.924623500000000220e+01,-2.290428700000000006e+01,-2.035684399999999883e+01,-1.290997899999999809e+01,-2.497569000000000017e+01,-2.187127699999999919e+01,-2.749945299999999904e+01
1.500000000000000000e+05,-2.470506270000000271e+01,-2.859170704750000169e+01,-2.022806409500000413e+01,-3.276812600000000231e+01,-2.294116999999999962e+01,-1.974805800000000033e+01,-3.020141699999999929e+01,-2.862186000000000519e+01,-1.806044800000000095e+01,-9.991744000000000625e+00,-3.094641100000000122e+01,-2.474549999999999983e+01,-2.902589300000000350e+01
1.550000000000000000e+05,-2.344768439999999998e+01,-2.799021217250000149e+01,-1.910144244250000511e+01,-3.871298800000000284e+01,-1.559798499999999954e+01,-2.435688800000000143e+01,-2.614994199999999935e+01,-2.294779700000000133e+01,-2.366225499999999826e+01,-1.248172699999999935e+01,-2.502104100000000031e+01,-1.652953600000000023e+01,-2.901668500000000250e+01
1.600000000000000000e+05,-2.594411729999999849e+01,-3.052632399750000403e+01,-2.087415567749999923e+01,-3.609534299999999973e+01,-1.798099500000000006e+01,-2.779645599999999916e+01,-3.332035599999999675e+01,-2.325140000000000029e+01,-3.029320000000000235e+01,-1.121124700000000018e+01,-3.431947900000000118e+01,-1.872238899999999973e+01,-2.645030799999999971e+01
1.650000000000000000e+05,-2.525786009999999848e+01,-3.230399446750000436e+01,-1.897906726000000432e+01,-4.290326699999999960e+01,-1.930413400000000124e+01,-2.557233000000000089e+01,-3.138599400000000017e+01,-1.829309299999999894e+01,-1.790062199999999848e+01,-1.127327900000000049e+01,-4.617204499999999712e+01,-1.774110699999999952e+01,-2.203273000000000081e+01
1.700000000000000000e+05,-2.544864020000000338e+01,-3.103884124250000909e+01,-2.028960022000000052e+01,-4.138674600000000225e+01,-2.581399199999999539e+01,-1.544068399999999919e+01,-3.390547300000000064e+01,-1.705851600000000090e+01,-2.188278100000000137e+01,-1.638198999999999828e+01,-3.738924800000000204e+01,-1.924683399999999978e+01,-2.598013800000000018e+01
1.750000000000000000e+05,-2.623417669999999902e+01,-3.249671690999999640e+01,-2.078621566749999872e+01,-4.506159099999999995e+01,-2.257289099999999848e+01,-2.225364300000000028e+01,-4.033705599999999691e+01,-1.738135099999999866e+01,-2.092042299999999955e+01,-2.334825599999999923e+01,-1.749126400000000103e+01,-1.864574800000000110e+01,-3.432954399999999850e+01
