time,x,y,yaw
1.000000000000000021e-03,5.999999976567507165e-01,5.944948443636910440e-06,-1.125408696626780292e-04
2.000000000000000042e-03,5.999999663809075789e-01,2.362523980908859400e-05,-4.465719328733958721e-04
3.000000000000000062e-03,5.999998457723880740e-01,5.265324559911022106e-05,-9.967784734201813428e-04
4.000000000000000083e-03,5.999995336247714306e-01,9.262244179986112158e-05,-1.758084914329708336e-03
5.000000000000000104e-03,5.999988931129562886e-01,1.430927569509576891e-04,-2.725637736929034226e-03
6.000000000000000125e-03,5.999977564212842784e-01,2.035943565950049106e-04,-3.894787002635576034e-03
7.000000000000000146e-03,5.999959282858406961e-01,2.736313668897927265e-04,-5.261067002656980886e-03
8.000000000000000167e-03,5.999931894660234244e-01,3.526855126110284289e-04,-6.820176539531774135e-03
9.000000000000001055e-03,5.999893001379957846e-01,4.402196402845670598e-04,-8.567959369215661508e-03
1.000000000000000194e-02,5.999840039999748686e-01,5.356482777404414364e-04,-1.049990335167621906e-02
1.100000000000000283e-02,5.999770325897381129e-01,6.383402106574509460e-04,-1.261082079730524615e-02
1.200000000000000372e-02,5.999681086717050249e-01,7.476361151951271822e-04,-1.489546728322492346e-02
1.300000000000000461e-02,5.999569493677661125e-01,8.628734926750536438e-04,-1.734861932851891261e-02
1.400000000000000550e-02,5.999432691228524517e-01,9.833861640290986195e-04,-1.996506471768830573e-02
1.500000000000000638e-02,5.999267824568031982e-01,1.108507487366017230e-03,-2.273959393206588520e-02
1.600000000000000727e-02,5.999072136325914739e-01,1.237558370436042665e-03,-2.566613932640424145e-02
1.700000000000000816e-02,5.998843046832097459e-01,1.369858586483474472e-03,-2.873735396798578895e-02
1.800000000000000905e-02,5.998578183633568317e-01,1.504735179059746297e-03,-3.194567757816380721e-02
1.900000000000000994e-02,5.998275389009004588e-01,1.641535962793039261e-03,-3.528346542688109988e-02
2.000000000000001082e-02,5.997932745120224673e-01,1.779629956399852997e-03,-3.874299554928119921e-02
2.100000000000001171e-02,5.997548592878942930e-01,1.918409782386831797e-03,-4.231647822140238713e-02
2.200000000000001260e-02,5.997121546470804976e-01,2.057293679958993593e-03,-4.599606741321441566e-02
2.300000000000001349e-02,5.996650503744448413e-01,2.195727141546754968e-03,-4.977387388865985030e-02
2.400000000000001438e-02,5.996134652706448520e-01,2.333184191738169044e-03,-5.364197962333529246e-02
2.500000000000001527e-02,5.995573474388017354e-01,2.469168327522641704e-03,-5.759245322691931845e-02
2.600000000000001615e-02,5.994966742366950596e-01,2.603213140602078646e-03,-6.161736607422965001e-02
2.700000000000001704e-02,5.994314519239154482e-01,2.734882644295222320e-03,-6.570880887065998210e-02
2.800000000000001793e-02,5.993617150339048960e-01,2.863771328739384003e-03,-6.985890840298719651e-02
2.900000000000001882e-02,5.992875255007930058e-01,2.989503968834017478e-03,-7.405984425369405155e-02
3.000000000000001971e-02,5.992089715704902453e-01,3.111735209717803041e-03,-7.830386528482730091e-02
3.100000000000002059e-02,5.991261665246914170e-01,3.230148954555700502e-03,-8.258330572505917511e-02
3.200000000000002148e-02,5.990392472453548445e-01,3.344457579080306608e-03,-8.689060072032137039e-02
3.300000000000002237e-02,5.989483726459094992e-01,3.454400996721562755e-03,-9.121830123361041043e-02
3.400000000000002326e-02,5.988537219939690237e-01,3.559745597312813370e-03,-9.555908820296662998e-02
3.500000000000002415e-02,5.987554931487436560e-01,3.660283081317772247e-03,-9.990578588798817994e-02
3.600000000000002504e-02,5.986539007346817209e-01,3.755829210325245526e-03,-1.042513743544509763e-01
3.700000000000002592e-02,5.985491742711812613e-01,3.846222493238127260e-03,-1.085890010636452740e-01
