time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998578761479994581e-01,-2.472906247073636266e-03,4.197810637296323089e-02,0.000000000000000000e+00,3.953491321533484815e+00,3.132657666288315990e-02,0.000000000000000000e+00,2.425227463245391846e-01,2.608401775360107422e-01,1.973651051521301270e-01,1.794074922800064087e-01,8.164016902446746826e-02,3.092130832374095917e-02
4.000000000000002859e-02,5.984548730595187216e-01,-7.965850687166320387e-03,1.495464362537756442e-01,0.000000000000000000e+00,5.300307007370586021e+00,3.827287890878078996e-02,0.000000000000000000e+00,2.594095170497894287e-01,1.557995229959487915e-01,1.621528416872024536e-01,1.855855584144592285e-01,1.973477937281131744e-02,7.009955495595932007e-02
6.000000000000004635e-02,5.950318069607847260e-01,-1.422303218603193642e-02,2.942125905910454309e-01,0.000000000000000000e+00,6.030322698300332185e+00,4.163894177040115829e-02,0.000000000000000000e+00,2.189819365739822388e-01,1.153704971075057983e-01,1.117739602923393250e-01,1.586375385522842407e-01,-4.524469375610351562e-03,5.386464297771453857e-02
8.000000000000005718e-02,5.910588843006393533e-01,-1.989232696996684480e-02,4.371935232722414799e-01,0.000000000000000000e+00,6.175458584068182155e+00,4.414522538791830486e-02,0.000000000000000000e+00,2.324350625276565552e-01,1.082507595419883728e-01,1.011223495006561279e-01,1.575996130704879761e-01,1.014129258692264557e-02,6.264534592628479004e-02
1.000000000000000749e-01,5.873641094652720662e-01,-2.465416459021751994e-02,5.700707460122846904e-01,0.000000000000000000e+00,6.214139230690003401e+00,4.458167594676844953e-02,0.000000000000000000e+00,3.024502992630004883e-01,1.656512022018432617e-01,1.465103775262832642e-01,1.939157098531723022e-01,6.352911889553070068e-02,6.162759289145469666e-02
1.200000000000000927e-01,5.836264814782106125e-01,-2.739569059565499787e-02,6.910156829604475748e-01,0.000000000000000000e+00,6.087517532516003804e+00,4.369017354061357356e-02,0.000000000000000000e+00,3.246472775936126709e-01,1.926109194755554199e-01,1.792935132980346680e-01,2.179900109767913818e-01,8.566226810216903687e-02,5.807185545563697815e-02
1.400000000000000966e-01,5.802195709059996265e-01,-2.659428854322082314e-02,7.820619233199286313e-01,0.000000000000000000e+00,5.731834230546193787e+00,4.130309865979610306e-02,0.000000000000000000e+00,3.080563545227050781e-01,1.998618394136428833e-01,2.013178169727325439e-01,2.291415482759475708e-01,7.571909576654434204e-02,5.052892118692398071e-02
1.600000000000001144e-01,5.776879052205140530e-01,-2.238708664704608386e-02,8.340566725208119481e-01,0.000000000000000000e+00,5.220389341090543311e+00,3.784097401188771248e-02,0.000000000000000000e+00,2.499896138906478882e-01,2.100137174129486084e-01,2.217331528663635254e-01,2.208475470542907715e-01,4.341181740164756775e-02,4.883071780204772949e-02
1.800000000000001321e-01,5.760830052472414309e-01,-1.622393281137152199e-02,8.548229744114661521e-01,0.000000000000000000e+00,4.687905539660536469e+00,3.424947588468665177e-02,0.000000000000000000e+00,2.016858160495758057e-01,2.598110735416412354e-01,2.308538258075714111e-01,2.084521204233169556e-01,2.822550758719444275e-02,4.071569070219993591e-02
2.000000000000001499e-01,5.760021391757944587e-01,-8.861001140591073799e-03,8.447514893113886592e-01,0.000000000000000000e+00,4.084916703338366872e+00,3.131218042789659511e-02,0.000000000000000000e+00,1.501829028129577637e-01,2.464465796947479248e-01,1.919066011905670166e-01,1.633404791355133057e-01,2.759835124015808105e-02,2.678730525076389313e-02
2.200000000000001676e-01,5.777263025538493801e-01,-8.424726271187288340e-04,8.045386414545759868e-01,0.000000000000000000e+00,3.498460934127407551e+00,2.896029902093581743e-02,0.000000000000000000e+00,1.270058006048202515e-01,2.394312322139739990e-01,1.801384687423706055e-01,1.283677518367767334e-01,4.916540533304214478e-02,1.666931994259357452e-02
2.400000000000001854e-01,5.800036769788087243e-01,5.945630420831016227e-03,7.644961518772435127e-01,0.000000000000000000e+00,3.081892278647366812e+00,2.820443933709147408e-02,0.000000000000000000e+00,1.365978270769119263e-01,2.489032000303268433e-01,1.908539831638336182e-01,1.302182376384735107e-01,8.535835891962051392e-02,6.545333657413721085e-03
2.600000000000001754e-01,5.814804120364497342e-01,1.027264704397196082e-02,7.518574355005935850e-01,0.000000000000000000e+00,2.854832959873679687e+00,2.853174560501527471e-02,0.000000000000000000e+00,1.603023260831832886e-01,2.466400563716888428e-01,2.071651369333267212e-01,1.591352522373199463e-01,1.046054661273956299e-01,-4.574693739414215088e-04
2.800000000000001932e-01,5.815627404251240140e-01,1.226737554140888697e-02,7.739097132677651425e-01,0.000000000000000000e+00,2.777597397018584768e+00,2.847457302701708604e-02,0.000000000000000000e+00,2.187159955501556396e-01,2.388067692518234253e-01,2.270750850439071655e-01,2.006690651178359985e-01,9.273728728294372559e-02,5.718251224607229233e-03
3.000000000000002109e-01,5.805383388180728188e-01,1.313639297921842530e-02,8.188010983942505261e-01,0.000000000000000000e+00,2.749355166371640458e+00,2.846755685164148453e-02,0.000000000000000000e+00,2.746383845806121826e-01,2.395863234996795654e-01,2.153543978929519653e-01,2.235409617424011230e-01,7.845432311296463013e-02,1.183663122355937958e-02
3.200000000000002287e-01,5.795100412341885887e-01,1.467823129565626328e-02,8.602693224284841955e-01,0.000000000000000000e+00,2.674186594366355862e+00,2.945397694456086332e-02,0.000000000000000000e+00,3.001961708068847656e-01,2.499451190233230591e-01,2.003410607576370239e-01,2.254912406206130981e-01,7.536710798740386963e-02,1.064329408109188080e-02
3.400000000000002465e-01,5.788447059886117074e-01,1.798058445521044657e-02,8.817411656331062275e-01,0.000000000000000000e+00,2.544069703437978447e+00,3.209788513757240447e-02,0.000000000000000000e+00,3.130778074264526367e-01,2.832380235195159912e-01,2.201189547777175903e-01,2.323312163352966309e-01,9.233642369508743286e-02,8.501897566020488739e-03
3.600000000000002642e-01,5.782881475804000360e-01,2.341343955283414768e-02,8.768062916669425721e-01,0.000000000000000000e+00,2.348644122345125318e+00,3.776537945881863062e-02,0.000000000000000000e+00,2.679028213024139404e-01,3.122328519821166992e-01,2.333309054374694824e-01,2.252009212970733643e-01,1.115596815943717957e-01,4.474346060305833817e-03
3.800000000000002820e-01,5.789189647436878694e-01,3.114999948674285202e-02,8.358555934748538307e-01,0.000000000000000000e+00,2.063044678843530377e+00,4.797830904137628111e-02,0.000000000000000000e+00,1.845289617776870728e-01,2.850907742977142334e-01,2.090707868337631226e-01,1.803781688213348389e-01,1.062948778271675110e-01,2.801270689815282822e-03
4.000000000000002998e-01,5.821568408482917789e-01,4.109266157947560894e-02,7.500557265074597746e-01,0.000000000000000000e+00,1.691808608301815564e+00,6.620043746271435381e-02,0.000000000000000000e+00,1.285745948553085327e-01,2.606593668460845947e-01,1.806198358535766602e-01,1.313425004482269287e-01,1.114548295736312866e-01,-1.091675367206335068e-02
4.200000000000003175e-01,5.879552941731983617e-01,5.205060585697818265e-02,6.212415170546540244e-01,0.000000000000000000e+00,1.260403130294911467e+00,1.009239237989147664e-01,0.000000000000000000e+00,7.591275125741958618e-02,2.189586013555526733e-01,1.476329565048217773e-01,8.367417752742767334e-02,1.081989482045173645e-01,-2.421414665877819061e-02
4.400000000000003353e-01,5.951899916211840225e-01,6.238852752203477570e-02,4.592220227888282325e-01,0.000000000000000000e+00,8.135522639466956640e-01,1.748048642722652146e-01,0.000000000000000000e+00,5.181533470749855042e-02,1.968921720981597900e-01,1.273694187402725220e-01,5.816765874624252319e-02,9.997849911451339722e-02,-2.781126089394092560e-02
