time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998099822769639156e-01,-2.387025688302957249e-03,4.380873656939792554e-02,0.000000000000000000e+00,4.134573977192217420e+00,inf,0.000000000000000000e+00,3.318444490432739258e-01,2.731806039810180664e-01,2.874835729598999023e-01,2.012088298797607422e-01,1.599204242229461670e-01,7.373507320880889893e-02
4.000000000000002859e-02,5.980372850917873295e-01,-7.413516043289547497e-03,1.562719768866228653e-01,0.000000000000000000e+00,5.533435949993864789e+00,inf,0.000000000000000000e+00,2.235383689403533936e-01,2.736974656581878662e-01,2.754822373390197754e-01,2.385407388210296631e-01,1.068376451730728149e-01,9.078834205865859985e-02
6.000000000000004635e-02,5.935506590988871567e-01,-1.294377886798586674e-02,3.135125043771612163e-01,0.000000000000000000e+00,6.558918117623098176e+00,inf,0.000000000000000000e+00,1.949858814477920532e-01,2.386153936386108398e-01,2.787243723869323730e-01,2.097310423851013184e-01,7.685711979866027832e-02,1.033716574311256409e-01
8.000000000000005718e-02,5.866974639765480948e-01,-1.826696158995338992e-02,4.928348779465678287e-01,0.000000000000000000e+00,7.173064445737171724e+00,inf,0.000000000000000000e+00,1.889873296022415161e-01,2.268305867910385132e-01,2.958178818225860596e-01,2.025600671768188477e-01,6.417209655046463013e-02,1.064080819487571716e-01
1.000000000000000749e-01,5.790401209952186212e-01,-2.181070063587164931e-02,6.594894129785219272e-01,0.000000000000000000e+00,7.195425267859159923e+00,inf,0.000000000000000000e+00,1.951339691877365112e-01,2.261800915002822876e-01,3.128762841224670410e-01,2.125448286533355713e-01,5.726483464241027832e-02,1.022085845470428467e-01
1.200000000000000927e-01,5.730412605583448116e-01,-2.216067274126387598e-02,7.803799011632713833e-01,0.000000000000000000e+00,6.783063449888710572e+00,inf,0.000000000000000000e+00,2.087251096963882446e-01,2.408494949340820312e-01,3.152865767478942871e-01,2.159560471773147583e-01,7.031705230474472046e-02,9.072347730398178101e-02
1.400000000000000966e-01,5.685067551160022381e-01,-2.090795298196651553e-02,8.755751393829517282e-01,0.000000000000000000e+00,6.475642966011409207e+00,inf,0.000000000000000000e+00,2.935024797916412354e-01,3.178186416625976562e-01,3.451088964939117432e-01,2.713341116905212402e-01,1.252952218055725098e-01,8.958435803651809692e-02
1.600000000000001144e-01,5.645900804455870059e-01,-1.890655929198131746e-02,9.621993633309371408e-01,0.000000000000000000e+00,6.158028264307704447e+00,inf,0.000000000000000000e+00,2.955743968486785889e-01,3.367820382118225098e-01,3.163363039493560791e-01,2.964555025100708008e-01,1.370396018028259277e-01,1.169444248080253601e-01
1.800000000000001321e-01,5.626198413172094348e-01,-1.477834353453244542e-02,1.019367125362060422e+00,0.000000000000000000e+00,5.681354328675955578e+00,inf,0.000000000000000000e+00,2.763955593109130859e-01,2.918050587177276611e-01,2.757521867752075195e-01,2.716669738292694092e-01,1.269630789756774902e-01,1.458197385072708130e-01
2.000000000000001499e-01,5.634720771455993260e-01,-9.066145359244826007e-03,1.043687326634320955e+00,0.000000000000000000e+00,5.181159281561923180e+00,inf,0.000000000000000000e+00,3.227259814739227295e-01,2.712849676609039307e-01,2.631703615188598633e-01,2.073919326066970825e-01,1.474681347608566284e-01,1.755935102701187134e-01
2.200000000000001676e-01,5.662839198009627095e-01,-3.164587414747010996e-03,1.049521220461028914e+00,0.000000000000000000e+00,4.711023112438009974e+00,inf,0.000000000000000000e+00,3.269095122814178467e-01,2.883412837982177734e-01,2.318894267082214355e-01,1.566368937492370605e-01,1.510491073131561279e-01,1.640414893627166748e-01
2.400000000000001854e-01,5.691913470117920815e-01,2.386668279200365728e-03,1.050939060884780174e+00,0.000000000000000000e+00,4.332151476648389732e+00,inf,0.000000000000000000e+00,3.394399285316467285e-01,3.004896938800811768e-01,2.304283231496810913e-01,1.611891984939575195e-01,1.563032418489456177e-01,1.198414862155914307e-01
2.600000000000001754e-01,5.699214339479441449e-01,6.915753818368119976e-03,1.067165687138602825e+00,0.000000000000000000e+00,4.100034275302705034e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.398648500442504883e-01,2.696115076541900635e-01,2.203853428363800049e-01,1.894643902778625488e-01,7.604251056909561157e-02
