time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998451756937538404e-01,7.462939749584562854e-04,-2.545850023461415645e-02,0.000000000000000000e+00,-2.276781594653636276e+00,1.673820043017173673e-02,0.000000000000000000e+00,-1.051460802555084229e-01,-1.448654085397720337e-01,-1.302409172058105469e-01,-1.442012637853622437e-01,-1.039625257253646851e-01,-7.359894365072250366e-02
4.000000000000002859e-02,5.990664520648940616e-01,-2.644415831741797618e-04,-5.047683121059302891e-02,0.000000000000000000e+00,-1.235674268764117123e+00,1.963055517461519822e-02,0.000000000000000000e+00,-1.281314529478549957e-02,-1.202825307846069336e-01,-5.132447555661201477e-02,-5.064360424876213074e-02,-1.397772692143917084e-02,3.972305357456207275e-02
6.000000000000004635e-02,5.983560615710553643e-01,-2.925162284050653039e-03,-4.893859316681843652e-02,0.000000000000000000e+00,-7.091152037740853231e-01,7.886493398519196785e-02,0.000000000000000000e+00,-4.673023894429206848e-02,-1.547931879758834839e-01,-7.724370807409286499e-02,-6.300566345453262329e-02,-4.109405353665351868e-02,1.412150799296796322e-03
8.000000000000005718e-02,5.978323400382467012e-01,-4.592414717224047038e-03,-5.149408333664114851e-02,0.000000000000000000e+00,-6.513393924556089010e-01,9.745858689772381178e-02,0.000000000000000000e+00,-8.216796070337295532e-02,-1.845706254243850708e-01,-1.043949127197265625e-01,-1.083647161722183228e-01,-7.539503276348114014e-02,-3.316354006528854370e-02
1.000000000000000749e-01,5.973784556457076844e-01,-4.782261961995715183e-03,-6.987178301181522222e-02,0.000000000000000000e+00,-7.547772529938454600e-01,7.225536665303375350e-02,0.000000000000000000e+00,-9.759172797203063965e-02,-1.884849816560745239e-01,-1.285630464553833008e-01,-1.513175964355468750e-01,-8.532640337944030762e-02,-3.565228357911109924e-02
1.200000000000000927e-01,5.970026828599563906e-01,-4.825205837993562508e-03,-8.770261747867261204e-02,0.000000000000000000e+00,-7.188556987948363508e-01,6.584959492716487006e-02,0.000000000000000000e+00,-9.535411000251770020e-02,-1.497303694486618042e-01,-1.366572082042694092e-01,-1.573192924261093140e-01,-8.439484238624572754e-02,-3.851122409105300903e-02
1.400000000000000966e-01,5.967124182748794192e-01,-5.871832127023690617e-03,-8.855755585314360745e-02,0.000000000000000000e+00,-5.573705945353706337e-01,8.624080448273639676e-02,0.000000000000000000e+00,-9.497699141502380371e-02,-1.287297606468200684e-01,-1.395877301692962646e-01,-1.536398530006408691e-01,-1.082989275455474854e-01,-7.808361947536468506e-02
1.600000000000001144e-01,5.964214257526739837e-01,-7.696670722978027346e-03,-7.470567413574864812e-02,0.000000000000000000e+00,-3.773326403673346596e-01,1.405909502386641641e-01,0.000000000000000000e+00,-8.838791400194168091e-02,-1.483748555183410645e-01,-1.280841678380966187e-01,-1.490221917629241943e-01,-1.219354420900344849e-01,-9.503547847270965576e-02
1.800000000000001321e-01,5.961151872370396010e-01,-8.797943871342417399e-03,-6.685817189160973839e-02,0.000000000000000000e+00,-3.434737501248374958e-01,1.555587513540980515e-01,0.000000000000000000e+00,-1.208653524518013000e-01,-1.711616516113281250e-01,-1.390365362167358398e-01,-1.722418516874313354e-01,-1.306475400924682617e-01,-1.007973477244377136e-01
2.000000000000001499e-01,5.958720325476182245e-01,-7.955843708202903208e-03,-8.454101067513973555e-02,0.000000000000000000e+00,-4.609611759879748694e-01,9.722088721462457395e-02,0.000000000000000000e+00,-1.549961566925048828e-01,-1.735257208347320557e-01,-1.667785942554473877e-01,-2.039562016725540161e-01,-1.290129423141479492e-01,-8.973553031682968140e-02
2.200000000000001676e-01,5.956594742978276180e-01,-6.155183468256331114e-03,-1.127635819467691924e-01,0.000000000000000000e+00,-5.309132118246875365e-01,6.448319939769610321e-02,0.000000000000000000e+00,-1.533963829278945923e-01,-1.161821931600570679e-01,-1.694402694702148438e-01,-1.947713792324066162e-01,-1.052831411361694336e-01,-6.991334259510040283e-02
2.400000000000001854e-01,5.953668561772964551e-01,-4.955776164565828257e-03,-1.266711948598804593e-01,0.000000000000000000e+00,-5.068943101600603685e-01,5.576628674176851291e-02,0.000000000000000000e+00,-1.392835527658462524e-01,-9.074150770902633667e-02,-1.652597635984420776e-01,-1.787574142217636108e-01,-1.139365583658218384e-01,-9.566393494606018066e-02
2.600000000000001754e-01,5.949151001932417859e-01,-4.303749694150871274e-03,-1.285546654974419611e-01,0.000000000000000000e+00,-4.726996844672021747e-01,5.420351990155754945e-02,0.000000000000000000e+00,-1.351527720689773560e-01,-1.061978712677955627e-01,-1.626903116703033447e-01,-1.811076849699020386e-01,-1.288797408342361450e-01,-1.152396723628044128e-01
2.800000000000001932e-01,5.944303609493956086e-01,-2.749822790029277098e-03,-1.436257945655556589e-01,0.000000000000000000e+00,-5.394575809955470813e-01,4.112248142997335099e-02,0.000000000000000000e+00,-1.590136736631393433e-01,-1.408232003450393677e-01,-1.771173328161239624e-01,-2.059995681047439575e-01,-1.408640146255493164e-01,-1.175479069352149963e-01
3.000000000000002109e-01,5.939358027361323344e-01,2.180516431576351444e-04,-1.793552739652416461e-01,0.000000000000000000e+00,-6.434910866593545054e-01,3.143330906579767242e-02,0.000000000000000000e+00,-1.629891544580459595e-01,-1.249626055359840393e-01,-1.718802750110626221e-01,-2.004761546850204468e-01,-1.098148226737976074e-01,-7.526382058858871460e-02
3.200000000000002287e-01,5.933270984503334899e-01,3.628252263412068412e-03,-2.177702654352741962e-01,0.000000000000000000e+00,-7.133391218573108539e-01,3.327446909114310791e-02,0.000000000000000000e+00,-1.604704707860946655e-01,-8.299534022808074951e-02,-1.625649034976959229e-01,-1.814629286527633667e-01,-9.586691111326217651e-02,-7.368963956832885742e-02
3.400000000000002465e-01,5.926604527331023053e-01,6.922522685303522660e-03,-2.522333228867204569e-01,0.000000000000000000e+00,-7.732928978616989690e-01,3.837339322363311767e-02,0.000000000000000000e+00,-1.572399139404296875e-01,-8.737631887197494507e-02,-1.678118407726287842e-01,-1.822696477174758911e-01,-1.074456349015235901e-01,-9.011521190404891968e-02
3.600000000000002642e-01,5.920155800548155822e-01,1.012309822498869138e-02,-2.893777513263133261e-01,0.000000000000000000e+00,-8.423783550793272346e-01,4.251503038736304668e-02,0.000000000000000000e+00,-1.533940583467483521e-01,-9.539126604795455933e-02,-1.683834195137023926e-01,-1.832697838544845581e-01,-1.074736267328262329e-01,-8.745131641626358032e-02
3.800000000000002820e-01,5.913745428605263754e-01,1.329079476014877192e-02,-3.321671659878058236e-01,0.000000000000000000e+00,-9.184035518330555536e-01,4.540017674924815699e-02,0.000000000000000000e+00,-1.502962410449981689e-01,-9.357785433530807495e-02,-1.625084131956100464e-01,-1.778622716665267944e-01,-9.770162403583526611e-02,-7.429260015487670898e-02
4.000000000000002998e-01,5.906946858961656943e-01,1.639761207325524106e-02,-3.790013833668594012e-01,0.000000000000000000e+00,-9.936119096509660187e-01,4.743785406543683802e-02,0.000000000000000000e+00,-1.473670303821563721e-01,-8.688282966613769531e-02,-1.557939946651458740e-01,-1.691821813583374023e-01,-8.801712840795516968e-02,-6.369487941265106201e-02
4.200000000000003175e-01,5.899828374192349623e-01,1.937868670701820006e-02,-4.285486204786415065e-01,0.000000000000000000e+00,-1.067898100650659599e+00,4.863716734227729183e-02,0.000000000000000000e+00,-1.449936628341674805e-01,-8.409217745065689087e-02,-1.529943794012069702e-01,-1.637198925018310547e-01,-8.370233327150344849e-02,-5.957987904548645020e-02
4.400000000000003353e-01,5.892645535837135462e-01,2.208697535571407800e-02,-4.797711901886568264e-01,0.000000000000000000e+00,-1.137199648426083565e+00,4.907944178565691595e-02,0.000000000000000000e+00,-1.376169323921203613e-01,-8.461361378431320190e-02,-1.482473164796829224e-01,-1.566282063722610474e-01,-7.811076194047927856e-02,-5.290994420647621155e-02
4.600000000000003531e-01,5.885536554210298865e-01,2.431189761568192109e-02,-5.307556650017953848e-01,0.000000000000000000e+00,-1.198037821745695730e+00,4.876030951572027372e-02,0.000000000000000000e+00,-1.281322836875915527e-01,-8.814991265535354614e-02,-1.416061222553253174e-01,-1.473757177591323853e-01,-7.113233953714370728e-02,-4.456440731883049011e-02
4.800000000000003708e-01,5.878391838565371064e-01,2.592651837749010424e-02,-5.801753873522953464e-01,0.000000000000000000e+00,-1.249780539332659757e+00,4.773648258966247532e-02,0.000000000000000000e+00,-1.187042370438575745e-01,-9.408486634492874146e-02,-1.342375725507736206e-01,-1.369925439357757568e-01,-6.380124390125274658e-02,-3.604361787438392639e-02
5.000000000000003331e-01,5.870969084864225973e-01,2.690519167876043172e-02,-6.277342586720111584e-01,0.000000000000000000e+00,-1.293690733051487518e+00,4.613037758951650524e-02,0.000000000000000000e+00,-1.097132787108421326e-01,-1.020339056849479675e-01,-1.273604184389114380e-01,-1.263460665941238403e-01,-5.719669535756111145e-02,-2.793791517615318298e-02
5.200000000000003508e-01,5.863162345398752473e-01,2.723911325064276578e-02,-6.733212296221630089e-01,0.000000000000000000e+00,-1.329985385754502314e+00,4.407657396860679977e-02,0.000000000000000000e+00,-9.978063404560089111e-02,-1.115217879414558411e-01,-1.206736788153648376e-01,-1.150166317820549011e-01,-5.122893303632736206e-02,-1.975954882800579071e-02
5.400000000000003686e-01,5.855106187134490048e-01,2.688614609809375500e-02,-7.163640662804883208e-01,0.000000000000000000e+00,-1.358073296447666722e+00,4.164654073929746625e-02,0.000000000000000000e+00,-8.909606188535690308e-02,-1.223615184426307678e-01,-1.143468394875526428e-01,-1.034668534994125366e-01,-4.647253081202507019e-02,-1.233604550361633301e-02
5.600000000000003864e-01,5.847004632279051428e-01,2.579053529726837990e-02,-7.560633713642040954e-01,0.000000000000000000e+00,-1.377395466280127101e+00,3.887658625130666762e-02,0.000000000000000000e+00,-7.838956266641616821e-02,-1.341218054294586182e-01,-1.085201948881149292e-01,-9.255284070968627930e-02,-4.294418916106224060e-02,-6.075387354940176010e-03
5.800000000000004041e-01,5.839099837305913310e-01,2.392083217221657732e-02,-7.918112315223186926e-01,0.000000000000000000e+00,-1.388107590284930248e+00,3.580751390170121978e-02,0.000000000000000000e+00,-6.887030601501464844e-02,-1.458177715539932251e-01,-1.037661656737327576e-01,-8.370772749185562134e-02,-4.056244343519210815e-02,-1.294796355068683624e-03
6.000000000000004219e-01,5.831656903814788073e-01,2.128118206585238870e-02,-8.233063433927299002e-01,0.000000000000000000e+00,-1.390739319633200743e+00,3.251811117464733364e-02,0.000000000000000000e+00,-6.084763631224632263e-02,-1.567456871271133423e-01,-1.004375740885734558e-01,-7.764233648777008057e-02,-3.938302397727966309e-02,1.900461502373218536e-03
6.200000000000004396e-01,5.825133624278929778e-01,1.790287663113609984e-02,-8.502615394968272566e-01,0.000000000000000000e+00,-1.385420077318894716e+00,2.913509737576802996e-02,0.000000000000000000e+00,-5.396005883812904358e-02,-1.667813658714294434e-01,-9.823518246412277222e-02,-7.385279238224029541e-02,-3.944607824087142944e-02,3.477668156847357750e-03
6.400000000000004574e-01,5.819809903736361534e-01,1.382431577970860692e-02,-8.721020053354446855e-01,0.000000000000000000e+00,-1.371837290549691390e+00,2.586762649194836519e-02,0.000000000000000000e+00,-4.813354462385177612e-02,-1.761160194873809814e-01,-9.666290879249572754e-02,-7.162821292877197266e-02,-4.077045246958732605e-02,3.261039033532142639e-03
6.600000000000004752e-01,5.815897576312665240e-01,9.105484758292703429e-03,-8.881399121000081998e-01,0.000000000000000000e+00,-1.349714196190966442e+00,2.305640900890956052e-02,0.000000000000000000e+00,-4.350556060671806335e-02,-1.850487589836120605e-01,-9.534037113189697266e-02,-7.059118896722793579e-02,-4.331632331013679504e-02,1.220283214934170246e-03
6.800000000000004929e-01,5.813906763711113035e-01,3.839607760007968107e-03,-8.976933774221541595e-01,0.000000000000000000e+00,-1.318833766356806381e+00,2.118772909946766217e-02,0.000000000000000000e+00,-4.012925177812576294e-02,-1.933163553476333618e-01,-9.404467791318893433e-02,-7.048472762107849121e-02,-4.678645730018615723e-02,-2.272014506161212921e-03
7.000000000000005107e-01,5.814404020571621867e-01,-1.865726405402501342e-03,-9.000769626088434006e-01,0.000000000000000000e+00,-1.278990974667017388e+00,2.083465996184587568e-02,0.000000000000000000e+00,-3.785213828086853027e-02,-2.004508674144744873e-01,-9.279110282659530640e-02,-7.100418210029602051e-02,-5.095734074711799622e-02,-6.924487184733152390e-03
7.200000000000005285e-01,5.817949727809391680e-01,-7.908941917786960207e-03,-8.946234582987238060e-01,0.000000000000000000e+00,-1.230077592681093401e+00,2.241139992998262762e-02,0.000000000000000000e+00,-3.633703663945198059e-02,-2.061800211668014526e-01,-9.163085371255874634e-02,-7.185958325862884521e-02,-5.580405518412590027e-02,-1.259210612624883652e-02
7.400000000000005462e-01,5.825032047780910327e-01,-1.420156982654180444e-02,-8.807890280538765992e-01,0.000000000000000000e+00,-1.172252969445346293e+00,2.597783043981285317e-02,0.000000000000000000e+00,-3.526573255658149719e-02,-2.104143798351287842e-01,-9.052456170320510864e-02,-7.288725674152374268e-02,-6.133706495165824890e-02,-1.905937865376472473e-02
7.600000000000005640e-01,5.836082254284328252e-01,-2.066810911894217950e-02,-8.582336134912773584e-01,0.000000000000000000e+00,-1.105931830565160201e+00,3.138479532285602669e-02,0.000000000000000000e+00,-3.432136401534080505e-02,-2.129613608121871948e-01,-8.929896354675292969e-02,-7.380403578281402588e-02,-6.724911183118820190e-02,-2.588385343551635742e-02
7.800000000000005818e-01,5.851479580458489593e-01,-2.723961108652123153e-02,-8.268410845345128823e-01,0.000000000000000000e+00,-1.031782176089834913e+00,3.855100411157641460e-02,0.000000000000000000e+00,-3.333498537540435791e-02,-2.136903256177902222e-01,-8.796346932649612427e-02,-7.427050918340682983e-02,-7.303491234779357910e-02,-3.271872550249099731e-02
8.000000000000005995e-01,5.871603582590112502e-01,-3.384920992895262826e-02,-7.868694798210739139e-01,0.000000000000000000e+00,-9.510245600845351754e-01,4.758363030233656726e-02,0.000000000000000000e+00,-3.249633684754371643e-02,-2.127988189458847046e-01,-8.688006550073623657e-02,-7.437478005886077881e-02,-7.837536185979843140e-02,-3.947991505265235901e-02
8.200000000000006173e-01,5.896597181462225334e-01,-4.041806421482441181e-02,-7.392536801645392952e-01,0.000000000000000000e+00,-8.657470924773904564e-01,5.876750835954240582e-02,0.000000000000000000e+00,-3.227014467120170593e-02,-2.107547670602798462e-01,-8.651289343833923340e-02,-7.474589347839355469e-02,-8.321556448936462402e-02,-4.608905687928199768e-02
8.400000000000006350e-01,5.925953710484783699e-01,-4.682198399138354228e-02,-6.856975780918641572e-01,0.000000000000000000e+00,-7.785633651413617073e-01,7.248372950217481236e-02,0.000000000000000000e+00,-3.324219211935997009e-02,-2.082038819789886475e-01,-8.727138489484786987e-02,-7.628961652517318726e-02,-8.774520456790924072e-02,-5.241056159138679504e-02
8.600000000000006528e-01,5.958990117598734759e-01,-5.287434071173946482e-02,-6.283163668116461542e-01,0.000000000000000000e+00,-6.921744033043871758e-01,8.909090303724041815e-02,0.000000000000000000e+00,-3.585627675056457520e-02,-2.056281417608261108e-01,-8.941138535737991333e-02,-7.971639186143875122e-02,-9.231904894113540649e-02,-5.845686048269271851e-02
8.800000000000006706e-01,5.994951879753050994e-01,-5.839890931809604835e-02,-5.692997815097778913e-01,0.000000000000000000e+00,-6.088896353754681412e-01,1.089932763246639763e-01,0.000000000000000000e+00,-4.031379148364067078e-02,-2.031802386045455933e-01,-9.301291406154632568e-02,-8.534733951091766357e-02,-9.723673760890960693e-02,-6.434722244739532471e-02
9.000000000000006883e-01,6.033199246345694045e-01,-6.327590458344256596e-02,-5.105526739093951827e-01,0.000000000000000000e+00,-5.303913168968202863e-01,1.327383442696328519e-01,0.000000000000000000e+00,-4.679000750184059143e-02,-2.007211148738861084e-01,-9.814778715372085571e-02,-9.336192160844802856e-02,-1.027893722057342529e-01,-7.040245085954666138e-02
9.200000000000007061e-01,6.073317449841142412e-01,-6.744526703933334533e-02,-4.535349413635368365e-01,0.000000000000000000e+00,-4.577090805793816997e-01,1.611109783449347355e-01,0.000000000000000000e+00,-5.537476390600204468e-02,-1.978443711996078491e-01,-1.047713086009025574e-01,-1.038085222244262695e-01,-1.091297939419746399e-01,-7.696186006069183350e-02
9.400000000000007239e-01,6.115080430743701223e-01,-7.090076391657151866e-02,-3.991180546456047362e-01,0.000000000000000000e+00,-3.910970889087785896e-01,1.953822922812418206e-01,0.000000000000000000e+00,-6.564924865961074829e-02,-1.938896179199218750e-01,-1.123223379254341125e-01,-1.161550208926200867e-01,-1.159444749355316162e-01,-8.402410149574279785e-02
9.600000000000007416e-01,6.158360949147141383e-01,-7.368236471295419587e-02,-3.474114807094479951e-01,0.000000000000000000e+00,-3.299488242877380295e-01,2.379312496807710620e-01,0.000000000000000000e+00,-7.672420889139175415e-02,-1.880638599395751953e-01,-1.197712868452072144e-01,-1.291974484920501709e-01,-1.225648224353790283e-01,-9.138656407594680786e-02
9.800000000000007594e-01,6.203016827635289276e-01,-7.585106176231182218e-02,-2.978251905909807817e-01,0.000000000000000000e+00,-2.731307510917526660e-01,2.933519313428589737e-01,0.000000000000000000e+00,-8.775653690099716187e-02,-1.798858791589736938e-01,-1.261982172727584839e-01,-1.416287273168563843e-01,-1.284273415803909302e-01,-9.895201027393341064e-02
1.000000000000000666e+00,6.248863910039667013e-01,-7.744872473960895398e-02,-2.495466897241208903e-01,0.000000000000000000e+00,-2.196797305286078972e-01,3.703066379798859442e-01,0.000000000000000000e+00,-9.819434583187103271e-02,-1.696155071258544922e-01,-1.311939805746078491e-01,-1.525816768407821655e-01,-1.332248002290725708e-01,-1.065695285797119141e-01
1.019999999999998463e+00,6.295713200595380865e-01,-7.846519187757250435e-02,-2.022254198534456371e-01,0.000000000000000000e+00,-1.272898437215484735e-01,5.640371599193002572e-01,0.000000000000000000e+00,-1.078114211559295654e-01,-1.580773890018463135e-01,-1.349208056926727295e-01,-1.618556082248687744e-01,-1.368185877799987793e-01,-1.138236299157142639e-01
1.039999999999996261e+00,6.343430764260293842e-01,-7.883726189629075565e-02,-1.564625361420270977e-01,0.000000000000000000e+00,-7.876515404382510022e-02,5.741903795112638376e-01,0.000000000000000000e+00,-1.165944188833236694e-01,-1.463503688573837280e-01,-1.380403339862823486e-01,-1.697607040405273438e-01,-1.392105668783187866e-01,-1.200609579682350159e-01
1.059999999999994058e+00,6.392009875863784440e-01,-7.848326406194455762e-02,-1.138862340501977377e-01,0.000000000000000000e+00,-4.524633661799341150e-02,5.726094160546817413e-01,0.000000000000000000e+00,-1.246790289878845215e-01,-1.355562806129455566e-01,-1.415209323167800903e-01,-1.768573969602584839e-01,-1.406069546937942505e-01,-1.246682852506637573e-01
1.079999999999991855e+00,6.441548242670812607e-01,-7.735072179424651306e-02,-7.683625695277256085e-02,0.000000000000000000e+00,-2.004215214622799730e-03,5.750186004274623341e-01,0.000000000000000000e+00,-1.323185265064239502e-01,-1.266689002513885498e-01,-1.461703777313232422e-01,-1.836928874254226685e-01,-1.413069367408752441e-01,-1.272750198841094971e-01
1.099999999999989653e+00,6.492271787482580825e-01,-7.543638307141736776e-02,-4.779130378415287483e-02,0.000000000000000000e+00,4.602334128027774779e-02,5.842486121168293245e-01,0.000000000000000000e+00,-1.398243010044097900e-01,-1.203587055206298828e-01,-1.522409766912460327e-01,-1.905104070901870728e-01,-1.414484232664108276e-01,-1.277442872524261475e-01
1.119999999999987450e+00,6.544264884733521637e-01,-7.279047110719533142e-02,-2.861035671032752595e-02,0.000000000000000000e+00,7.105922787795874995e-02,5.931749127173658875e-01,0.000000000000000000e+00,-1.474055796861648560e-01,-1.166658997535705566e-01,-1.593317985534667969e-01,-1.969860494136810303e-01,-1.407776772975921631e-01,-1.260020285844802856e-01
1.139999999999985247e+00,6.597282437543678935e-01,-6.953061124597043063e-02,-1.989247397251510396e-02,0.000000000000000000e+00,6.675399414715964264e-02,5.971575046195075620e-01,0.000000000000000000e+00,-1.546015739440917969e-01,-1.145560145378112793e-01,-1.663022190332412720e-01,-2.019502818584442139e-01,-1.384837329387664795e-01,-1.217143833637237549e-01
1.159999999999983045e+00,6.650310987841736576e-01,-6.582422817524929970e-02,-2.039323954037077988e-02,0.000000000000000000e+00,4.481606621027518778e-02,5.994849703928890605e-01,0.000000000000000000e+00,-1.600432395935058594e-01,-1.117084845900535583e-01,-1.710797697305679321e-01,-2.037289440631866455e-01,-1.340939402580261230e-01,-1.154657527804374695e-01
1.179999999999980842e+00,6.702007156347470351e-01,-6.185628000770004853e-02,-2.752746440773880601e-02,0.000000000000000000e+00,3.654306797133248519e-02,6.075031797457359772e-01,0.000000000000000000e+00,-1.631079763174057007e-01,-1.076973155140876770e-01,-1.727692931890487671e-01,-2.026880085468292236e-01,-1.294548511505126953e-01,-1.101101562380790710e-01
1.199999999999978639e+00,6.751685891395975414e-01,-5.775052417986487052e-02,-3.977933153048029968e-02,0.000000000000000000e+00,5.203876074659980616e-02,6.242312281917572481e-01,0.000000000000000000e+00,-1.652135550975799561e-01,-1.055645719170570374e-01,-1.736638098955154419e-01,-2.017944902181625366e-01,-1.265450119972229004e-01,-1.068066135048866272e-01
1.219999999999976437e+00,6.799643822090136736e-01,-5.354506331865793722e-02,-5.794498657744024533e-02,0.000000000000000000e+00,5.497474104475567891e-02,6.447434704386788562e-01,0.000000000000000000e+00,-1.670464277267456055e-01,-1.049979925155639648e-01,-1.748198568820953369e-01,-2.015809714794158936e-01,-1.239928528666496277e-01,-1.032126620411872864e-01
1.239999999999974234e+00,6.846278565727965670e-01,-4.927935820257506316e-02,-8.301947700685401166e-02,0.000000000000000000e+00,3.106926260283015759e-02,6.643996827976406117e-01,0.000000000000000000e+00,-1.673045903444290161e-01,-1.018338128924369812e-01,-1.745245605707168579e-01,-1.995400488376617432e-01,-1.195217594504356384e-01,-9.782109409570693970e-02
1.259999999999972031e+00,6.891481251361256666e-01,-4.504240138840248653e-02,-1.145150730362615860e-01,0.000000000000000000e+00,-2.363727758332130526e-03,6.844138037361224836e-01,0.000000000000000000e+00,-1.657084822654724121e-01,-9.571112692356109619e-02,-1.725217401981353760e-01,-1.952447891235351562e-01,-1.141682192683219910e-01,-9.258487820625305176e-02
1.279999999999969829e+00,6.935064708452958193e-01,-4.091315991897270798e-02,-1.517791573927100846e-01,0.000000000000000000e+00,-1.463060632425691385e-02,7.078140324791086790e-01,0.000000000000000000e+00,-1.635998487472534180e-01,-9.034687280654907227e-02,-1.705370098352432251e-01,-1.909636110067367554e-01,-1.098953932523727417e-01,-8.875218033790588379e-02
1.299999999999967626e+00,6.977054006170478884e-01,-3.693548528691265043e-02,-1.948786907322144490e-01,0.000000000000000000e+00,-1.899549395219629969e-02,7.348020066137788131e-01,0.000000000000000000e+00,-1.609914898872375488e-01,-8.593203127384185791e-02,-1.682066470384597778e-01,-1.867552995681762695e-01,-1.055020317435264587e-01,-8.429823815822601318e-02
1.319999999999965423e+00,7.017428503239406812e-01,-3.316192777713478090e-02,-2.437638165824358438e-01,0.000000000000000000e+00,-3.573867296290583750e-02,7.632530555090080160e-01,0.000000000000000000e+00,-1.576906293630599976e-01,-8.160676807165145874e-02,-1.649753451347351074e-01,-1.818783283233642578e-01,-1.002216488122940063e-01,-7.855391502380371094e-02
1.339999999999963221e+00,7.056058131818312429e-01,-2.966229114190449545e-02,-2.979473148220031509e-01,0.000000000000000000e+00,-5.801712420124202629e-02,7.914853279938875996e-01,0.000000000000000000e+00,-1.539509594440460205e-01,-7.798613607883453369e-02,-1.612648367881774902e-01,-1.765468269586563110e-01,-9.468440711498260498e-02,-7.236712425947189331e-02
1.359999999999961018e+00,7.092817784070841736e-01,-2.651421167219836228e-02,-3.567370553262038113e-01,0.000000000000000000e+00,-7.881731402081772198e-02,8.190415469721589181e-01,0.000000000000000000e+00,-1.497018337249755859e-01,-7.569664716720581055e-02,-1.572536826133728027e-01,-1.709337085485458374e-01,-8.915208280086517334e-02,-6.597330421209335327e-02
1.379999999999958815e+00,7.127556457947166191e-01,-2.379949549835841394e-02,-4.192594260432280229e-01,0.000000000000000000e+00,-9.743294612358280316e-02,8.461431920053390510e-01,0.000000000000000000e+00,-1.447231620550155640e-01,-7.501666247844696045e-02,-1.528328359127044678e-01,-1.649068593978881836e-01,-8.350042253732681274e-02,-5.920111760497093201e-02
1.399999999999956612e+00,7.159871746167226769e-01,-2.159697841245244998e-02,-4.844495651764614275e-01,0.000000000000000000e+00,-1.154439732708232580e-01,8.728445613425622751e-01,0.000000000000000000e+00,-1.389425396919250488e-01,-7.605396956205368042e-02,-1.479531675577163696e-01,-1.583248525857925415e-01,-7.762409746646881104e-02,-5.201683193445205688e-02
1.419999999999954410e+00,7.189348898206404659e-01,-1.998935827785686126e-02,-5.511378036103147249e-01,0.000000000000000000e+00,-1.317248984256444433e-01,8.988504951564563195e-01,0.000000000000000000e+00,-1.323319524526596069e-01,-7.856719940900802612e-02,-1.425865590572357178e-01,-1.510746031999588013e-01,-7.142549753189086914e-02,-4.452561959624290466e-02
