time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998711332406058139e-01,1.277706084044205603e-03,-2.844607157216319515e-02,0.000000000000000000e+00,-2.480038694885154715e+00,inf,0.000000000000000000e+00,-1.478528976440429688e-01,-1.327311396598815918e-01,-1.192284449934959412e-01,-6.083740666508674622e-02,-3.751029819250106812e-02,1.019472139887511730e-03
4.000000000000002859e-02,5.991162860762542230e-01,2.107354644201031579e-03,-7.212625711896805680e-02,0.000000000000000000e+00,-2.091829884831827080e+00,inf,0.000000000000000000e+00,-1.087419465184211731e-01,-1.179017126560211182e-01,-7.642590999603271484e-02,-2.059411443769931793e-02,-1.165799275040626526e-01,-3.330058977007865906e-02
6.000000000000004635e-02,5.982347037652326893e-01,6.264755864299753618e-04,-9.201379042664309393e-02,0.000000000000000000e+00,-1.482270319847800666e+00,inf,0.000000000000000000e+00,-1.022054851055145264e-01,-1.224708259105682373e-01,-8.274126052856445312e-02,-2.304041944444179535e-02,-9.894762188196182251e-02,-2.646666392683982849e-02
8.000000000000005718e-02,5.976872915921326301e-01,-2.022549894367897672e-03,-8.852088810337260805e-02,0.000000000000000000e+00,-9.670746260727935972e-01,inf,0.000000000000000000e+00,-1.150948330760002136e-01,-1.283088028430938721e-01,-1.014183685183525085e-01,-4.317112639546394348e-02,-5.976344272494316101e-02,-8.517088368535041809e-03
1.000000000000000749e-01,5.973077553253790528e-01,-4.506622963499018475e-03,-7.404197952566614338e-02,0.000000000000000000e+00,-6.027995254650301282e-01,inf,0.000000000000000000e+00,-1.386475861072540283e-01,-1.070772930979728699e-01,-1.148876026272773743e-01,-7.394137978553771973e-02,-4.113336093723773956e-03,1.079702377319335938e-02
1.200000000000000927e-01,5.966934669274338576e-01,-7.211619856585971267e-03,-3.658285995745867020e-02,0.000000000000000000e+00,-5.379236773281344947e-02,inf,0.000000000000000000e+00,-9.426877647638320923e-02,-4.505402967333793640e-02,-7.495991885662078857e-02,-6.435503065586090088e-02,3.147621080279350281e-02,8.363740518689155579e-03
1.400000000000000966e-01,5.952661545155796263e-01,-1.032591952457190265e-02,3.353898451199227582e-02,0.000000000000000000e+00,5.226717027362494106e-01,inf,0.000000000000000000e+00,-6.798346340656280518e-02,-9.504760615527629852e-03,-6.274598836898803711e-02,-7.475420087575912476e-02,6.320168077945709229e-02,1.195341255515813828e-02
1.600000000000001144e-01,5.931011398492250786e-01,-1.239915417205206261e-02,1.090919716840281356e-01,0.000000000000000000e+00,8.755913152417923451e-01,inf,0.000000000000000000e+00,-6.952258199453353882e-02,-1.131442748010158539e-02,-6.976220011711120605e-02,-8.319000154733657837e-02,7.090760022401809692e-02,1.516989618539810181e-02
1.800000000000001321e-01,5.911906920419875977e-01,-1.192601890554390032e-02,1.533457412807726628e-01,0.000000000000000000e+00,9.042716105729911025e-01,inf,0.000000000000000000e+00,-9.153737127780914307e-02,-4.221680760383605957e-02,-8.776062726974487305e-02,-8.483165502548217773e-02,6.414475291967391968e-02,1.759803108870983124e-02
2.000000000000001499e-01,5.900627877787456566e-01,-7.908705754792633158e-03,1.452168516391022235e-01,0.000000000000000000e+00,6.422128521839226556e-01,inf,0.000000000000000000e+00,-1.396711617708206177e-01,-1.315964013338088989e-01,-1.054185926914215088e-01,-4.477434232831001282e-02,3.947936929762363434e-03,8.178902789950370789e-03
2.200000000000001676e-01,5.890063590519083458e-01,-1.881238071163526815e-03,1.015788417273512378e-01,0.000000000000000000e+00,3.573656455128620402e-01,inf,0.000000000000000000e+00,-1.167479604482650757e-01,-1.641407012939453125e-01,-7.326866686344146729e-02,1.998909562826156616e-02,-7.889176160097122192e-02,-1.206294074654579163e-02
2.400000000000001854e-01,5.874462078201841964e-01,3.367713591929555328e-03,5.976888153410624821e-02,0.000000000000000000e+00,1.965616736909335527e-01,inf,0.000000000000000000e+00,-9.815812110900878906e-02,-1.549522727727890015e-01,-5.951335653662681580e-02,3.234201669692993164e-02,-8.066892623901367188e-02,-7.249540183693170547e-03
2.600000000000001754e-01,5.856361235016782629e-01,7.171297954092825666e-03,3.466432057648755061e-02,0.000000000000000000e+00,1.094277279445655116e-01,inf,0.000000000000000000e+00,-1.171185821294784546e-01,-1.643294841051101685e-01,-7.079952955245971680e-02,2.606371231377124786e-02,-6.465169042348861694e-02,-1.329408725723624229e-03
2.800000000000001932e-01,5.838659344109871085e-01,1.043956154510172762e-02,1.763497389800404089e-02,0.000000000000000000e+00,4.471805007524450037e-02,inf,0.000000000000000000e+00,-1.381933093070983887e-01,-1.523262113332748413e-01,-7.653144747018814087e-02,5.286158528178930283e-03,-4.460573941469192505e-02,-6.565299816429615021e-03
3.000000000000002109e-01,5.821827825962639924e-01,1.276115636045321855e-02,1.586048895959480537e-02,0.000000000000000000e+00,6.830447808394418674e-02,inf,0.000000000000000000e+00,-9.909725934267044067e-02,-8.516719937324523926e-02,-5.685458332300186157e-02,-1.343281660228967667e-02,-1.893988624215126038e-02,-1.163872331380844116e-02
3.200000000000002287e-01,5.805077648233022414e-01,1.377453861413152625e-02,3.472583385594065625e-02,0.000000000000000000e+00,1.369230922778772730e-01,inf,0.000000000000000000e+00,-6.977576762437820435e-02,-2.948263473808765411e-02,-5.679284408688545227e-02,-4.671890661120414734e-02,2.017594315111637115e-02,-5.917320493608713150e-03
