time,x,y,yaw
1.000000000000000021e-03,5.999999998228650044e-01,-5.775275226438392195e-06,6.577130333878944825e-05
2.000000000000000042e-03,5.999999964306089728e-01,-2.300815677086509581e-05,2.615317159854529602e-04
3.000000000000000062e-03,5.999999832991045334e-01,-5.143771246501893657e-05,5.851767201690909973e-04
4.000000000000000083e-03,5.999999492048541105e-01,-9.081323100906812940e-05,1.034461970567118402e-03
5.000000000000000104e-03,5.999998790445707497e-01,-1.408715387057335455e-04,1.607010691554020725e-03
6.000000000000000125e-03,5.999997542158125308e-01,-2.013376425991086904e-04,2.300321014931540516e-03
7.000000000000000146e-03,5.999995530103349184e-01,-2.719253895873685600e-04,3.111773251812902964e-03
8.000000000000000167e-03,5.999992510128440149e-01,-3.523381399332947694e-04,4.038637095163574373e-03
9.000000000000001055e-03,5.999988215196752073e-01,-4.422694549082173410e-04,5.078078747055373918e-03
1.000000000000000194e-02,5.999982359489905992e-01,-5.414037964183715523e-04,6.227167967117674605e-03
1.100000000000000283e-02,5.999974642520436996e-01,-6.494172379219453894e-04,7.482885041463389897e-03
1.200000000000000372e-02,5.999964753130704320e-01,-7.659781842643820227e-04,8.842127668299821705e-03
1.300000000000000461e-02,5.999952373460600841e-01,-8.907480992015326393e-04,1.030171775892844976e-02
1.400000000000000550e-02,5.999937182799816027e-01,-1.023382238511394426e-03,1.185840815240358191e-02
1.500000000000000638e-02,5.999918861310361562e-01,-1.163530386779298986e-03,1.350888924206441674e-02
1.600000000000000727e-02,5.999897093599892983e-01,-1.310837595849045911e-03,1.524979551197403957e-02
1.700000000000000816e-02,5.999871572130037745e-01,-1.464944922896338486e-03,1.707771198101968452e-02
1.800000000000000905e-02,5.999842000153183807e-01,-1.625490166967669126e-03,1.898918055338506133e-02
1.900000000000000994e-02,5.999808094498431110e-01,-1.792108601095965259e-03,2.098070627293070062e-02
2.000000000000001082e-02,5.999769588113209595e-01,-1.964433698187328936e-03,2.304876347350848231e-02
2.100000000000001171e-02,5.999726232702762285e-01,-2.142097847658119836e-03,2.518980182526232500e-02
2.200000000000001260e-02,5.999677800832686758e-01,-2.324733062750328205e-03,2.740025227242297995e-02
2.300000000000001349e-02,5.999624087805572881e-01,-2.511971675825286354e-03,2.967653285769902491e-02
2.400000000000001438e-02,5.999564913270989397e-01,-2.703447019998528322e-03,3.201505442842817600e-02
2.500000000000001527e-02,5.999500122568465210e-01,-2.898794095461121323e-03,3.441222621940229903e-02
2.600000000000001615e-02,5.999429587805442665e-01,-3.097650218927605614e-03,3.686446130709867403e-02
2.700000000000001704e-02,5.999353208674235161e-01,-3.299655654746824762e-03,3.936818192994482463e-02
2.800000000000001793e-02,5.999270913013974305e-01,-3.504454226327002875e-03,4.191982466916401723e-02
2.900000000000001882e-02,5.999182657125073925e-01,-3.711693907301139017e-03,4.451584548093701077e-02
3.000000000000001971e-02,5.999088425845551242e-01,-3.921027390758169417e-03,4.715272457375096343e-02
3.100000000000002059e-02,5.998988232399836695e-01,-4.132112635323259564e-03,4.982697113585603937e-02
3.200000000000002148e-02,5.998882118032002886e-01,-4.344613386485451922e-03,5.253512790492283896e-02
3.300000000000002237e-02,5.998770151436053633e-01,-4.558199673014240449e-03,5.527377557372123440e-02
3.400000000000002326e-02,5.998652427996827852e-01,-4.772548277689470098e-03,5.803953702783121865e-02
3.500000000000002415e-02,5.998529068855722457e-01,-4.987343181669767755e-03,6.082908141183607231e-02
3.600000000000002504e-02,5.998400219815875900e-01,-5.202275981930237769e-03,6.363912802092727694e-02
3.700000000000002592e-02,5.998266050101734859e-01,-5.417046281287807297e-03,6.646645001536068131e-02
3.800000000000002681e-02,5.998126750988107547e-01,-5.631362050609767245e-03,6.930787795573462029e-02
3.900000000000002770e-02,5.997982534313661684e-01,-5.844939962879547313e-03,7.216030315760417480e-02
4.000000000000002859e-02,5.997833630893677492e-01,-6.057505698865761623e-03,7.502068086449166506e-02
4.100000000000002948e-02,5.997680288846265473e-01,-6.268794224209839339e-03,7.788603323889434216e-02
4.200000000000003036e-02,5.997522771845463785e-01,-6.478550037816555029e-03,8.075345217142072818e-02
4.300000000000003125e-02,5.997361357313217844e-01,-6.686527391491836614e-03,8.362010190870954041e-02
4.400000000000003214e-02,5.997196334560122022e-01,-6.892490480825241850e-03,8.648322150131582120e-02
4.500000000000003303e-02,5.997028002881458209e-01,-7.096213607339307838e-03,8.934012707333534309e-02
4.600000000000003392e-02,5.996856669659651473e-01,-7.297481330262645116e-03,9.218821387651691956e-02
4.700000000000003481e-02,5.996682649855555880e-01,-7.496089211348699877e-03,9.502495647197176099e-02
4.800000000000003569e-02,5.996506262246501517e-01,-7.691843331051106958e-03,9.784791119512352420e-02
4.900000000000003658e-02,5.996327826956743268e-01,-7.884560203604451534e-03,1.006547198058672654e-01
5.000000000000003747e-02,5.996147662647441923e-01,-8.074066409486491125e-03,1.034431108488885476e-01
5.100000000000003836e-02,5.995966085258996880e-01,-8.260198715333011421e-03,1.062109008500851937e-01
5.200000000000003925e-02,5.995783407523815889e-01,-8.442803967756207228e-03,1.089559955302898814e-01
5.300000000000004013e-02,5.995599942367680901e-01,-8.621738400189316032e-03,1.116763923507104461e-01
5.400000000000004102e-02,5.995416006639695539e-01,-8.796867259415364071e-03,1.143701826336388505e-01
5.500000000000004191e-02,5.995231918776372515e-01,-8.968064706052103485e-03,1.170355512379704227e-01
5.600000000000004280e-02,5.995047991654747221e-01,-9.135214054716178644e-03,1.196707761407499321e-01
5.700000000000004369e-02,5.994864526378816949e-01,-9.298207648578749041e-03,1.222742274414265196e-01
