time,x,y,yaw
1.000000000000000021e-03,5.999999982251061903e-01,-7.246343566580382145e-06,1.232884075116224447e-04
2.000000000000000042e-03,5.999999731016278925e-01,-2.884148726967072918e-05,4.894400023835748402e-04
3.000000000000000062e-03,5.999998761099405442e-01,-6.440653257749895388e-05,1.093095117346462065e-03
4.000000000000000083e-03,5.999996248716112923e-01,-1.135780214702175606e-04,1.929165104624916199e-03
5.000000000000000104e-03,5.999991089078257067e-01,-1.759822678668587770e-04,2.992816087604232601e-03
6.000000000000000125e-03,5.999981924326895921e-01,-2.512367880418975297e-04,4.279451869690983380e-03
7.000000000000000146e-03,5.999967170823299334e-01,-3.389516715232576693e-04,5.784696327833254229e-03
8.000000000000000167e-03,5.999945045601474680e-01,-4.387308926309674284e-04,7.504375595352243827e-03
9.000000000000001055e-03,5.999913591798974322e-01,-5.501735658213213753e-04,9.434500306287393195e-03
1.000000000000000194e-02,5.999870702945899748e-01,-6.728751534271215640e-04,1.157124813010283922e-02
1.100000000000000283e-02,5.999814145814317268e-01,-8.064286437646228656e-04,1.391094676657493069e-02
1.200000000000000372e-02,5.999741582621409552e-01,-9.504256406097644216e-04,1.645005768175660660e-02
1.300000000000000461e-02,5.999650592758823953e-01,-1.104457312663231772e-03,1.918516122110205946e-02
1.400000000000000550e-02,5.999538692766333003e-01,-1.268115320693707915e-03,2.211294225712420042e-02
1.500000000000000638e-02,5.999403353667354111e-01,-1.440992782443029085e-03,2.523017692731709116e-02
1.600000000000000727e-02,5.999242017906687430e-01,-1.622685118844502394e-03,2.853372059179435510e-02
1.700000000000000816e-02,5.999052114851387563e-01,-1.812790853083223741e-03,3.202049695971938281e-02
1.800000000000000905e-02,5.998831074971935351e-01,-2.010912357978678067e-03,3.568748838771713949e-02
1.900000000000000994e-02,5.998576342734288636e-01,-2.216656553171325594e-03,3.953172733266088756e-02
2.000000000000001082e-02,5.998285388242573513e-01,-2.429635553575726359e-03,4.355028892384339712e-02
2.100000000000001171e-02,5.997955717679809284e-01,-2.649467270528171881e-03,4.774028460547850850e-02
2.200000000000001260e-02,5.997584882599987788e-01,-2.875775967012106360e-03,5.209885678955213095e-02
2.300000000000001349e-02,5.997170488129406341e-01,-3.108192768298212449e-03,5.662317445100708418e-02
2.400000000000001438e-02,5.996710200138299918e-01,-3.346356129291072623e-03,6.131042959181445123e-02
2.500000000000001527e-02,5.996201751445811023e-01,-3.589912259832461761e-03,6.615783449734351229e-02
2.600000000000001615e-02,5.995642947122239441e-01,-3.838515509179241114e-03,7.116261970727152941e-02
2.700000000000001704e-02,5.995031668952508497e-01,-4.091828710845069050e-03,7.632203262375826525e-02
2.800000000000001793e-02,5.994365879124023966e-01,-4.349523488976825281e-03,8.163333668144472088e-02
2.900000000000001882e-02,5.993643623200647363e-01,-4.611280527426653286e-03,8.709381100674130904e-02
3.000000000000001971e-02,5.992863032442594662e-01,-4.876789802674974528e-03,9.270075049759134156e-02
3.100000000000002059e-02,5.992022325529666738e-01,-5.145750781762714610e-03,9.845146625920465910e-02
3.200000000000002148e-02,5.991119809742607716e-01,-5.417872586399197221e-03,1.043432863359567281e-01
3.300000000000002237e-02,5.990153881654466383e-01,-5.692874124423763504e-03,1.103735566845711891e-01
3.400000000000002326e-02,5.989123027380823805e-01,-5.970484189814218023e-03,1.165396423387092678e-01
3.500000000000002415e-02,5.988025822434651646e-01,-6.250441532452910565e-03,1.228389287200626900e-01
3.600000000000002504e-02,5.986860931228453753e-01,-6.532494898878415945e-03,1.292688230558966811e-01
3.700000000000002592e-02,5.985627106263240460e-01,-6.816403045269869843e-03,1.358267558676470033e-01
3.800000000000002681e-02,5.984323187040875291e-01,-7.101934723927172399e-03,1.425101824995871624e-01
3.900000000000002770e-02,5.982948098733397169e-01,-7.388868644524815288e-03,1.493165846607140412e-01
4.000000000000002859e-02,5.981500850640113498e-01,-7.676993411431465297e-03,1.562434719568286112e-01
4.100000000000002948e-02,5.979980534460582753e-01,-7.966107438394598450e-03,1.632883833933020667e-01
4.200000000000003036e-02,5.978386322409081632e-01,-8.256018841897139193e-03,1.704488888322137907e-01
4.300000000000003125e-02,5.976717465193783774e-01,-8.546545314493780854e-03,1.777225903904294801e-01
4.400000000000003214e-02,5.974973289881654326e-01,-8.837513979434774569e-03,1.851071237677664738e-01
4.500000000000003303e-02,5.973153283340028041e-01,-9.128761432423304623e-03,1.926000280331129078e-01
4.600000000000003392e-02,5.971257230514498415e-01,-9.420136444779958484e-03,2.001982775849794061e-01
4.700000000000003481e-02,5.969285177676290077e-01,-9.711500360406744026e-03,2.078986670831891037e-01
4.800000000000003569e-02,5.967237317625164739e-01,-1.000272774654020758e-02,2.156980268415981949e-01
4.900000000000003658e-02,5.965113960488498401e-01,-1.029370593784345589e-02,2.235932272284287536e-01
5.000000000000003747e-02,5.962915538101746238e-01,-1.058433451615869991e-02,2.315811828210297130e-01
5.100000000000003836e-02,5.960642597287393318e-01,-1.087452485671308589e-02,2.396588563063808131e-01
5.200000000000003925e-02,5.958295792907820632e-01,-1.116419964536868870e-02,2.478232621149885906e-01
5.300000000000004013e-02,5.955875880747644180e-01,-1.145329237146375245e-02,2.560714697798091577e-01
5.400000000000004102e-02,5.953383710277774243e-01,-1.174174680065742660e-02,2.644006070153576693e-01
5.500000000000004191e-02,5.950820217350027974e-01,-1.202951643202798682e-02,2.728078625152547954e-01
5.600000000000004280e-02,5.948186416867773385e-01,-1.231656394348790151e-02,2.812904884691433960e-01
5.700000000000004369e-02,5.945483395474633337e-01,-1.260286062937543416e-02,2.898458028022150579e-01
