time,x,y,yaw
1.000000000000000021e-03,5.999999982314997427e-01,-7.245736511451994488e-06,1.234580940934264194e-04
2.000000000000000042e-03,5.999999731243391698e-01,-2.883893906496792781e-05,4.901256383716160944e-04
3.000000000000000062e-03,5.999998761608267284e-01,-6.440066800222910004e-05,1.094666761828846100e-03
4.000000000000000083e-03,5.999996248897602191e-01,-1.135674336485426039e-04,1.932031726825223991e-03
5.000000000000000104e-03,5.999991086062299583e-01,-1.759654925330145225e-04,2.997440218847699164e-03
6.000000000000000125e-03,5.999981910557476983e-01,-2.512122206187461515e-04,4.286363836056196995e-03
7.000000000000000146e-03,5.999967130673009574e-01,-3.389174312760090402e-04,5.794508085771630547e-03
8.000000000000000167e-03,5.999944950981462855e-01,-4.386846387229303978e-04,7.517794173064474596e-03
9.000000000000001055e-03,5.999913396742492244e-01,-5.501122708093664215e-04,9.452340835305434244e-03
1.000000000000000194e-02,5.999870337197541481e-01,-6.727948409129824725e-04,1.159444643441544243e-02
1.100000000000000283e-02,5.999813507347866448e-01,-8.063240988977482537e-04,1.394057145817619893e-02
1.200000000000000372e-02,5.999740529657101584e-01,-9.502900622199161873e-04,1.648732180766275188e-02
1.300000000000000461e-02,5.999648934523675869e-01,-1.104281976080256911e-03,1.923143326619876359e-02
1.400000000000000550e-02,5.999536179530360336e-01,-1.267889221870432959e-03,2.216975646935058497e-02
1.500000000000000638e-02,5.999399666097589012e-01,-1.440702272422322849e-03,2.529924295815329585e-02
1.600000000000000727e-02,5.999236755847058289e-01,-1.622313534114905309e-03,2.861693236510308783e-02
1.700000000000000816e-02,5.999044785607474672e-01,-1.812318149410130363e-03,3.211994071227235181e-02
1.800000000000000905e-02,5.998821081206621164e-01,-2.010314753492947748e-03,3.580544983039021800e-02
1.900000000000000994e-02,5.998562970082329526e-01,-2.215906186336491501e-03,3.967069788839704125e-02
2.000000000000001082e-02,5.998267792752468575e-01,-2.428700161459629303e-03,4.371297100669865876e-02
2.100000000000001171e-02,5.997932913190106019e-01,-2.648309892575861912e-03,4.792959591403704589e-02
2.200000000000001260e-02,5.997555728154683186e-01,-2.874354679259005785e-03,5.231793359740206234e-02
2.300000000000001349e-02,5.997133675533367070e-01,-3.106460452671822026e-03,5.687537388652071785e-02
2.400000000000001438e-02,5.996664241748955737e-01,-3.344260282334254875e-03,6.159933090892429075e-02
2.500000000000001527e-02,5.996144968291826638e-01,-3.587394844838387442e-03,6.648723934813541292e-02
2.600000000000001615e-02,5.995573457433616138e-01,-3.835512855360767581e-03,7.153655143585456455e-02
2.700000000000001704e-02,5.994947377179762338e-01,-4.088271462773351850e-03,7.674473460887894227e-02
2.800000000000001793e-02,5.994264465516759843e-01,-4.345336609114180959e-03,8.210926976258753340e-02
2.900000000000001882e-02,5.993522534008209890e-01,-4.606383354152920884e-03,8.762765003492493932e-02
3.000000000000001971e-02,5.992719470791532110e-01,-4.871096165765642638e-03,9.329738005768412057e-02
3.100000000000002059e-02,5.991853243024636289e-01,-5.139169176823443763e-03,9.911597561532169143e-02
3.200000000000002148e-02,5.990921898829087988e-01,-5.410306409300236208e-03,1.050809636553603349e-01
3.300000000000002237e-02,5.989923568773372065e-01,-5.684221966309355167e-03,1.111898825984895256e-01
3.400000000000002326e-02,5.988856466936840484e-01,-5.960640192791577530e-03,1.174402829006397225e-01
3.500000000000002415e-02,5.987718891591904402e-01,-6.239295805596178912e-03,1.238297278234720133e-01
3.600000000000002504e-02,5.986509225539023982e-01,-6.519933993717141885e-03,1.303557943738115621e-01
3.700000000000002592e-02,5.985225936126173929e-01,-6.802310489472995769e-03,1.370160743764930467e-01
3.800000000000002681e-02,5.983867574981611703e-01,-7.086191611445691318e-03,1.438081756488324148e-01
3.900000000000002770e-02,5.982432777486162978e-01,-7.371354280022224259e-03,1.507297232484567651e-01
4.000000000000002859e-02,5.980920262008744270e-01,-7.657586006413252822e-03,1.577783607694915879e-01
4.100000000000002948e-02,5.979328828926515627e-01,-7.944684856049544219e-03,1.649517516651093363e-01
4.200000000000003036e-02,5.977657430193383803e-01,-8.232426513177404370e-03,1.722472645601989816e-01
4.300000000000003125e-02,5.975905441352384884e-01,-8.520359640265318113e-03,1.796592719130557791e-01
4.400000000000003214e-02,5.974072569115750353e-01,-8.807939910950801643e-03,1.871801205651131284e-01
4.500000000000003303e-02,5.972158779660822203e-01,-9.094561133607625969e-03,1.948022174531557904e-01
4.600000000000003392e-02,5.970164188963336116e-01,-9.379672399236316238e-03,2.025180431518380231e-01
4.700000000000003481e-02,5.968089083771926928e-01,-9.662746139630029596e-03,2.103201648981597449e-01
4.800000000000003569e-02,5.965933913122818399e-01,-9.943278242715791748e-03,2.182012490930406168e-01
4.900000000000003658e-02,5.963699279151915000e-01,-1.022078806768972337e-02,2.261540732324810732e-01
5.000000000000003747e-02,5.961385919116535259e-01,-1.049481630738574589e-02,2.341715612544066905e-01
5.100000000000003836e-02,5.958994679835962760e-01,-1.076492128367417811e-02,2.422468318737475979e-01
5.200000000000003925e-02,5.956526509045665385e-01,-1.103067912394789518e-02,2.503731687844417686e-01
5.300000000000004013e-02,5.953982446972218012e-01,-1.129168409114450489e-02,2.585440189472973938e-01
5.400000000000004102e-02,5.951363617737719380e-01,-1.154754854648804008e-02,2.667530002759581076e-01
5.500000000000004191e-02,5.948671219854255732e-01,-1.179790274641767667e-02,2.749939086660836973e-01
5.600000000000004280e-02,5.945906516650699691e-01,-1.204239459982142657e-02,2.832607243629281513e-01
5.700000000000004369e-02,5.943070826695968645e-01,-1.228068939118048819e-02,2.915476176652107010e-01
5.800000000000004458e-02,5.940165514282655934e-01,-1.251246947502865359e-02,2.998489539659152103e-01
5.900000000000004546e-02,5.937191980035195771e-01,-1.273743394692139486e-02,3.081592981335612436e-01
6.000000000000004635e-02,5.934151731169043931e-01,-1.295530176345743856e-02,3.164733559165889831e-01
6.100000000000004724e-02,5.931046511022765033e-01,-1.316581916500675353e-02,3.247857323946592989e-01
6.200000000000004813e-02,5.927878257681141738e-01,-1.336875820047511709e-02,3.330911149963117213e-01
6.300000000000004208e-02,5.924648967338670413e-01,-1.356391151421887376e-02,3.413843929910594932e-01
6.400000000000004297e-02,5.921360664927561857e-01,-1.375109086694681348e-02,3.496606610473384502e-01
6.500000000000004385e-02,5.918015402138396830e-01,-1.393012677870736349e-02,3.579152220903560888e-01
6.600000000000004474e-02,5.914615246614233213e-01,-1.410086784863778808e-02,3.661435895007877916e-01
6.700000000000004563e-02,5.911162271756871256e-01,-1.426318008412202909e-02,3.743414886933399410e-01
6.800000000000004652e-02,5.907658547171000807e-01,-1.441694624385875256e-02,3.825048581157354244e-01
6.900000000000004741e-02,5.904106129756330201e-01,-1.456206519855895998e-02,3.906298497082803522e-01
7.000000000000004829e-02,5.900507055444312865e-01,-1.469845131218822099e-02,3.987128288621050731e-01
7.100000000000004918e-02,5.896863331565547206e-01,-1.482603384587660722e-02,4.067503739108763727e-01
7.200000000000005007e-02,5.893176929826555721e-01,-1.494475638586928445e-02,4.147392751867642890e-01
7.300000000000005096e-02,5.889449779870192803e-01,-1.505457629620976512e-02,4.226765336672083651e-01
7.400000000000005185e-02,5.885683763391735823e-01,-1.515546419624330676e-02,4.305593592349438170e-01
7.500000000000005274e-02,5.881880708782059042e-01,-1.524740346251046708e-02,4.383851685700461132e-01
7.600000000000005362e-02,5.878042386269424213e-01,-1.533038975415990102e-02,4.461515826895430248e-01
7.700000000000005451e-02,5.874170503532043508e-01,-1.540443056064622063e-02,4.538564241474609684e-01
7.800000000000005540e-02,5.870266701754398575e-01,-1.546954477018858132e-02,4.614977139060645883e-01
7.900000000000005629e-02,5.866333004198870382e-01,-1.552576822665752143e-02,4.690733743813739198e-01
8.000000000000005718e-02,5.862371779228696678e-01,-1.557315595846747724e-02,4.765808793981983205e-01
8.100000000000005806e-02,5.858385851441220149e-01,-1.561178242758265444e-02,4.840177842492639493e-01
8.200000000000005895e-02,5.854377913997562688e-01,-1.564173509354999103e-02,4.913818416343815332e-01
8.300000000000005984e-02,5.850350630654965745e-01,-1.566311442071094406e-02,4.986709997734440347e-01
8.400000000000006073e-02,5.846307204750732511e-01,-1.567601768896031977e-02,5.058829388683743211e-01
8.500000000000006162e-02,5.842251434941054811e-01,-1.568054101732979655e-02,5.130142823809976660e-01
8.600000000000006251e-02,5.838187862749247836e-01,-1.567677354597279971e-02,5.200616064520970916e-01
8.700000000000006339e-02,5.834120871484335114e-01,-1.566482284950859727e-02,5.270217081380175195e-01
8.800000000000006428e-02,5.830054833811508797e-01,-1.564480840848825327e-02,5.338916045516420850e-01
8.900000000000006517e-02,5.825994098076410221e-01,-1.561686030246967061e-02,5.406685310580187087e-01
9.000000000000006606e-02,5.821942975640381768e-01,-1.558111791739630325e-02,5.473499383325755030e-01
9.100000000000006695e-02,5.817905729634350598e-01,-1.553772865760039146e-02,5.539334880218952373e-01
9.200000000000006783e-02,5.813886565637453874e-01,-1.548684665045230169e-02,5.604170467116488252e-01
9.300000000000006872e-02,5.809889624599465785e-01,-1.542863143575323726e-02,5.667986780249242296e-01
9.400000000000006961e-02,5.805918977274513448e-01,-1.536324665216781682e-02,5.730766332054668677e-01
9.500000000000007050e-02,5.801978617015837170e-01,-1.529085877846425578e-02,5.792493417304548364e-01
9.600000000000007139e-02,5.798072445586723855e-01,-1.521163604190012286e-02,5.853154048005908550e-01
9.700000000000007228e-02,5.794204249564314235e-01,-1.512574761080465180e-02,5.912735939668175567e-01
9.800000000000007316e-02,5.790377673964439698e-01,-1.503336310983904855e-02,5.971228537802253378e-01
9.900000000000007405e-02,5.786596205482343880e-01,-1.493465240677777084e-02,6.028623048746375446e-01
1.000000000000000749e-01,5.782863173061613127e-01,-1.482978561244574500e-02,6.084912455319866353e-01
1.010000000000000758e-01,5.779181764588843251e-01,-1.471893331570467423e-02,6.140091528320138492e-01
1.020000000000000767e-01,5.775555055885734923e-01,-1.460226720153617874e-02,6.194156859895174616e-01
1.030000000000000776e-01,5.771986053411376494e-01,-1.447996138456486559e-02,6.247106952954287751e-01
1.040000000000000785e-01,5.768477760484919115e-01,-1.435219507788276783e-02,6.298942422019832010e-01
1.050000000000000794e-01,5.765033283820203414e-01,-1.421915734613415916e-02,6.349666408225745906e-01
1.060000000000000803e-01,5.761655984479838732e-01,-1.408105324981018258e-02,6.399285347439461757e-01
1.070000000000000812e-01,5.758349586418282096e-01,-1.393810548618035217e-02,6.447809528297716586e-01
1.080000000000000820e-01,5.755117660785190603e-01,-1.379051449716572897e-02,6.495244900461999427e-01
1.090000000000000829e-01,5.751961644338905444e-01,-1.363838647703990992e-02,6.541589856837216610e-01
1.100000000000000838e-01,5.748881774151521906e-01,-1.348177261998484422e-02,6.586846978404777841e-01
1.110000000000000847e-01,5.745878177174095214e-01,-1.332073278624951174e-02,6.631021843080352474e-01
1.120000000000000856e-01,5.742951652402188412e-01,-1.315536117333160337e-02,6.674122419627698255e-01
1.130000000000000865e-01,5.740103162891118105e-01,-1.298576519287281128e-02,6.716158537493298608e-01
1.140000000000000874e-01,5.737333668346324966e-01,-1.281205749318775622e-02,6.757141488208316948e-01
1.150000000000000883e-01,5.734644048188048959e-01,-1.263435191475736907e-02,6.797083760359911020e-01
1.160000000000000892e-01,5.732035063435386713e-01,-1.245276124441552223e-02,6.835998855552481990e-01
1.170000000000000900e-01,5.729507337332075956e-01,-1.226739590524628110e-02,6.873901149172015890e-01
1.180000000000000909e-01,5.727061345957972227e-01,-1.207836319361249577e-02,6.910805776941090217e-01
1.190000000000000918e-01,5.724697414599169143e-01,-1.188576686649539527e-02,6.946728538030069178e-01
1.200000000000000927e-01,5.722415717647474365e-01,-1.168970696937904341e-02,6.981685810335928055e-01
1.210000000000000936e-01,5.720216280743777304e-01,-1.149027983796435670e-02,7.015694475785515527e-01
1.220000000000000945e-01,5.718098984318931155e-01,-1.128757824563386691e-02,7.048771854059687758e-01
1.230000000000000954e-01,5.716063567610675245e-01,-1.108169183988855222e-02,7.080935637267851135e-01
1.240000000000000963e-01,5.714109633098595209e-01,-1.087270769959930439e-02,7.112203825940822677e-01
1.250000000000000833e-01,5.712236651320500291e-01,-1.066071084828429383e-02,7.142594680682660124e-01
1.260000000000000842e-01,5.710443966088873946e-01,-1.044578459774825330e-02,7.172126686467162893e-01
1.270000000000000850e-01,5.708730799653387589e-01,-1.022801084864138899e-02,7.200818522900395147e-01
1.280000000000000859e-01,5.707096257642758630e-01,-1.000747040441363200e-02,7.228689039234805769e-01
1.290000000000000868e-01,5.705539333812265079e-01,-9.784243267304926217e-03,7.255757233490219837e-01
1.300000000000000877e-01,5.704058914624968724e-01,-9.558408909469739978e-03,7.282042235056634949e-01
1.310000000000000886e-01,5.702653783715528890e-01,-9.330046516692502845e-03,7.307563290179107662e-01
1.320000000000000895e-01,5.701322624894998858e-01,-9.099235930766225167e-03,7.332339727617667169e-01
1.330000000000000904e-01,5.700064024449322808e-01,-8.866058934013543169e-03,7.356390886613217717e-01
1.340000000000000913e-01,5.698876474292737804e-01,-8.630600141883770782e-03,7.379736094111226663e-01
1.350000000000000921e-01,5.697758377224698689e-01,-8.392946870183715102e-03,7.402394669404893657e-01
1.360000000000000930e-01,5.696708052533603350e-01,-8.153188909523878536e-03,7.424385929314140098e-01
1.370000000000000939e-01,5.695723741730867040e-01,-7.911418348847676363e-03,7.445729193457066852e-01
1.380000000000000948e-01,5.694803614575898454e-01,-7.667729376662990592e-03,7.466443789224240790e-01
1.390000000000000957e-01,5.693945775395041764e-01,-7.422218053686979733e-03,7.486549056089903953e-01
1.400000000000000966e-01,5.693148269663556027e-01,-7.174982050845102322e-03,7.506064348912574458e-01
1.410000000000000975e-01,5.692409090792756032e-01,-6.926120349015574273e-03,7.525009039908356900e-01
1.420000000000000984e-01,5.691726187051560082e-01,-6.675732900676190074e-03,7.543402519032121889e-01
1.430000000000000993e-01,5.691097468546711946e-01,-6.423920257799975442e-03,7.561264192560871455e-01
1.440000000000001001e-01,5.690520814166808439e-01,-6.170783175421523659e-03,7.578613479704087164e-01
1.450000000000001010e-01,5.689994078242089914e-01,-5.916422643972407691e-03,7.595469807591277434e-01
1.460000000000001019e-01,5.689515097818097500e-01,-5.660940357946453450e-03,7.611852607220961353e-01
1.470000000000001028e-01,5.689081698623190686e-01,-5.404437497267877699e-03,7.627781300899458827e-01
1.480000000000001037e-01,5.688691699111246836e-01,-5.147013364000141422e-03,7.643275283296553368e-01
1.490000000000001046e-01,5.688342911011059488e-01,-4.888765113815751739e-03,7.658353900611402088e-01
1.500000000000001055e-01,5.688033138867898408e-01,-4.629788169332016423e-03,7.673036426615094108e-01
1.510000000000001064e-01,5.687760180630816453e-01,-4.370176595537567099e-03,7.687342039063026489e-01
1.520000000000001072e-01,5.687521832144097900e-01,-4.110023374421345466e-03,7.701289801761805887e-01
1.530000000000001081e-01,5.687315895527772502e-01,-3.849420413035764543e-03,7.714898651698673948e-01
1.540000000000001090e-01,5.687140188528936324e-01,-3.588458326127474951e-03,7.728187385361263706e-01
1.550000000000001099e-01,5.686992552162885017e-01,-3.327226156361218212e-03,7.741174641342705165e-01
1.560000000000001108e-01,5.686870856395509488e-01,-3.065811119096928383e-03,7.753878879736734175e-01
1.570000000000001117e-01,5.686773003161281759e-01,-2.804298078663169935e-03,7.766318357605993539e-01
1.580000000000001126e-01,5.686696923625064182e-01,-2.542768116471527673e-03,7.778511090397591810e-01
1.590000000000001135e-01,5.686640582089279583e-01,-2.281298695641698071e-03,7.790474829481910390e-01
1.600000000000001144e-01,5.686601980376193577e-01,-2.019964022888898203e-03,7.802227046236128727e-01
1.610000000000001152e-01,5.686579162491379735e-01,-1.758835439771455622e-03,7.813784907859926410e-01
1.620000000000001161e-01,5.686570216344117856e-01,-1.497981254586777666e-03,7.825165253405970134e-01
1.630000000000001170e-01,5.686573275778997738e-01,-1.237466713135793039e-03,7.836384570194769861e-01
1.640000000000001179e-01,5.686586522369971863e-01,-9.773539819499799108e-04,7.847458970760786690e-01
1.650000000000001188e-01,5.686608186988664215e-01,-7.177021431433727727e-04,7.858404170460666638e-01
1.660000000000001197e-01,5.686636551158015251e-01,-4.585671999413065691e-04,7.869235465861548207e-01
1.670000000000001206e-01,5.686669948202158764e-01,-2.000020918915268453e-04,7.879967714015899682e-01
1.680000000000001215e-01,5.686706764203307563e-01,5.794328124297809524e-05,7.890615312718552987e-01
1.690000000000001223e-01,5.686745438776275030e-01,3.152220278814787946e-04,7.901192181831224737e-01
1.700000000000001232e-01,5.686784465670801092e-01,5.717902262417084991e-04,7.911711745749862024e-01
1.710000000000001241e-01,5.686822393211425908e-01,8.276068800409652759e-04,7.922186917080739077e-01
1.720000000000001250e-01,5.686857824584046206e-01,1.082633869082028077e-03,7.932630081582440207e-01
