time,x,y,yaw
1.000000000000000021e-03,5.999999985365789268e-01,-7.359774796988904910e-06,1.154368733005137969e-04
2.000000000000000042e-03,5.999999779702717140e-01,-2.928833079668402561e-05,4.582408605253425558e-04
3.000000000000000062e-03,5.999998985169107124e-01,-6.538899746622028886e-05,1.023350847641728203e-03
4.000000000000000083e-03,5.999996925323011210e-01,-1.152819606237698302e-04,1.805960535861385764e-03
5.000000000000000104e-03,5.999992690615013613e-01,-1.785771440174777069e-04,2.801505763078499401e-03
6.000000000000000125e-03,5.999985159427454473e-01,-2.548755239198952083e-04,4.005651430354724776e-03
7.000000000000000146e-03,5.999973018362517729e-01,-3.437703671221870039e-04,5.414278201339609714e-03
8.000000000000000167e-03,5.999954781729760489e-01,-4.448483953884974085e-04,7.023469130637051590e-03
9.000000000000001055e-03,5.999928810195125362e-01,-5.576908798095026043e-04,8.829496363046140939e-03
1.000000000000000194e-02,5.999893328562120320e-01,-6.818746690375188102e-04,1.082880802940215832e-02
1.100000000000000283e-02,5.999846442658669510e-01,-8.169731564751092634e-04,1.301801544587358715e-02
1.200000000000000372e-02,5.999786155298664214e-01,-9.625571938842170105e-04,1.539388070034359256e-02
1.300000000000000461e-02,5.999710381269404147e-01,-1.118195963875356913e-03,1.795330467787321221e-02
1.400000000000000550e-02,5.999616961259888193e-01,-1.283457827207956647e-03,2.069331550018146254e-02
1.500000000000000638e-02,5.999503674526852626e-01,-1.457911187545235521e-03,2.361105729173080398e-02
1.600000000000000727e-02,5.999368250000747249e-01,-1.641125443902990977e-03,2.670377919342669520e-02
1.700000000000000816e-02,5.999208380595557610e-01,-1.832671137015906559e-03,2.996882672735333430e-02
1.800000000000000905e-02,5.999021732991065559e-01,-2.032120755151189950e-03,3.340363375863652368e-02
1.900000000000000994e-02,5.998805958788274717e-01,-2.239049080779875744e-03,3.700571316714196951e-02
2.000000000000001082e-02,5.998558701970775342e-01,-2.453034065693637800e-03,4.077264911619628979e-02
2.100000000000001171e-02,5.998277607624581398e-01,-2.673657298951914729e-03,4.470208994418303772e-02
2.200000000000001260e-02,5.997960329644674848e-01,-2.900504509804668896e-03,4.879174165986885359e-02
2.300000000000001349e-02,5.997604537834291261e-01,-3.133166042869117707e-03,5.303936201801760786e-02
2.400000000000001438e-02,5.997207924479162067e-01,-3.371237307258523330e-03,5.744275514882504763e-02
2.500000000000001527e-02,5.996768210072770389e-01,-3.614319200094640028e-03,6.199976670704142323e-02
2.600000000000001615e-02,5.996283148386477579e-01,-3.862018505981057448e-03,6.670827950143785878e-02
2.700000000000001704e-02,5.995750531082074675e-01,-4.113948273887335638e-03,7.156620959356309319e-02
2.800000000000001793e-02,5.995168192270778906e-01,-4.369728173335751809e-03,7.657150282038358013e-02
2.900000000000001882e-02,5.994534012342440654e-01,-4.628984828685289710e-03,8.172213170785275205e-02
3.000000000000001971e-02,5.993845921425070555e-01,-4.891352133005122393e-03,8.701609274533139704e-02
3.100000000000002059e-02,5.993101902473698672e-01,-5.156471541934992686e-03,9.245140399029705414e-02
3.200000000000002148e-02,5.992299994018699394e-01,-5.423992347920181256e-03,9.802610297416113061e-02
3.300000000000002237e-02,5.991438292601849458e-01,-5.693571935123487027e-03,1.037382448815890729e-01
3.400000000000002326e-02,5.990514956935291124e-01,-5.964876578823663511e-03,1.095858944254975709e-01
3.500000000000002415e-02,5.989528223794799988e-01,-6.237585624879304902e-03,1.155670818174448777e-01
