time,x,y,yaw
1.000000000000000021e-03,5.999999976051080264e-01,7.170155018831891880e-06,-1.240179026838101077e-04
2.000000000000000042e-03,5.999999656752830202e-01,2.852817481024949586e-05,-4.923742462966394003e-04
3.000000000000000062e-03,5.999998424982297962e-01,6.367223836312163598e-05,-1.099775810959374624e-03
4.000000000000000083e-03,5.999995235916451009e-01,1.121961931847548222e-04,-1.941250365963083889e-03
5.000000000000000104e-03,5.999988689896379457e-01,1.736676080697496793e-04,-3.012124738879593498e-03
6.000000000000000125e-03,5.999977069302081523e-01,2.476310317799934602e-04,-4.308001403767365567e-03
7.000000000000000146e-03,5.999958374815099749e-01,3.336111692400778317e-04,-5.824734151392904971e-03
8.000000000000000167e-03,5.999930360661210882e-01,4.311159641558481859e-04,-7.558403358144011840e-03
9.000000000000001055e-03,5.999890568552397330e-01,5.396395885844396112e-04,-9.505291298497432415e-03
1.000000000000000194e-02,5.999836360478072450e-01,6.586653220806426567e-04,-1.166185791881354725e-02
1.100000000000000283e-02,5.999764951413425473e-01,7.876682171351068185e-04,-1.402471779914983389e-02
1.200000000000000372e-02,5.999673439314369139e-01,9.261176723146524736e-04,-1.659061815763970826e-02
1.300000000000000461e-02,5.999558833146465542e-01,1.073479875027871788e-03,-1.935641817945632157e-02
1.400000000000000550e-02,5.999418079118306046e-01,1.229220102917816249e-03,-2.231907002321302166e-02
1.500000000000000638e-02,5.999248085286633669e-01,1.392804861763019542e-03,-2.547560155061409648e-02
1.600000000000000727e-02,5.999045744199531516e-01,1.563703876658550929e-03,-2.882310084383681026e-02
1.700000000000000816e-02,5.998807953616497324e-01,1.741391934246050432e-03,-3.235870252850590184e-02
1.800000000000000905e-02,5.998531635316413091e-01,1.925350577451634404e-03,-3.607957588027174006e-02
1.900000000000000994e-02,5.998213752023715539e-01,2.115069655022949746e-03,-3.998291466004159217e-02
2.000000000000001082e-02,5.997851322499890836e-01,2.310048728862146294e-03,-4.406592859666905865e-02
2.100000000000001171e-02,5.997441434861884302e-01,2.509798342741897947e-03,-4.832583641598723473e-02
2.200000000000001260e-02,5.996981258200950737e-01,2.713841156483043360e-03,-5.275986030092712220e-02
2.300000000000001349e-02,5.996468052585197661e-01,2.921712950079646820e-03,-5.736522165844520904e-02
2.400000000000001438e-02,5.995899177536467839e-01,3.132963502585850435e-03,-6.213913806439316789e-02
2.500000000000001527e-02,5.995272099077589845e-01,3.347157350847174140e-03,-6.707882125658887196e-02
2.600000000000001615e-02,5.994584395449458203e-01,3.563874433364755401e-03,-7.218147604850233545e-02
2.700000000000001704e-02,5.993833761599151044e-01,3.782710624741780769e-03,-7.744430004050850691e-02
2.800000000000001793e-02,5.993018012540467510e-01,4.003278166272716820e-03,-8.286448401199540681e-02
2.900000000000001882e-02,5.992135085687153584e-01,4.225205998310388456e-03,-8.843921288523332036e-02
3.000000000000001971e-02,5.991183042256843505e-01,4.448140000083700141e-03,-9.416566716036293971e-02
3.100000000000002059e-02,5.990160067840526459e-01,4.671743142644235736e-03,-1.000410247297726651e-01
3.200000000000002148e-02,5.989064472228425862e-01,4.895695560594104379e-03,-1.060624629892008841e-01
3.300000000000002237e-02,5.987894688578661029e-01,5.119694548198661099e-03,-1.122271611718740070e-01
3.400000000000002326e-02,5.986649272010100553e-01,5.343454485410126242e-03,-1.185323028406864571e-01
3.500000000000002415e-02,5.985326897695553150e-01,5.566706699231427358e-03,-1.249750784817062893e-01
3.600000000000002504e-02,5.983926422648725429e-01,5.789199055617644252e-03,-1.315525452049315369e-01
3.700000000000002592e-02,5.982447018614023282e-01,6.010699405327613043e-03,-1.382610596406330383e-01
3.800000000000002681e-02,5.980888173197054236e-01,6.230995978836417759e-03,-1.450967038426848321e-01
3.900000000000002770e-02,5.979249567168261059e-01,6.449900165779065553e-03,-1.520555709899480967e-01
4.000000000000002859e-02,5.977531070267682045e-01,6.667245295875257050e-03,-1.591337727494325227e-01
4.100000000000002948e-02,5.975732735629935011e-01,6.882885883347900080e-03,-1.663274464135761355e-01
4.200000000000003036e-02,5.973854791378948592e-01,7.096696859859641382e-03,-1.736327617583101890e-01
4.300000000000003125e-02,5.971897631687347330e-01,7.308572743251029458e-03,-1.810459275769014387e-01
4.400000000000003214e-02,5.969861966660857666e-01,7.518378769727274147e-03,-1.885626142288898133e-01
4.500000000000003303e-02,5.967748981661764596e-01,7.725923902173026381e-03,-1.961765414350009062e-01
4.600000000000003392e-02,5.965560313513027513e-01,7.930968483751854592e-03,-2.038809806811242853e-01
4.700000000000003481e-02,5.963298103429163222e-01,8.133289426903278496e-03,-2.116686158146560137e-01
4.800000000000003569e-02,5.960965088721037475e-01,8.332670340539305442e-03,-2.195309387783377642e-01
4.900000000000003658e-02,5.958564538445395575e-01,8.528905199000069715e-03,-2.274593764103301496e-01
5.000000000000003747e-02,5.956099973182122920e-01,8.721822362207365398e-03,-2.354455156563814155e-01
5.100000000000003836e-02,5.953575181834503960e-01,8.911277645933579628e-03,-2.434811189030400835e-01
5.200000000000003925e-02,5.950994194053196296e-01,9.097152479863368502e-03,-2.515581380701560898e-01
5.300000000000004013e-02,5.948361291990791333e-01,9.279287197379137986e-03,-2.596682803771858117e-01
5.400000000000004102e-02,5.945681092419683456e-01,9.457346983509917759e-03,-2.678008313210261671e-01
5.500000000000004191e-02,5.942958501191112353e-01,9.630868714684825971e-03,-2.759440466240798973e-01
5.600000000000004280e-02,5.940198606945393811e-01,9.799408556191990805e-03,-2.840864849979983231e-01
5.700000000000004369e-02,5.937406632336635903e-01,9.962563221796616464e-03,-2.922170234176947878e-01
5.800000000000004458e-02,5.934587906513395517e-01,1.011995676993288074e-02,-3.003248708046719062e-01
5.900000000000004546e-02,5.931747832600978709e-01,1.027123888661918283e-02,-3.083995801723027896e-01
6.000000000000004635e-02,5.928891855975229053e-01,1.041608321026588069e-02,-3.164310592829873703e-01
6.100000000000004724e-02,5.926025433487888128e-01,1.055418571011335072e-02,-3.244095798757583582e-01
6.200000000000004813e-02,5.923154003776867071e-01,1.068526312773504516e-02,-3.323257855295224106e-01
6.300000000000004208e-02,5.920282958769532700e-01,1.080905148892252754e-02,-3.401706982317676542e-01
6.400000000000004297e-02,5.917417616462415930e-01,1.092530469300229123e-02,-3.479357237187616914e-01
6.500000000000004385e-02,5.914563195040084542e-01,1.103379318191549663e-02,-3.556126556594667587e-01
6.600000000000004474e-02,5.911724788375549711e-01,1.113430269048576449e-02,-3.631936787734620919e-01
6.700000000000004563e-02,5.908907342935572071e-01,1.122663307677757016e-02,-3.706713709479059204e-01
6.800000000000004652e-02,5.906115636096538335e-01,1.131059723307986653e-02,-3.780387044136067631e-01
6.900000000000004741e-02,5.903354255869598388e-01,1.138602007478489719e-02,-3.852890460289358221e-01
7.000000000000004829e-02,5.900627582055315568e-01,1.145273760258552764e-02,-3.924161566928760503e-01
7.100000000000004918e-02,5.897939768976421249e-01,1.151059603179799273e-02,-3.994141898622803888e-01
7.200000000000005007e-02,5.895294729444754411e-01,1.155945088001336662e-02,-4.062776879404231267e-01
7.300000000000005096e-02,5.892696128053198645e-01,1.159916627242357778e-02,-4.130015759360470273e-01
7.400000000000005185e-02,5.890147375301533206e-01,1.162961479391788622e-02,-4.195811711302511737e-01
7.500000000000005274e-02,5.887651587017146415e-01,1.165067616428044905e-02,-4.260121714845431229e-01
7.600000000000005362e-02,5.885211609294838109e-01,1.166223680234845794e-02,-4.322906371983622487e-01
7.700000000000005451e-02,5.882829990111152485e-01,1.166418906962662927e-02,-4.384129953230724297e-01
7.800000000000005540e-02,5.880508988969783690e-01,1.165643122508097651e-02,-4.443760351868339953e-01
7.900000000000005629e-02,5.878250540308173067e-01,1.163886668680763625e-02,-4.501768939620294785e-01
8.000000000000005718e-02,5.876056260882611681e-01,1.161140372732732962e-02,-4.558130395393943934e-01
8.100000000000005806e-02,5.873927469698824178e-01,1.157395607244376956e-02,-4.612822418693799942e-01
8.200000000000005895e-02,5.871865369872382168e-01,1.152644730522867089e-02,-4.665825736041575578e-01
8.300000000000005984e-02,5.869870829518362143e-01,1.146880599350635910e-02,-4.717123288803981018e-01
8.400000000000006073e-02,5.867944719057617275e-01,1.140097340407025817e-02,-4.766700073942853333e-01
8.500000000000006162e-02,5.866087713310520479e-01,1.132289866640512344e-02,-4.814543722916333479e-01
8.600000000000006251e-02,5.864300441682932519e-01,1.123454237235183006e-02,-4.860643993298403576e-01
8.700000000000006339e-02,5.862583424556304657e-01,1.113587541901650546e-02,-4.904992614186150512e-01
8.800000000000006428e-02,5.860937081945991611e-01,1.102687973651650388e-02,-4.947583190519416751e-01
8.900000000000006517e-02,5.859361760179773171e-01,1.090755231774520606e-02,-4.988411025826844369e-01
9.000000000000006606e-02,5.857857748211671156e-01,1.077790590796628978e-02,-5.027472637619090357e-01
9.100000000000006695e-02,5.856425319617071246e-01,1.063796704539660132e-02,-5.064766040622236121e-01
9.200000000000006783e-02,5.855064669891472118e-01,1.048777386465782335e-02,-5.100290894273229458e-01
9.300000000000006872e-02,5.853775917806962603e-01,1.032738019746698432e-02,-5.134048395196012526e-01
9.400000000000006961e-02,5.852559072849647936e-01,1.015685419057238414e-02,-5.166041337433013858e-01
9.500000000000007050e-02,5.851414064059397013e-01,9.976274569032994588e-03,-5.196274109493779214e-01
9.600000000000007139e-02,5.850340751793468019e-01,9.785733653589923087e-03,-5.224752686115462508e-01
9.700000000000007228e-02,5.849338916333295391e-01,9.585336624180151865e-03,-5.251484623146622788e-01
9.800000000000007316e-02,5.848408261771342875e-01,9.375201421517376232e-03,-5.276479034942981317e-01
9.900000000000007405e-02,5.847548411245537814e-01,9.155458694766860361e-03,-5.299746627496700890e-01
1.000000000000000749e-01,5.846758909150819861e-01,8.926253429239472403e-03,-5.321299696565554571e-01
1.010000000000000758e-01,5.846039217424117140e-01,8.687744869731339747e-03,-5.341152127768724611e-01
1.020000000000000767e-01,5.845388714374621930e-01,8.440105831268862602e-03,-5.359319407459656182e-01
1.030000000000000776e-01,5.844806701318912001e-01,8.183521741395638482e-03,-5.375818616680232420e-01
1.040000000000000785e-01,5.844292396613302021e-01,7.918190345077291692e-03,-5.390668427460153511e-01
1.050000000000000794e-01,5.843844933533777208e-01,7.644320993400566255e-03,-5.403889087349105225e-01
1.060000000000000803e-01,5.843463352995081905e-01,7.362138231663206689e-03,-5.415502282332467221e-01
1.070000000000000812e-01,5.843146597693810174e-01,7.071884725053823040e-03,-5.425530947771972645e-01
1.080000000000000820e-01,5.842893508263378166e-01,6.773824013404206035e-03,-5.433999250408421133e-01
1.090000000000000829e-01,5.842702824475405343e-01,6.468239021149180257e-03,-5.440932591730215373e-01
1.100000000000000838e-01,5.842573185504580380e-01,6.155430859550115041e-03,-5.446357599049569398e-01
1.110000000000000847e-01,5.842503136785426321e-01,5.835717317011213101e-03,-5.450302118734887680e-01
1.120000000000000856e-01,5.842491135461089780e-01,5.509431387298313609e-03,-5.452795202695320809e-01
1.130000000000000865e-01,5.842535554980811119e-01,5.176919793276835158e-03,-5.453867089037033322e-01
1.140000000000000874e-01,5.842634690480886794e-01,4.838541469063206701e-03,-5.453549180714104549e-01
1.150000000000000883e-01,5.842786765045647757e-01,4.494665695675470474e-03,-5.451874055376738637e-01
1.160000000000000892e-01,5.842989936388623962e-01,4.145670305642834563e-03,-5.448875492614015936e-01
1.170000000000000900e-01,5.843242303935132220e-01,3.791939971266478082e-03,-5.444588440829045695e-01
1.180000000000000909e-01,5.843541916478764975e-01,3.433864878852666003e-03,-5.439048966339891100e-01
1.190000000000000918e-01,5.843886780009317494e-01,3.071839388403718729e-03,-5.432294198097936677e-01
1.200000000000000927e-01,5.844274865669326635e-01,2.706260730163001504e-03,-5.424362268282094668e-01
1.210000000000000936e-01,5.844704117765627815e-01,2.337527749131762533e-03,-5.415292249078238473e-01
1.220000000000000945e-01,5.845172461760886895e-01,1.966039701889521485e-03,-5.405124085993818772e-01
1.230000000000000954e-01,5.845677812174472354e-01,1.592195109121730123e-03,-5.393898528088153510e-01
1.240000000000000963e-01,5.846218080327301170e-01,1.216390666420485989e-03,-5.381657055520123745e-01
1.250000000000000833e-01,5.846791181871233700e-01,8.390202151804526665e-04,-5.368441804827694952e-01
1.260000000000000842e-01,5.847395044048704360e-01,4.604737730905528181e-04,-5.354295492438522208e-01
1.270000000000000850e-01,5.848027612632787919e-01,8.113661996766996509e-05,-5.339261337310727829e-01
1.280000000000000859e-01,5.848686858514804410e-01,-2.986115515609677473e-04,-5.323382982384734508e-01
1.290000000000000868e-01,5.849370783906129301e-01,-6.783974202663189956e-04,-5.306704414888790966e-01
1.300000000000000877e-01,5.850077428128418466e-01,-1.057854755409814995e-03,-5.289269886373333396e-01
1.310000000000000886e-01,5.850804873225771141e-01,-1.436625072418762361e-03,-5.271123833244983903e-01
1.320000000000000895e-01,5.851551250170707874e-01,-1.814358205790678191e-03,-5.252310801093130754e-01
1.330000000000000904e-01,5.852314741267221621e-01,-2.190712883917977916e-03,-5.232875362132957120e-01
1.340000000000000913e-01,5.853093583286996804e-01,-2.565357231284481898e-03,-5.212862033896645819e-01
1.350000000000000921e-01,5.853886070889278148e-01,-2.937969210240309881e-03,-5.192315204959987440e-01
1.360000000000000930e-01,5.854690560437709745e-01,-3.308236976925060802e-03,-5.171279062306048946e-01
1.370000000000000939e-01,5.855505474615890771e-01,-3.675859104197376492e-03,-5.149797526017475535e-01
1.380000000000000948e-01,5.856329302499562184e-01,-4.040544762031028636e-03,-5.127914186785466066e-01
1.390000000000000957e-01,5.857160600939588235e-01,-4.402013864001852461e-03,-5.105672237608533948e-01
1.400000000000000966e-01,5.857997994452122104e-01,-4.759997280906258510e-03,-5.083114407002568003e-01
1.410000000000000975e-01,5.858840175780590798e-01,-5.114237014409106497e-03,-5.060282893756985478e-01
1.420000000000000984e-01,5.859685907719329734e-01,-5.464486347483699102e-03,-5.037219305326084973e-01
1.430000000000000993e-01,5.860534024752497295e-01,-5.810509948961706250e-03,-5.013964601428947399e-01
