x_fit,y_fit
2.703150770448217721e-02,5.796556947912762103e-01
3.948194020519921188e-02,5.950660077056322272e-01
5.296554216078191990e-02,6.095809480043966611e-01
6.741810159996261542e-02,6.231313922491523716e-01
8.277079215612917484e-02,6.356528101504876904e-01
9.895050083409515085e-02,6.470855718758730113e-01
1.158801761907695405e-01,6.573752320204501176e-01
1.334791952716069541e-01,6.664727888884012241e-01
1.516637475554072356e-01,6.743349178501403252e-01
1.703472340790293527e-01,6.809241776640280186e-01
1.894406798412990867e-01,6.862091887800567669e-01
2.088531575221485304e-01,6.901647827763874865e-01
2.284922204991409744e-01,6.927721222170830639e-01
2.482643430992589051e-01,6.940187903602521580e-01
2.680753659893744811e-01,6.938988502893901344e-01
2.878309445843548198e-01,6.924128731863230524e-01
3.074369983373776982e-01,6.895679356111092950e-01
3.268001587728380786e-01,6.853775858018563705e-01
3.458282141282095767e-01,6.798617791549367295e-01
3.644305484873756606e-01,6.730467831928634848e-01
3.825185733141786004e-01,6.649650524723901279e-01
4.000061493311249383e-01,6.556550740285478351e-01
4.168099967341654666e-01,6.451611840906548156e-01
4.328500917900143241e-01,6.335333569431341738e-01
4.480500479273200609e-01,6.208269669366348609e-01
4.623374795068468934e-01,6.071025247828122362e-01
4.756443465383094482e-01,5.924253893885924604e-01
4.879072787022412649e-01,5.768654566022308749e-01
4.990678771338316055e-01,5.604968263534266804e-01
5.090729925315675697e-01,5.433974497726482555e-01
5.178749782662647183e-01,5.256487579701668578e-01
5.254319172851241726e-01,5.073352742426363582e-01
5.317078217302464438e-01,4.885442115539809782e-01
5.366728043209751942e-01,4.693650572074763994e-01
5.403032206839069040e-01,4.498891466869116562e-01
5.425817819527614105e-01,4.302092286962960199e-01
5.434976371018849228e-01,4.104190234694897188e-01
5.430464246212955981e-01,3.906127764531909796e-01
5.412302932871833061e-01,3.708848094887381430e-01
5.380578919289508155e-01,3.513290716301052941e-01
5.335443282415249788e-01,3.320386917371939139e-01
5.277110968390873458e-01,3.131055349750769268e-01
5.205859768928446929e-01,2.946197653312417342e-01
5.122028998403145295e-01,2.766694162342289154e-01
5.026017877961219682e-01,2.593399713184751931e-01
4.918283634338335153e-01,2.427139573318535803e-01
4.799339322442138234e-01,2.268705511245797390e-01
4.669751382068392243e-01,2.118852025910890335e-01
4.530136940386182420e-01,1.978292753605243315e-01
4.381160873038332793e-01,1.847697069469444731e-01
4.223532637852773219e-01,1.727686899776978147e-01
