x_fit,y_fit
-1.308455719118425953e-02,5.908096809033031027e-01
-2.494219871072034245e-02,6.065245829726508831e-01
-3.785047367602098478e-02,6.213885745925089577e-01
-5.174850207483039366e-02,6.353315518958292385e-01
-6.657073586594824954e-02,6.482877548464032191e-01
-8.224726812708735291e-02,6.601960773865631626e-01
-9.870416276076354745e-02,6.710003556350672138e-01
-1.158638032032080489e-01,6.806496327759230525e-01
-1.336452584916663078e-01,6.890983993888420978e-01
-1.519646649635811309e-01,6.963068080878397348e-01
-1.707356217874295146e-01,7.022408614556684414e-01
-1.898695984597505437e-01,7.068725723877204992e-01
-2.092763523464631903e-01,7.101800960891593295e-01
-2.288643542991999069e-01,7.121478331027362163e-01
-2.485412203392993735e-01,7.127665028813735537e-01
-2.682141473734824810e-01,7.120331875585241832e-01
-2.877903508862219573e-01,7.099513457098660663e-01
-3.071775025444926643e-01,7.065307960414310973e-01
-3.262841656510027111e-01,7.017876710810972973e-01
-3.450202263921546275e-01,6.957443410918542348e-01
-3.632973188468153203e-01,6.884293085656925104e-01
-3.810292417514054009e-01,6.798770737957220422e-01
-3.981323650556933269e-01,6.701279721605279960e-01
-4.145260243518339993e-01,6.592279838881912601e-01
-4.301329013163838200e-01,6.472285171971913220e-01
-4.448793883709925012e-01,6.341861658369772892e-01
-4.586959358419021582e-01,6.201624421717335522e-01
-4.715173799809262434e-01,6.052234870662080990e-01
-4.832832503008446245e-01,5.894397579418888533e-01
-4.939380547757127315e-01,5.728856964747640612e-01
-5.034315415609768030e-01,5.556393775019213832e-01
-5.117189359990321762e-01,5.377821407928696784e-01
-5.187611517924215487e-01,5.193982074222779355e-01
-5.245249753487041255e-01,5.005742825534557072e-01
-5.289832224275619055e-01,4.813991465059885844e-01
-5.321148663513382004e-01,4.619632360361985990e-01
-5.339051371743220864e-01,4.423582178052612446e-01
-5.343455913430612547e-01,4.226765560466530514e-01
-5.334341515191614036e-01,4.030110764719661565e-01
-5.311751163767520767e-01,3.834545284718620106e-01
-5.275791403284115777e-01,3.640991476769827595e-01
-5.226631832751710283e-01,3.450362209419372550e-01
-5.164504306175938808e-01,3.263556558040517919e-01
-5.089701839051860022e-01,3.081455564474714359e-01
-5.002577226398756682e-01,2.904918081725161305e-01
-4.903541378853438770e-01,2.734776723300813561e-01
-4.793061384669645153e-01,2.571833936315164326e-01
-4.671658306763837865e-01,2.416858216860475472e-01
-4.539904725197309032e-01,2.270580485507088797e-01
-4.398422036685116776e-01,2.133690640022247453e-01
-4.247877523868338612e-01,2.006834301567044510e-01
-4.088981208171988957e-01,1.890609769717578326e-01
-3.922482501091636986e-01,1.785565200671513919e-01
-3.749166669702466148e-01,1.692196021948650375e-01
-3.569851133060656379e-01,1.610942595778660502e-01
-3.385381606964623646e-01,1.542188142196317946e-01
-3.196628115258740577e-01,1.486256931639614587e-01
-3.004480886491687208e-01,1.443412755575134154e-01
-2.809846155282247349e-01,1.413857682363748314e-01
-2.613641888194753737e-01,1.397731104234406496e-01
-2.416793454282553377e-01,1.395109079860852863e-01
-2.220229260718662445e-01,1.406003975641881842e-01
-2.024876374097606124e-01,1.430364407377013869e-01
-1.831656148059866429e-01,1.468075482612643534e-01
-1.641479877860691772e-01,1.518959342515679434e-01
-1.455244502377783800e-01,1.582776000719017251e-01
-1.273828373828794491e-01,1.659224475182533576e-01
-1.098087115150112036e-01,1.747944207731351174e-01
-9.288495845749944468e-02,1.848516764576340066e-01
-7.669139664435881132e-02,1.960467809796564431e-01
-6.130440066818929057e-02,2.083269342476073982e-01
-4.679654107045613798e-02,2.216342186943859316e-01
-3.323624207302369737e-02,2.359058724372164184e-01
-2.068745886520836907e-02,2.510745852849921578e-01
-9.209375968376898314e-03,2.670688161970578012e-01
1.143871899291409866e-03,2.838131306961839684e-01
1.032345514137342213e-02,3.012285566443685392e-01
1.828607958093367292e-02,3.192329567035077087e-01
2.499419065124883210e-02,3.377414157242727422e-01
3.041615051649079748e-02,3.566666412361317318e-01
3.452638728700499482e-02,3.759193751496656133e-01
3.730551562542930299e-02,3.954088147294375077e-01
3.874042817483516754e-02,4.150430408519660275e-01
3.882435737768061279e-02,4.347294515289767958e-01
3.755690739401720823e-02,4.543751986512912233e-01
3.494405596841157480e-02,4.738876258935061925e-01
3.099812623677780654e-02,4.931747057141535606e-01
2.573772860608877777e-02,5.121454733902931489e-01
1.918767298108295383e-02,5.307104560394728665e-01
1.137885175193617537e-02,5.487820946056419791e-01
2.348094094771074891e-03,5.662751568187757156e-01
-7.862007727827052816e-03,5.831071391805533466e-01
-1.920329924705727054e-02,5.991986560801765282e-01
-3.162229090149112909e-02,6.144738142051229257e-01
-4.506041031285548670e-02,6.288605704809808739e-01
-5.945427853418314146e-02,6.422910718521905871e-01
-7.473600896745266620e-02,6.547019753011703580e-01
-9.083352754091039705e-02,6.660347465964981950e-01
-1.076709126360070601e-01,6.762359363611496477e-01
-1.251687531607342807e-01,6.852574321587564521e-01
-1.432445230805549086e-01,6.930566854089542650e-01
-1.618129706405130874e-01,6.995969120616098991e-01
-1.807865204428064643e-01,7.048472660834741443e-01
-2.000756864834879190e-01,7.087829849390372416e-01
-2.195894942002620254e-01,7.113855063794466416e-01
-2.392359095408519154e-01,7.126425559886697680e-01
-2.589222730282998985e-01,7.125482050740019613e-01
-2.785557367759893821e-01,7.111028986278885577e-01
-2.980437023912774208e-01,7.083134532291823771e-01
-3.172942577024224220e-01,7.041930248937346981e-01
-3.362166102490512509e-01,6.987610470259498774e-01
-3.547215154916697477e-01,6.920431387639427445e-01
-3.727216977206264104e-01,6.840709841505796529e-01
-3.901322616793787557e-01,6.748821827002703388e-01
-4.068710929606928484e-01,6.645200720662963745e-01
-4.228592452873713992e-01,6.530335236450361958e-01
-4.380213128509526932e-01,6.404767120810916925e-01
-4.522857859523041202e-01,6.269088597604097757e-01
-4.655853882667760901e-01,6.123939574964636368e-01
-4.778573941432587846e-01,5.970004627268349351e-01
-4.890439244406453723e-01,5.808009766436079691e-01
-4.990922195064314559e-01,5.638719017803458522e-01
-5.079548880099854502e-01,5.462930816705908743e-01
-5.155901304569086019e-01,5.281474242773820382e-01
-5.219619363303042991e-01,5.095205109698376367e-01
-5.270402539291738631e-01,4.905001928910034947e-01
-5.308011321029191265e-01,4.711761766206398194e-01
-5.332268332134803002e-01,4.516396010871120414e-01
-5.343059167923410735e-01,4.319826077238113626e-01
-5.340332934978441193e-01,4.122979058974104993e-01
-5.324102491183348995e-01,3.926783356575413997e-01
-5.294444385079268844e-01,3.732164298701262095e-01
-5.251498494834890840e-01,3.540039777994978820e-01
-5.195467368531305752e-01,3.351315921976050216e-01
-5.126615268873270237e-01,3.166882819420729911e-01
-5.045266926832373544e-01,2.987610322387028727e-01
-4.951806010100364697e-01,2.814343943683265126e-01
-4.846673313575975417e-01,2.647900869129194423e-01
-4.730364680419509860e-01,2.489066103417225118e-01
-4.603428663480288452e-01,2.338588767751328679e-01
-4.466463938126450928e-01,2.197178566725196125e-01
-4.320116478679171812e-01,2.065502441103166942e-01
-4.165076511768164291e-01,1.944181422290534866e-01
-4.002075260977605575e-01,1.833787703328743912e-01
-3.831881498135840669e-01,1.734841940229648882e-01
-3.655297917514213624e-01,1.647810796376722453e-01
-3.473157350035636082e-01,1.573104741574698484e-01
-3.286318835347939449e-01,1.511076116128081126e-01
-3.095663570287620070e-01,1.462017469079058274e-01
-2.902090752842378940e-01,1.426160178442246740e-01
-2.706513341213840351e-01,1.403673359943743981e-01
-2.509853747982231931e-01,1.394663069411263279e-01
-2.313039489680807081e-01,1.399171802577155455e-01
-2.116998812298259147e-01,1.417178294653435588e-01
-1.922656313340743717e-01,1.448597620624076932e-01
-1.730928581101436325e-01,1.493281595781574267e-01
-1.542719871704413270e-01,1.551019474618680061e-01
-1.358917844311372802e-01,1.621538944779121194e-01
-1.180389374605580466e-01,1.704507411379446169e-01
-1.007976466298055318e-01,1.799533565644702848e-01
-8.424922799388434580e-02,1.906169230459674457e-01
-6.847172977628460111e-02,2.023911474131455390e-01
-5.353956426582368033e-02,2.152204982394038402e-01
-3.952315686184629251e-02,2.290444677467754764e-01
-2.648861392301191109e-02,2.437978571821126095e-01
-1.449741098621509794e-02,2.594110843175759795e-01
-3.606102826103213532e-03,2.758105116251526878e-01
6.133943277338488320e-03,2.929187935774073548e-01
1.467678980513534293e-02,3.106552414364777692e-01
2.198214565698866640e-02,3.289362038108394337e-01
2.801555617842341195e-02,3.476754611849952603e-01
3.274856566118464207e-02,3.667846325613555170e-01
3.615885155047002253e-02,3.861735922964303347e-01
3.823032972603165880e-02,4.057508951653953644e-01
3.895323036060319155e-02,4.254242076502711689e-01
3.832414399787778536e-02,4.451007434176069699e-01
3.634603763271535004e-02,4.646877009318080565e-01
3.302824071774043690e-02,4.840927011401562896e-01
2.838640116232807320e-02,5.032242231652551689e-01
2.244241153150225432e-02,5.219920359500110907e-01
1.522430579281833229e-02,5.403076238193695868e-01
6.766127098209034907e-03,5.580846039516944579e-01
-2.892232775618508445e-03,5.752391337908550062e-01
-1.370522157097950333e-02,5.916903064775187460e-01
-2.562184138984652249e-02,6.073605324346516010e-01
-3.858588921806260785e-02,6.221759053075406332e-01
-5.253622199872917675e-02,6.360665505324275548e-01
-6.740704500459238080e-02,6.489669548897840645e-01
-8.312822214936038678e-02,6.608162754879389755e-01
-9.962560677441059664e-02,6.715586267197769521e-01
-1.168213913507852864e-01,6.811433438391252260e-01
-1.346344744471490440e-01,6.895252219137010252e-01
-1.529808432329621271e-01,6.966647290276379856e-01
-1.717739697128474741e-01,7.025281927280513372e-01
-1.909252188233665770e-01,7.070879588362914969e-01
-2.103442664674816109e-01,7.103225218748800973e-01
-2.299395255150959994e-01,7.122166264949840730e-01
-2.496185777605104128e-01,7.127613394260619017e-01
-2.692886097995235151e-01,7.119540916083433313e-01
-2.888568507704346588e-01,7.097986903094273270e-01
-3.082310098943956689e-01,7.063053011678556148e-01
-3.273197117515241894e-01,7.014904002483484113e-01
-3.460329272398583456e-01,6.953766963348271268e-01
-3.642823981845955128e-01,6.879930238277203181e-01
-3.819820535950141371e-01,6.793742067506816085e-01
-3.990484156058528020e-01,6.695608945081197305e-01
-4.154009931885911944e-01,6.585993701681597257e-01
-4.309626617757466027e-01,6.465413321752450093e-01
-4.456600270077424319e-01,6.334436505219014357e-01
-4.594237708867943137e-01,6.193680985296392549e-01
-4.721889787052208076e-01,6.043810615040161593e-01
-4.838954452062763090e-01,5.885532236379430460e-01
-4.944879585335369976e-01,5.719592346399107186e-01
-5.039165606296394095e-01,5.546773576594323796e-01
-5.121367828562327640e-01,5.367891001702179699e-01
-5.191098557238812417e-01,5.183788295519603517e-01
-5.248028917427550732e-01,4.995333751837888192e-01
-5.291890405317200008e-01,4.803416189260599212e-01
-5.322476154542779003e-01,4.608940759219137817e-01
-5.339641911840955490e-01,4.412824676956919046e-01
-5.343306717399710637e-01,4.215992895616308411e-01
-5.333453286693581319e-01,4.019373743830876311e-01
-5.310128092003623124e-01,3.823894547397657662e-01
-5.273441143237622697e-01,3.630477255679098736e-01
-5.223565469084269219e-01,3.440034093362228096e-01
-5.160736300948367550e-01,3.253463258082825438e-01
-5.085249963515940941e-01,3.071644684206174536e-01
-4.997462477181685570e-01,2.895435892743846162e-01
-4.897787878930273120e-01,2.725667946979868916e-01
-4.786696269590779429e-01,2.563141532880921503e-01
-4.664711596674099292e-01,2.408623182776747362e-01
-4.532409183250304396e-01,2.262841660121300558e-01
-4.390413014520536117e-01,2.126484522385248821e-01
-4.239392794881066684e-01,2.000194878290621203e-01
-4.080060789359348794e-01,1.884568354681509517e-01
-3.913168464319010109e-01,1.780150287336191295e-01
-3.739502943277420721e-01,1.687433148969788577e-01
-3.559883294551442479e-01,1.606854226557923315e-01
-3.375156668240155144e-01,1.538793558935929728e-01
-3.186194300763920406e-01,1.483572144400644444e-01
-2.993887405803788426e-01,1.441450426768359216e-01
-2.799142971021046922e-01,1.412627067029219030e-01
-2.602879480381063981e-01,1.397238006391393617e-01
-2.406022582256523157e-01,1.395355825134028116e-01
-2.209500723740668859e-01,1.406989400292845138e-01
-2.014240771760889004e-01,1.432083863792898426e-01
-1.821163641644874820e-01,1.470520861225906306e-01
-1.631179953756646261e-01,1.522119110051708968e-01
-1.445185738687287114e-01,1.586635254591152178e-01
-1.264058211256234299e-01,1.663765013777958046e-01
-1.088651633254432427e-01,1.753144616256370747e-01
-9.197932844421286003e-02,1.854352516056156919e-01
-7.582795608035036716e-02,1.966911380753218197e-01
-6.048722184602123297e-02,2.090290342738921336e-01
-4.602947809587376593e-02,2.223907502980443374e-01
-3.252291268762452781e-02,2.367132675463390068e-01
-2.003122738388690705e-02,2.519290359373009824e-01
-8.613337412019306250e-03,2.679662924996105144e-01
1.676906401024802484e-03,2.847493998317799369e-01
1.079097160833550340e-02,3.021992028350204973e-01
