time,x,y,yaw
1.000000000000000021e-03,5.999999987140083313e-01,-7.241228999255167054e-06,1.094841548424569148e-04
2.000000000000000042e-03,5.999999809610235824e-01,-2.881530630272077786e-05,4.346425222166795709e-04
3.000000000000000062e-03,5.999999123324336603e-01,-6.432826840235827959e-05,9.707313402340313375e-04
4.000000000000000083e-03,5.999997343144793938e-01,-1.134038798429881645e-04,1.713223028099075630e-03
5.000000000000000104e-03,5.999993681643421839e-01,-1.756564525798864906e-04,2.657795514296792342e-03
6.000000000000000125e-03,5.999987167323875825e-01,-2.506921463371059033e-04,3.800321117056677019e-03
7.000000000000000146e-03,5.999976662420622997e-01,-3.381102175859518333e-04,5.136855139310505906e-03
8.000000000000000167e-03,5.999960880183516920e-01,-4.375042163779485627e-04,6.663624328570414736e-03
9.000000000000001055e-03,5.999938401562113777e-01,-5.484631265260109245e-04,8.377015350518494247e-03
1.000000000000000194e-02,5.999907691565294909e-01,-6.705724566006265874e-04,1.027356339615719330e-02
1.100000000000000283e-02,5.999867114675939694e-01,-8.034152796166926791e-04,1.234994100531759502e-02
1.200000000000000372e-02,5.999814949655983831e-01,-9.465732213473909695e-04,1.460294725677174082e-02
1.300000000000000461e-02,5.999749403539550441e-01,-1.099627392283530902e-03,1.702949738460804094e-02
1.400000000000000550e-02,5.999668624964907826e-01,-1.262159274639684803e-03,1.962661287277206457e-02
1.500000000000000638e-02,5.999570716667941284e-01,-1.433751572880503922e-03,2.239141205681816418e-02
1.600000000000000727e-02,5.999453747076410881e-01,-1.613989047713981773e-03,2.532110121542217179e-02
1.700000000000000816e-02,5.999315760848582535e-01,-1.802459372659159786e-03,2.841296606622839213e-02
1.800000000000000905e-02,5.999154788068585820e-01,-1.998754083738396581e-03,3.166436347675079255e-02
1.900000000000000994e-02,5.998968853558263037e-01,-2.202469226060932428e-03,3.507271408952966629e-02
2.000000000000001082e-02,5.998755987435425707e-01,-2.413205461208600688e-03,3.863549873475388696e-02
2.100000000000001171e-02,5.998514233831473419e-01,-2.630568427130997033e-03,4.235025191789110188e-02
2.200000000000001260e-02,5.998241656487459661e-01,-2.854169720244381647e-03,4.621455608260496145e-02
2.300000000000001349e-02,5.997936345454722984e-01,-3.083627337474859065e-03,5.022603701788520836e-02
2.400000000000001438e-02,5.997596422974970087e-01,-3.318566129227096262e-03,5.438235979503256573e-02
2.500000000000001527e-02,5.997220048743203691e-01,-3.558618214068109964e-03,5.868122520251063678e-02
2.600000000000001615e-02,5.996805424584976674e-01,-3.803423356218749163e-03,6.312036664476283754e-02
2.700000000000001704e-02,5.996350798573507612e-01,-4.052629301456334154e-03,6.769754744772793487e-02
2.800000000000001793e-02,5.995854468624445266e-01,-4.305892054430937588e-03,7.241055840054075321e-02
2.900000000000001882e-02,5.995314785596156382e-01,-4.562876127245985014e-03,7.725721567271252865e-02
3.000000000000001971e-02,5.994730155942784577e-01,-4.823254763491491293e-03,8.223535917731265854e-02
3.100000000000002059e-02,5.994099043944756122e-01,-5.086710142862660433e-03,8.734285123904796111e-02
3.200000000000002148e-02,5.993419973562514880e-01,-5.352933553300021075e-03,9.257757552789201705e-02
3.300000000000002237e-02,5.992691529954639051e-01,-5.621625534562857407e-03,9.793743622850246966e-02
3.400000000000002326e-02,5.991912360704828577e-01,-5.892495994358093458e-03,1.034203574174822754e-01
3.500000000000002415e-02,5.991081176805009845e-01,-6.165264298122974385e-03,1.090242826224798178e-01
3.600000000000002504e-02,5.990196753444292366e-01,-6.439659333530689533e-03,1.147471745391269726e-01
3.700000000000002592e-02,5.989257930655625950e-01,-6.715419550754886391e-03,1.205870148838355804e-01
3.800000000000002681e-02,5.988263612851547624e-01,-6.992292979349112869e-03,1.265418043599880193e-01
3.900000000000002770e-02,5.987212768317794476e-01,-7.270037223371494939e-03,1.326095627156381185e-01
