name,direction,profile,tail_multiplier,amp_scales,duration_s,yaw_change_deg,yaw_rate_rad_s,abs_yaw_rate_rad_s,turn_radius_m,speed_m_s,forward_speed_m_s,lateral_speed_m_s,dx,dy,hit_wall,gait_json,trajectory_csv
tail_amp_left_tail2_x1p0,left,tail2,1.0,1.24 1.08 1 1.05 1.1 1.2,15.999999999999126,297.59356642960375,0.3246242229343334,0.3246242229343334,0.12207819243203531,0.03962953835547749,-0.03748435846766995,-0.012861694310450778,-0.5997497354826864,-0.2057871089672012,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail2_x1p0.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail2_x1p0_trajectory.csv
tail_amp_left_tail2_x1p1,left,tail2,1.1,1.24 1.08 1 1.05 1.21 1.32,15.999999999999126,304.4348612900465,0.33208691796023965,0.33208691796023965,0.1067795174911819,0.0354600808649281,-0.03269061823211985,-0.013738297367178859,-0.523049891713889,-0.21981275787484972,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail2_x1p1.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail2_x1p1_trajectory.csv
tail_amp_left_tail2_x1p2,left,tail2,1.2,1.24 1.08 1 1.05 1.32 1.44,15.999999999999126,311.81918110033996,0.34014196131710656,0.34014196131710656,0.09058554396161476,0.030811944590080624,-0.0274331679483171,-0.014028443453983977,-0.4389306871730496,-0.22445509526373136,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail2_x1p2.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail2_x1p2_trajectory.csv
tail_amp_left_tail2_x1p3,left,tail2,1.3,1.24 1.08 1 1.05 1.43 1.56,15.999999999999126,321.2994181344733,0.35048329569930264,0.35048329569930264,0.07038239998852508,0.024667855507204833,-0.020760237587006073,-0.013323499189604664,-0.332163801392079,-0.21317598703366297,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail2_x1p3.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail2_x1p3_trajectory.csv
tail_amp_left_tail2_x1p4,left,tail2,1.4,1.24 1.08 1 1.05 1.54 1.68,15.999999999999126,336.07381897627874,0.36659966693048646,0.36659966693048646,0.04096183351615546,0.01501659452388463,-0.011260862095036779,-0.009934339231741878,-0.1801737935205786,-0.15894942770786136,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail2_x1p4.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail2_x1p4_trajectory.csv
tail_amp_left_tail3_x1p0,left,tail3,1.0,1.24 1.08 1 1.05 1.1 1.2,15.999999999999126,297.59356642960375,0.3246242229343334,0.3246242229343334,0.12207819243203531,0.03962953835547749,-0.03748435846766995,-0.012861694310450778,-0.5997497354826864,-0.2057871089672012,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail3_x1p0.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail3_x1p0_trajectory.csv
tail_amp_left_tail3_x1p1,left,tail3,1.1,1.24 1.08 1 1.155 1.21 1.32,15.999999999999126,317.05562139176817,0.34585403157770145,0.34585403157770145,0.07913174495840608,0.027368033019643193,-0.023599556314368008,-0.013858938383918634,-0.3775929010298675,-0.22174301414268605,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail3_x1p1.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail3_x1p1_trajectory.csv
tail_amp_left_tail3_x1p2,left,tail3,1.2,1.24 1.08 1 1.26 1.32 1.44,15.999999999999126,341.1904226622723,0.37218101573300333,0.37218101573300333,0.03180783180110328,0.011838271147999145,-0.008401675567645659,-0.008340054641881851,-0.13442680908232318,-0.13344087427010232,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail3_x1p2.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail3_x1p2_trajectory.csv
tail_amp_left_tail3_x1p3,left,tail3,1.3,1.24 1.08 1 1.365 1.43 1.56,15.999999999999126,375.28356696973987,0.4093708670156848,0.4093708670156848,0.022383252618749423,0.009163051531168549,0.0038541263218372945,0.008313075463278991,0.061666021149393346,0.1330092074124566,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail3_x1p3.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail3_x1p3_trajectory.csv
tail_amp_left_tail3_x1p4,left,tail3,1.4,1.24 1.08 1 1.47 1.54 1.68,15.999999999999126,420.16385645252245,0.4583276683108587,0.4583276683108587,0.07008767228378983,0.03212311941516499,-0.0011510412830784207,0.03210249063430436,-0.018416660529253726,0.5136398501488417,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_left_tail3_x1p4.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_left_tail3_x1p4_trajectory.csv
tail_amp_right_tail2_x1p0,right,tail2,1.0,1.24 1.08 1 1.05 1.1 1.2,15.999999999999126,-297.5937522161274,-0.3246244255959924,0.3246244255959924,0.10132455886631749,0.03289242672074563,-0.03152816962989218,0.009374766950082835,-0.5044507140782474,0.14999627120131717,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail2_x1p0.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail2_x1p0_trajectory.csv
tail_amp_right_tail2_x1p1,right,tail2,1.1,1.24 1.08 1 1.05 1.21 1.32,15.999999999999126,-304.4350283425078,-0.3320871001862067,0.3320871001862067,0.08815016817358709,0.029273533729692984,-0.027333098204909374,0.010480530499180506,-0.4373295712785261,0.16768848798687894,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail2_x1p1.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail2_x1p1_trajectory.csv
tail_amp_right_tail2_x1p2,right,tail2,1.2,1.24 1.08 1 1.05 1.32 1.44,15.999999999999126,-311.81933760514335,-0.34014213203736365,0.34014213203736365,0.07432951274161755,0.025282598937232177,-0.022842209045262962,0.01083712576993737,-0.3654753447241874,0.17339401231898846,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail2_x1p2.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail2_x1p2_trajectory.csv
tail_amp_right_tail2_x1p3,right,tail2,1.3,1.24 1.08 1 1.05 1.43 1.56,15.999999999999126,-321.299566835008,-0.35048345790642327,0.35048345790642327,0.05731484815438412,0.020087906170530127,-0.017267763075118635,0.010263933587937509,-0.27628420920188307,0.16422293740699118,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail2_x1p3.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail2_x1p3_trajectory.csv
tail_amp_right_tail2_x1p4,right,tail2,1.4,1.24 1.08 1 1.05 1.54 1.68,15.999999999999126,-336.0739573239648,-0.3665998178444011,0.3665998178444011,0.03299391222239921,0.012095562210705709,-0.009407908946406487,0.00760222825552987,-0.15052654314249558,0.12163565208847127,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail2_x1p4.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail2_x1p4_trajectory.csv
tail_amp_right_tail3_x1p0,right,tail3,1.0,1.24 1.08 1 1.05 1.1 1.2,15.999999999999126,-297.5937522161274,-0.3246244255959924,0.3246244255959924,0.10132455886631749,0.03289242672074563,-0.03152816962989218,0.009374766950082835,-0.5044507140782474,0.14999627120131717,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail3_x1p0.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail3_x1p0_trajectory.csv
tail_amp_right_tail3_x1p1,right,tail3,1.1,1.24 1.08 1 1.155 1.21 1.32,15.999999999999126,-317.05578451921116,-0.3458542095221377,0.3458542095221377,0.06478914522968911,0.022407598609029106,-0.01963745764709461,0.010792160700338393,-0.3141993223534966,0.17267457120540486,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail3_x1p1.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail3_x1p1_trajectory.csv
tail_amp_right_tail3_x1p2,right,tail3,1.2,1.24 1.08 1 1.26 1.32 1.44,15.999999999999126,-341.19060577722706,-0.37218121548043276,0.37218121548043276,0.025615142683093155,0.009533474938498324,-0.0069360402375198945,0.006540526754511491,-0.11097664380031225,0.10464842807217814,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail3_x1p2.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail3_x1p2_trajectory.csv
tail_amp_right_tail3_x1p3,right,tail3,1.3,1.24 1.08 1 1.365 1.43 1.56,15.999999999999126,-375.2838125934599,-0.4093711349495996,0.4093711349495996,0.01762396384754255,0.007214742082579205,0.0032304775378889958,-0.006451086590283374,0.05168764060622111,-0.10321738544452835,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail3_x1p3.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail3_x1p3_trajectory.csv
tail_amp_right_tail3_x1p4,right,tail3,1.4,1.24 1.08 1 1.47 1.54 1.68,15.999999999999126,-420.1642041561218,-0.458328047596648,0.458328047596648,0.053441072026575706,0.024493542203412287,-6.56657390554796e-05,-0.024493454180271372,-0.0010506518248876162,-0.3918952668843205,False,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\gaits\tail_amp_right_tail3_x1p4.json,C:\robot_eel\mujoco_simulation\outputs\tail_amp_scale_sweep\tail_amp_right_tail3_x1p4_trajectory.csv
