time,x,y,yaw
1.000000000000000021e-03,5.999999975400676089e-01,-7.156906965399834064e-06,1.247256218167907486e-04
2.000000000000000042e-03,5.999999646846343460e-01,-2.847573945308212728e-05,4.951817253255768637e-04
3.000000000000000062e-03,5.999998379389561709e-01,-6.355588554241009547e-05,1.106039027377747055e-03
4.000000000000000083e-03,5.999995099160205791e-01,-1.119917019917759937e-04,1.952291084103139479e-03
5.000000000000000104e-03,5.999988369631469309e-01,-1.733510861105513889e-04,3.029231124089019293e-03
6.000000000000000125e-03,5.999976430883123824e-01,-2.471790796864659079e-04,4.332427277582854078e-03
7.000000000000000146e-03,5.999957238241120372e-01,-3.330014011011517283e-04,5.857696835733893458e-03
8.000000000000000167e-03,5.999928499829300099e-01,-4.303278860248727078e-04,7.601080119800460860e-03
9.000000000000001055e-03,5.999887712833590347e-01,-5.386558313991152147e-04,9.558814458566303532e-03
1.000000000000000194e-02,5.999832198793062510e-01,-6.574731798588140386e-04,1.172730882119306199e-02
1.100000000000000283e-02,5.999759137710987122e-01,-7.862615200122102799e-04,1.410311974726022669e-02
1.200000000000000372e-02,5.999665600055634762e-01,-9.244989262910952021e-04,1.668292842732743350e-02
1.300000000000000461e-02,5.999548575806079587e-01,-1.071662673841233815e-03,1.946351942810789493e-02
1.400000000000000550e-02,5.999405002109460261e-01,-1.227231739292122814e-03,2.244176126937072469e-02
1.500000000000000638e-02,5.999231788693439871e-01,-1.390689117968746391e-03,2.561458893628998715e-02
1.600000000000000727e-02,5.999025841077431087e-01,-1.561523952144705518e-03,2.897898838381999381e-02
1.700000000000000816e-02,5.998784081576201688e-01,-1.739233470157031114e-03,3.253198303735346797e-02
1.800000000000000905e-02,5.998503468117051263e-01,-1.923324737950260488e-03,3.627062224977207344e-02
1.900000000000000994e-02,5.998181010916234790e-01,-2.113316226130534936e-03,4.019197163907638204e-02
2.000000000000001082e-02,5.997813806988501195e-01,-2.308738797920761865e-03,4.429297668189190879e-02
2.100000000000001171e-02,5.997399075622241726e-01,-2.509138629505580642e-03,4.857024865184393636e-02
2.200000000000001260e-02,5.996934176332734401e-01,-2.714077973310191627e-03,5.302030509230331451e-02
2.300000000000001349e-02,5.996416605252338217e-01,-2.923137807521014597e-03,5.763963774565973586e-02
2.400000000000001438e-02,5.995844005265309473e-01,-3.135918357948519475e-03,6.242471268358057435e-02
2.500000000000001527e-02,5.995214173046390371e-01,-3.352039755112723451e-03,6.737197167113957719e-02
2.600000000000001615e-02,5.994525064060465258e-01,-3.571142530153281758e-03,7.247783458185919070e-02
2.700000000000001704e-02,5.993774795816713130e-01,-3.792887945434697539e-03,7.773870268782778759e-02
2.800000000000001793e-02,5.992961649534020996e-01,-4.016958170930839955e-03,8.315096265941110398e-02
2.900000000000001882e-02,5.992084070373899785e-01,-4.243056317792093246e-03,8.871099112134256393e-02
3.000000000000001971e-02,5.991140666394545455e-01,-4.470906340675095958e-03,9.441515962542973428e-02
3.100000000000002059e-02,5.990130206375056110e-01,-4.700252820464323467e-03,1.002598399141566010e-01
3.200000000000002148e-02,5.989051616652821819e-01,-4.930860638949985386e-03,1.062414093636089435e-01
3.300000000000002237e-02,5.987903977109892972e-01,-5.162514556856678816e-03,1.123562565080230974e-01
3.400000000000002326e-02,5.986686516436078298e-01,-5.395018706362775252e-03,1.186007865615720802e-01
3.500000000000002415e-02,5.985398606787966092e-01,-5.628196008912733639e-03,1.249714268655514049e-01
3.600000000000002504e-02,5.984039757954068284e-01,-5.861887528724851748e-03,1.314646322007738677e-01
3.700000000000002592e-02,5.982609796158186999e-01,-6.095930863911080966e-03,1.380762768501941351e-01
3.800000000000002681e-02,5.981108798281581374e-01,-6.330176636328121997e-03,1.448015781953688741e-01
3.900000000000002770e-02,5.979537122656433112e-01,-6.564481895240503739e-03,1.516357653291922070e-01
4.000000000000002859e-02,5.977895284700667222e-01,-6.798727404468130064e-03,1.585741139025834967e-01
4.100000000000002948e-02,5.976184017793118031e-01,-7.032717462650439622e-03,1.656112659766954542e-01
4.200000000000003036e-02,5.974404297240575312e-01,-7.266171635235185722e-03,1.727399414045713566e-01
4.300000000000003125e-02,5.972557336899900760e-01,-7.498702990131111967e-03,1.799525102589207282e-01
4.400000000000003214e-02,5.970644601369802240e-01,-7.729951763337905568e-03,1.872411716271156767e-01
4.500000000000003303e-02,5.968667976934234343e-01,-7.959516504746300125e-03,1.945968255332490016e-01
4.600000000000003392e-02,5.966629704854703453e-01,-8.186977593119704188e-03,2.020099001653659077e-01
4.700000000000003481e-02,5.964532274205931461e-01,-8.411931414942452889e-03,2.094709714506074183e-01
4.800000000000003569e-02,5.962378357270869955e-01,-8.634004292576324957e-03,2.169707784284921892e-01
4.900000000000003658e-02,5.960170807540415838e-01,-8.852845603917136597e-03,2.245002375710478115e-01
5.000000000000003747e-02,5.957912641389624397e-01,-9.068126741749560349e-03,2.320504560547278217e-01
5.100000000000003836e-02,5.955607019622550791e-01,-9.279540053796053733e-03,2.396127439859208064e-01
5.200000000000003925e-02,5.953257229012370866e-01,-9.486797775487998408e-03,2.471786255901024798e-01
5.300000000000004013e-02,5.950866663951364099e-01,-9.689630966229045850e-03,2.547398493816208642e-01
5.400000000000004102e-02,5.948438808313833981e-01,-9.887788458670387914e-03,2.622883973368700938e-01
5.500000000000004191e-02,5.945977217624202060e-01,-1.008103582930336417e-02,2.698164930983261156e-01
5.600000000000004280e-02,5.943485501612231214e-01,-1.026915439749692682e-02,2.773166092407030048e-01
5.700000000000004369e-02,5.940967307227622562e-01,-1.045194025898449341e-02,2.847814736334507435e-01
5.800000000000004458e-02,5.938426302177139959e-01,-1.062920335874439903e-02,2.922040749360498291e-01
5.900000000000004546e-02,5.935866159038765133e-01,-1.080076660722267823e-02,2.995776672641539129e-01
6.000000000000004635e-02,5.933290539999362956e-01,-1.096646504292941859e-02,3.068957740656639288e-01
6.100000000000004724e-02,5.930703082254721314e-01,-1.112614504359421552e-02,3.141521912463567379e-01
6.200000000000004813e-02,5.928107384103736832e-01,-1.127966358730203567e-02,3.213409895847925135e-01
6.300000000000004208e-02,5.925506991761910758e-01,-1.142688756434229180e-02,3.284565164759380429e-01
6.400000000000004297e-02,5.922905386913110970e-01,-1.156769313989103320e-02,3.354933970423049638e-01
6.500000000000004385e-02,5.920305975012842836e-01,-1.170196516710847456e-02,3.424465346504342311e-01
6.600000000000004474e-02,5.917712074351024754e-01,-1.182959664976174219e-02,3.493111108692743549e-01
6.700000000000004563e-02,5.915126905877458041e-01,-1.195048825307520879e-02,3.560825849053851910e-01
6.800000000000004652e-02,5.912553583789034173e-01,-1.206454786115890299e-02,3.627566925479169813e-01
6.900000000000004741e-02,5.909995106874325055e-01,-1.217169017905839201e-02,3.693294446538884501e-01
7.000000000000004829e-02,5.907454350609026017e-01,-1.227183637720580256e-02,3.757971252013070917e-01
7.100000000000004918e-02,5.904934059995726736e-01,-1.236491377581927509e-02,3.821562889339908953e-01
7.200000000000005007e-02,5.902436843145330014e-01,-1.245085556660846526e-02,3.884037586174675649e-01
7.300000000000005096e-02,5.899965165608906936e-01,-1.252960056904395270e-02,3.945366219202675051e-01
7.400000000000005185e-02,5.897521345494542988e-01,-1.260109301857637032e-02,4.005522279306641953e-01
7.500000000000005274e-02,5.895107549453447726e-01,-1.266528238854824906e-02,4.064481833067398742e-01
7.600000000000005362e-02,5.892725789720950624e-01,-1.272212324723936971e-02,4.122223480672174700e-01
7.700000000000005451e-02,5.890377922592279214e-01,-1.277157515097082641e-02,4.178728311903472381e-01
7.800000000000005540e-02,5.888065649873518437e-01,-1.281360231654005144e-02,4.233979822037411411e-01
7.900000000000005629e-02,5.885790525501264359e-01,-1.284817406229754599e-02,4.287963892003322508e-01
