time,x,y,yaw
1.000000000000000021e-03,5.999999986656439077e-01,7.262110325312320924e-07,-4.716050435505748982e-05
2.000000000000000042e-03,5.999999808043005034e-01,2.851462972131013629e-06,-1.867110056028078720e-04
3.000000000000000062e-03,5.999999122123385042e-01,6.261876688229417454e-06,-4.155388219636492356e-04
4.000000000000000083e-03,5.999997354245140135e-01,1.081866771218686907e-05,-7.306464540477364180e-04
5.000000000000000104e-03,5.999993742267523134e-01,1.636312452757415770e-05,-1.129143720666629441e-03
6.000000000000000125e-03,5.999987360681584558e-01,2.271915398793789009e-05,-1.608239564807896656e-03
7.000000000000000146e-03,5.999977143741630492e-01,2.969573551619975049e-05,-2.165233746174620270e-03
8.000000000000000167e-03,5.999961907840589692e-01,3.708927328449629357e-05,-2.797508612571970345e-03
9.000000000000001055e-03,5.999940373035768104e-01,4.468583965244743439e-05,-3.502521119584097592e-03
1.000000000000000194e-02,5.999911183426189787e-01,5.226330105889687161e-05,-4.277795243616169807e-03
1.100000000000000283e-02,5.999872926180076504e-01,5.959332144889195604e-05,-5.120914905828367024e-03
1.200000000000000372e-02,5.999824149431605136e-01,6.644323975996124787e-05,-6.029517498024723754e-03
1.300000000000000461e-02,5.999763378976965544e-01,7.257781938313501158e-05,-7.001288077667024330e-03
1.400000000000000550e-02,5.999689133697702070e-01,7.776086832489426115e-05,-8.033954275768296488e-03
1.500000000000000638e-02,5.999599939709011620e-01,8.175673021260099205e-05,-9.125281940336748415e-03
1.600000000000000727e-02,5.999494343232041338e-01,8.433164728510744723e-05,-1.027307151932108087e-02
1.700000000000000816e-02,5.999370922199227518e-01,8.525499743389231000e-05,-1.147515517081524987e-02
1.800000000000000905e-02,5.999228296610823463e-01,8.430040817530848329e-05,-1.272939457466779403e-02
1.900000000000000994e-02,5.999065137668934122e-01,8.124675114640211859e-05,-1.403367940856894459e-02
2.000000000000001082e-02,5.998880175722636210e-01,7.587902133265878035e-05,-1.538592644304479645e-02
2.100000000000001171e-02,5.998672207064175144e-01,6.798910575672723056e-05,-1.678407920340336396e-02
2.200000000000001260e-02,5.998440099621634714e-01,5.737644679271181047e-05,-1.822610814234456103e-02
2.300000000000001349e-02,5.998182797795035270e-01,4.384860591433170640e-05,-1.971001126748374299e-02
2.400000000000001438e-02,5.997899325934445969e-01,2.722173289959606279e-05,-2.123381515925100438e-02
2.500000000000001527e-02,5.997588790939076819e-01,7.320947019551216073e-06,-2.279557631341299490e-02
2.600000000000001615e-02,5.997250383850007971e-01,-1.601936394868275215e-05,-2.439338276326012342e-02
2.700000000000001704e-02,5.996883389846124901e-01,-4.295545540106138205e-05,-2.602531917116406718e-02
2.800000000000001793e-02,5.996487292284342630e-01,-7.363419136152682398e-05,-2.768893914065837653e-02
2.900000000000001882e-02,5.996061764971334362e-01,-1.081901998706835677e-04,-2.938136991665078052e-02
3.000000000000001971e-02,5.995606653952202381e-01,-1.467449562264078189e-04,-3.109976630507178125e-02
3.100000000000002059e-02,5.995121945048944578e-01,-1.894058247651209115e-04,-3.284131542570667417e-02
3.200000000000002148e-02,5.994607767712637481e-01,-2.362666045470640519e-04,-3.460324076013050754e-02
3.300000000000002237e-02,5.994064390744715531e-01,-2.874077991856238690e-04,-3.638280682865987353e-02
3.400000000000002326e-02,5.993492217401134026e-01,-3.428969335030895849e-04,-3.817732417538969442e-02
3.500000000000002415e-02,5.992891779889897297e-01,-4.027889349991209400e-04,-3.998415426432702646e-02
3.600000000000002504e-02,5.992263732323256376e-01,-4.671265764547016808e-04,-4.180071423980345063e-02
3.700000000000002592e-02,5.991608841041317080e-01,-5.359409719895569246e-04,-4.362448147214722377e-02
3.800000000000002681e-02,5.990927976628653839e-01,-6.092517091880189639e-04,-4.545299764576031520e-02
3.900000000000002770e-02,5.990222106435907357e-01,-6.870670728637562341e-04,-4.728387207496439343e-02
4.000000000000002859e-02,5.989492282830481962e-01,-7.693849913252281958e-04,-4.911478641186804717e-02
4.100000000000002948e-02,5.988739628847481455e-01,-8.561946782754126239e-04,-5.094349866641498248e-02
4.200000000000003036e-02,5.987965328806983401e-01,-9.474773338549735691e-04,-5.276784646921942740e-02
4.300000000000003125e-02,5.987170620004527155e-01,-1.043206829920262368e-03,-5.458575003696896494e-02
4.400000000000003214e-02,5.986356788442604993e-01,-1.143350434060996790e-03,-5.639521483990866946e-02
4.500000000000003303e-02,5.985525169212440044e-01,-1.247869285378122584e-03,-5.819433378720557937e-02
4.600000000000003392e-02,5.984677139911698251e-01,-1.356718461362926842e-03,-5.998128867434398409e-02
4.700000000000003481e-02,5.983814217571516991e-01,-1.469841596137166917e-03,-6.175419087126132051e-02
4.800000000000003569e-02,5.982938056091774426e-01,-1.587167791641641568e-03,-6.351093270952377912e-02
4.900000000000003658e-02,5.982050430732114288e-01,-1.708612687884747405e-03,-6.524944365020675374e-02
5.000000000000003747e-02,5.981153122016530377e-01,-1.834083307310607758e-03,-6.696774166699598352e-02
5.100000000000003836e-02,5.980247925238895146e-01,-1.963480363088854208e-03,-6.866393782829501025e-02
5.200000000000003925e-02,5.979336639056417324e-01,-2.096699380880251429e-03,-7.033623794502857907e-02
5.300000000000004013e-02,5.978421052625081389e-01,-2.233630719918500152e-03,-7.198294344127016686e-02
5.400000000000004102e-02,5.977502933188677536e-01,-2.374160206650322014e-03,-7.360245266662551744e-02
5.500000000000004191e-02,5.976584014945193202e-01,-2.518170141922737582e-03,-7.519326181652678798e-02
5.600000000000004280e-02,5.975665988062955902e-01,-2.665540158596990672e-03,-7.675396544640820939e-02
5.700000000000004369e-02,5.974750488074987986e-01,-2.816148033586929333e-03,-7.828325654449326543e-02
5.800000000000004458e-02,5.973839085677692395e-01,-2.969870451131340072e-03,-7.977992608884021397e-02
5.900000000000004546e-02,5.972933277005033625e-01,-3.126583713157216060e-03,-8.124286194504058700e-02
6.000000000000004635e-02,5.972034474616982891e-01,-3.286164389366352800e-03,-8.267104684567383455e-02
6.100000000000004724e-02,5.971143999892629672e-01,-3.448489829667722439e-03,-8.406355488436639822e-02
6.200000000000004813e-02,5.970263078599005180e-01,-3.613438578764671671e-03,-8.541954603506449195e-02
6.300000000000004208e-02,5.969392843185303832e-01,-3.780890681380100204e-03,-8.673825922320167747e-02
6.400000000000004297e-02,5.968534365701396727e-01,-3.950726023771333750e-03,-8.801899944803970310e-02
6.500000000000004385e-02,5.967688739993914915e-01,-4.122821743037186071e-03,-8.926110866342659711e-02
6.600000000000004474e-02,5.966857036724407815e-01,-4.297052636943687887e-03,-9.046397404705354417e-02
6.700000000000004563e-02,5.966040205523391871e-01,-4.473294644258329900e-03,-9.162696855208415925e-02
6.800000000000004652e-02,5.965239033181171102e-01,-4.651425282364229918e-03,-9.274953957533936533e-02
6.900000000000004741e-02,5.964454379455261801e-01,-4.831322359198197969e-03,-9.383119615407571612e-02
7.000000000000004829e-02,5.963687058008206865e-01,-5.012864435902653071e-03,-9.487149761490876188e-02
7.100000000000004918e-02,5.962937812970994234e-01,-5.195931180029145224e-03,-9.587004918791811048e-02
7.200000000000005007e-02,5.962207319048384857e-01,-5.380404190295839939e-03,-9.682649970434697995e-02
7.300000000000005096e-02,5.961496191344466400e-01,-5.566169134975096355e-03,-9.774053970582734230e-02
7.400000000000005185e-02,5.960804986402877814e-01,-5.753115924667318026e-03,-9.861190064709117464e-02
7.500000000000005274e-02,5.960134206289315895e-01,-5.941139377918347453e-03,-9.944035507148592246e-02
7.600000000000005362e-02,5.959484296293152683e-01,-6.130138872082024903e-03,-1.002257166026702812e-01
7.700000000000005451e-02,5.958855646556486807e-01,-6.320018842653429836e-03,-1.009678401086237520e-01
7.800000000000005540e-02,5.958248592886209449e-01,-6.510689043894013484e-03,-1.016666219333437898e-01
7.900000000000005629e-02,5.957663419639077640e-01,-6.702064437784871487e-03,-1.023219999026118709e-01
8.000000000000005718e-02,5.957100360481709656e-01,-6.894065129425475114e-03,-1.029339539022348510e-01
8.100000000000005806e-02,5.956559594885599829e-01,-7.086616655228916706e-03,-1.035025044870487299e-01
8.200000000000005895e-02,5.956041244075102048e-01,-7.279650430186745957e-03,-1.040277128849545901e-01
8.300000000000005984e-02,5.955545374514472634e-01,-7.473103729404295681e-03,-1.045096820063441539e-01
8.400000000000006073e-02,5.955072010663695625e-01,-7.666919594838783603e-03,-1.049485574871948657e-01
8.500000000000006162e-02,5.954621129260225798e-01,-7.861046494335277579e-03,-1.053445290648755139e-01
