time,x,y,yaw
1.000000000000000021e-03,5.999999975422497522e-01,-7.157222626619219596e-06,1.247148179597689537e-04
2.000000000000000042e-03,5.999999647206298858e-01,-2.847734793515188656e-05,4.951278112590241963e-04
3.000000000000000062e-03,5.999998381391470348e-01,-6.356051210154589626e-05,1.105888094604279455e-03
4.000000000000000083e-03,5.999995106330582306e-01,-1.120019996889709546e-04,1.951967244973272552e-03
5.000000000000000104e-03,5.999988389388136723e-01,-1.733708884826823393e-04,3.028635900884692374e-03
6.000000000000000125e-03,5.999976476569682804e-01,-2.472137158884835095e-04,4.331438807496795079e-03
7.000000000000000146e-03,5.999957331459198073e-01,-3.330580628232437945e-04,5.856168945301648728e-03
8.000000000000000167e-03,5.999928672994834233e-01,-4.304160353548192042e-04,7.598841323818657928e-03
9.000000000000001055e-03,5.999888011905144536e-01,-5.387876385638534771e-04,9.555666938551646977e-03
1.000000000000000194e-02,5.999832686001465021e-01,-6.576639853422827642e-04,1.172302742244025336e-02
1.100000000000000283e-02,5.999759894388662085e-01,-7.865303043010363204e-04,1.409745105367952306e-02
1.200000000000000372e-02,5.999666729401522680e-01,-9.248687823185663959e-04,1.667558995294032495e-02
1.300000000000000461e-02,5.999550205557200311e-01,-1.072161272957505851e-03,1.945419895189307372e-02
1.400000000000000550e-02,5.999407287061075955e-01,-1.227891783459444941e-03,2.243011634280012156e-02
1.500000000000000638e-02,5.999234913029317662e-01,-1.391548771097317339e-03,2.560024658319230706e-02
1.600000000000000727e-02,5.999030020473867797e-01,-1.562627244517000857e-03,2.896154500558264719e-02
1.700000000000000816e-02,5.998789565050198780e-01,-1.740630670707510319e-03,3.251100453029842630e-02
1.800000000000000905e-02,5.998510539595776070e-01,-1.925072689983209351e-03,3.624564433596990515e-02
1.900000000000000994e-02,5.998189990511367808e-01,-2.115478642864265790e-03,4.016250040699370638e-02
2.000000000000001082e-02,5.997825065764962327e-01,-2.311386451097130479e-03,4.425838185480010512e-02
2.100000000000001171e-02,5.997413034014923428e-01,-2.512349993904428036e-03,4.852981306499006692e-02
2.200000000000001260e-02,5.996951302366793080e-01,-2.717939663227642022e-03,5.297328315366954532e-02
2.300000000000001349e-02,5.996437413107585934e-01,-2.927744671681054012e-03,5.758525777075439167e-02
2.400000000000001438e-02,5.995869054765605721e-01,-3.141373495429589102e-03,6.236217940552162692e-02
2.500000000000001527e-02,5.995244068576027763e-01,-3.358454485232975628e-03,6.730046889748662886e-02
2.600000000000001615e-02,5.994560453073408679e-01,-3.578636303404825192e-03,7.239652796930942658e-02
2.700000000000001704e-02,5.993816366969207943e-01,-3.801588197881178299e-03,7.764674260667553396e-02
2.800000000000001793e-02,5.993010130473737096e-01,-4.027000124985635754e-03,8.304748712095130769e-02
2.900000000000001882e-02,5.992140225220703442e-01,-4.254582732718059646e-03,8.859512874305146279e-02
3.000000000000001971e-02,5.991205292949098871e-01,-4.484067216490639218e-03,9.428603261067315666e-02
3.100000000000002059e-02,5.990204133091995287e-01,-4.715205059214078176e-03,1.001165670252613660e-01
3.200000000000002148e-02,5.989135699415152336e-01,-4.947767667497826594e-03,1.060831088693058449e-01
3.300000000000002237e-02,5.987999095840691455e-01,-5.181545915497465238e-03,1.121820490884646720e-01
3.400000000000002326e-02,5.986793571582591511e-01,-5.416349607622883422e-03,1.184097981562914209e-01
3.500000000000002415e-02,5.985518515711818477e-01,-5.652006870931813864e-03,1.247627914518189274e-01
3.600000000000002504e-02,5.984173451259711118e-01,-5.888363487581704803e-03,1.312374944917965303e-01
3.700000000000002592e-02,5.982758220983321884e-01,-6.125260491723516498e-03,1.378297664631319142e-01
3.800000000000002681e-02,5.981272911997661534e-01,-6.362551788939518893e-03,1.445348238998219181e-01
3.900000000000002770e-02,5.979717886520928838e-01,-6.600097552070527396e-03,1.513479107809169444e-01
4.000000000000002859e-02,5.978093659698638929e-01,-6.837781071383108866e-03,1.582643198810176066e-01
4.100000000000002948e-02,5.976400963543422318e-01,-7.075403861495521696e-03,1.652786634002654798e-01
4.200000000000003036e-02,5.974640767752159576e-01,-7.312684338263264472e-03,1.723836550690308889e-01
4.300000000000003125e-02,5.972814276552073087e-01,-7.549236046017537838e-03,1.795716842129727042e-01
4.400000000000003214e-02,5.970922949984107664e-01,-7.784696410732816485e-03,1.868349407300196885e-01
4.500000000000003303e-02,5.968968663219109683e-01,-8.018662477637661379e-03,1.941642847557312479e-01
4.600000000000003392e-02,5.966953648417210321e-01,-8.250710484916212728e-03,2.015501639019356139e-01
4.700000000000003481e-02,5.964880371791851932e-01,-8.480435769184946349e-03,2.089831747975517684e-01
4.800000000000003569e-02,5.962751482039426731e-01,-8.707462107234387183e-03,2.164540783329544360e-01
4.900000000000003658e-02,5.960569806058504394e-01,-8.931435785482555456e-03,2.239538138624848351e-01
5.000000000000003747e-02,5.958338330840716734e-01,-9.152024587777474185e-03,2.314735123684694418e-01
5.100000000000003836e-02,5.956060185231925042e-01,-9.368916765339685426e-03,2.390045085888211074e-01
5.200000000000003925e-02,5.953738621688178245e-01,-9.581820000515273161e-03,2.465383521183716897e-01
5.300000000000004013e-02,5.951376998139134011e-01,-9.790460374780374231e-03,2.540668175008778396e-01
5.400000000000004102e-02,5.948978760060479321e-01,-9.994581350223796790e-03,2.615819133342825453e-01
