seq,millis,channel,target_deg,actual_deg,error_deg
22941,1835691,CH1,117.093,126.240,-9.147
22941,1835691,CH2,131.696,140.880,-9.184
22941,1835691,CH3,144.874,152.400,-7.526
22941,1835691,CH4,146.951,150.240,-3.289
22941,1835691,CH5,145.499,144.960,0.539
22941,1835691,CH6,144.110,135.840,8.270
22942,1835771,CH1,112.414,117.600,-5.186
22942,1835771,CH2,121.055,129.600,-8.545
22942,1835771,CH3,132.518,143.040,-10.522
22942,1835771,CH4,135.885,144.720,-8.835
22942,1835771,CH5,140.363,144.960,-4.597
22942,1835771,CH6,147.779,146.160,1.619
22943,1835851,CH1,117.093,115.920,1.173
22943,1835851,CH2,117.125,121.200,-4.075
22943,1835851,CH3,122.723,130.800,-8.077
22943,1835851,CH4,122.609,133.200,-10.591
22943,1835851,CH5,128.417,138.480,-10.063
22943,1835851,CH6,142.112,146.160,-4.048
22944,1835931,CH1,117.093,115.920,1.173
22944,1835931,CH2,117.125,121.200,-4.075
22944,1835931,CH3,122.723,130.800,-8.077
22944,1835931,CH4,122.609,133.200,-10.591
22944,1835931,CH5,128.417,138.480,-10.063
22944,1835931,CH6,142.112,146.160,-4.048
22945,1836019,CH1,129.343,120.240,9.103
22945,1836019,CH2,121.406,119.760,1.646
22945,1836019,CH3,119.231,122.880,-3.649
22945,1836019,CH4,112.193,120.000,-7.807
22945,1836019,CH5,114.224,125.280,-11.056
22945,1836019,CH6,129.275,139.200,-9.925
22946,1836091,CH1,144.485,133.920,10.565
22946,1836091,CH2,132.264,125.280,6.984
22946,1836091,CH3,123.376,121.200,2.176
22946,1836091,CH4,108.617,111.600,-2.983
22946,1836091,CH5,103.205,111.120,-7.915
22946,1836091,CH6,114.169,124.800,-10.631
22947,1836171,CH1,144.485,133.920,10.565
22947,1836171,CH2,132.264,125.280,6.984
22947,1836171,CH3,123.376,121.200,2.176
22947,1836171,CH4,108.617,111.600,-2.983
22947,1836171,CH5,103.205,111.120,-7.915
22947,1836171,CH6,114.169,124.800,-10.631
22948,1836251,CH1,156.735,147.840,8.895
22948,1836251,CH2,145.550,137.040,8.510
22948,1836251,CH3,133.574,126.960,6.614
22948,1836251,CH4,113.245,109.920,3.325
22948,1836251,CH5,99.570,100.320,-0.750
22948,1836251,CH6,102.566,110.160,-7.594
22949,1836331,CH1,161.414,156.240,5.174
22949,1836331,CH2,156.191,148.320,7.871
22949,1836331,CH3,145.930,136.800,9.130
22949,1836331,CH4,124.311,115.920,8.391
22949,1836331,CH5,104.706,99.840,4.866
22949,1836331,CH6,98.897,99.840,-0.943
22950,1836419,CH1,156.735,157.440,-0.705
22950,1836419,CH2,160.121,156.240,3.881
22950,1836419,CH3,155.724,147.840,7.884
22950,1836419,CH4,137.587,128.160,9.427
22950,1836419,CH5,116.652,108.000,8.652
22950,1836419,CH6,104.563,100.320,4.243
22951,1836491,CH1,156.735,157.440,-0.705
22951,1836491,CH2,160.121,156.240,3.881
22951,1836491,CH3,155.724,147.840,7.884
22951,1836491,CH4,137.587,128.160,9.427
22951,1836491,CH5,116.652,108.000,8.652
22951,1836491,CH6,104.563,100.320,4.243
22952,1836571,CH1,144.485,152.400,-7.915
22952,1836571,CH2,155.840,157.200,-1.360
22952,1836571,CH3,159.216,155.520,3.696
22952,1836571,CH4,148.003,139.200,8.803
22952,1836571,CH5,130.845,120.960,9.885
22952,1836571,CH6,117.401,108.960,8.441
22953,1836651,CH1,129.343,140.160,-10.817
22953,1836651,CH2,144.982,151.920,-6.938
22953,1836651,CH3,155.071,157.200,-2.129
22953,1836651,CH4,151.579,148.560,3.019
22953,1836651,CH5,141.863,134.880,6.983
22953,1836651,CH6,132.506,121.920,10.586
22954,1836731,CH1,117.093,126.000,-8.907
22954,1836731,CH2,131.696,140.880,-9.184
22954,1836731,CH3,144.874,152.400,-7.526
22954,1836731,CH4,146.951,150.000,-3.049
22954,1836731,CH5,145.499,144.720,0.779
22954,1836731,CH6,144.110,136.320,7.790
22955,1836819,CH1,117.093,126.000,-8.907
22955,1836819,CH2,131.696,140.880,-9.184
22955,1836819,CH3,144.874,152.400,-7.526
22955,1836819,CH4,146.951,150.000,-3.049
22955,1836819,CH5,145.499,144.720,0.779
22955,1836819,CH6,144.110,136.320,7.790
22956,1836891,CH1,112.414,117.600,-5.186
22956,1836891,CH2,121.055,129.360,-8.305
22956,1836891,CH3,132.518,142.560,-10.042
22956,1836891,CH4,135.885,144.720,-8.835
22956,1836891,CH5,140.363,144.960,-4.597
22956,1836891,CH6,147.779,146.400,1.379
22957,1836971,CH1,117.093,115.920,1.173
22957,1836971,CH2,117.125,121.440,-4.315
22957,1836971,CH3,122.723,130.080,-7.357
22957,1836971,CH4,122.609,133.440,-10.831
22957,1836971,CH5,128.417,138.240,-9.823
22957,1836971,CH6,142.112,146.160,-4.048
22958,1837051,CH1,117.093,115.920,1.173
22958,1837051,CH2,117.125,121.440,-4.315
22958,1837051,CH3,122.723,130.080,-7.357
22958,1837051,CH4,122.609,133.440,-10.831
22958,1837051,CH5,128.417,138.240,-9.823
22958,1837051,CH6,142.112,146.160,-4.048
22959,1837131,CH1,129.343,120.720,8.623
22959,1837131,CH2,121.406,119.760,1.646
22959,1837131,CH3,119.231,122.640,-3.409
22959,1837131,CH4,112.193,120.480,-8.287
22959,1837131,CH5,114.224,125.520,-11.296
22959,1837131,CH6,129.275,139.200,-9.925
22960,1837219,CH1,144.485,133.440,11.045
22960,1837219,CH2,132.264,125.040,7.224
22960,1837219,CH3,123.376,120.960,2.416
22960,1837219,CH4,108.617,111.360,-2.743
22960,1837219,CH5,103.205,110.880,-7.675
22960,1837219,CH6,114.169,125.280,-11.111
22961,1837291,CH1,156.735,147.360,9.375
22961,1837291,CH2,145.550,136.560,8.990
22961,1837291,CH3,133.574,126.480,7.094
22961,1837291,CH4,113.245,109.680,3.565
22961,1837291,CH5,99.570,99.840,-0.270
22961,1837291,CH6,102.566,110.160,-7.594
22962,1837371,CH1,156.735,147.360,9.375
22962,1837371,CH2,145.550,136.560,8.990
22962,1837371,CH3,133.574,126.480,7.094
22962,1837371,CH4,113.245,109.680,3.565
22962,1837371,CH5,99.570,99.840,-0.270
22962,1837371,CH6,102.566,110.160,-7.594
22963,1837451,CH1,161.414,156.480,4.934
22963,1837451,CH2,156.191,148.320,7.871
22963,1837451,CH3,145.930,136.800,9.130
22963,1837451,CH4,124.311,116.160,8.151
22963,1837451,CH5,104.706,99.600,5.106
22963,1837451,CH6,98.897,99.600,-0.703
22964,1837531,CH1,156.735,157.680,-0.945
22964,1837531,CH2,160.121,156.480,3.641
22964,1837531,CH3,155.724,147.840,7.884
22964,1837531,CH4,137.587,127.680,9.907
22964,1837531,CH5,116.652,108.000,8.652
22964,1837531,CH6,104.563,100.320,4.243
22965,1837619,CH1,156.735,157.680,-0.945
22965,1837619,CH2,160.121,156.480,3.641
22965,1837619,CH3,155.724,147.840,7.884
22965,1837619,CH4,137.587,127.680,9.907
22965,1837619,CH5,116.652,108.000,8.652
22965,1837619,CH6,104.563,100.320,4.243
22966,1837691,CH1,144.485,152.880,-8.395
22966,1837691,CH2,155.840,157.440,-1.600
22966,1837691,CH3,159.216,155.280,3.936
22966,1837691,CH4,148.003,140.400,7.603
22966,1837691,CH5,130.845,120.480,10.365
22966,1837691,CH6,117.401,108.960,8.441
22967,1837771,CH1,129.343,139.920,-10.577
22967,1837771,CH2,144.982,151.920,-6.938
22967,1837771,CH3,155.071,156.720,-1.649
22967,1837771,CH4,151.579,148.800,2.779
22967,1837771,CH5,141.863,135.360,6.503
22967,1837771,CH6,132.506,121.920,10.586
22968,1837851,CH1,117.093,126.000,-8.907
22968,1837851,CH2,131.696,140.640,-8.944
22968,1837851,CH3,144.874,152.400,-7.526
22968,1837851,CH4,146.951,150.480,-3.529
22968,1837851,CH5,145.499,144.720,0.779
22968,1837851,CH6,144.110,136.080,8.030
22969,1837931,CH1,117.093,126.000,-8.907
22969,1837931,CH2,131.696,140.640,-8.944
22969,1837931,CH3,144.874,152.400,-7.526
22969,1837931,CH4,146.951,150.480,-3.529
22969,1837931,CH5,145.499,144.720,0.779
22969,1837931,CH6,144.110,136.080,8.030
22970,1838019,CH1,112.414,117.600,-5.186
22970,1838019,CH2,121.055,129.120,-8.065
22970,1838019,CH3,132.518,142.560,-10.042
22970,1838019,CH4,135.885,144.720,-8.835
22970,1838019,CH5,140.363,145.200,-4.837
22970,1838019,CH6,147.779,146.160,1.619
22971,1838091,CH1,117.093,115.920,1.173
22971,1838091,CH2,117.125,121.200,-4.075
22971,1838091,CH3,122.723,130.560,-7.837
22971,1838091,CH4,122.609,133.440,-10.831
22971,1838091,CH5,128.417,138.480,-10.063
22971,1838091,CH6,142.112,145.920,-3.808
22972,1838171,CH1,117.093,115.920,1.173
22972,1838171,CH2,117.125,121.200,-4.075
22972,1838171,CH3,122.723,130.560,-7.837
22972,1838171,CH4,122.609,133.440,-10.831
22972,1838171,CH5,128.417,138.480,-10.063
22972,1838171,CH6,142.112,145.920,-3.808
22973,1838251,CH1,129.343,120.240,9.103
22973,1838251,CH2,121.406,119.760,1.646
22973,1838251,CH3,119.231,122.400,-3.169
22973,1838251,CH4,112.193,120.480,-8.287
22973,1838251,CH5,114.224,125.280,-11.056
22973,1838251,CH6,129.275,139.440,-10.165
22974,1838331,CH1,144.485,133.440,11.045
22974,1838331,CH2,132.264,125.040,7.224
22974,1838331,CH3,123.376,120.960,2.416
22974,1838331,CH4,108.617,111.360,-2.743
22974,1838331,CH5,103.205,111.120,-7.915
22974,1838331,CH6,114.169,125.280,-11.111
22975,1838419,CH1,156.735,147.840,8.895
22975,1838419,CH2,145.550,136.560,8.990
22975,1838419,CH3,133.574,126.960,6.614
22975,1838419,CH4,113.245,109.680,3.565
22975,1838419,CH5,99.570,99.840,-0.270
22975,1838419,CH6,102.566,110.400,-7.834
22976,1838491,CH1,156.735,147.840,8.895
22976,1838491,CH2,145.550,136.560,8.990
22976,1838491,CH3,133.574,126.960,6.614
22976,1838491,CH4,113.245,109.680,3.565
22976,1838491,CH5,99.570,99.840,-0.270
22976,1838491,CH6,102.566,110.400,-7.834
22977,1838571,CH1,161.414,156.240,5.174
22977,1838571,CH2,156.191,148.320,7.871
22977,1838571,CH3,145.930,136.800,9.130
22977,1838571,CH4,124.311,115.920,8.391
22977,1838571,CH5,104.706,99.840,4.866
22977,1838571,CH6,98.897,99.840,-0.943
22978,1838651,CH1,156.735,157.680,-0.945
22978,1838651,CH2,160.121,156.240,3.881
22978,1838651,CH3,155.724,148.320,7.404
22978,1838651,CH4,137.587,127.680,9.907
22978,1838651,CH5,116.652,108.240,8.412
22978,1838651,CH6,104.563,100.320,4.243
22979,1838731,CH1,144.485,152.880,-8.395
22979,1838731,CH2,155.840,157.440,-1.600
22979,1838731,CH3,159.216,155.760,3.456
22979,1838731,CH4,148.003,139.920,8.083
22979,1838731,CH5,130.845,120.480,10.365
22979,1838731,CH6,117.401,108.240,9.161
22980,1838819,CH1,144.485,152.880,-8.395
22980,1838819,CH2,155.840,157.440,-1.600
22980,1838819,CH3,159.216,155.760,3.456
22980,1838819,CH4,148.003,139.920,8.083
22980,1838819,CH5,130.845,120.480,10.365
22980,1838819,CH6,117.401,108.240,9.161
22981,1838891,CH1,129.343,140.160,-10.817
22981,1838891,CH2,144.982,151.920,-6.938
22981,1838891,CH3,155.071,156.960,-1.889
22981,1838891,CH4,151.579,148.560,3.019
22981,1838891,CH5,141.863,134.400,7.463
22981,1838891,CH6,132.506,121.200,11.306
22982,1838971,CH1,117.093,126.000,-8.907
22982,1838971,CH2,131.696,140.880,-9.184
22982,1838971,CH3,144.874,151.920,-7.046
22982,1838971,CH4,146.951,150.240,-3.289
22982,1838971,CH5,145.499,144.960,0.539
22982,1838971,CH6,144.110,136.080,8.030
22983,1839051,CH1,117.093,126.000,-8.907
22983,1839051,CH2,131.696,140.880,-9.184
22983,1839051,CH3,144.874,151.920,-7.046
22983,1839051,CH4,146.951,150.240,-3.289
22983,1839051,CH5,145.499,144.960,0.539
22983,1839051,CH6,144.110,136.080,8.030
22984,1839131,CH1,112.414,117.840,-5.426
22984,1839131,CH2,121.055,129.360,-8.305
22984,1839131,CH3,132.518,142.560,-10.042
22984,1839131,CH4,135.885,144.960,-9.075
22984,1839131,CH5,140.363,144.480,-4.117
22984,1839131,CH6,147.779,145.920,1.859
22985,1839219,CH1,117.093,115.920,1.173
22985,1839219,CH2,117.125,121.200,-4.075
22985,1839219,CH3,122.723,130.560,-7.837
22985,1839219,CH4,122.609,132.960,-10.351
22985,1839219,CH5,128.417,138.240,-9.823
22985,1839219,CH6,142.112,145.920,-3.808
22986,1839291,CH1,129.343,120.240,9.103
22986,1839291,CH2,121.406,119.520,1.886
22986,1839291,CH3,119.231,122.880,-3.649
22986,1839291,CH4,112.193,120.000,-7.807
22986,1839291,CH5,114.224,125.040,-10.816
22986,1839291,CH6,129.275,138.720,-9.445
22987,1839371,CH1,129.343,120.240,9.103
22987,1839371,CH2,121.406,119.520,1.886
22987,1839371,CH3,119.231,122.880,-3.649
22987,1839371,CH4,112.193,120.000,-7.807
22987,1839371,CH5,114.224,125.040,-10.816
