seq,millis,channel,target_deg,actual_deg,error_deg
29330,2346816,CH1,141.798,150.240,-8.442
29330,2346816,CH2,149.233,151.200,-1.967
29330,2346816,CH3,155.078,151.200,3.878
29330,2346816,CH4,143.330,135.840,7.490
29330,2346816,CH5,128.611,117.600,11.011
29330,2346816,CH6,118.011,108.960,9.051
29331,2346887,CH1,126.656,136.800,-10.144
29331,2346887,CH2,138.375,144.960,-6.585
29331,2346887,CH3,150.934,152.400,-1.466
29331,2346887,CH4,146.906,144.480,2.426
29331,2346887,CH5,139.629,131.040,8.589
29331,2346887,CH6,133.117,121.680,11.437
29332,2346967,CH1,126.656,136.800,-10.144
29332,2346967,CH2,138.375,144.960,-6.585
29332,2346967,CH3,150.934,152.400,-1.466
29332,2346967,CH4,146.906,144.480,2.426
29332,2346967,CH5,139.629,131.040,8.589
29332,2346967,CH6,133.117,121.680,11.437
29333,2347047,CH1,114.407,123.360,-8.953
29333,2347047,CH2,125.089,134.400,-9.311
29333,2347047,CH3,140.736,147.600,-6.864
29333,2347047,CH4,142.278,145.680,-3.402
29333,2347047,CH5,143.265,141.600,1.665
29333,2347047,CH6,144.720,136.080,8.640
29334,2347127,CH1,109.728,115.200,-5.472
29334,2347127,CH2,114.448,122.640,-8.192
29334,2347127,CH3,128.380,138.480,-10.100
29334,2347127,CH4,131.212,139.920,-8.708
29334,2347127,CH5,138.128,142.560,-4.432
29334,2347127,CH6,148.389,147.120,1.269
29335,2347215,CH1,109.728,115.200,-5.472
29335,2347215,CH2,114.448,122.640,-8.192
29335,2347215,CH3,128.380,138.480,-10.100
29335,2347215,CH4,131.212,139.920,-8.708
29335,2347215,CH5,138.128,142.560,-4.432
29335,2347215,CH6,148.389,147.120,1.269
29336,2347287,CH1,114.407,113.520,0.887
29336,2347287,CH2,110.518,114.240,-3.722
29336,2347287,CH3,118.586,126.720,-8.134
29336,2347287,CH4,117.936,128.160,-10.224
29336,2347287,CH5,126.183,135.600,-9.417
29336,2347287,CH6,142.723,146.640,-3.917
29337,2347367,CH1,126.657,117.840,8.817
29337,2347367,CH2,114.799,112.800,1.999
29337,2347367,CH3,115.094,118.080,-2.986
29337,2347367,CH4,107.520,115.680,-8.160
29337,2347367,CH5,111.990,122.400,-10.410
29337,2347367,CH6,129.885,139.920,-10.035
29338,2347447,CH1,141.799,130.320,11.479
29338,2347447,CH2,125.657,118.560,7.097
29338,2347447,CH3,119.238,116.880,2.358
29338,2347447,CH4,103.944,107.040,-3.096
29338,2347447,CH5,100.971,109.440,-8.469
29338,2347447,CH6,114.780,126.480,-11.700
29339,2347527,CH1,141.799,130.320,11.479
29339,2347527,CH2,125.657,118.560,7.097
29339,2347527,CH3,119.238,116.880,2.358
29339,2347527,CH4,103.944,107.040,-3.096
29339,2347527,CH5,100.971,109.440,-8.469
29339,2347527,CH6,114.780,126.480,-11.700
29340,2347615,CH1,154.049,144.720,9.329
29340,2347615,CH2,138.943,130.080,8.863
29340,2347615,CH3,129.436,122.400,7.036
29340,2347615,CH4,108.573,105.360,3.213
29340,2347615,CH5,97.336,98.880,-1.544
29340,2347615,CH6,103.176,111.600,-8.424
29341,2347687,CH1,158.728,153.360,5.368
29341,2347687,CH2,149.584,141.360,8.224
29341,2347687,CH3,141.792,132.480,9.312
29341,2347687,CH4,119.638,111.120,8.518
29341,2347687,CH5,102.472,98.160,4.312
29341,2347687,CH6,99.507,100.800,-1.293
29342,2347767,CH1,158.728,153.360,5.368
29342,2347767,CH2,149.584,141.360,8.224
29342,2347767,CH3,141.792,132.480,9.312
29342,2347767,CH4,119.638,111.120,8.518
29342,2347767,CH5,102.472,98.160,4.312
29342,2347767,CH6,99.507,100.800,-1.293
29343,2347847,CH1,154.048,155.040,-0.992
29343,2347847,CH2,153.514,150.240,3.274
29343,2347847,CH3,151.587,143.280,8.307
29343,2347847,CH4,132.915,122.880,10.035
29343,2347847,CH5,114.418,105.360,9.058
29343,2347847,CH6,105.174,100.560,4.614
29344,2347927,CH1,141.798,150.240,-8.442
29344,2347927,CH2,149.233,151.200,-1.967
29344,2347927,CH3,155.078,151.200,3.878
29344,2347927,CH4,143.330,135.600,7.730
29344,2347927,CH5,128.611,118.080,10.531
29344,2347927,CH6,118.011,108.720,9.291
29345,2348015,CH1,126.656,137.520,-10.864
29345,2348015,CH2,138.375,145.200,-6.825
29345,2348015,CH3,150.934,152.640,-1.706
29345,2348015,CH4,146.906,144.000,2.906
29345,2348015,CH5,139.629,130.800,8.829
29345,2348015,CH6,133.117,121.440,11.677
29346,2348087,CH1,126.656,137.520,-10.864
29346,2348087,CH2,138.375,145.200,-6.825
29346,2348087,CH3,150.934,152.640,-1.706
29346,2348087,CH4,146.906,144.000,2.906
29346,2348087,CH5,139.629,130.800,8.829
29346,2348087,CH6,133.117,121.440,11.677
29347,2348167,CH1,114.407,123.360,-8.953
29347,2348167,CH2,125.089,133.920,-8.831
29347,2348167,CH3,140.736,147.840,-7.104
29347,2348167,CH4,142.278,145.680,-3.402
29347,2348167,CH5,143.265,141.600,1.665
29347,2348167,CH6,144.720,136.080,8.640
29348,2348247,CH1,109.728,114.960,-5.232
29348,2348247,CH2,114.448,122.640,-8.192
29348,2348247,CH3,128.380,138.480,-10.100
29348,2348247,CH4,131.212,140.160,-8.948
29348,2348247,CH5,138.128,142.560,-4.432
29348,2348247,CH6,148.389,146.160,2.229
29349,2348327,CH1,114.407,113.520,0.887
29349,2348327,CH2,110.518,114.720,-4.202
29349,2348327,CH3,118.586,127.200,-8.614
29349,2348327,CH4,117.936,128.640,-10.704
29349,2348327,CH5,126.183,135.600,-9.417
29349,2348327,CH6,142.723,146.400,-3.677
29350,2348415,CH1,114.407,113.520,0.887
29350,2348415,CH2,110.518,114.720,-4.202
29350,2348415,CH3,118.586,127.200,-8.614
29350,2348415,CH4,117.936,128.640,-10.704
29350,2348415,CH5,126.183,135.600,-9.417
29350,2348415,CH6,142.723,146.400,-3.677
29351,2348487,CH1,126.657,117.600,9.057
29351,2348487,CH2,114.799,112.800,1.999
29351,2348487,CH3,115.094,118.800,-3.706
29351,2348487,CH4,107.520,115.920,-8.400
29351,2348487,CH5,111.990,122.400,-10.410
29351,2348487,CH6,129.885,139.920,-10.035
29352,2348567,CH1,141.799,130.320,11.479
29352,2348567,CH2,125.657,118.800,6.857
29352,2348567,CH3,119.238,117.360,1.878
29352,2348567,CH4,103.944,107.040,-3.096
29352,2348567,CH5,100.971,109.440,-8.469
29352,2348567,CH6,114.780,126.480,-11.700
29353,2348647,CH1,141.799,130.320,11.479
29353,2348647,CH2,125.657,118.800,6.857
29353,2348647,CH3,119.238,117.360,1.878
29353,2348647,CH4,103.944,107.040,-3.096
29353,2348647,CH5,100.971,109.440,-8.469
29353,2348647,CH6,114.780,126.480,-11.700
29354,2348727,CH1,154.049,144.720,9.329
29354,2348727,CH2,138.943,130.080,8.863
29354,2348727,CH3,129.436,122.400,7.036
29354,2348727,CH4,108.573,105.360,3.213
29354,2348727,CH5,97.336,98.400,-1.064
29354,2348727,CH6,103.176,111.360,-8.184
29355,2348815,CH1,158.728,153.120,5.608
29355,2348815,CH2,149.584,142.080,7.504
29355,2348815,CH3,141.792,132.720,9.072
29355,2348815,CH4,119.638,111.120,8.518
29355,2348815,CH5,102.472,97.680,4.792
29355,2348815,CH6,99.507,100.800,-1.293
29356,2348887,CH1,154.048,155.280,-1.232
29356,2348887,CH2,153.514,149.760,3.754
29356,2348887,CH3,151.587,143.280,8.307
29356,2348887,CH4,132.915,122.640,10.275
29356,2348887,CH5,114.418,105.360,9.058
29356,2348887,CH6,105.174,100.560,4.614
29357,2348967,CH1,154.048,155.280,-1.232
29357,2348967,CH2,153.514,149.760,3.754
29357,2348967,CH3,151.587,143.280,8.307
29357,2348967,CH4,132.915,122.640,10.275
29357,2348967,CH5,114.418,105.360,9.058
29357,2348967,CH6,105.174,100.560,4.614
29358,2349047,CH1,141.798,150.000,-8.202
29358,2349047,CH2,149.233,151.200,-1.967
29358,2349047,CH3,155.078,151.200,3.878
29358,2349047,CH4,143.330,135.600,7.730
29358,2349047,CH5,128.611,117.840,10.771
29358,2349047,CH6,118.012,108.960,9.052
29359,2349127,CH1,126.656,137.280,-10.624
29359,2349127,CH2,138.375,144.960,-6.585
29359,2349127,CH3,150.934,152.640,-1.706
29359,2349127,CH4,146.906,144.000,2.906
29359,2349127,CH5,139.629,131.040,8.589
29359,2349127,CH6,133.117,121.920,11.197
29360,2349215,CH1,126.656,137.280,-10.624
29360,2349215,CH2,138.375,144.960,-6.585
29360,2349215,CH3,150.934,152.640,-1.706
29360,2349215,CH4,146.906,144.000,2.906
29360,2349215,CH5,139.629,131.040,8.589
29360,2349215,CH6,133.117,121.920,11.197
29361,2349287,CH1,114.407,123.600,-9.193
29361,2349287,CH2,125.089,134.400,-9.311
29361,2349287,CH3,140.736,147.360,-6.624
29361,2349287,CH4,142.278,145.680,-3.402
29361,2349287,CH5,143.265,142.320,0.945
29361,2349287,CH6,144.720,136.320,8.400
29362,2349367,CH1,109.728,114.960,-5.232
29362,2349367,CH2,114.448,122.160,-7.712
29362,2349367,CH3,128.380,138.000,-9.620
29362,2349367,CH4,131.212,139.920,-8.708
29362,2349367,CH5,138.128,143.040,-4.912
29362,2349367,CH6,148.389,147.120,1.269
29363,2349447,CH1,114.407,113.280,1.127
29363,2349447,CH2,110.518,114.240,-3.722
29363,2349447,CH3,118.586,126.240,-7.654
29363,2349447,CH4,117.936,128.400,-10.464
29363,2349447,CH5,126.182,135.360,-9.178
29363,2349447,CH6,142.723,146.640,-3.917
29364,2349527,CH1,114.407,113.280,1.127
29364,2349527,CH2,110.518,114.240,-3.722
29364,2349527,CH3,118.586,126.240,-7.654
29364,2349527,CH4,117.936,128.400,-10.464
29364,2349527,CH5,126.182,135.360,-9.178
29364,2349527,CH6,142.723,146.640,-3.917
29365,2349615,CH1,126.657,117.600,9.057
29365,2349615,CH2,114.799,112.560,2.239
29365,2349615,CH3,115.094,118.560,-3.466
29365,2349615,CH4,107.520,115.680,-8.160
29365,2349615,CH5,111.990,122.400,-10.410
29365,2349615,CH6,129.885,140.160,-10.275
29366,2349687,CH1,141.799,130.320,11.479
29366,2349687,CH2,125.657,118.560,7.097
29366,2349687,CH3,119.238,117.120,2.118
29366,2349687,CH4,103.944,106.800,-2.856
29366,2349687,CH5,100.971,109.200,-8.229
29366,2349687,CH6,114.780,126.480,-11.700
29367,2349767,CH1,141.799,130.320,11.479
29367,2349767,CH2,125.657,118.560,7.097
29367,2349767,CH3,119.238,117.120,2.118
29367,2349767,CH4,103.944,106.800,-2.856
29367,2349767,CH5,100.971,109.200,-8.229
29367,2349767,CH6,114.780,126.480,-11.700
29368,2349847,CH1,154.049,144.720,9.329
29368,2349847,CH2,138.943,129.600,9.343
29368,2349847,CH3,129.436,122.640,6.796
29368,2349847,CH4,108.573,105.120,3.453
29368,2349847,CH5,97.336,98.640,-1.304
29368,2349847,CH6,103.176,111.840,-8.664
29369,2349927,CH1,158.728,153.360,5.368
29369,2349927,CH2,149.584,141.360,8.224
29369,2349927,CH3,141.792,132.720,9.072
29369,2349927,CH4,119.638,111.600,8.038
29369,2349927,CH5,102.472,97.680,4.792
29369,2349927,CH6,99.507,101.040,-1.533
29370,2350015,CH1,154.048,154.800,-0.752
29370,2350015,CH2,153.514,149.520,3.994
29370,2350015,CH3,151.587,143.280,8.307
29370,2350015,CH4,132.915,123.120,9.795
29370,2350015,CH5,114.418,104.880,9.538
29370,2350015,CH6,105.174,100.800,4.374
29371,2350087,CH1,154.048,154.800,-0.752
29371,2350087,CH2,153.514,149.520,3.994
29371,2350087,CH3,151.587,143.280,8.307
29371,2350087,CH4,132.915,123.120,9.795
29371,2350087,CH5,114.418,104.880,9.538
29371,2350087,CH6,105.174,100.800,4.374
29372,2350167,CH1,141.798,150.000,-8.202
29372,2350167,CH2,149.233,151.200,-1.967
29372,2350167,CH3,155.078,151.200,3.878
29372,2350167,CH4,143.330,135.360,7.970
29372,2350167,CH5,128.611,117.840,10.771
29372,2350167,CH6,118.012,108.720,9.292
29373,2350247,CH1,126.656,137.280,-10.624
29373,2350247,CH2,138.375,144.960,-6.585
29373,2350247,CH3,150.934,152.400,-1.466
29373,2350247,CH4,146.906,144.240,2.666
29373,2350247,CH5,139.629,130.560,9.069
29373,2350247,CH6,133.117,121.200,11.917
29374,2350327,CH1,114.407,123.600,-9.193
29374,2350327,CH2,125.089,134.160,-9.071
29374,2350327,CH3,140.736,147.600,-6.864
29374,2350327,CH4,142.278,145.920,-3.642
29374,2350327,CH5,143.265,141.360,1.905
29374,2350327,CH6,144.720,135.600,9.120
29375,2350415,CH1,114.407,123.600,-9.193
29375,2350415,CH2,125.089,134.160,-9.071
29375,2350415,CH3,140.736,147.600,-6.864
29375,2350415,CH4,142.278,145.920,-3.642
29375,2350415,CH5,143.265,141.360,1.905
29375,2350415,CH6,144.720,135.600,9.120
29376,2350487,CH1,109.728,114.960,-5.232
29376,2350487,CH2,114.448,122.640,-8.192
29376,2350487,CH3,128.380,138.480,-10.100
29376,2350487,CH4,131.212,140.160,-8.948
29376,2350487,CH5,138.128,142.560,-4.432
29376,2350487,CH6,148.389,147.120,1.269
29377,2350567,CH1,114.407,113.520,0.887
29377,2350567,CH2,110.518,114.720,-4.202
29377,2350567,CH3,118.586,126.960,-8.374
29377,2350567,CH4,117.936,128.640,-10.704
29377,2350567,CH5,126.182,136.800,-10.618
29377,2350567,CH6,142.723,147.120,-4.397
29378,2350647,CH1,114.407,113.520,0.887
29378,2350647,CH2,110.518,114.720,-4.202
29378,2350647,CH3,118.586,126.960,-8.374
29378,2350647,CH4,117.936,128.640,-10.704
29378,2350647,CH5,126.182,136.800,-10.618
29378,2350647,CH6,142.723,147.120,-4.397
29379,2350727,CH1,126.657,117.600,9.057
29379,2350727,CH2,114.799,113.040,1.759
29379,2350727,CH3,115.094,118.800,-3.706
29379,2350727,CH4,107.520,116.400,-8.880
29379,2350727,CH5,111.990,123.840,-11.850
29379,2350727,CH6,129.885,140.400,-10.515
29380,2350815,CH1,141.799,130.320,11.479
29380,2350815,CH2,125.657,118.800,6.857
29380,2350815,CH3,119.238,117.120,2.118
29380,2350815,CH4,103.944,107.040,-3.096
29380,2350815,CH5,100.971,110.160,-9.189
29380,2350815,CH6,114.780,126.720,-11.940
29381,2350887,CH1,154.049,144.720,9.329
29381,2350887,CH2,138.943,129.840,9.103
29381,2350887,CH3,129.436,122.160,7.276
29381,2350887,CH4,108.573,105.360,3.213
29381,2350887,CH5,97.336,99.120,-1.784
29381,2350887,CH6,103.176,111.600,-8.424
29382,2350967,CH1,154.049,144.720,9.329
29382,2350967,CH2,138.943,129.840,9.103
29382,2350967,CH3,129.436,122.160,7.276
29382,2350967,CH4,108.573,105.360,3.213
29382,2350967,CH5,97.336,99.120,-1.784
29382,2350967,CH6,103.176,111.600,-8.424
29383,2351047,CH1,158.728,152.880,5.848
29383,2351047,CH2,149.584,141.360,8.224
29383,2351047,CH3,141.792,132.000,9.792
29383,2351047,CH4,119.638,111.120,8.518
29383,2351047,CH5,102.472,97.680,4.792
29383,2351047,CH6,99.507,101.520,-2.013
29384,2351127,CH1,154.048,154.800,-0.752
29384,2351127,CH2,153.514,149.520,3.994
29384,2351127,CH3,151.587,143.280,8.307
29384,2351127,CH4,132.915,122.160,10.755
29384,2351127,CH5,114.418,104.880,9.538
29384,2351127,CH6,105.174,101.040,4.134
29385,2351215,CH1,154.048,154.800,-0.752
29385,2351215,CH2,153.514,149.520,3.994
29385,2351215,CH3,151.587,143.280,8.307
29385,2351215,CH4,132.915,122.160,10.755
29385,2351215,CH5,114.418,104.880,9.538
29385,2351215,CH6,105.174,101.040,4.134
29386,2351287,CH1,141.798,150.000,-8.202
29386,2351287,CH2,149.233,151.200,-1.967
29386,2351287,CH3,155.078,151.200,3.878
29386,2351287,CH4,143.330,134.880,8.450
29386,2351287,CH5,128.611,117.600,11.011
29386,2351287,CH6,118.012,108.480,9.532
29387,2351367,CH1,126.656,137.280,-10.624
29387,2351367,CH2,138.375,144.960,-6.585
29387,2351367,CH3,150.934,152.400,-1.466
29387,2351367,CH4,146.906,144.000,2.906
29387,2351367,CH5,139.629,131.760,7.869
29387,2351367,CH6,133.117,121.920,11.197
29388,2351447,CH1,114.407,123.360,-8.953
29388,2351447,CH2,125.089,133.680,-8.591
29388,2351447,CH3,140.736,147.120,-6.384
29388,2351447,CH4,142.278,145.680,-3.402
29388,2351447,CH5,143.265,141.600,1.665
29388,2351447,CH6,144.720,136.320,8.400
29389,2351527,CH1,114.407,123.360,-8.953
29389,2351527,CH2,125.089,133.680,-8.591
29389,2351527,CH3,140.736,147.120,-6.384
29389,2351527,CH4,142.278,145.680,-3.402
29389,2351527,CH5,143.265,141.600,1.665
29389,2351527,CH6,144.720,136.320,8.400
29390,2351615,CH1,109.728,114.960,-5.232
29390,2351615,CH2,114.448,121.920,-7.472
29390,2351615,CH3,128.380,138.240,-9.860
29390,2351615,CH4,131.212,139.680,-8.468
29390,2351615,CH5,138.128,142.800,-4.672
29390,2351615,CH6,148.389,146.400,1.989
29391,2351687,CH1,114.407,113.520,0.887
29391,2351687,CH2,110.518,114.480,-3.962
29391,2351687,CH3,118.586,126.480,-7.894
29391,2351687,CH4,117.936,128.160,-10.224
29391,2351687,CH5,126.182,135.360,-9.178
29391,2351687,CH6,142.723,146.640,-3.917
29392,2351767,CH1,114.407,113.520,0.887
29392,2351767,CH2,110.518,114.480,-3.962
29392,2351767,CH3,118.586,126.480,-7.894
29392,2351767,CH4,117.936,128.160,-10.224
29392,2351767,CH5,126.182,135.360,-9.178
29392,2351767,CH6,142.723,146.640,-3.917
29393,2351847,CH1,126.657,117.600,9.057
29393,2351847,CH2,114.799,112.800,1.999
29393,2351847,CH3,115.094,118.800,-3.706
29393,2351847,CH4,107.520,115.680,-8.160
29393,2351847,CH5,111.990,122.400,-10.410
29393,2351847,CH6,129.885,139.920,-10.035
29394,2351927,CH1,141.799,130.320,11.479
29394,2351927,CH2,125.657,118.800,6.857
29394,2351927,CH3,119.238,117.120,2.118
29394,2351927,CH4,103.944,106.800,-2.856
29394,2351927,CH5,100.971,109.440,-8.469
29394,2351927,CH6,114.780,126.240,-11.460
29395,2352015,CH1,154.049,144.720,9.329
29395,2352015,CH2,138.943,130.080,8.863
29395,2352015,CH3,129.436,122.160,7.276
29395,2352015,CH4,108.573,104.880,3.693
29395,2352015,CH5,97.336,98.640,-1.304
29395,2352015,CH6,103.176,112.320,-9.144
29396,2352087,CH1,154.049,144.720,9.329
29396,2352087,CH2,138.943,130.080,8.863
29396,2352087,CH3,129.436,122.160,7.276
29396,2352087,CH4,108.573,104.880,3.693
29396,2352087,CH5,97.336,98.640,-1.304
29396,2352087,CH6,103.176,112.320,-9.144
29397,2352167,CH1,158.728,152.880,5.848
29397,2352167,CH2,149.584,141.120,8.464
29397,2352167,CH3,141.792,132.240,9.552
29397,2352167,CH4,119.638,110.640,8.998
29397,2352167,CH5,102.472,97.920,4.552
29397,2352167,CH6,99.507,101.040,-1.533
29398,2352247,CH1,154.048,155.040,-0.992
29398,2352247,CH2,153.514,149.520,3.994
29398,2352247,CH3,151.587,143.280,8.307
29398,2352247,CH4,132.915,122.400,10.515
29398,2352247,CH5,114.418,105.360,9.058
29398,2352247,CH6,105.174,100.560,4.614
29399,2352327,CH1,141.798,150.000,-8.202
29399,2352327,CH2,149.233,151.200,-1.967
29399,2352327,CH3,155.078,151.200,3.878
29399,2352327,CH4,143.330,134.640,8.690
29399,2352327,CH5,128.611,117.600,11.011
29399,2352327,CH6,118.012,108.720,9.292
29400,2352415,CH1,141.798,150.000,-8.202
29400,2352415,CH2,149.233,151.200,-1.967
29400,2352415,CH3,155.078,151.200,3.878
