seq,millis,channel,target_deg,actual_deg,error_deg
33439,2675524,CH1,89.093,99.120,-10.027
33439,2675524,CH2,101.959,110.880,-8.921
33439,2675524,CH3,119.744,126.240,-6.496
33439,2675524,CH4,128.831,132.480,-3.649
33439,2675524,CH5,136.502,135.360,1.142
33439,2675524,CH6,135.947,126.960,8.987
33440,2675613,CH1,84.414,90.000,-5.586
33440,2675613,CH2,91.318,99.360,-8.042
33440,2675613,CH3,107.388,116.640,-9.252
33440,2675613,CH4,117.765,125.760,-7.995
33440,2675613,CH5,131.365,135.840,-4.475
33440,2675613,CH6,139.616,137.280,2.336
33441,2675684,CH1,89.093,88.080,1.013
33441,2675684,CH2,87.388,90.960,-3.572
33441,2675684,CH3,97.594,104.880,-7.286
33441,2675684,CH4,104.489,113.520,-9.031
33441,2675684,CH5,119.419,127.680,-8.261
33441,2675684,CH6,133.949,138.000,-4.051
33442,2675764,CH1,89.093,88.080,1.013
33442,2675764,CH2,87.388,90.960,-3.572
33442,2675764,CH3,97.594,104.880,-7.286
33442,2675764,CH4,104.489,113.520,-9.031
33442,2675764,CH5,119.419,127.680,-8.261
33442,2675764,CH6,133.949,138.000,-4.051
33443,2675844,CH1,101.344,92.640,8.704
33443,2675844,CH2,91.670,89.280,2.390
33443,2675844,CH3,94.102,96.960,-2.858
33443,2675844,CH4,94.074,101.040,-6.966
33443,2675844,CH5,105.227,115.200,-9.973
33443,2675844,CH6,121.111,129.840,-8.729
33444,2675924,CH1,116.485,104.640,11.845
33444,2675924,CH2,102.527,94.800,7.727
33444,2675924,CH3,98.247,95.760,2.487
33444,2675924,CH4,90.498,92.400,-1.902
33444,2675924,CH5,94.208,102.240,-8.032
33444,2675924,CH6,106.006,117.120,-11.114
33445,2676013,CH1,128.735,118.320,10.415
33445,2676013,CH2,115.814,106.320,9.494
33445,2676013,CH3,108.445,100.320,8.125
33445,2676013,CH4,95.127,91.200,3.927
33445,2676013,CH5,90.573,91.200,-0.627
33445,2676013,CH6,94.402,102.960,-8.558
33446,2676084,CH1,128.735,118.320,10.415
33446,2676084,CH2,115.814,106.320,9.494
33446,2676084,CH3,108.445,100.320,8.125
33446,2676084,CH4,95.127,91.200,3.927
33446,2676084,CH5,90.573,91.200,-0.627
33446,2676084,CH6,94.402,102.960,-8.558
33447,2676164,CH1,133.414,126.960,6.454
33447,2676164,CH2,126.454,117.120,9.334
33447,2676164,CH3,120.801,110.160,10.641
33447,2676164,CH4,106.192,96.480,9.712
33447,2676164,CH5,95.709,90.000,5.709
33447,2676164,CH6,90.734,91.920,-1.186
33448,2676244,CH1,128.735,128.880,-0.145
33448,2676244,CH2,130.384,125.520,4.864
33448,2676244,CH3,130.595,121.920,8.675
33448,2676244,CH4,119.469,108.720,10.749
33448,2676244,CH5,107.655,97.200,10.455
33448,2676244,CH6,96.400,91.680,4.720
33449,2676324,CH1,116.484,124.560,-8.076
33449,2676324,CH2,126.103,127.680,-1.577
33449,2676324,CH3,134.087,130.080,4.007
33449,2676324,CH4,129.884,120.960,8.924
33449,2676324,CH5,121.848,109.680,12.168
33449,2676324,CH6,109.238,99.120,10.118
33450,2676413,CH1,116.484,124.560,-8.076
33450,2676413,CH2,126.103,127.680,-1.577
33450,2676413,CH3,134.087,130.080,4.007
33450,2676413,CH4,129.884,120.960,8.924
33450,2676413,CH5,121.848,109.680,12.168
33450,2676413,CH6,109.238,99.120,10.118
33451,2676484,CH1,101.343,112.080,-10.737
33451,2676484,CH2,115.245,121.920,-6.675
33451,2676484,CH3,129.942,131.520,-1.578
33451,2676484,CH4,133.460,130.560,2.900
33451,2676484,CH5,132.866,123.360,9.506
33451,2676484,CH6,124.343,112.080,12.263
33452,2676564,CH1,89.093,99.120,-10.027
33452,2676564,CH2,101.959,110.880,-8.921
33452,2676564,CH3,119.744,126.240,-6.496
33452,2676564,CH4,128.831,132.240,-3.409
33452,2676564,CH5,136.502,135.600,0.902
33452,2676564,CH6,135.947,127.200,8.747
33453,2676644,CH1,89.093,99.120,-10.027
33453,2676644,CH2,101.959,110.880,-8.921
33453,2676644,CH3,119.744,126.240,-6.496
33453,2676644,CH4,128.831,132.240,-3.409
33453,2676644,CH5,136.502,135.600,0.902
33453,2676644,CH6,135.947,127.200,8.747
33454,2676724,CH1,84.414,90.000,-5.586
33454,2676724,CH2,91.318,99.360,-8.042
33454,2676724,CH3,107.388,116.400,-9.012
33454,2676724,CH4,117.765,125.760,-7.995
33454,2676724,CH5,131.365,135.600,-4.235
33454,2676724,CH6,139.616,138.000,1.616
33455,2676813,CH1,89.093,88.080,1.013
33455,2676813,CH2,87.388,90.720,-3.332
33455,2676813,CH3,97.594,104.880,-7.286
33455,2676813,CH4,104.489,114.480,-9.991
33455,2676813,CH5,119.419,128.400,-8.981
33455,2676813,CH6,133.949,137.760,-3.811
33456,2676884,CH1,101.344,92.640,8.704
33456,2676884,CH2,91.670,89.280,2.390
33456,2676884,CH3,94.102,96.960,-2.858
33456,2676884,CH4,94.074,101.520,-7.446
33456,2676884,CH5,105.227,115.920,-10.693
33456,2676884,CH6,121.111,129.840,-8.729
33457,2676964,CH1,101.344,92.640,8.704
33457,2676964,CH2,91.670,89.280,2.390
33457,2676964,CH3,94.102,96.960,-2.858
33457,2676964,CH4,94.074,101.520,-7.446
33457,2676964,CH5,105.227,115.920,-10.693
33457,2676964,CH6,121.111,129.840,-8.729
33458,2677044,CH1,116.485,104.400,12.085
33458,2677044,CH2,102.527,95.280,7.247
33458,2677044,CH3,98.247,96.000,2.247
33458,2677044,CH4,90.498,93.120,-2.622
33458,2677044,CH5,94.208,102.480,-8.272
33458,2677044,CH6,106.006,117.360,-11.354
33459,2677124,CH1,128.735,118.320,10.415
33459,2677124,CH2,115.814,106.080,9.734
33459,2677124,CH3,108.445,100.800,7.645
33459,2677124,CH4,95.127,91.200,3.927
33459,2677124,CH5,90.573,91.200,-0.627
33459,2677124,CH6,94.402,102.480,-8.078
33460,2677213,CH1,128.735,118.320,10.415
33460,2677213,CH2,115.814,106.080,9.734
33460,2677213,CH3,108.445,100.800,7.645
33460,2677213,CH4,95.127,91.200,3.927
33460,2677213,CH5,90.573,91.200,-0.627
33460,2677213,CH6,94.402,102.480,-8.078
33461,2677284,CH1,133.414,126.720,6.694
33461,2677284,CH2,126.454,117.360,9.094
33461,2677284,CH3,120.801,109.920,10.881
33461,2677284,CH4,106.192,96.480,9.712
33461,2677284,CH5,95.709,90.000,5.709
33461,2677284,CH6,90.734,91.680,-0.946
33462,2677364,CH1,128.735,128.880,-0.145
33462,2677364,CH2,130.384,125.520,4.864
33462,2677364,CH3,130.595,121.680,8.915
33462,2677364,CH4,119.469,108.000,11.469
33462,2677364,CH5,107.655,97.440,10.215
33462,2677364,CH6,96.400,91.200,5.200
33463,2677444,CH1,116.484,125.040,-8.556
33463,2677444,CH2,126.103,127.680,-1.577
33463,2677444,CH3,134.087,129.840,4.247
33463,2677444,CH4,129.884,120.240,9.644
33463,2677444,CH5,121.848,109.680,12.168
33463,2677444,CH6,109.238,99.120,10.118
33464,2677524,CH1,116.484,125.040,-8.556
33464,2677524,CH2,126.103,127.680,-1.577
33464,2677524,CH3,134.087,129.840,4.247
33464,2677524,CH4,129.884,120.240,9.644
33464,2677524,CH5,121.848,109.680,12.168
33464,2677524,CH6,109.238,99.120,10.118
33465,2677613,CH1,101.343,112.800,-11.457
33465,2677613,CH2,115.245,121.920,-6.675
33465,2677613,CH3,129.942,131.280,-1.338
33465,2677613,CH4,133.460,129.840,3.620
33465,2677613,CH5,132.866,123.600,9.266
33465,2677613,CH6,124.343,112.320,12.023
33466,2677684,CH1,89.093,99.120,-10.027
33466,2677684,CH2,101.959,110.640,-8.681
33466,2677684,CH3,119.744,126.960,-7.216
33466,2677684,CH4,128.831,132.000,-3.169
33466,2677684,CH5,136.502,135.120,1.382
33466,2677684,CH6,135.947,127.200,8.747
33467,2677764,CH1,89.093,99.120,-10.027
33467,2677764,CH2,101.959,110.640,-8.681
33467,2677764,CH3,119.744,126.960,-7.216
33467,2677764,CH4,128.831,132.000,-3.169
33467,2677764,CH5,136.502,135.120,1.382
33467,2677764,CH6,135.947,127.200,8.747
33468,2677844,CH1,84.414,90.000,-5.586
33468,2677844,CH2,91.318,98.880,-7.562
33468,2677844,CH3,107.388,116.400,-9.012
33468,2677844,CH4,117.765,125.760,-7.995
33468,2677844,CH5,131.365,135.120,-3.755
33468,2677844,CH6,139.616,138.000,1.616
33469,2677924,CH1,89.093,88.080,1.013
33469,2677924,CH2,87.388,90.480,-3.092
33469,2677924,CH3,97.594,104.400,-6.806
33469,2677924,CH4,104.489,114.000,-9.511
33469,2677924,CH5,119.419,127.680,-8.261
33469,2677924,CH6,133.949,138.000,-4.051
33470,2678014,CH1,101.344,92.640,8.704
33470,2678014,CH2,91.670,89.280,2.390
33470,2678014,CH3,94.102,96.720,-2.618
33470,2678014,CH4,94.074,101.280,-7.206
33470,2678014,CH5,105.227,114.960,-9.733
33470,2678014,CH6,121.111,129.840,-8.729
33471,2678084,CH1,101.344,92.640,8.704
33471,2678084,CH2,91.670,89.280,2.390
33471,2678084,CH3,94.102,96.720,-2.618
33471,2678084,CH4,94.074,101.280,-7.206
33471,2678084,CH5,105.227,114.960,-9.733
33471,2678084,CH6,121.111,129.840,-8.729
33472,2678164,CH1,116.485,104.640,11.845
33472,2678164,CH2,102.527,95.520,7.007
33472,2678164,CH3,98.247,95.760,2.487
33472,2678164,CH4,90.498,92.400,-1.902
33472,2678164,CH5,94.208,102.000,-7.792
33472,2678164,CH6,106.006,116.880,-10.874
33473,2678244,CH1,128.735,118.560,10.175
33473,2678244,CH2,115.814,105.840,9.974
33473,2678244,CH3,108.445,100.320,8.125
33473,2678244,CH4,95.127,91.200,3.927
33473,2678244,CH5,90.573,92.160,-1.587
33473,2678244,CH6,94.402,102.720,-8.318
33474,2678324,CH1,133.414,126.960,6.454
33474,2678324,CH2,126.454,117.120,9.334
33474,2678324,CH3,120.801,110.160,10.641
33474,2678324,CH4,106.192,96.480,9.712
33474,2678324,CH5,95.709,89.520,6.189
33474,2678324,CH6,90.734,92.160,-1.426
33475,2678413,CH1,133.414,126.960,6.454
33475,2678413,CH2,126.454,117.120,9.334
33475,2678413,CH3,120.801,110.160,10.641
33475,2678413,CH4,106.192,96.480,9.712
33475,2678413,CH5,95.709,89.520,6.189
33475,2678413,CH6,90.734,92.160,-1.426
33476,2678484,CH1,128.735,129.120,-0.385
33476,2678484,CH2,130.384,125.520,4.864
33476,2678484,CH3,130.595,122.160,8.435
33476,2678484,CH4,119.469,108.240,11.229
33476,2678484,CH5,107.655,97.440,10.215
33476,2678484,CH6,96.400,91.680,4.720
33477,2678564,CH1,116.484,124.560,-8.076
33477,2678564,CH2,126.103,127.680,-1.577
33477,2678564,CH3,134.087,130.080,4.007
33477,2678564,CH4,129.884,121.200,8.684
33477,2678564,CH5,121.848,109.680,12.168
33477,2678564,CH6,109.238,99.120,10.118
33478,2678644,CH1,116.484,124.560,-8.076
33478,2678644,CH2,126.103,127.680,-1.577
33478,2678644,CH3,134.087,130.080,4.007
33478,2678644,CH4,129.884,121.200,8.684
33478,2678644,CH5,121.848,109.680,12.168
33478,2678644,CH6,109.238,99.120,10.118
33479,2678724,CH1,101.343,112.800,-11.457
33479,2678724,CH2,115.245,122.160,-6.915
33479,2678724,CH3,129.942,131.280,-1.338
33479,2678724,CH4,133.460,130.320,3.140
33479,2678724,CH5,132.866,123.360,9.506
33479,2678724,CH6,124.343,112.560,11.783
33480,2678813,CH1,89.093,99.120,-10.027
