seq,millis,channel,target_deg,actual_deg,error_deg
35954,2876883,CH1,159.832,148.800,11.032
35954,2876883,CH2,146.979,138.000,8.979
35954,2876883,CH3,139.220,132.000,7.220
35954,2876883,CH4,112.620,109.440,3.180
35954,2876883,CH5,104.730,106.800,-2.070
35954,2876883,CH6,103.040,112.560,-9.520
35955,2876963,CH1,159.832,148.800,11.032
35955,2876963,CH2,146.979,138.000,8.979
35955,2876963,CH3,139.220,132.000,7.220
35955,2876963,CH4,112.620,109.440,3.180
35955,2876963,CH5,104.730,106.800,-2.070
35955,2876963,CH6,103.040,112.560,-9.520
35956,2877043,CH1,164.511,157.920,6.591
35956,2877043,CH2,157.619,148.560,9.059
35956,2877043,CH3,151.576,142.080,9.496
35956,2877043,CH4,123.685,115.440,8.245
35956,2877043,CH5,109.866,105.360,4.506
35956,2877043,CH6,99.371,101.040,-1.669
35957,2877123,CH1,159.832,160.080,-0.248
35957,2877123,CH2,161.550,156.720,4.830
35957,2877123,CH3,161.370,152.640,8.730
35957,2877123,CH4,136.962,126.480,10.482
35957,2877123,CH5,121.812,112.080,9.732
35957,2877123,CH6,105.037,101.280,3.757
35958,2877212,CH1,159.832,160.080,-0.248
35958,2877212,CH2,161.550,156.720,4.830
35958,2877212,CH3,161.370,152.640,8.730
35958,2877212,CH4,136.962,126.480,10.482
35958,2877212,CH5,121.812,112.080,9.732
35958,2877212,CH6,105.037,101.280,3.757
35959,2877283,CH1,147.582,155.760,-8.178
35959,2877283,CH2,157.268,158.880,-1.612
35959,2877283,CH3,164.862,160.800,4.062
35959,2877283,CH4,147.377,139.200,8.177
35959,2877283,CH5,136.005,124.320,11.685
35959,2877283,CH6,117.875,107.760,10.115
35960,2877363,CH1,132.440,143.760,-11.320
35960,2877363,CH2,146.411,153.360,-6.949
35960,2877363,CH3,160.718,162.240,-1.522
35960,2877363,CH4,150.954,148.080,2.874
35960,2877363,CH5,147.024,138.720,8.304
35960,2877363,CH6,132.981,121.200,11.781
35961,2877443,CH1,120.190,130.320,-10.130
35961,2877443,CH2,133.125,142.800,-9.675
35961,2877443,CH3,150.520,157.920,-7.400
35961,2877443,CH4,146.325,149.520,-3.195
35961,2877443,CH5,150.659,149.040,1.619
35961,2877443,CH6,144.584,135.600,8.984
35962,2877523,CH1,120.190,130.320,-10.130
35962,2877523,CH2,133.125,142.800,-9.675
35962,2877523,CH3,150.520,157.920,-7.400
35962,2877523,CH4,146.325,149.520,-3.195
35962,2877523,CH5,150.659,149.040,1.619
35962,2877523,CH6,144.584,135.600,8.984
35963,2877612,CH1,115.511,121.440,-5.929
35963,2877612,CH2,122.484,131.280,-8.796
35963,2877612,CH3,138.164,149.040,-10.876
35963,2877612,CH4,135.259,144.480,-9.221
