seq,millis,channel,target_deg,actual_deg,error_deg
37112,2969522,CH1,107.551,115.920,-8.369
37112,2969522,CH2,117.828,118.320,-0.492
37112,2969522,CH3,126.759,121.440,5.319
37112,2969522,CH4,121.266,110.640,10.626
37112,2969522,CH5,114.881,101.040,13.841
37112,2969522,CH6,113.619,102.480,11.139
37113,2969611,CH1,107.551,115.920,-8.369
37113,2969611,CH2,117.828,118.320,-0.492
37113,2969611,CH3,126.759,121.440,5.319
37113,2969611,CH4,121.266,110.640,10.626
37113,2969611,CH5,114.881,101.040,13.841
37113,2969611,CH6,113.619,102.480,11.139
37114,2969682,CH1,92.409,104.160,-11.751
37114,2969682,CH2,106.970,114.000,-7.030
37114,2969682,CH3,122.614,123.840,-1.226
37114,2969682,CH4,124.842,120.240,4.602
37114,2969682,CH5,125.900,114.720,11.180
37114,2969682,CH6,128.725,115.200,13.525
37115,2969762,CH1,80.160,90.000,-9.840
37115,2969762,CH2,93.684,101.760,-8.076
37115,2969762,CH3,112.416,119.040,-6.624
37115,2969762,CH4,120.214,123.360,-3.146
37115,2969762,CH5,129.536,127.200,2.336
37115,2969762,CH6,140.328,130.320,10.008
37116,2969842,CH1,75.481,81.840,-6.359
37116,2969842,CH2,83.043,90.720,-7.677
37116,2969842,CH3,100.060,109.680,-9.620
37116,2969842,CH4,109.148,117.600,-8.452
37116,2969842,CH5,124.400,129.120,-4.720
37116,2969842,CH6,143.997,140.640,3.357
37117,2969922,CH1,75.481,81.840,-6.359
37117,2969922,CH2,83.043,90.720,-7.677
37117,2969922,CH3,100.060,109.680,-9.620
37117,2969922,CH4,109.148,117.600,-8.452
37117,2969922,CH5,124.400,129.120,-4.720
37117,2969922,CH6,143.997,140.640,3.357
37118,2970011,CH1,80.160,79.680,0.480
37118,2970011,CH2,79.113,83.280,-4.167
37118,2970011,CH3,90.266,98.160,-7.894
37118,2970011,CH4,95.872,105.600,-9.728
37118,2970011,CH5,112.454,121.200,-8.746
37118,2970011,CH6,138.331,141.840,-3.509
37119,2970082,CH1,92.410,83.280,9.130
37119,2970082,CH2,83.394,81.360,2.034
37119,2970082,CH3,86.774,90.240,-3.466
37119,2970082,CH4,85.456,93.120,-7.664
37119,2970082,CH5,98.261,109.440,-11.179
37119,2970082,CH6,125.493,134.880,-9.387
37120,2970162,CH1,92.410,83.280,9.130
37120,2970162,CH2,83.394,81.360,2.034
