seq,millis,channel,target_deg,actual_deg,error_deg
40639,3251680,CH1,113.854,113.760,0.094
40639,3251680,CH2,114.707,119.520,-4.813
40639,3251680,CH3,125.856,135.360,-9.504
40639,3251680,CH4,115.877,127.680,-11.803
40639,3251680,CH5,128.281,138.960,-10.679
40639,3251680,CH6,141.094,144.720,-3.626
40640,3251760,CH1,126.104,117.360,8.744
40640,3251760,CH2,118.988,117.600,1.388
40640,3251760,CH3,122.364,126.480,-4.116
40640,3251760,CH4,105.462,114.720,-9.258
40640,3251760,CH5,114.088,126.000,-11.912
40640,3251760,CH6,128.257,138.720,-10.463
40641,3251840,CH1,126.104,117.360,8.744
40641,3251840,CH2,118.988,117.600,1.388
40641,3251840,CH3,122.364,126.480,-4.116
40641,3251840,CH4,105.462,114.720,-9.258
40641,3251840,CH5,114.088,126.000,-11.912
40641,3251840,CH6,128.257,138.720,-10.463
40642,3251920,CH1,141.246,128.640,12.606
40642,3251920,CH2,129.845,122.400,7.445
40642,3251920,CH3,126.509,124.800,1.709
40642,3251920,CH4,101.885,105.120,-3.235
40642,3251920,CH5,103.069,112.800,-9.731
40642,3251920,CH6,113.151,125.760,-12.609
40643,3252009,CH1,153.496,142.320,11.176
40643,3252009,CH2,143.132,133.680,9.452
40643,3252009,CH3,136.707,129.600,7.107
40643,3252009,CH4,106.514,103.440,3.074
40643,3252009,CH5,99.433,101.040,-1.607
40643,3252009,CH6,101.548,111.360,-9.812
40644,3252080,CH1,158.175,151.440,6.735
40644,3252080,CH2,153.772,144.720,9.052
40644,3252080,CH3,149.062,139.440,9.622
40644,3252080,CH4,117.580,108.720,8.860
40644,3252080,CH5,104.569,99.600,4.969
40644,3252080,CH6,97.879,100.080,-2.201
40645,3252160,CH1,158.175,151.440,6.735
40645,3252160,CH2,153.772,144.720,9.052
40645,3252160,CH3,149.062,139.440,9.622
40645,3252160,CH4,117.580,108.720,8.860
40645,3252160,CH5,104.569,99.600,4.969
40645,3252160,CH6,97.879,100.080,-2.201
40646,3252240,CH1,153.496,153.600,-0.104
40646,3252240,CH2,157.703,152.640,5.063
40646,3252240,CH3,158.857,150.000,8.857
40646,3252240,CH4,130.856,120.000,10.856
40646,3252240,CH5,116.515,106.800,9.715
40646,3252240,CH6,103.545,98.640,4.905
40647,3252320,CH1,141.246,149.760,-8.514
40647,3252320,CH2,153.422,154.560,-1.138
40647,3252320,CH3,162.349,157.680,4.669
40647,3252320,CH4,141.271,133.200,8.071
40647,3252320,CH5,130.708,118.560,12.148
40647,3252320,CH6,116.383,105.840,10.543
40648,3252409,CH1,141.246,149.760,-8.514
40648,3252409,CH2,153.422,154.560,-1.138
40648,3252409,CH3,162.349,157.680,4.669
40648,3252409,CH4,141.271,133.200,8.071
40648,3252409,CH5,130.708,118.560,12.148
