seq,millis,channel,target_deg,actual_deg,error_deg
42388,3391608,CH1,129.734,122.880,6.854
42388,3391608,CH2,124.251,114.960,9.291
42388,3391608,CH3,121.079,110.640,10.439
42388,3391608,CH4,98.751,89.040,9.711
42388,3391608,CH5,89.417,83.760,5.657
42388,3391608,CH6,93.151,95.040,-1.889
42389,3391679,CH1,125.055,124.800,0.255
42389,3391679,CH2,128.181,123.360,4.821
42389,3391679,CH3,130.873,120.960,9.913
42389,3391679,CH4,112.027,99.840,12.187
42389,3391679,CH5,101.363,90.480,10.883
42389,3391679,CH6,98.817,93.840,4.977
42390,3391759,CH1,125.055,124.800,0.255
42390,3391759,CH2,128.181,123.360,4.821
42390,3391759,CH3,130.873,120.960,9.913
42390,3391759,CH4,112.027,99.840,12.187
42390,3391759,CH5,101.363,90.480,10.883
42390,3391759,CH6,98.817,93.840,4.977
42391,3391839,CH1,112.805,121.200,-8.395
42391,3391839,CH2,123.900,125.520,-1.620
42391,3391839,CH3,134.365,130.080,4.285
42391,3391839,CH4,122.442,112.560,9.882
42391,3391839,CH5,115.556,102.720,12.836
42391,3391839,CH6,111.655,100.320,11.335
42392,3391919,CH1,97.663,109.680,-12.017
42392,3391919,CH2,113.042,120.000,-6.958
42392,3391919,CH3,130.221,131.040,-0.819
42392,3391919,CH4,126.019,122.400,3.619
42392,3391919,CH5,126.574,115.920,10.654
42392,3391919,CH6,126.760,113.520,13.240
42393,3392008,CH1,85.413,96.240,-10.827
42393,3392008,CH2,99.756,108.720,-8.964
42393,3392008,CH3,120.023,127.200,-7.177
42393,3392008,CH4,121.390,124.800,-3.410
42393,3392008,CH5,130.210,127.920,2.290
42393,3392008,CH6,138.364,128.160,10.204
42394,3392079,CH1,85.413,96.240,-10.827
42394,3392079,CH2,99.756,108.720,-8.964
42394,3392079,CH3,120.023,127.200,-7.177
42394,3392079,CH4,121.390,124.800,-3.410
42394,3392079,CH5,130.210,127.920,2.290
42394,3392079,CH6,138.364,128.160,10.204
42395,3392159,CH1,80.734,87.120,-6.386
42395,3392159,CH2,89.115,97.200,-8.085
42395,3392159,CH3,107.667,117.120,-9.453
42395,3392159,CH4,110.324,118.560,-8.236
42395,3392159,CH5,125.074,129.360,-4.286
42395,3392159,CH6,142.033,139.440,2.593
42396,3392239,CH1,85.413,84.720,0.693
42396,3392239,CH2,85.185,88.560,-3.375
42396,3392239,CH3,97.872,105.600,-7.728
42396,3392239,CH4,97.048,107.040,-9.992
42396,3392239,CH5,113.128,121.680,-8.552
42396,3392239,CH6,136.366,140.400,-4.034
42397,3392319,CH1,97.663,88.560,9.103
42397,3392319,CH2,89.466,87.120,2.346
42397,3392319,CH3,94.381,98.160,-3.779
42397,3392319,CH4,86.633,94.320,-7.687
42397,3392319,CH5,98.935,109.440,-10.505
42397,3392319,CH6,123.529,132.720,-9.191
42398,3392408,CH1,97.663,88.560,9.103
42398,3392408,CH2,89.466,87.120,2.346
42398,3392408,CH3,94.381,98.160,-3.779
42398,3392408,CH4,86.633,94.320,-7.687
42398,3392408,CH5,98.935,109.440,-10.505
42398,3392408,CH6,123.529,132.720,-9.191
42399,3392479,CH1,112.805,100.320,12.485
42399,3392479,CH2,100.324,92.640,7.684
42399,3392479,CH3,98.525,96.000,2.525
42399,3392479,CH4,83.056,85.680,-2.624
42399,3392479,CH5,87.916,96.720,-8.804
42399,3392479,CH6,108.423,120.720,-12.297
42400,3392559,CH1,125.055,113.520,11.535
42400,3392559,CH2,113.610,104.160,9.450
42400,3392559,CH3,108.723,100.800,7.923
42400,3392559,CH4,87.685,83.520,4.165
42400,3392559,CH5,84.281,85.920,-1.639
42400,3392559,CH6,96.820,107.280,-10.460
42401,3392639,CH1,125.055,113.520,11.535
42401,3392639,CH2,113.610,104.160,9.450
42401,3392639,CH3,108.723,100.800,7.923
42401,3392639,CH4,87.685,83.520,4.165
42401,3392639,CH5,84.281,85.920,-1.639
42401,3392639,CH6,96.820,107.280,-10.460
42402,3392719,CH1,129.734,122.400,7.334
42402,3392719,CH2,124.251,114.720,9.531
42402,3392719,CH3,121.079,110.400,10.679
42402,3392719,CH4,98.751,88.560,10.191
42402,3392719,CH5,89.417,83.520,5.897
42402,3392719,CH6,93.151,96.240,-3.089
42403,3392808,CH1,125.055,124.560,0.495
42403,3392808,CH2,128.181,122.640,5.541
42403,3392808,CH3,130.873,120.960,9.913
42403,3392808,CH4,112.027,99.840,12.187
42403,3392808,CH5,101.363,90.000,11.363
42403,3392808,CH6,98.817,94.080,4.737
42404,3392879,CH1,112.805,121.200,-8.395
42404,3392879,CH2,123.900,125.040,-1.140
42404,3392879,CH3,134.365,129.600,4.765
42404,3392879,CH4,122.442,112.800,9.642
42404,3392879,CH5,115.556,102.000,13.556
42404,3392879,CH6,111.655,101.040,10.615
42405,3392959,CH1,112.805,121.200,-8.395
42405,3392959,CH2,123.900,125.040,-1.140
42405,3392959,CH3,134.365,129.600,4.765
42405,3392959,CH4,122.442,112.800,9.642
42405,3392959,CH5,115.556,102.000,13.556
42405,3392959,CH6,111.655,101.040,10.615
42406,3393039,CH1,97.663,109.680,-12.017
42406,3393039,CH2,113.042,120.000,-6.958
42406,3393039,CH3,130.221,131.280,-1.059
42406,3393039,CH4,126.019,122.160,3.859
42406,3393039,CH5,126.574,115.680,10.894
42406,3393039,CH6,126.760,113.280,13.480
42407,3393119,CH1,85.413,96.480,-11.067
42407,3393119,CH2,99.756,108.720,-8.964
42407,3393119,CH3,120.023,126.960,-6.937
42407,3393119,CH4,121.390,124.800,-3.410
42407,3393119,CH5,130.210,127.920,2.290
42407,3393119,CH6,138.364,127.440,10.924
42408,3393208,CH1,85.413,96.480,-11.067
42408,3393208,CH2,99.756,108.720,-8.964
42408,3393208,CH3,120.023,126.960,-6.937
42408,3393208,CH4,121.390,124.800,-3.410
42408,3393208,CH5,130.210,127.920,2.290
42408,3393208,CH6,138.364,127.440,10.924
42409,3393279,CH1,80.734,86.880,-6.146
42409,3393279,CH2,89.115,97.440,-8.325
42409,3393279,CH3,107.667,117.120,-9.453
42409,3393279,CH4,110.324,118.560,-8.236
42409,3393279,CH5,125.074,129.600,-4.526
42409,3393279,CH6,142.033,139.440,2.593
42410,3393359,CH1,85.413,84.480,0.933
42410,3393359,CH2,85.185,88.800,-3.615
42410,3393359,CH3,97.872,105.120,-7.248
42410,3393359,CH4,97.048,106.800,-9.752
42410,3393359,CH5,113.128,121.920,-8.792
42410,3393359,CH6,136.366,140.640,-4.274
42411,3393439,CH1,97.663,88.560,9.103
42411,3393439,CH2,89.466,87.360,2.106
42411,3393439,CH3,94.381,97.920,-3.539
42411,3393439,CH4,86.633,94.080,-7.447
42411,3393439,CH5,98.935,109.680,-10.745
42411,3393439,CH6,123.529,132.720,-9.191
42412,3393519,CH1,97.663,88.560,9.103
42412,3393519,CH2,89.466,87.360,2.106
42412,3393519,CH3,94.381,97.920,-3.539
42412,3393519,CH4,86.633,94.080,-7.447
42412,3393519,CH5,98.935,109.680,-10.745
42412,3393519,CH6,123.529,132.720,-9.191
42413,3393608,CH1,112.805,100.320,12.485
42413,3393608,CH2,100.324,92.400,7.924
42413,3393608,CH3,98.525,96.480,2.045
42413,3393608,CH4,83.056,85.920,-2.864
42413,3393608,CH5,87.916,96.480,-8.564
42413,3393608,CH6,108.423,120.000,-11.577
42414,3393679,CH1,125.055,113.520,11.535
42414,3393679,CH2,113.610,103.920,9.690
42414,3393679,CH3,108.723,100.800,7.923
42414,3393679,CH4,87.685,84.000,3.685
42414,3393679,CH5,84.281,85.680,-1.399
42414,3393679,CH6,96.820,106.560,-9.740
42415,3393759,CH1,125.055,113.520,11.535
42415,3393759,CH2,113.610,103.920,9.690
42415,3393759,CH3,108.723,100.800,7.923
42415,3393759,CH4,87.685,84.000,3.685
42415,3393759,CH5,84.281,85.680,-1.399
42415,3393759,CH6,96.820,106.560,-9.740
42416,3393839,CH1,129.734,122.400,7.334
42416,3393839,CH2,124.251,114.720,9.531
42416,3393839,CH3,121.079,110.400,10.679
42416,3393839,CH4,98.751,88.560,10.191
42416,3393839,CH5,89.417,83.040,6.377
42416,3393839,CH6,93.151,95.760,-2.609
42417,3393919,CH1,125.055,124.800,0.255
42417,3393919,CH2,128.181,123.120,5.061
42417,3393919,CH3,130.873,120.960,9.913
42417,3393919,CH4,112.027,99.840,12.187
42417,3393919,CH5,101.363,90.000,11.363
42417,3393919,CH6,98.817,94.320,4.497
42418,3394008,CH1,112.805,120.960,-8.155
42418,3394008,CH2,123.900,124.800,-0.900
42418,3394008,CH3,134.365,129.600,4.765
42418,3394008,CH4,122.442,112.800,9.642
42418,3394008,CH5,115.556,101.760,13.796
42418,3394008,CH6,111.655,100.560,11.095
42419,3394079,CH1,112.805,120.960,-8.155
42419,3394079,CH2,123.900,124.800,-0.900
42419,3394079,CH3,134.365,129.600,4.765
42419,3394079,CH4,122.442,112.800,9.642
42419,3394079,CH5,115.556,101.760,13.796
42419,3394079,CH6,111.655,100.560,11.095
42420,3394159,CH1,97.663,109.680,-12.017
42420,3394159,CH2,113.042,120.000,-6.958
42420,3394159,CH3,130.221,131.520,-1.299
42420,3394159,CH4,126.019,123.120,2.899
42420,3394159,CH5,126.574,115.680,10.894
42420,3394159,CH6,126.760,114.000,12.760
42421,3394239,CH1,85.413,96.000,-10.587
42421,3394239,CH2,99.756,109.440,-9.684
42421,3394239,CH3,120.023,126.480,-6.457
42421,3394239,CH4,121.390,124.800,-3.410
42421,3394239,CH5,130.210,127.680,2.530
42421,3394239,CH6,138.364,128.880,9.484
42422,3394319,CH1,80.734,86.880,-6.146
42422,3394319,CH2,89.115,97.200,-8.085
42422,3394319,CH3,107.667,117.120,-9.453
42422,3394319,CH4,110.324,118.560,-8.236
42422,3394319,CH5,125.074,129.360,-4.286
42422,3394319,CH6,142.033,139.440,2.593
42423,3394408,CH1,80.734,86.880,-6.146
42423,3394408,CH2,89.115,97.200,-8.085
42423,3394408,CH3,107.667,117.120,-9.453
42423,3394408,CH4,110.324,118.560,-8.236
42423,3394408,CH5,125.074,129.360,-4.286
42423,3394408,CH6,142.033,139.440,2.593
42424,3394479,CH1,85.413,84.720,0.693
42424,3394479,CH2,85.185,88.800,-3.615
42424,3394479,CH3,97.872,105.360,-7.488
42424,3394479,CH4,97.048,106.800,-9.752
42424,3394479,CH5,113.128,122.160,-9.032
42424,3394479,CH6,136.366,140.400,-4.034
42425,3394559,CH1,97.663,88.560,9.103
42425,3394559,CH2,89.466,87.360,2.106
42425,3394559,CH3,94.381,97.920,-3.539
42425,3394559,CH4,86.633,94.320,-7.687
42425,3394559,CH5,98.935,109.920,-10.985
42425,3394559,CH6,123.529,132.480,-8.951
42426,3394639,CH1,97.663,88.560,9.103
42426,3394639,CH2,89.466,87.360,2.106
42426,3394639,CH3,94.381,97.920,-3.539
42426,3394639,CH4,86.633,94.320,-7.687
42426,3394639,CH5,98.935,109.920,-10.985
42426,3394639,CH6,123.529,132.480,-8.951
42427,3394719,CH1,112.805,100.080,12.725
42427,3394719,CH2,100.324,92.880,7.444
42427,3394719,CH3,98.525,96.480,2.045
42427,3394719,CH4,83.056,85.680,-2.624
42427,3394719,CH5,87.916,96.720,-8.804
42427,3394719,CH6,108.423,120.240,-11.817
42428,3394808,CH1,125.055,114.240,10.815
42428,3394808,CH2,113.610,104.160,9.450
42428,3394808,CH3,108.723,100.800,7.923
42428,3394808,CH4,87.685,84.240,3.445
42428,3394808,CH5,84.281,86.160,-1.879
42428,3394808,CH6,96.820,106.320,-9.500
42429,3394879,CH1,129.734,122.880,6.854
42429,3394879,CH2,124.251,114.960,9.291
42429,3394879,CH3,121.079,110.400,10.679
42429,3394879,CH4,98.751,89.040,9.711
42429,3394879,CH5,89.417,84.000,5.417
42429,3394879,CH6,93.151,94.560,-1.409
42430,3394959,CH1,129.734,122.880,6.854
42430,3394959,CH2,124.251,114.960,9.291
42430,3394959,CH3,121.079,110.400,10.679
42430,3394959,CH4,98.751,89.040,9.711
42430,3394959,CH5,89.417,84.000,5.417
42430,3394959,CH6,93.151,94.560,-1.409
42431,3395039,CH1,125.055,124.800,0.255
42431,3395039,CH2,128.181,123.360,4.821
42431,3395039,CH3,130.873,121.440,9.433
42431,3395039,CH4,112.027,99.840,12.187
42431,3395039,CH5,101.363,90.240,11.123
42431,3395039,CH6,98.817,93.600,5.217
42432,3395119,CH1,112.805,121.680,-8.875
42432,3395119,CH2,123.900,125.040,-1.140
42432,3395119,CH3,134.365,129.120,5.245
42432,3395119,CH4,122.442,112.560,9.882
42432,3395119,CH5,115.556,102.000,13.556
42432,3395119,CH6,111.655,100.080,11.575
42433,3395208,CH1,112.805,121.680,-8.875
42433,3395208,CH2,123.900,125.040,-1.140
42433,3395208,CH3,134.365,129.120,5.245
42433,3395208,CH4,122.442,112.560,9.882
42433,3395208,CH5,115.556,102.000,13.556
42433,3395208,CH6,111.655,100.080,11.575
42434,3395279,CH1,97.663,109.680,-12.017
42434,3395279,CH2,113.042,120.240,-7.198
42434,3395279,CH3,130.221,131.280,-1.059
42434,3395279,CH4,126.019,122.400,3.619
42434,3395279,CH5,126.574,115.680,10.894
42434,3395279,CH6,126.760,113.040,13.720
42435,3395359,CH1,85.413,95.520,-10.107
42435,3395359,CH2,99.756,108.720,-8.964
42435,3395359,CH3,120.023,126.960,-6.937
42435,3395359,CH4,121.390,124.800,-3.410
42435,3395359,CH5,130.210,128.400,1.810
42435,3395359,CH6,138.364,128.400,9.964
42436,3395439,CH1,80.734,87.120,-6.386
42436,3395439,CH2,89.115,96.960,-7.845
42436,3395439,CH3,107.667,117.360,-9.693
42436,3395439,CH4,110.324,119.040,-8.716
42436,3395439,CH5,125.074,129.840,-4.766
42436,3395439,CH6,142.033,139.680,2.353
42437,3395519,CH1,80.734,87.120,-6.386
42437,3395519,CH2,89.115,96.960,-7.845
42437,3395519,CH3,107.667,117.360,-9.693
42437,3395519,CH4,110.324,119.040,-8.716
42437,3395519,CH5,125.074,129.840,-4.766
42437,3395519,CH6,142.033,139.680,2.353
42438,3395608,CH1,85.413,84.720,0.693
42438,3395608,CH2,85.185,89.040,-3.855
42438,3395608,CH3,97.872,105.360,-7.488
42438,3395608,CH4,97.048,107.040,-9.992
42438,3395608,CH5,113.128,122.160,-9.032
42438,3395608,CH6,136.366,140.400,-4.034
42439,3395679,CH1,97.663,88.320,9.343
42439,3395679,CH2,89.466,87.600,1.866
42439,3395679,CH3,94.381,97.920,-3.539
42439,3395679,CH4,86.633,94.320,-7.687
42439,3395679,CH5,98.935,109.440,-10.505
42439,3395679,CH6,123.529,133.200,-9.671
42440,3395759,CH1,97.663,88.320,9.343
42440,3395759,CH2,89.466,87.600,1.866
42440,3395759,CH3,94.381,97.920,-3.539
42440,3395759,CH4,86.633,94.320,-7.687
42440,3395759,CH5,98.935,109.440,-10.505
42440,3395759,CH6,123.529,133.200,-9.671
42441,3395839,CH1,112.805,100.800,12.005
42441,3395839,CH2,100.324,93.120,7.204
42441,3395839,CH3,98.525,96.480,2.045
42441,3395839,CH4,83.056,86.160,-3.104
42441,3395839,CH5,87.916,96.720,-8.804
42441,3395839,CH6,108.423,120.240,-11.817
42442,3395919,CH1,125.055,113.760,11.295
42442,3395919,CH2,113.610,104.400,9.210
42442,3395919,CH3,108.723,101.280,7.443
42442,3395919,CH4,87.685,84.240,3.445
42442,3395919,CH5,84.281,86.160,-1.879
42442,3395919,CH6,96.820,105.840,-9.020
42443,3396008,CH1,129.734,122.880,6.854
42443,3396008,CH2,124.251,114.960,9.291
42443,3396008,CH3,121.079,110.640,10.439
42443,3396008,CH4,98.751,89.520,9.231
42443,3396008,CH5,89.417,84.480,4.937
42443,3396008,CH6,93.151,94.800,-1.649
42444,3396079,CH1,129.734,122.880,6.854
42444,3396079,CH2,124.251,114.960,9.291
42444,3396079,CH3,121.079,110.640,10.439
42444,3396079,CH4,98.751,89.520,9.231
42444,3396079,CH5,89.417,84.480,4.937
42444,3396079,CH6,93.151,94.800,-1.649
42445,3396159,CH1,125.055,125.040,0.015
42445,3396159,CH2,128.181,123.120,5.061
42445,3396159,CH3,130.873,121.200,9.673
42445,3396159,CH4,112.027,100.080,11.947
42445,3396159,CH5,101.363,89.760,11.603
42445,3396159,CH6,98.817,94.080,4.737
42446,3396239,CH1,112.805,121.200,-8.395
42446,3396239,CH2,123.900,124.800,-0.900
