seq,millis,channel,target_deg,actual_deg,error_deg
47905,3832956,CH1,127.571,136.560,-8.989
47905,3832956,CH2,110.958,120.000,-9.042
47905,3832956,CH3,106.261,112.560,-6.299
47905,3832956,CH4,96.779,97.680,-0.901
47905,3832956,CH5,104.648,98.160,6.488
47905,3832956,CH6,123.975,112.080,11.895
47906,3833036,CH1,127.571,136.560,-8.989
47906,3833036,CH2,110.958,120.000,-9.042
47906,3833036,CH3,106.261,112.560,-6.299
47906,3833036,CH4,96.779,97.680,-0.901
47906,3833036,CH5,104.648,98.160,6.488
47906,3833036,CH6,123.975,112.080,11.895
47907,3833116,CH1,112.429,124.800,-12.371
47907,3833116,CH2,101.219,107.760,-6.541
47907,3833116,CH3,105.731,106.320,-0.589
47907,3833116,CH4,104.935,99.120,5.815
47907,3833116,CH5,118.411,107.520,10.891
47907,3833116,CH6,137.648,125.040,12.608
47908,3833204,CH1,100.179,110.640,-10.461
47908,3833204,CH2,98.654,98.880,-0.226
47908,3833204,CH3,112.562,108.000,4.562
47908,3833204,CH4,117.699,107.520,10.179
47908,3833204,CH5,131.635,120.240,11.395
47908,3833204,CH6,144.885,136.800,8.085
47909,3833276,CH1,95.500,99.840,-4.340
47909,3833276,CH2,104.243,98.880,5.363
47909,3833276,CH3,124.143,114.720,9.423
47909,3833276,CH4,130.196,118.080,12.116
47909,3833276,CH5,139.269,131.280,7.989
47909,3833276,CH6,142.923,141.600,1.323
47910,3833356,CH1,95.500,99.840,-4.340
47910,3833356,CH2,104.243,98.880,5.363
47910,3833356,CH3,124.143,114.720,9.423
47910,3833356,CH4,130.196,118.080,12.116
47910,3833356,CH5,139.269,131.280,7.989
47910,3833356,CH6,142.923,141.600,1.323
47911,3833436,CH1,100.179,97.920,2.259
47911,3833436,CH2,115.850,107.040,8.810
47911,3833436,CH3,136.051,125.760,10.291
47911,3833436,CH4,137.653,130.080,7.573
47911,3833436,CH5,138.397,137.040,1.357
47911,3833436,CH6,132.511,139.440,-6.929
47912,3833516,CH1,112.429,102.480,9.949
47912,3833516,CH2,129.042,119.280,9.762
