seq,millis,channel,target_deg,actual_deg,error_deg
10305,824827,CH1,159.873,159.600,0.273
10305,824827,CH2,161.551,156.720,4.831
10305,824827,CH3,161.555,152.400,9.155
10305,824827,CH4,127.243,116.160,11.083
10305,824827,CH5,114.827,104.640,10.187
10305,824827,CH6,122.080,117.360,4.720
10306,824899,CH1,147.623,156.240,-8.617
10306,824899,CH2,157.269,158.640,-1.371
10306,824899,CH3,165.046,160.560,4.486
10306,824899,CH4,137.658,128.400,9.258
10306,824899,CH5,129.020,115.920,13.100
10306,824899,CH6,134.918,124.560,10.358
10307,824979,CH1,147.623,156.240,-8.617
10307,824979,CH2,157.269,158.640,-1.371
10307,824979,CH3,165.046,160.560,4.486
10307,824979,CH4,137.658,128.400,9.258
10307,824979,CH5,129.020,115.920,13.100
10307,824979,CH6,134.918,124.560,10.358
10308,825059,CH1,132.481,145.200,-12.719
10308,825059,CH2,146.412,154.080,-7.668
10308,825059,CH3,160.900,161.760,-0.860
10308,825059,CH4,141.234,137.520,3.714
10308,825059,CH5,140.038,129.600,10.438
10308,825059,CH6,150.024,136.560,13.464
10309,825139,CH1,120.232,131.520,-11.288
10309,825139,CH2,133.125,143.280,-10.155
10309,825139,CH3,150.702,157.680,-6.978
10309,825139,CH4,136.605,139.680,-3.075
10309,825139,CH5,143.672,141.120,2.552
10309,825139,CH6,161.626,150.720,10.906
10310,825227,CH1,115.554,122.160,-6.606
10310,825227,CH2,122.485,131.520,-9.035
10310,825227,CH3,138.346,149.040,-10.694
10310,825227,CH4,125.538,134.640,-9.102
10310,825227,CH5,138.535,142.800,-4.265
10310,825227,CH6,165.294,161.760,3.534
10311,825299,CH1,115.554,122.160,-6.606
10311,825299,CH2,122.485,131.520,-9.035
10311,825299,CH3,138.346,149.040,-10.694
10311,825299,CH4,125.538,134.640,-9.102
10311,825299,CH5,138.535,142.800,-4.265
10311,825299,CH6,165.294,161.760,3.534
10312,825379,CH1,120.234,120.000,0.234
10312,825379,CH2,118.556,123.120,-4.564
10312,825379,CH3,128.552,138.000,-9.448
10312,825379,CH4,112.262,123.840,-11.578
10312,825379,CH5,126.589,137.040,-10.451
10312,825379,CH6,159.627,163.920,-4.293
10313,825458,CH1,132.484,123.600,8.884
10313,825458,CH2,122.838,121.200,1.638
10313,825458,CH3,125.061,129.600,-4.539
10313,825458,CH4,101.847,111.360,-9.513
10313,825458,CH5,112.396,125.040,-12.644
10313,825458,CH6,146.789,157.920,-11.131
10314,825539,CH1,147.626,135.360,12.266
10314,825539,CH2,133.696,126.480,7.216
10314,825539,CH3,129.207,127.920,1.287
10314,825539,CH4,98.271,102.240,-3.969
10314,825539,CH5,101.378,111.120,-9.742
10314,825539,CH6,131.684,144.960,-13.276
10315,825627,CH1,147.626,135.360,12.266
10315,825627,CH2,133.696,126.480,7.216
10315,825627,CH3,129.207,127.920,1.287
10315,825627,CH4,98.271,102.240,-3.969
10315,825627,CH5,101.378,111.120,-9.742
10315,825627,CH6,131.684,144.960,-13.276
10316,825699,CH1,159.875,148.560,11.315
10316,825699,CH2,146.982,137.520,9.462
10316,825699,CH3,139.405,132.240,7.165
10316,825699,CH4,102.901,100.080,2.821
10316,825699,CH5,97.743,99.120,-1.377
10316,825699,CH6,120.081,129.600,-9.519
10317,825778,CH1,164.554,157.440,7.114
10317,825778,CH2,157.622,148.080,9.542
10317,825778,CH3,151.761,141.600,10.161
10317,825778,CH4,113.967,105.120,8.847
10317,825778,CH5,102.880,97.680,5.200
10317,825778,CH6,116.413,118.560,-2.147
10318,825858,CH1,164.554,157.440,7.114
10318,825858,CH2,157.622,148.080,9.542
10318,825858,CH3,151.761,141.600,10.161
10318,825858,CH4,113.967,105.120,8.847
10318,825858,CH5,102.880,97.680,5.200
10318,825858,CH6,116.413,118.560,-2.147
10319,825938,CH1,159.873,159.600,0.273
10319,825938,CH2,161.551,156.480,5.071
10319,825938,CH3,161.555,152.400,9.155
10319,825938,CH4,127.243,115.680,11.563
10319,825938,CH5,114.827,104.400,10.427
10319,825938,CH6,122.080,117.360,4.720
10320,826027,CH1,147.623,156.240,-8.617
10320,826027,CH2,157.269,158.640,-1.371
10320,826027,CH3,165.046,160.560,4.486
10320,826027,CH4,137.658,128.880,8.778
10320,826027,CH5,129.020,116.400,12.620
10320,826027,CH6,134.918,124.560,10.358
10321,826099,CH1,132.481,144.720,-12.239
10321,826099,CH2,146.412,153.840,-7.428
10321,826099,CH3,160.900,162.480,-1.580
10321,826099,CH4,141.234,137.760,3.474
10321,826099,CH5,140.038,129.120,10.918
10321,826099,CH6,150.024,136.800,13.224
10322,826179,CH1,132.481,144.720,-12.239
10322,826179,CH2,146.412,153.840,-7.428
10322,826179,CH3,160.900,162.480,-1.580
10322,826179,CH4,141.234,137.760,3.474
10322,826179,CH5,140.038,129.120,10.918
10322,826179,CH6,150.024,136.800,13.224
10323,826259,CH1,120.232,131.280,-11.048
10323,826259,CH2,133.125,143.280,-10.155
10323,826259,CH3,150.702,158.160,-7.458
10323,826259,CH4,136.605,139.680,-3.075
10323,826259,CH5,143.672,141.360,2.312
10323,826259,CH6,161.626,150.720,10.906
10324,826339,CH1,115.554,122.160,-6.606
10324,826339,CH2,122.485,132.000,-9.515
10324,826339,CH3,138.346,149.040,-10.694
10324,826339,CH4,125.538,134.880,-9.342
10324,826339,CH5,138.535,143.040,-4.505
10324,826339,CH6,165.294,161.520,3.774
10325,826427,CH1,115.554,122.160,-6.606
10325,826427,CH2,122.485,132.000,-9.515
10325,826427,CH3,138.346,149.040,-10.694
10325,826427,CH4,125.538,134.880,-9.342
10325,826427,CH5,138.535,143.040,-4.505
10325,826427,CH6,165.294,161.520,3.774
10326,826499,CH1,120.234,120.000,0.234
10326,826499,CH2,118.556,123.120,-4.564
10326,826499,CH3,128.552,137.520,-8.968
10326,826499,CH4,112.262,123.840,-11.578
10326,826499,CH5,126.589,136.800,-10.211
10326,826499,CH6,159.627,163.200,-3.573
10327,826578,CH1,132.484,123.600,8.884
10327,826578,CH2,122.838,120.960,1.878
10327,826578,CH3,125.061,129.120,-4.059
10327,826578,CH4,101.847,110.880,-9.033
10327,826578,CH5,112.396,124.560,-12.164
10327,826578,CH6,146.789,157.200,-10.411
10328,826659,CH1,147.626,135.600,12.026
10328,826659,CH2,133.696,126.000,7.696
10328,826659,CH3,129.207,127.200,2.007
10328,826659,CH4,98.271,101.760,-3.489
10328,826659,CH5,101.378,111.120,-9.742
10328,826659,CH6,131.684,144.720,-13.036
10329,826739,CH1,147.626,135.600,12.026
10329,826739,CH2,133.696,126.000,7.696
10329,826739,CH3,129.207,127.200,2.007
10329,826739,CH4,98.271,101.760,-3.489
10329,826739,CH5,101.378,111.120,-9.742
10329,826739,CH6,131.684,144.720,-13.036
10330,826827,CH1,159.875,148.800,11.075
10330,826827,CH2,146.982,136.800,10.182
10330,826827,CH3,139.405,132.240,7.165
10330,826827,CH4,102.901,99.600,3.301
10330,826827,CH5,97.743,99.120,-1.377
10330,826827,CH6,120.081,130.080,-9.999
10331,826899,CH1,164.554,157.440,7.114
10331,826899,CH2,157.622,148.320,9.302
10331,826899,CH3,151.761,141.360,10.401
10331,826899,CH4,113.967,104.880,9.087
10331,826899,CH5,102.880,97.680,5.200
10331,826899,CH6,116.413,118.800,-2.387
10332,826978,CH1,164.554,157.440,7.114
10332,826978,CH2,157.622,148.320,9.302
10332,826978,CH3,151.761,141.360,10.401
10332,826978,CH4,113.967,104.880,9.087
10332,826978,CH5,102.880,97.680,5.200
10332,826978,CH6,116.413,118.800,-2.387
10333,827058,CH1,159.873,159.600,0.273
10333,827058,CH2,161.551,156.480,5.071
10333,827058,CH3,161.555,152.400,9.155
10333,827058,CH4,127.243,115.680,11.563
10333,827058,CH5,114.827,103.680,11.147
10333,827058,CH6,122.080,117.840,4.240
10334,827138,CH1,147.623,156.480,-8.857
10334,827138,CH2,157.269,158.640,-1.371
10334,827138,CH3,165.046,160.320,4.726
10334,827138,CH4,137.658,128.640,9.018
10334,827138,CH5,129.020,115.920,13.100
10334,827138,CH6,134.918,124.560,10.358
10335,827227,CH1,132.481,145.200,-12.719
10335,827227,CH2,146.411,153.840,-7.428
10335,827227,CH3,160.900,161.760,-0.860
10335,827227,CH4,141.234,137.280,3.954
10335,827227,CH5,140.038,129.600,10.438
10335,827227,CH6,150.024,136.800,13.224
10336,827298,CH1,132.481,145.200,-12.719
10336,827298,CH2,146.411,153.840,-7.428
10336,827298,CH3,160.900,161.760,-0.860
10336,827298,CH4,141.234,137.280,3.954
10336,827298,CH5,140.038,129.600,10.438
10336,827298,CH6,150.024,136.800,13.224
10337,827378,CH1,120.232,131.520,-11.288
10337,827378,CH2,133.125,143.040,-9.915
10337,827378,CH3,150.702,158.160,-7.458
10337,827378,CH4,136.605,139.680,-3.075
10337,827378,CH5,143.672,141.360,2.312
10337,827378,CH6,161.626,150.720,10.906
10338,827458,CH1,115.554,122.160,-6.606
10338,827458,CH2,122.485,132.000,-9.515
10338,827458,CH3,138.346,149.280,-10.934
10338,827458,CH4,125.538,135.120,-9.582
10338,827458,CH5,138.535,143.280,-4.745
10338,827458,CH6,165.294,162.000,3.294
10339,827538,CH1,120.234,120.240,-0.006
10339,827538,CH2,118.556,123.360,-4.804
10339,827538,CH3,128.552,138.240,-9.688
10339,827538,CH4,112.262,124.080,-11.818
10339,827538,CH5,126.589,137.520,-10.931
10339,827538,CH6,159.627,163.920,-4.293
10340,827627,CH1,120.234,120.240,-0.006
10340,827627,CH2,118.556,123.360,-4.804
10340,827627,CH3,128.552,138.240,-9.688
10340,827627,CH4,112.262,124.080,-11.818
10340,827627,CH5,126.589,137.520,-10.931
10340,827627,CH6,159.627,163.920,-4.293
