seq,millis,channel,target_deg,actual_deg,error_deg
11983,959226,CH1,112.427,103.680,8.747
11983,959226,CH2,104.645,103.680,0.965
11983,959226,CH3,105.535,110.880,-5.345
11983,959226,CH4,104.231,114.240,-10.009
11983,959226,CH5,118.371,128.640,-10.269
11983,959226,CH6,128.489,136.560,-8.071
11984,959298,CH1,127.571,115.680,11.891
11984,959298,CH2,114.706,108.000,6.706
11984,959298,CH3,106.908,107.040,-0.132
11984,959298,CH4,96.500,103.680,-7.180
11984,959298,CH5,105.197,115.200,-10.003
11984,959298,CH6,113.573,125.280,-11.707
11985,959378,CH1,127.571,115.680,11.891
11985,959378,CH2,114.706,108.000,6.706
11985,959378,CH3,106.908,107.040,-0.132
11985,959378,CH4,96.500,103.680,-7.180
11985,959378,CH5,105.197,115.200,-10.003
11985,959378,CH6,113.573,125.280,-11.707
11986,959458,CH1,139.821,129.840,9.981
11986,959458,CH2,127.948,118.800,9.148
11986,959458,CH3,115.311,109.920,5.391
11986,959458,CH4,96.607,96.720,-0.113
11986,959458,CH5,97.677,102.000,-4.323
11986,959458,CH6,99.968,110.640,-10.672
11987,959538,CH1,144.500,138.960,5.540
11987,959538,CH2,139.302,131.520,7.782
11987,959538,CH3,127.441,119.040,8.401
11987,959538,CH4,104.505,98.880,5.625
11987,959538,CH5,98.684,97.200,1.484
11987,959538,CH6,92.869,97.440,-4.571
11988,959626,CH1,139.821,140.640,-0.819
11988,959626,CH2,144.428,140.160,4.268
11988,959626,CH3,138.643,130.080,8.563
11988,959626,CH4,117.176,108.240,8.936
11988,959626,CH5,107.833,100.560,7.273
11988,959626,CH6,94.987,93.840,1.147
11989,959697,CH1,139.821,140.640,-0.819
11989,959697,CH2,144.428,140.160,4.268
11989,959697,CH3,138.643,130.080,8.563
11989,959697,CH4,117.176,108.240,8.936
11989,959697,CH5,107.833,100.560,7.273
11989,959697,CH6,94.987,93.840,1.147
11990,959777,CH1,127.571,136.080,-8.509
11990,959777,CH2,141.370,141.840,-0.470
11990,959777,CH3,144.633,139.440,5.193
11990,959777,CH4,129.779,120.000,9.779
11990,959777,CH5,121.629,111.360,10.269
11990,959777,CH6,105.514,97.440,8.074
11991,959857,CH1,112.429,123.600,-11.171
11991,959857,CH2,131.295,138.240,-6.945
11991,959857,CH3,143.124,142.560,0.564
11991,959857,CH4,137.501,131.040,6.461
11991,959857,CH5,134.803,124.800,10.003
11991,959857,CH6,120.427,108.480,11.947
11992,959937,CH1,112.429,123.600,-11.171
11992,959937,CH2,131.295,138.240,-6.945
11992,959937,CH3,143.124,142.560,0.564
11992,959937,CH4,137.501,131.040,6.461
11992,959937,CH5,134.803,124.800,10.003
11992,959937,CH6,120.427,108.480,11.947
11993,960026,CH1,100.179,109.680,-9.501
11993,960026,CH2,118.051,126.240,-8.188
11993,960026,CH3,134.693,139.920,-5.227
11993,960026,CH4,137.393,137.520,-0.127
11993,960026,CH5,142.323,137.520,4.803
11993,960026,CH6,134.032,122.880,11.152
11994,960097,CH1,95.500,100.320,-4.820
11994,960097,CH2,106.698,114.240,-7.542
11994,960097,CH3,122.558,130.560,-8.002
11994,960097,CH4,129.495,134.880,-5.385
11994,960097,CH5,141.316,142.560,-1.244
11994,960097,CH6,141.131,135.840,5.291
11995,960178,CH1,100.179,99.120,1.059
11995,960178,CH2,101.572,105.120,-3.548
11995,960178,CH3,111.357,119.520,-8.163
11995,960178,CH4,116.824,125.520,-8.696
11995,960178,CH5,132.167,138.720,-6.553
11995,960178,CH6,139.013,139.680,-0.667
11996,960257,CH1,100.179,99.120,1.059
11996,960257,CH2,101.572,105.120,-3.548
11996,960257,CH3,111.357,119.520,-8.163
11996,960257,CH4,116.824,125.520,-8.696
11996,960257,CH5,132.167,138.720,-6.553
11996,960257,CH6,139.013,139.680,-0.667
11997,960337,CH1,112.429,103.440,8.989
11997,960337,CH2,104.630,103.440,1.190
11997,960337,CH3,105.367,109.920,-4.553
11997,960337,CH4,104.221,113.280,-9.059
11997,960337,CH5,118.371,127.920,-9.549
11997,960337,CH6,128.486,136.320,-7.834
11998,960426,CH1,127.571,115.920,11.651
11998,960426,CH2,114.705,107.760,6.945
11998,960426,CH3,106.876,106.320,0.556
11998,960426,CH4,96.499,102.480,-5.981
11998,960426,CH5,105.197,114.960,-9.763
11998,960426,CH6,113.573,124.800,-11.227
11999,960497,CH1,127.571,115.920,11.651
11999,960497,CH2,114.705,107.760,6.945
11999,960497,CH3,106.876,106.320,0.556
11999,960497,CH4,96.499,102.480,-5.981
11999,960497,CH5,105.197,114.960,-9.763
11999,960497,CH6,113.573,124.800,-11.227
12000,960577,CH1,139.821,129.840,9.981
12000,960577,CH2,127.949,119.280,8.669
12000,960577,CH3,115.307,109.920,5.387
12000,960577,CH4,96.607,96.480,0.127
12000,960577,CH5,97.677,102.000,-4.323
12000,960577,CH6,99.968,110.400,-10.432
12001,960657,CH1,144.500,139.440,5.060
12001,960657,CH2,139.302,131.520,7.782
12001,960657,CH3,127.442,118.800,8.642
