frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,136.16309012875536,227.60515021459227,136.72268907563026,227.62295081967213,233,7
1,0.03333333333333333,True,136.72268907563026,227.7268907563025,136.8572461771594,227.6140505171322,238,7
2,0.06666666666666667,True,136.99180327868854,227.62295081967213,136.72268907563026,227.60515021459227,244,7
3,0.1,True,137.15322580645162,227.59677419354838,136.99180327868854,227.59677419354838,248,7
4,0.13333333333333333,True,136.2570281124498,227.47791164658634,137.15322580645162,227.47791164658634,249,7
5,0.16666666666666666,True,137.1762295081967,227.43032786885246,137.1762295081967,227.43032786885246,244,7
6,0.2,True,137.20081967213116,227.36475409836066,137.1762295081967,227.36475409836066,244,7
7,0.23333333333333334,True,137.5774058577406,227.2845188284519,137.1762295081967,227.2845188284519,239,7
8,0.26666666666666666,True,135.9789029535865,227.0590717299578,137.08898305084745,227.06410256410257,237,7
9,0.3,True,137.08898305084745,227.00423728813558,137.08898305084745,227.0590717299578,236,7
10,0.3333333333333333,True,136.88888888888889,227.06410256410257,136.88888888888889,227.0590717299578,234,7
11,0.36666666666666664,True,137.24358974358975,227.03846153846155,137.00425531914894,227.06410256410257,234,7
12,0.4,True,136.04918032786884,227.0860655737705,136.88888888888889,227.0860655737705,244,7
13,0.43333333333333335,True,137.00425531914894,227.1659574468085,137.00425531914894,227.0860655737705,235,7
14,0.4666666666666667,True,136.57692307692307,227.13675213675214,136.8771186440678,227.13675213675214,234,7
15,0.5,True,147.99595141700405,223.59919028340082,137.00425531914894,227.1659574468085,247,8
16,0.5333333333333333,True,136.8771186440678,227.42796610169492,137.07755102040815,227.42796610169492,236,7
17,0.5666666666666667,True,137.66666666666666,227.62083333333334,137.4255319148936,227.62083333333334,240,7
18,0.6,True,137.07755102040815,227.69795918367348,137.4255319148936,227.68085106382978,245,7
19,0.6333333333333333,True,137.4255319148936,227.68085106382978,137.4255319148936,227.6844262295082,235,7
20,0.6666666666666666,True,137.7136929460581,227.68464730290455,137.4255319148936,227.6844262295082,241,7
21,0.7,True,137.38114754098362,227.6844262295082,137.4255319148936,227.6844262295082,244,7
22,0.7333333333333333,True,146.05327868852459,224.93852459016392,137.38114754098362,227.6844262295082,244,8
23,0.7666666666666667,True,137.26859504132233,227.76446280991735,137.38114754098362,227.6844262295082,242,7
24,0.8,True,135.55378486055776,216.99203187250995,140.5469387755102,227.76446280991735,251,8
25,0.8333333333333334,True,140.5469387755102,227.91836734693877,140.5469387755102,227.8744769874477,245,7
26,0.8666666666666667,True,141.2510460251046,227.8744769874477,140.5469387755102,227.8744769874477,239,7
27,0.9,True,145.0995670995671,229.9004329004329,140.5469387755102,227.8744769874477,231,8
28,0.9333333333333333,True,138.99570815450645,227.76824034334763,139.49787234042554,227.79148936170213,233,7
29,0.9666666666666667,True,139.31034482758622,227.70689655172413,139.31034482758622,227.76824034334763,232,7
30,1.0,True,139.49787234042554,227.79148936170213,139.31034482758622,227.7292576419214,235,7
31,1.0333333333333334,True,138.9126637554585,227.72052401746726,139.31034482758622,227.7292576419214,229,7
32,1.0666666666666667,True,139.68995633187774,227.7292576419214,139.49787234042554,227.78222222222223,229,7
33,1.1,True,139.02666666666667,227.78222222222223,139.68995633187774,227.78222222222223,225,7
34,1.1333333333333333,True,140.4078947368421,227.80701754385964,139.68995633187774,227.80701754385964,228,7
35,1.1666666666666667,True,140.00865800865802,227.87012987012986,140.00865800865802,227.80701754385964,231,7
36,1.2,True,137.67364016736403,227.98744769874477,140.00865800865802,227.87012987012986,239,7
37,1.2333333333333334,True,154.56378600823047,222.45267489711935,139.07627118644066,227.88135593220338,243,8
38,1.2666666666666666,True,138.4364406779661,227.9322033898305,139.07627118644066,227.9322033898305,236,7
39,1.3,True,139.07627118644066,227.88135593220338,140.21311475409837,227.9322033898305,236,7
40,1.3333333333333333,True,140.21311475409837,228.0122950819672,140.21311475409837,227.9625,244,7
41,1.3666666666666667,True,140.4857142857143,228.02448979591836,140.38589211618256,227.9668049792531,245,7
42,1.4,True,140.6125,227.9625,140.38589211618256,227.9668049792531,240,7
43,1.4333333333333333,True,140.38589211618256,227.9668049792531,140.38589211618256,227.9625,241,7
44,1.4666666666666666,True,139.03333333333333,227.90833333333333,139.03333333333333,227.90833333333333,240,7
45,1.5,True,136.21138211382114,224.20731707317074,138.82857142857142,227.89626556016597,246,8
46,1.5333333333333334,True,138.746887966805,227.89626556016597,138.81048387096774,227.89626556016597,241,7
47,1.5666666666666667,True,138.82857142857142,227.8938775510204,138.81048387096774,227.8938775510204,245,7
48,1.6,True,138.81048387096774,227.9516129032258,138.82857142857142,227.8938775510204,248,7
49,1.6333333333333333,True,138.94628099173553,227.8801652892562,138.94628099173553,227.88842975206612,242,7
50,1.6666666666666667,True,139.18595041322314,227.88842975206612,139.18595041322314,227.88842975206612,242,7
51,1.7,True,139.55042016806723,227.8613445378151,139.18595041322314,227.88842975206612,238,7
52,1.7333333333333334,True,139.41056910569105,227.90650406504065,139.18595041322314,227.90534979423867,246,7
53,1.7666666666666666,True,138.61111111111111,228.01984126984127,138.61111111111111,227.90534979423867,252,7
54,1.8,True,138.60493827160494,227.90534979423867,138.60493827160494,227.90534979423867,243,7
55,1.8333333333333333,True,138.15,227.85833333333332,138.15,227.85833333333332,240,7
56,1.8666666666666667,True,137.44725738396625,227.83544303797467,137.44725738396625,227.83544303797467,237,7
57,1.9,True,136.4061135371179,227.7292576419214,137.44725738396625,227.7991452991453,229,7
58,1.9333333333333333,True,136.73076923076923,227.7991452991453,137.44725738396625,227.7991452991453,234,7
59,1.9666666666666666,True,137.64435146443515,227.79497907949792,136.73076923076923,227.7991452991453,239,7
60,2.0,True,138.13807531380752,227.89539748953976,137.64435146443515,227.89539748953976,239,7
61,2.033333333333333,True,135.4913043478261,228.01304347826087,137.88844621513945,228.0,230,7
62,2.066666666666667,True,137.88844621513945,228.0,138.09691629955947,228.01304347826087,251,7
63,2.1,True,138.09691629955947,228.39647577092512,138.09691629955947,228.39647577092512,227,7
64,2.1333333333333333,True,138.2092050209205,228.65271966527197,138.2092050209205,228.65271966527197,239,7
65,2.1666666666666665,True,139.08300395256916,228.89723320158103,139.08300395256916,228.89723320158103,253,7
66,2.2,True,140.8515625,228.984375,139.08300395256916,228.984375,256,7
67,2.2333333333333334,True,141.21830985915494,229.10915492957747,140.7219917012448,229.10915492957747,284,7
68,2.2666666666666666,True,138.52941176470588,229.67450980392158,140.7219917012448,229.59751037344398,255,7
69,2.3,True,140.7219917012448,229.59751037344398,138.52941176470588,229.67450980392158,241,7
70,2.3333333333333335,True,137.95528455284554,229.96747967479675,138.30434782608697,229.76284584980237,246,7
71,2.3666666666666667,True,138.30434782608697,229.76284584980237,137.95528455284554,229.96747967479675,253,7
72,2.4,True,135.75,230.58173076923077,137.95528455284554,229.96747967479675,208,7
73,2.433333333333333,True,134.60752688172042,231.40322580645162,138.30434782608697,229.76284584980237,186,6
74,2.466666666666667,True,140.33495145631068,229.60194174757282,140.33495145631068,229.60194174757282,206,7
75,2.5,True,145.35813953488372,228.66046511627906,144.29910714285714,228.66046511627906,215,7
76,2.533333333333333,True,147.53953488372093,227.91627906976746,144.78695652173914,227.91627906976746,215,7
77,2.566666666666667,True,144.29910714285714,227.31696428571428,144.78695652173914,227.31696428571428,224,7
78,2.6,True,144.78695652173914,226.48695652173913,144.78695652173914,226.48695652173913,230,7
79,2.6333333333333333,True,141.5440414507772,225.60621761658032,144.78695652173914,225.9377593360996,193,7
80,2.6666666666666665,True,149.17094017094018,225.81623931623932,145.1590909090909,225.81623931623932,234,7
81,2.7,True,147.50622406639005,225.9377593360996,147.50622406639005,225.60621761658032,241,7
82,2.7333333333333334,True,145.1590909090909,224.6090909090909,147.50622406639005,225.07762557077626,220,7
83,2.7666666666666666,True,150.4840182648402,225.07762557077626,147.50622406639005,224.6834862385321,219,7
84,2.8,True,146.85321100917432,224.6834862385321,147.96728971962617,224.6090909090909,218,7
85,2.8333333333333335,True,147.96728971962617,224.3271028037383,149.69957081545064,224.3271028037383,214,7
86,2.8666666666666667,True,149.69957081545064,223.72103004291844,147.96728971962617,224.01190476190476,233,7
87,2.9,True,150.6547619047619,224.01190476190476,149.69957081545064,224.01190476190476,168,6
88,2.933333333333333,True,147.10227272727272,222.23295454545453,150.6547619047619,224.01190476190476,176,6
89,2.966666666666667,True,156.71300448430495,225.6726457399103,153.75229357798165,225.0045871559633,223,7
90,3.0,True,153.75229357798165,225.0045871559633,156.71300448430495,225.6726457399103,218,7
91,3.033333333333333,True,158.61926605504587,226.05045871559633,158.61926605504587,226.05045871559633,218,7
92,3.066666666666667,True,161.29777777777778,227.32888888888888,161.29777777777778,227.32888888888888,225,7
93,3.1,True,164.42543859649123,228.08771929824562,164.42543859649123,228.08771929824562,228,7
94,3.1333333333333333,True,165.73043478260868,229.22608695652173,165.73043478260868,229.22608695652173,230,7
95,3.1666666666666665,True,166.15384615384616,229.34412955465586,165.73043478260868,229.34412955465586,247,7
96,3.2,True,169.89300411522635,230.17283950617283,166.15384615384616,230.17283950617283,243,7
97,3.2333333333333334,True,165.51882845188285,230.23012552301256,166.77446808510638,230.23012552301256,239,7
98,3.2666666666666666,True,166.77446808510638,230.58297872340427,169.89300411522635,230.23012552301256,235,7
99,3.3,True,172.6043956043956,230.24908424908426,172.13100436681222,230.23012552301256,273,7
100,3.3333333333333335,True,172.13100436681222,230.03930131004367,172.13100436681222,230.24908424908426,229,7
101,3.3666666666666667,True,173.77446808510638,230.08510638297872,172.6043956043956,230.16883116883116,235,7
102,3.4,True,171.60714285714286,230.6031746031746,172.94805194805195,230.16883116883116,252,7
103,3.433333333333333,True,172.94805194805195,230.16883116883116,173.15352697095435,230.16883116883116,231,7
104,3.466666666666667,True,173.15352697095435,230.29460580912863,172.94805194805195,230.29460580912863,241,7
105,3.5,True,174.80841121495328,229.63084112149534,172.94805194805195,230.29460580912863,214,7
106,3.533333333333333,True,171.92397660818713,230.59649122807016,173.15352697095435,230.29460580912863,171,6
107,3.566666666666667,True,170.32544378698225,230.45562130177515,174.80841121495328,229.63084112149534,169,6
108,3.6,True,175.4884792626728,228.36405529953916,175.33333333333334,228.36405529953916,217,7
109,3.6333333333333333,True,175.33333333333334,227.9911111111111,175.33333333333334,227.9911111111111,225,7
110,3.6666666666666665,True,178.83771929824562,226.57894736842104,175.4884792626728,226.57894736842104,228,7
111,3.7,True,174.42477876106196,226.44690265486724,177.24757281553397,226.44690265486724,226,7
112,3.7333333333333334,True,177.24757281553397,225.626213592233,178.83771929824562,226.44690265486724,206,7
113,3.7666666666666666,True,178.85781990521326,225.30331753554503,177.7710280373832,225.626213592233,211,7
114,3.8,True,202.92018779342723,233.71361502347418,178.85781990521326,225.30331753554503,213,8
115,3.8333333333333335,True,177.7710280373832,224.6822429906542,178.85781990521326,224.6822429906542,214,7
116,3.8666666666666667,True,180.83549783549785,223.94805194805195,180.83549783549785,223.94805194805195,231,7
117,3.9,True,178.7913043478261,222.9391304347826,180.83549783549785,223.26728110599078,230,7
118,3.933333333333333,True,182.7926267281106,223.26728110599078,181.5,222.9860465116279,217,7
119,3.966666666666667,True,182.50232558139535,222.9860465116279,182.50232558139535,222.9391304347826,215,7
120,4.0,True,181.5,221.57471264367817,182.50232558139535,222.4516129032258,174,6
121,4.033333333333333,True,182.93010752688173,222.4516129032258,182.50232558139535,222.4516129032258,186,7
122,4.066666666666666,True,182.3548387096774,216.30645161290323,182.93010752688173,222.4516129032258,248,8
123,4.1,True,192.87698412698413,224.1031746031746,192.22314049586777,224.1031746031746,252,7
124,4.133333333333334,True,192.22314049586777,224.35537190082644,192.87698412698413,224.35537190082644,242,7
125,4.166666666666667,True,200.1850220264317,226.22907488986783,198.5077519379845,225.91472868217053,227,7
126,4.2,True,198.5077519379845,225.91472868217053,200.1850220264317,226.22907488986783,258,7
127,4.233333333333333,True,201.40343347639484,226.86695278969958,201.40343347639484,226.86695278969958,233,7
128,4.266666666666667,True,202.24358974358975,227.39743589743588,202.24358974358975,227.39743589743588,234,7
129,4.3,True,202.86831275720164,227.46090534979425,202.24358974358975,227.46090534979425,243,7
130,4.333333333333333,True,203.45275590551182,228.1259842519685,202.83895131086143,228.1259842519685,254,7
131,4.366666666666666,True,199.76348547717842,228.5311203319502,202.86831275720164,228.4868913857678,241,7
132,4.4,True,202.83895131086143,228.4868913857678,203.45275590551182,228.5311203319502,267,7
133,4.433333333333334,True,207.04779411764707,228.79779411764707,207.04779411764707,228.79779411764707,272,7
134,4.466666666666667,True,207.51372549019607,229.05882352941177,207.51372549019607,229.05882352941177,255,7
135,4.5,True,208.28695652173914,229.39565217391305,207.71186440677965,229.05882352941177,230,7
136,4.533333333333333,True,207.71186440677965,229.34745762711864,207.75641025641025,229.05882352941177,236,7
137,4.566666666666666,True,207.75641025641025,229.02136752136752,208.28695652173914,229.34745762711864,234,7
138,4.6,True,211.32857142857142,228.6809523809524,208.49704142011834,229.02136752136752,210,7
139,4.633333333333334,True,208.49704142011834,229.7041420118343,210.99428571428572,228.6809523809524,169,6
140,4.666666666666667,True,210.99428571428572,228.2057142857143,211.32857142857142,228.2057142857143,175,7
141,4.7,True,216.38842975206612,226.59504132231405,216.38842975206612,226.59504132231405,242,7
142,4.733333333333333,True,216.80241935483872,225.93145161290323,216.55701754385964,225.93145161290323,248,7
143,4.766666666666667,True,217.8293650793651,225.29761904761904,216.80241935483872,225.29761904761904,252,7
144,4.8,True,216.55701754385964,224.72368421052633,217.58898305084745,224.72368421052633,228,7
145,4.833333333333333,True,220.97826086956522,224.6478260869565,217.8293650793651,224.6478260869565,230,7
146,4.866666666666666,True,217.58898305084745,224.20338983050848,218.74324324324326,224.20338983050848,236,7
147,4.9,True,223.05381165919283,223.26008968609867,220.97826086956522,223.26008968609867,223,7
148,4.933333333333334,True,218.74324324324326,222.77027027027026,221.6555023923445,222.85537190082644,222,7
149,4.966666666666667,True,221.6555023923445,222.05263157894737,223.05381165919283,222.85537190082644,209,7
150,5.0,True,224.36776859504133,222.85537190082644,224.36776859504133,222.85537190082644,242,7
151,5.033333333333333,True,229.7119341563786,223.7037037037037,226.3508064516129,222.85537190082644,243,7
