frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,209.33333333333334,230.63953488372093,212.13028169014083,230.63953488372093,258,7
1,0.03333333333333333,True,225.48639455782313,227.18027210884352,211.9529735446902,230.9699575559289,294,8
2,0.06666666666666667,True,212.13028169014083,232.02464788732394,211.77566539923956,230.63953488372093,284,7
3,0.1,True,211.77566539923956,231.30038022813687,211.77566539923956,231.30038022813687,263,7
4,0.13333333333333333,True,207.76315789473685,227.89097744360902,211.77566539923956,231.48818897637796,266,7
5,0.16666666666666666,True,209.91732283464566,231.48818897637796,210.9873417721519,231.48818897637796,254,6
6,0.2,True,212.8984375,233.21875,210.9873417721519,233.21875,256,6
7,0.23333333333333334,True,210.9873417721519,234.95358649789029,212.8530612244898,234.95358649789029,237,6
8,0.26666666666666666,True,212.8530612244898,235.67755102040817,212.8984375,235.67755102040817,245,6
9,0.3,True,218.11711711711712,237.34684684684686,218.11711711711712,236.8581081081081,222,6
10,0.3333333333333333,True,222.6398104265403,239.63033175355451,222.6398104265403,237.34684684684686,211,6
11,0.36666666666666664,True,241.21959459459458,236.8581081081081,231.0267558528428,239.63033175355451,296,8
12,0.4,True,231.0267558528428,241.55183946488293,235.72101449275362,241.55183946488293,299,7
13,0.43333333333333335,True,235.72101449275362,243.6268115942029,236.44329896907217,242.9553264604811,276,7
14,0.4666666666666667,True,238.73021582733813,244.37769784172662,236.44329896907217,243.6232394366197,278,6
15,0.5,True,236.44329896907217,242.9553264604811,238.61267605633802,243.6268115942029,291,7
16,0.5333333333333333,True,238.61267605633802,243.6232394366197,238.73021582733813,243.6232394366197,284,7
17,0.5666666666666667,True,241.76923076923077,244.96989966555185,241.76923076923077,243.6232394366197,299,7
18,0.6,True,251.61937716262975,239.1280276816609,243.78014184397162,244.96989966555185,289,9
19,0.6333333333333333,True,243.78014184397162,246.9822695035461,243.78014184397162,246.77955271565494,282,7
20,0.6666666666666666,True,244.38837920489297,247.42813455657492,243.78014184397162,246.9822695035461,327,7
21,0.7,True,240.89137380191693,246.77955271565494,243.78014184397162,247.42813455657492,313,7
22,0.7333333333333333,True,241.89137380191693,248.85303514376997,244.38837920489297,248.85303514376997,313,7
23,0.7666666666666667,True,244.63344051446944,251.18649517684887,244.63344051446944,251.18649517684887,311,7
24,0.8,True,245.629179331307,253.41337386018236,244.7927927927928,253.41337386018236,329,7
25,0.8333333333333334,True,245.30275229357798,253.94189602446482,244.7927927927928,253.76384839650146,327,7
26,0.8666666666666667,True,244.7927927927928,255.17417417417417,244.7927927927928,253.94189602446482,333,7
27,0.9,True,242.37609329446065,253.76384839650146,244.7927927927928,255.17417417417417,343,8
28,0.9333333333333333,True,244.165625,257.28125,244.7927927927928,256.8333333333333,320,7
29,0.9666666666666667,True,248.73746312684366,258.6371681415929,244.48307692307694,257.28125,339,7
30,1.0,True,252.68154761904762,256.8333333333333,244.55902777777777,258.6371681415929,336,8
31,1.0333333333333334,True,244.48307692307694,260.2246153846154,246.02727272727273,260.2246153846154,325,7
32,1.0666666666666667,True,244.55902777777777,261.84027777777777,246.02727272727273,260.2246153846154,288,7
33,1.1,True,246.02727272727273,260.6515151515151,245.17629179331308,260.6515151515151,330,7
34,1.1333333333333333,True,250.593567251462,260.0,245.94055944055944,261.84027777777777,342,7
35,1.1666666666666667,True,245.17629179331308,262.3130699088146,245.94055944055944,260.6515151515151,329,7
36,1.2,True,245.94055944055944,262.7972027972028,245.94055944055944,262.3130699088146,286,7
37,1.2333333333333334,True,240.92332268370606,259.95846645367413,245.94055944055944,262.7909967845659,313,8
38,1.2666666666666666,True,246.83922829581994,262.7909967845659,246.83922829581994,262.7909967845659,311,7
39,1.3,True,248.1275167785235,263.18120805369125,248.1275167785235,262.49828178694156,298,7
40,1.3333333333333333,True,252.60137457044672,262.49828178694156,248.77115987460814,262.49828178694156,291,7
41,1.3666666666666667,True,248.77115987460814,257.15673981191225,252.60137457044672,262.49828178694156,319,8
42,1.4,True,253.81578947368422,261.8453947368421,253.81578947368422,261.8453947368421,304,7
43,1.4333333333333333,True,261.54368932038835,264.07119741100325,259.15264797507785,258.6666666666667,309,8
44,1.4666666666666666,True,259.15264797507785,258.6666666666667,261.21276595744683,258.6666666666667,321,7
45,1.5,True,261.21276595744683,257.37386018237083,261.54368932038835,257.37386018237083,329,7
46,1.5333333333333334,True,270.96084337349396,252.4277108433735,261.3121387283237,252.4277108433735,332,8
47,1.5666666666666667,True,274.0238805970149,250.65671641791045,261.3121387283237,252.4277108433735,335,8
48,1.6,True,261.3121387283237,251.9306358381503,261.90812720848055,252.4277108433735,346,8
49,1.6333333333333333,True,260.62700964630227,255.92926045016077,261.90812720848055,254.09477124183007,311,7
50,1.6666666666666667,True,261.90812720848055,255.19081272084804,261.90812720848055,254.09477124183007,283,7
51,1.7,True,265.0882352941176,254.09477124183007,265.0882352941176,254.09477124183007,306,7
52,1.7333333333333334,True,266.97712418300654,253.40522875816993,266.97712418300654,254.09477124183007,306,7
53,1.7666666666666666,True,270.10104529616723,252.59233449477352,267.88256227758006,253.91205211726384,287,8
54,1.8,True,267.88256227758006,254.53380782918148,269.9558359621451,253.40522875816993,281,7
