frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,183.01913875598086,237.6937799043062,183.01913875598086,238.7079646017699,209,7
1,0.03333333333333333,True,182.8495575221239,238.7079646017699,183.900116641672,239.07698699572063,226,7
2,0.06666666666666667,True,184.7810945273632,240.88059701492537,184.7810945273632,239.44600938967136,201,7
3,0.1,True,185.07981220657277,239.44600938967136,185.07981220657277,240.05555555555554,213,7
4,0.13333333333333333,True,188.6969696969697,240.05555555555554,188.6969696969697,240.05555555555554,198,7
5,0.16666666666666666,True,191.9271844660194,240.19417475728156,191.9271844660194,240.05555555555554,206,7
6,0.2,True,195.11904761904762,239.8190476190476,195.11904761904762,240.05555555555554,210,7
7,0.23333333333333334,True,195.95811518324606,240.8062827225131,195.95811518324606,239.8190476190476,191,7
8,0.26666666666666666,True,206.93548387096774,238.38172043010752,206.83783783783784,238.92432432432432,186,7
9,0.3,True,206.83783783783784,238.92432432432432,206.93548387096774,238.92432432432432,185,7
10,0.3333333333333333,True,209.10714285714286,238.64880952380952,208.17525773195877,238.64880952380952,168,7
11,0.36666666666666664,True,218.44565217391303,240.8858695652174,208.17525773195877,238.64880952380952,184,7
12,0.4,True,208.17525773195877,238.43298969072166,209.10714285714286,238.60752688172042,194,7
13,0.43333333333333335,True,207.8978494623656,238.60752688172042,209.72058823529412,238.56372549019608,186,7
14,0.4666666666666667,True,209.72058823529412,238.56372549019608,209.72058823529412,238.45833333333334,204,7
15,0.5,True,213.90104166666666,238.45833333333334,213.90104166666666,238.56372549019608,192,7
16,0.5333333333333333,True,216.92307692307693,238.4278846153846,215.36486486486487,238.56372549019608,208,7
17,0.5666666666666667,True,217.0616113744076,239.07109004739337,216.75,239.07109004739337,211,7
18,0.6,True,215.36486486486487,239.6891891891892,216.75,239.6891891891892,222,7
19,0.6333333333333333,True,216.75,240.42672413793105,216.75,240.42672413793105,232,7
20,0.6666666666666666,True,215.88669950738915,241.89162561576356,216.75,241.89162561576356,203,7
21,0.7,True,220.04265402843603,243.8009478672986,218.00485436893203,243.8009478672986,211,7
22,0.7333333333333333,True,218.00485436893203,244.65533980582524,220.04265402843603,244.65533980582524,206,7
23,0.7666666666666667,True,223.00956937799043,244.94736842105263,220.04265402843603,244.94736842105263,209,7
24,0.8,True,224.17748917748918,245.94805194805195,219.0186046511628,245.94805194805195,231,7
25,0.8333333333333334,True,217.84134615384616,250.86057692307693,219.0186046511628,250.86057692307693,208,7
26,0.8666666666666667,True,219.0186046511628,250.9720930232558,219.0186046511628,250.9720930232558,215,7
27,0.9,True,217.86138613861385,255.6138613861386,217.86138613861385,254.10047846889952,202,7
28,0.9333333333333333,True,219.2775119617225,254.10047846889952,219.0186046511628,255.6138613861386,209,7
29,0.9666666666666667,True,217.3193717277487,256.40314136125653,219.03755868544602,255.6138613861386,191,7
30,1.0,True,219.03755868544602,256.206572769953,219.2775119617225,255.52232142857142,213,7
31,1.0333333333333334,True,225.64224137931035,251.22844827586206,222.41964285714286,255.52232142857142,232,7
32,1.0666666666666667,True,222.41964285714286,255.52232142857142,223.70258620689654,255.52232142857142,224,7
33,1.1,True,223.875,254.69642857142858,223.875,254.87264150943398,224,7
34,1.1333333333333333,True,223.70258620689654,256.0215517241379,223.875,254.87264150943398,232,7
35,1.1666666666666667,True,225.16037735849056,254.87264150943398,225.16037735849056,254.69642857142858,212,7
36,1.2,True,226.94142259414227,253.15062761506277,226.94142259414227,253.15062761506277,239,7
37,1.2333333333333334,True,229.92488262910797,251.30516431924883,229.92488262910797,251.30516431924883,213,7
38,1.2666666666666666,True,229.92488262910797,251.30516431924883,229.92488262910797,251.30516431924883,213,7
39,1.3,True,230.99065420560748,251.20093457943926,230.99065420560748,251.20093457943926,214,7
40,1.3333333333333333,True,231.64077669902912,251.02912621359224,231.64077669902912,251.02912621359224,206,7
41,1.3666666666666667,True,234.70283018867926,248.07075471698113,234.70283018867926,248.07075471698113,212,7
42,1.4,True,235.83257918552036,247.26244343891403,235.83257918552036,247.26244343891403,221,7
43,1.4333333333333333,True,236.11374407582937,246.85308056872037,236.11374407582937,246.85308056872037,211,7
44,1.4666666666666666,True,239.7945205479452,242.99086757990867,236.93273542600897,242.99086757990867,219,7
45,1.5,True,240.12264150943398,242.58018867924528,239.7945205479452,242.58018867924528,212,7
46,1.5333333333333334,True,236.93273542600897,234.07174887892376,240.12264150943398,241.23144104803492,223,8
47,1.5666666666666667,True,243.37623762376236,239.87623762376236,241.77292576419214,239.87623762376236,202,7
48,1.6,True,241.77292576419214,241.23144104803492,241.77292576419214,239.87623762376236,229,7
49,1.6333333333333333,True,243.21153846153845,239.83653846153845,243.21153846153845,239.87623762376236,208,7
