frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,327.1465517241379,280.7413793103448,344.63291139240505,280.7413793103448,232,7
1,0.03333333333333333,True,345.3347280334728,272.9539748953975,335.8897315582715,281.23957854406126,239,8
2,0.06666666666666667,True,344.63291139240505,288.4599156118143,328.92116182572613,281.73777777777775,237,8
3,0.1,True,327.06666666666666,281.73777777777775,344.63291139240505,283.4564315352697,225,7
4,0.13333333333333333,True,328.92116182572613,283.4564315352697,333.0646551724138,284.9353448275862,241,7
5,0.16666666666666666,True,358.1012658227848,291.789029535865,333.0646551724138,284.9353448275862,237,9
6,0.2,True,333.0646551724138,284.9353448275862,333.1692913385827,284.9353448275862,232,7
7,0.23333333333333334,True,341.3066666666667,285.6933333333333,341.3066666666667,285.6244725738397,225,7
8,0.26666666666666666,True,333.1692913385827,278.84645669291336,341.3066666666667,285.6244725738397,254,8
9,0.3,True,343.54430379746833,285.6244725738397,343.54430379746833,285.6244725738397,237,7
10,0.3333333333333333,True,344.74793388429754,285.7809917355372,344.74793388429754,285.6244725738397,242,7
11,0.36666666666666664,True,346.35341365461846,285.5381526104418,346.35341365461846,285.7809917355372,249,7
12,0.4,True,386.57851239669424,297.8471074380165,352.9419642857143,285.9419642857143,242,9
13,0.43333333333333335,True,352.9419642857143,285.9419642857143,353.0046082949309,286.17283950617286,224,7
14,0.4666666666666667,True,353.0046082949309,286.3456221198157,354.2098765432099,286.3456221198157,217,7
15,0.5,True,354.2098765432099,286.17283950617286,354.2098765432099,286.3456221198157,243,7
16,0.5333333333333333,True,421.0936329588015,307.685393258427,375.41350210970467,286.3456221198157,267,9
17,0.5666666666666667,True,385.7317073170732,296.5691056910569,375.41350210970467,290.9059829059829,246,9
18,0.6,True,375.41350210970467,276.8354430379747,375.41350210970467,290.9059829059829,237,8
19,0.6333333333333333,True,366.1965811965812,290.9059829059829,375.41350210970467,290.9059829059829,234,8
20,0.6666666666666666,True,360.5486725663717,290.3628318584071,366.1965811965812,290.9059829059829,226,7
21,0.7,True,380.734693877551,297.8530612244898,366.1965811965812,293.0633484162896,245,9
22,0.7333333333333333,True,363.81447963800906,293.0633484162896,365.7966804979253,294.896265560166,221,7
23,0.7666666666666667,True,373.6991869918699,296.3780487804878,373.6991869918699,294.896265560166,246,8
24,0.8,True,365.7966804979253,294.896265560166,371.31048387096774,294.896265560166,241,7
25,0.8333333333333334,True,377.8715953307393,292.6225680933852,371.31048387096774,296.3780487804878,257,8
26,0.8666666666666667,True,371.31048387096774,297.7903225806452,370.17452830188677,297.7903225806452,248,7
27,0.9,True,369.94805194805195,298.8138528138528,370.5509259259259,298.8138528138528,231,7
28,0.9333333333333333,True,370.17452830188677,299.1132075471698,370.1936936936937,299.0925925925926,212,7
29,0.9666666666666667,True,370.5509259259259,299.0925925925926,370.17452830188677,299.1132075471698,216,7
30,1.0,True,370.1936936936937,305.2027027027027,370.17452830188677,300.807881773399,222,9
31,1.0333333333333334,True,369.7783251231527,300.807881773399,370.1936936936937,300.807881773399,203,7
32,1.0666666666666667,True,369.0469483568075,301.5821596244131,370.1936936936937,300.807881773399,213,7
33,1.1,True,383.0726495726496,293.79059829059827,380.140350877193,300.807881773399,234,8
34,1.1333333333333333,True,380.140350877193,297.1535087719298,380.140350877193,301.5821596244131,228,8
35,1.1666666666666667,True,389.3264462809917,306.02479338842977,383.0726495726496,301.85526315789474,242,8
36,1.2,True,374.530701754386,301.85526315789474,380.140350877193,301.85526315789474,228,7
37,1.2333333333333334,True,384.2393162393162,304.95726495726495,381.6977777777778,301.85526315789474,234,8
38,1.2666666666666666,True,378.87619047619046,301.79047619047617,381.6977777777778,301.79047619047617,210,7
39,1.3,True,381.6977777777778,301.1066666666667,383.81042654028437,301.1066666666667,225,7
40,1.3333333333333333,True,383.81042654028437,300.45971563981044,383.81042654028437,300.45971563981044,211,7
41,1.3666666666666667,True,387.43636363636364,298.73636363636365,387.43636363636364,298.73636363636365,220,7
42,1.4,True,388.06392694063925,298.013698630137,388.06392694063925,298.73636363636365,219,7
43,1.4333333333333333,True,389.08962264150944,297.45754716981133,389.08962264150944,298.013698630137,212,7
44,1.4666666666666666,True,398.6737288135593,298.79661016949154,394.7688888888889,297.45754716981133,236,8
45,1.5,True,405.0883720930233,287.06976744186045,398.6737288135593,292.1911111111111,215,8
46,1.5333333333333334,True,394.7688888888889,292.1911111111111,405.0883720930233,287.06976744186045,225,9
47,1.5666666666666667,True,419.06779661016947,279.08474576271186,408.06532663316585,287.06976744186045,236,9
48,1.6,True,413.7086956521739,283.3434782608696,408.06532663316585,292.1911111111111,230,8
