frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,139.05583756345177,249.6802030456853,136.82926829268294,249.37073170731708,197,7
1,0.03333333333333333,True,136.82926829268294,249.37073170731708,137.94255292806736,249.52546737650118,205,6
2,0.06666666666666667,True,136.3687150837989,248.9385474860335,138.93121693121694,249.38095238095238,179,6
3,0.1,True,142.91747572815535,250.0728155339806,138.42512077294685,249.38095238095238,206,7
4,0.13333333333333333,True,138.93121693121694,249.38095238095238,138.93121693121694,249.6183574879227,189,7
5,0.16666666666666666,True,138.42512077294685,249.6183574879227,142.89150943396226,250.0728155339806,207,7
6,0.2,True,142.89150943396226,250.19811320754718,142.89150943396226,250.19811320754718,212,7
7,0.23333333333333334,True,143.55399061032864,250.47417840375587,143.55399061032864,250.47417840375587,213,7
8,0.26666666666666666,True,146.58256880733944,251.74770642201835,143.70531400966183,251.74770642201835,218,7
9,0.3,True,143.70531400966183,252.07246376811594,146.00980392156862,252.07246376811594,207,7
10,0.3333333333333333,True,148.62962962962962,252.53703703703704,146.58256880733944,252.53703703703704,216,7
11,0.36666666666666664,True,146.00980392156862,252.90686274509804,147.43555555555557,252.90686274509804,204,7
12,0.4,True,147.43555555555557,253.85333333333332,148.09756097560975,253.85333333333332,225,7
13,0.43333333333333335,True,151.01298701298703,254.34632034632034,148.09756097560975,254.34632034632034,231,7
14,0.4666666666666667,True,148.09756097560975,254.609756097561,150.75,254.609756097561,205,7
15,0.5,True,150.75,255.625,151.01298701298703,255.12612612612614,200,6
16,0.5333333333333333,True,152.15577889447235,255.68341708542712,152.15577889447235,255.12612612612614,199,6
17,0.5666666666666667,True,153.66666666666666,255.12612612612614,153.66666666666666,255.12612612612614,222,7
18,0.6,True,155.34977578475338,254.9596412556054,155.34977578475338,254.9596412556054,223,7
19,0.6333333333333333,True,158.66824644549763,254.30805687203792,157.53301886792454,254.42924528301887,211,7
20,0.6666666666666666,True,157.53301886792454,254.42924528301887,158.66824644549763,254.30805687203792,212,7
21,0.7,True,160.981981981982,253.61711711711712,160.981981981982,253.61711711711712,222,7
22,0.7333333333333333,True,162.08035714285714,252.86607142857142,160.981981981982,252.86607142857142,224,7
23,0.7666666666666667,True,161.34112149532712,252.2710280373832,161.34112149532712,252.2710280373832,214,7
24,0.8,True,160.3066037735849,252.1745283018868,162.08035714285714,252.1745283018868,212,7
25,0.8333333333333334,True,162.27450980392157,251.35294117647058,162.27450980392157,251.35294117647058,204,7
26,0.8666666666666667,True,169.82142857142858,251.33482142857142,166.80193236714976,251.33482142857142,224,7
27,0.9,True,166.80193236714976,250.40096618357487,166.80193236714976,250.40096618357487,207,7
28,0.9333333333333333,True,168.56194690265488,249.85398230088495,168.47533632286996,250.21153846153845,226,7
29,0.9666666666666667,True,165.90865384615384,250.21153846153845,168.47533632286996,249.85398230088495,208,7
30,1.0,True,168.47533632286996,249.14798206278027,168.56194690265488,249.14798206278027,223,7
31,1.0333333333333334,True,168.69626168224298,248.64018691588785,168.47533632286996,248.64018691588785,214,7
32,1.0666666666666667,True,169.324200913242,248.11872146118722,168.69626168224298,248.11872146118722,219,7
33,1.1,True,165.64361702127658,247.0159574468085,169.324200913242,247.3838383838384,188,6
34,1.1333333333333333,True,170.37037037037038,247.32804232804233,170.37037037037038,247.3838383838384,189,6
35,1.1666666666666667,True,172.05050505050505,247.3838383838384,172.05050505050505,247.32804232804233,198,7
36,1.2,True,175.15196078431373,247.38725490196077,172.61290322580646,247.32804232804233,204,7
37,1.2333333333333334,True,172.61290322580646,247.036866359447,174.05652173913043,247.3838383838384,217,7
38,1.2666666666666666,True,174.05652173913043,247.12608695652173,175.0502283105023,247.38725490196077,230,7
39,1.3,True,175.0502283105023,247.68949771689498,175.0502283105023,247.68949771689498,219,7
40,1.3333333333333333,True,176.59534883720931,248.66046511627906,176.59534883720931,248.6196581196581,215,7
41,1.3666666666666667,True,180.30769230769232,248.6196581196581,180.30769230769232,248.66046511627906,234,7
