frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,147.9911111111111,273.00444444444446,147.9911111111111,272.86238532110093,225,7
1,0.03333333333333333,True,148.86697247706422,272.86238532110093,148.42904179408765,272.55262123197906,218,7
2,0.06666666666666667,True,147.77619047619046,272.24285714285713,148.86697247706422,272.24285714285713,210,7
3,0.1,True,149.65652173913043,271.46521739130435,148.86697247706422,271.46521739130435,230,7
4,0.13333333333333333,True,150.98701298701297,270.961038961039,149.65652173913043,270.961038961039,231,7
5,0.16666666666666666,True,148.83417085427135,270.0854271356784,150.93396226415095,270.3018867924528,199,6
6,0.2,True,150.93396226415095,270.3018867924528,150.98701298701297,270.3018867924528,212,6
7,0.23333333333333334,True,151.97285067873304,269.81900452488685,151.97285067873304,270.3018867924528,221,6
8,0.26666666666666666,True,155.00900900900902,270.34684684684686,152.64285714285714,270.34684684684686,222,6
9,0.3,True,152.64285714285714,270.7809523809524,155.00900900900902,270.7809523809524,210,7
10,0.3333333333333333,True,156.15261044176708,271.38955823293173,156.15261044176708,271.38955823293173,249,7
11,0.36666666666666664,True,160.4340425531915,272.06808510638297,159.85714285714286,272.06808510638297,235,7
12,0.4,True,159.85714285714286,272.7061224489796,160.4340425531915,272.7061224489796,245,7
13,0.43333333333333335,True,161.02136752136752,272.991452991453,161.02136752136752,272.991452991453,234,7
14,0.4666666666666667,True,164.18045112781954,273.86842105263156,163.15416666666667,273.86842105263156,266,7
15,0.5,True,163.15416666666667,274.725,164.18045112781954,274.725,240,7
16,0.5333333333333333,True,164.609375,275.5390625,164.18045112781954,275.5390625,256,7
17,0.5666666666666667,True,167.03937007874015,275.71259842519686,163.8068669527897,275.71259842519686,254,7
18,0.6,True,163.8068669527897,276.40343347639487,164.609375,276.40343347639487,233,7
19,0.6333333333333333,True,162.42857142857142,277.95073891625617,163.8068669527897,277.69082125603865,203,6
20,0.6666666666666666,True,167.7391304347826,277.69082125603865,163.8068669527897,277.95073891625617,207,6
21,0.7,True,163.7417840375587,279.54460093896716,167.7391304347826,277.95073891625617,213,6
22,0.7333333333333333,True,167.9090909090909,278.91818181818184,167.9090909090909,277.69082125603865,220,6
23,0.7666666666666667,True,189.23451327433628,270.6858407079646,170.83913043478262,278.37391304347824,226,8
24,0.8,True,175.87892376681614,276.84753363228697,174.55963302752295,276.84753363228697,223,7
