frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,452.28846153846155,335.0692307692308,453.29213483146066,335.53053435114504,260,7
1,0.03333333333333333,True,453.29213483146066,336.68913857677904,453.7567544386311,335.29988256018794,267,7
2,0.06666666666666667,True,454.22137404580155,335.53053435114504,454.22137404580155,335.0692307692308,262,7
3,0.1,True,456.5078125,330.31640625,456.5078125,330.31640625,256,7
4,0.13333333333333333,True,458.2674418604651,328.26356589147287,458.2674418604651,328.46280991735534,258,7
5,0.16666666666666666,True,458.77272727272725,328.46280991735534,458.77272727272725,328.26356589147287,242,7
6,0.2,True,459.3193277310924,327.0378151260504,459.3193277310924,327.0378151260504,238,7
7,0.23333333333333334,True,460.3408071748879,323.00448430493276,460.3408071748879,323.00448430493276,223,7
8,0.26666666666666666,True,460.81363636363636,320.9681818181818,460.495652173913,320.9681818181818,220,7
9,0.3,True,460.495652173913,320.6,460.81363636363636,320.6,230,7
10,0.3333333333333333,True,461.23394495412845,316.2889908256881,461.0521327014218,316.2889908256881,218,7
11,0.36666666666666664,True,461.0521327014218,314.58293838862556,461.23394495412845,314.58293838862556,211,7
12,0.4,True,461.80927835051546,310.7319587628866,461.23394495412845,310.7319587628866,194,7
13,0.43333333333333335,True,461.6777777777778,309.8777777777778,461.6777777777778,309.8777777777778,180,7
14,0.4666666666666667,True,460.771144278607,309.81094527363183,461.6777777777778,309.81094527363183,201,7
15,0.5,True,461.7708333333333,306.6302083333333,461.6777777777778,308.9673913043478,192,7
16,0.5333333333333333,True,459.7826086956522,308.9673913043478,461.7708333333333,306.6302083333333,184,7
17,0.5666666666666667,True,462.6018957345972,304.3696682464455,462.2350230414747,305.08294930875576,211,7
18,0.6,True,462.2350230414747,305.08294930875576,462.6018957345972,304.52941176470586,217,7
19,0.6333333333333333,True,463.174672489083,303.6157205240175,463.09502262443436,304.3696682464455,229,7
20,0.6666666666666666,True,463.09502262443436,304.52941176470586,463.174672489083,303.6157205240175,221,7
21,0.7,True,465.19823788546256,303.2466960352423,465.19823788546256,303.2466960352423,227,7
22,0.7333333333333333,True,466.1318181818182,300.95454545454544,466.1318181818182,300.95454545454544,220,7
