frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,271.2052401746725,255.04803493449782,268.40425531914894,254.49787234042554,229,7
1,0.03333333333333333,True,268.0580357142857,254.08928571428572,268.23114551671733,254.626406525944,224,7
2,0.06666666666666667,True,268.40425531914894,254.49787234042554,268.0580357142857,254.49787234042554,235,7
3,0.1,True,267.50592885375494,254.75494071146244,267.50592885375494,254.35227272727272,253,7
4,0.13333333333333333,True,260.9734848484849,254.35227272727272,260.9734848484849,254.49787234042554,264,7
5,0.16666666666666666,True,255.153125,253.559375,255.153125,254.75494071146244,320,7
6,0.2,True,254.67361111111111,255.12152777777777,254.84027777777777,255.12152777777777,288,7
7,0.23333333333333334,True,254.84027777777777,255.73263888888889,254.67361111111111,255.73263888888889,288,7
8,0.26666666666666666,True,251.75704225352112,257.25,251.75704225352112,257.25,284,7
9,0.3,True,249.69152542372882,258.25762711864405,249.69152542372882,258.25762711864405,295,7
10,0.3333333333333333,True,248.53198653198652,259.27946127946126,248.53198653198652,259.27946127946126,297,7
11,0.36666666666666664,True,245.45035460992906,259.5851063829787,247.8430034129693,259.5851063829787,282,7
12,0.4,True,247.8430034129693,261.5085324232082,245.45035460992906,261.5085324232082,293,7
13,0.43333333333333335,True,244.79310344827587,262.27241379310345,244.97142857142856,262.27241379310345,290,7
14,0.4666666666666667,True,244.97142857142856,262.63214285714287,244.79310344827587,262.63214285714287,280,7
15,0.5,True,243.22222222222223,264.01433691756273,243.22222222222223,264.01433691756273,279,7
16,0.5333333333333333,True,241.455223880597,265.0261194029851,242.4828897338403,265.0261194029851,268,7
17,0.5666666666666667,True,242.4828897338403,265.78326996197717,242.42164179104478,265.78326996197717,263,7
18,0.6,True,242.42164179104478,267.3805970149254,241.455223880597,266.2851851851852,268,7
19,0.6333333333333333,True,240.87671232876713,267.3972602739726,240.87671232876713,267.336917562724,292,7
20,0.6666666666666666,True,239.32222222222222,266.2851851851852,239.69175627240142,267.3805970149254,270,7
21,0.7,True,239.69175627240142,267.336917562724,239.32222222222222,267.336917562724,279,7
22,0.7333333333333333,True,237.66906474820144,267.658273381295,237.66906474820144,267.336917562724,278,7
23,0.7666666666666667,True,236.7391304347826,266.6630434782609,236.7391304347826,267.336917562724,276,7
24,0.8,True,236.03065134099617,267.8390804597701,236.03065134099617,266.6630434782609,261,7
25,0.8333333333333334,True,233.72592592592594,265.23333333333335,233.7718631178707,265.61216730038024,270,7
26,0.8666666666666667,True,233.7718631178707,265.61216730038024,233.72592592592594,265.23333333333335,263,7
27,0.9,True,233.22826086956522,264.3333333333333,233.22826086956522,264.3333333333333,276,7
28,0.9333333333333333,True,232.4431818181818,263.1060606060606,232.4431818181818,263.1060606060606,264,7
29,0.9666666666666667,True,231.91489361702128,262.0468085106383,232.4431818181818,262.0468085106383,235,7
30,1.0,True,231.7922077922078,261.1904761904762,231.91489361702128,261.4813278008299,231,7
31,1.0333333333333334,True,232.65560165975103,261.4813278008299,231.7922077922078,261.1904761904762,241,7
32,1.0666666666666667,True,231.2626728110599,259.1152073732719,231.2626728110599,259.1152073732719,217,7
33,1.1,True,229.375,256.79741379310343,229.375,256.79741379310343,232,7
34,1.1333333333333333,True,229.31428571428572,256.7918367346939,229.31428571428572,256.7918367346939,245,7
35,1.1666666666666667,True,227.95131086142322,254.9625468164794,229.165991902834,256.1336032388664,267,7
36,1.2,True,229.165991902834,256.1336032388664,227.95131086142322,255.70078740157481,247,7
37,1.2333333333333334,True,226.92125984251967,255.70078740157481,226.92125984251967,254.9625468164794,254,7
38,1.2666666666666666,True,224.6793893129771,254.51526717557252,224.6793893129771,254.51526717557252,262,7
