frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,599.6720647773279,357.4574898785425,599.6720647773279,359.72265625,247,7
1,0.03333333333333333,True,599.1695652173913,360.75217391304346,600.353610513664,360.2374150815217,230,7
2,0.06666666666666667,True,601.03515625,359.72265625,601.03515625,359.72265625,256,7
3,0.1,True,601.5992063492064,362.218253968254,601.5992063492064,360.75217391304346,252,7
4,0.13333333333333333,True,607.1260162601626,355.3292682926829,603.5666666666667,359.72265625,246,8
5,0.16666666666666666,True,603.5666666666667,360.8625,606.4612403100775,357.9108527131783,240,7
6,0.2,True,606.4612403100775,357.9108527131783,607.1260162601626,357.67105263157896,258,7
7,0.23333333333333334,True,609.4130434782609,355.89130434782606,609.4130434782609,357.9108527131783,230,7
8,0.26666666666666666,True,610.6622807017544,357.67105263157896,610.6622807017544,357.67105263157896,228,7
9,0.3,True,611.0133333333333,358.7733333333333,611.0133333333333,355.89130434782606,225,7
10,0.3333333333333333,True,613.5807860262008,355.33187772925766,613.5807860262008,355.33187772925766,229,7
11,0.36666666666666664,True,616.4925373134329,350.33830845771143,615.2384937238494,351.87866108786613,201,7
12,0.4,True,615.2384937238494,351.87866108786613,615.2384937238494,350.3489583333333,239,7
13,0.43333333333333335,True,616.8578199052133,347.957345971564,615.3316326530612,350.33830845771143,211,7
14,0.4666666666666667,True,614.7760416666666,350.3489583333333,615.3316326530612,348.23979591836735,192,7
15,0.5,True,615.3316326530612,348.23979591836735,616.8578199052133,347.957345971564,196,7
16,0.5333333333333333,True,617.0055555555556,344.7944444444444,617.0055555555556,344.7944444444444,180,7
17,0.5666666666666667,True,617.1887755102041,343.88775510204084,617.1887755102041,343.88775510204084,196,7
18,0.6,True,618.8020833333334,341.0885416666667,618.7162790697674,341.0885416666667,192,7
19,0.6333333333333333,True,624.1674008810572,333.12334801762114,618.8020833333334,340.5833333333333,227,7
20,0.6666666666666666,True,618.7162790697674,340.3209302325581,619.0049019607843,340.3209302325581,215,7
21,0.7,True,619.0049019607843,340.5833333333333,621.8584905660377,338.04245283018867,204,7
22,0.7333333333333333,True,621.8584905660377,338.04245283018867,621.8584905660377,338.04245283018867,212,7
23,0.7666666666666667,True,622.9734513274336,336.6061946902655,622.9734513274336,336.8552036199095,226,7
24,0.8,True,625.6244343891402,336.8552036199095,625.6244343891402,336.6061946902655,221,7
25,0.8333333333333334,True,627.8874458874459,334.0779220779221,627.8874458874459,336.14410480349346,231,7
26,0.8666666666666667,True,629.25,334.5204918032787,629.25,336.0329218106996,244,7
27,0.9,True,630.7423580786026,336.14410480349346,630.7423580786026,334.5204918032787,229,7
28,0.9333333333333333,True,632.0288065843621,336.0329218106996,632.0288065843621,335.61475409836066,243,7
29,0.9666666666666667,True,634.9751037344398,334.15767634854774,634.9751037344398,336.0329218106996,241,7
30,1.0,True,637.0286885245902,335.61475409836066,636.0688259109312,336.0329218106996,244,7
31,1.0333333333333334,True,636.0688259109312,337.7165991902834,637.0286885245902,336.5869565217391,247,7
32,1.0666666666666667,True,637.9746376811594,336.5869565217391,637.9746376811594,337.1307692307692,276,7
33,1.1,True,640.1528925619834,338.6198347107438,640.1528925619834,337.7165991902834,242,7
34,1.1333333333333333,True,640.9923076923077,337.1307692307692,640.9923076923077,338.58301158301157,260,7
35,1.1666666666666667,True,643.3076923076923,341.65384615384613,643.0926640926641,338.6198347107438,234,7
36,1.2,True,643.0926640926641,338.58301158301157,643.3076923076923,341.65384615384613,259,7
37,1.2333333333333334,True,647.1598360655738,343.73770491803276,647.1598360655738,341.65384615384613,244,7
38,1.2666666666666666,True,647.5219298245614,345.5701754385965,647.1598360655738,339.9793388429752,228,7
39,1.3,True,648.7066115702479,339.9793388429752,647.5219298245614,339.9793388429752,242,7
40,1.3333333333333333,True,647.1451612903226,331.2217741935484,648.12,331.2217741935484,248,7
41,1.3666666666666667,True,648.12,331.056,648.4955357142857,331.056,250,7
42,1.4,True,648.4955357142857,328.86160714285717,648.12,328.86160714285717,224,7
43,1.4333333333333333,True,648.5022421524664,327.39461883408075,648.12,327.39461883408075,223,7
44,1.4666666666666666,True,648.0098522167488,320.41871921182263,648.0098522167488,327.04651162790697,203,7
45,1.5,True,647.9209302325581,327.04651162790697,647.9209302325581,321.34188034188037,215,7
46,1.5333333333333334,True,646.7478632478633,321.34188034188037,646.7478632478633,320.41871921182263,234,7
47,1.5666666666666667,True,645.78125,314.3125,645.78125,317.5903614457831,192,7
48,1.6,True,645.5060240963855,317.5903614457831,645.5060240963855,314.3125,166,7
49,1.6333333333333333,True,644.1497797356828,307.81497797356826,644.1497797356828,313.15346534653463,227,7
50,1.6666666666666667,True,643.7475247524752,313.15346534653463,643.7475247524752,310.41089108910893,202,7
51,1.7,True,643.4180790960452,309.38418079096044,643.4180790960452,309.38418079096044,177,7
52,1.7333333333333334,True,642.6485148514852,310.41089108910893,642.851282051282,310.41089108910893,202,7
53,1.7666666666666666,True,642.851282051282,307.16410256410256,642.851282051282,310.41089108910893,195,7
54,1.8,True,642.227027027027,310.8,642.851282051282,310.41089108910893,185,7
55,1.8333333333333333,True,643.7589743589743,311.1179487179487,643.056277056277,308.61137440758296,195,7
56,1.8666666666666667,True,643.056277056277,300.76623376623377,643.7589743589743,308.61137440758296,231,7
57,1.9,True,645.3127962085308,308.61137440758296,643.9922480620155,300.76623376623377,211,7
58,1.9333333333333333,True,643.9922480620155,293.95348837209303,645.3127962085308,300.76623376623377,258,7
59,1.9666666666666666,True,646.171875,298.85546875,646.171875,298.85546875,256,7
60,2.0,True,649.505376344086,307.0698924731183,648.6303501945525,297.8793774319066,186,7
61,2.033333333333333,True,648.6303501945525,297.8793774319066,649.505376344086,297.8793774319066,257,7
62,2.066666666666667,True,651.3168724279835,297.8312757201646,651.3168724279835,297.8312757201646,243,7
63,2.1,True,651.5991561181435,296.3586497890295,651.5991561181435,297.8312757201646,237,7
64,2.1333333333333333,True,652.8975409836065,296.85655737704917,652.8975409836065,296.85655737704917,244,7
65,2.1666666666666665,True,654.6,299.292,653.3897058823529,296.3586497890295,250,7
66,2.2,True,654.7446808510638,296.22978723404253,654.6,296.22978723404253,235,7
67,2.2333333333333334,True,653.3897058823529,294.4264705882353,654.7446808510638,296.22978723404253,272,7
68,2.2666666666666666,True,656.0184501845018,295.6051660516605,656.0184501845018,296.22978723404253,271,7
69,2.3,True,657.7185185185185,296.7925925925926,657.7185185185185,296.01119402985074,270,7
70,2.3333333333333335,True,663.3744680851064,299.7531914893617,660.294776119403,296.7925925925926,235,7
71,2.3666666666666667,True,660.294776119403,296.01119402985074,660.294776119403,296.7925925925926,268,7
72,2.4,True,663.0790697674419,297.68837209302325,660.294776119403,296.01119402985074,215,7
73,2.433333333333333,True,659.4488888888889,292.1911111111111,659.4488888888889,292.1911111111111,225,7
74,2.466666666666667,True,654.6620370370371,285.2361111111111,656.1745283018868,286.5141509433962,216,7
75,2.5,True,656.1745283018868,286.5141509433962,654.6620370370371,285.2361111111111,212,7
76,2.533333333333333,True,653.55,283.375,653.55,283.375,200,7
77,2.566666666666667,True,652.1796116504854,280.9271844660194,652.1796116504854,280.9271844660194,206,7
78,2.6,True,648.4753363228699,277.1210762331838,649.5,278.2361111111111,223,7
79,2.6333333333333333,True,649.5,278.2361111111111,649.1284403669724,277.99014778325125,216,7
80,2.6666666666666665,True,649.1284403669724,277.4357798165138,648.9162561576354,277.4357798165138,218,7
81,2.7,True,648.9162561576354,277.99014778325125,648.9162561576354,277.4357798165138,203,7
82,2.7333333333333334,True,647.7562189054727,277.0696517412935,647.7562189054727,277.0696517412935,201,7
83,2.7666666666666666,True,644.3578431372549,273.84313725490193,644.3768844221106,273.84313725490193,204,7
84,2.8,True,644.3768844221106,273.36683417085425,644.3578431372549,273.36683417085425,199,7
85,2.8333333333333335,True,643.0403587443947,272.78923766816143,643.6553398058253,273.31067961165047,223,7
86,2.8666666666666667,True,643.6553398058253,273.31067961165047,643.0403587443947,272.78923766816143,206,7
87,2.9,True,642.9041095890411,272.70319634703196,642.9041095890411,272.70319634703196,219,7
88,2.933333333333333,True,642.375,270.16964285714283,642.8106796116505,270.16964285714283,224,7
89,2.966666666666667,True,642.8106796116505,268.747572815534,642.375,268.747572815534,206,7
90,3.0,True,641.2555066079295,265.74449339207047,641.2555066079295,265.74449339207047,227,7
91,3.033333333333333,True,638.1287553648069,263.0815450643777,639.2831858407079,263.0815450643777,233,7
92,3.066666666666667,True,635.8988326848249,258.75875486381324,639.2831858407079,261.8362831858407,257,7
93,3.1,True,639.2831858407079,261.8362831858407,638.1287553648069,261.7844036697248,226,7
94,3.1333333333333333,True,643.4816513761468,261.7844036697248,639.2831858407079,261.5190476190476,218,7
95,3.1666666666666665,True,626.0467289719626,254.79906542056074,643.4816513761468,261.5190476190476,214,8
96,3.2,True,646.1809523809524,261.5190476190476,645.6359447004609,259.6887755102041,210,7
97,3.2333333333333334,True,645.6359447004609,258.51612903225805,645.6359447004609,258.51612903225805,217,7
98,3.2666666666666666,True,650.6938775510204,259.6887755102041,645.6359447004609,258.51612903225805,196,7
99,3.3,True,643.3030303030303,254.82954545454547,645.6359447004609,255.29591836734693,264,7
100,3.3333333333333335,True,643.8389513108614,255.06741573033707,646.6732673267327,255.06741573033707,267,7
101,3.3666666666666667,True,652.9591836734694,255.29591836734693,646.6732673267327,254.82954545454547,196,7
102,3.4,True,646.6732673267327,252.24257425742573,646.6732673267327,252.83898305084745,202,7
103,3.433333333333333,True,651.0550847457627,252.83898305084745,646.6732673267327,252.24257425742573,236,7
104,3.466666666666667,True,643.7651515151515,250.33712121212122,643.7651515151515,250.33712121212122,264,7
105,3.5,True,635.2037735849057,247.4679245283019,643.7651515151515,248.27777777777777,265,7
106,3.533333333333333,True,642.6805555555555,248.27777777777777,642.6805555555555,247.4679245283019,216,7
107,3.566666666666667,True,647.7203389830509,240.41525423728814,641.940366972477,245.1743119266055,236,8
108,3.6,True,641.940366972477,245.1743119266055,641.940366972477,243.93809523809523,218,7
109,3.6333333333333333,True,638.0238095238095,243.93809523809523,638.0238095238095,242.51869158878506,210,7
110,3.6666666666666665,True,635.3644859813085,242.51869158878506,635.3644859813085,242.51869158878506,214,7
111,3.7,True,633.4232558139535,241.78604651162792,633.4232558139535,241.78604651162792,215,7
112,3.7333333333333334,True,629.5323383084577,240.9900497512438,630.4326923076923,241.43269230769232,201,7
113,3.7666666666666666,True,630.4326923076923,241.43269230769232,629.5323383084577,240.9900497512438,208,7
114,3.8,True,626.8207547169811,240.46698113207546,626.8207547169811,240.46698113207546,212,7
115,3.8333333333333335,True,610.8243243243244,234.3108108108108,619.8071065989848,238.41116751269035,222,8
116,3.8666666666666667,True,616.454081632653,236.84183673469389,619.8071065989848,238.41116751269035,196,7
117,3.9,True,619.8071065989848,238.41116751269035,618.6150234741784,238.41116751269035,197,7
118,3.933333333333333,True,623.9485714285714,240.3257142857143,619.8071065989848,238.6338028169014,175,7
119,3.966666666666667,True,618.6150234741784,238.6338028169014,622.2054794520548,239.4703196347032,213,7
120,4.0,True,622.5621890547263,240.1592039800995,622.2054794520548,239.4703196347032,201,7
