frame_index,time_s,detected,x_px,y_px,x_smooth_px,y_smooth_px,red_area_px,component_count
0,0.0,True,314.86699507389164,251.89162561576356,314.86699507389164,250.73869346733667,203,7
1,0.03333333333333333,True,315.06532663316585,250.73869346733667,314.9661608535288,249.68184673366835,199,7
2,0.06666666666666667,True,313.8279069767442,246.05581395348838,315.06532663316585,250.73869346733667,215,7
3,0.1,True,315.4051724137931,248.625,315.4051724137931,248.9748743718593,232,7
4,0.13333333333333333,True,316.5073170731707,251.88292682926829,315.4051724137931,248.625,205,7
5,0.16666666666666666,True,316.11557788944725,248.9748743718593,316.11557788944725,248.625,199,7
6,0.2,True,314.62605042016804,236.10504201680672,316.1788617886179,248.61306532663318,238,7
7,0.23333333333333334,True,316.1788617886179,241.3739837398374,316.1788617886179,244.33516483516485,246,7
8,0.26666666666666666,True,318.1507537688442,248.61306532663318,316.1788617886179,241.3739837398374,199,7
9,0.3,True,316.7142857142857,244.33516483516485,316.1788617886179,241.3739837398374,182,7
10,0.3333333333333333,True,315.6727272727273,238.50454545454545,315.6727272727273,238.50454545454545,220,7
11,0.36666666666666664,True,314.7042253521127,237.38028169014083,314.7042253521127,237.38028169014083,213,7
12,0.4,True,312.84037558685446,234.65258215962442,312.84037558685446,235.73636363636365,213,7
13,0.43333333333333335,True,312.7181818181818,235.73636363636365,312.7181818181818,234.65258215962442,220,7
14,0.4666666666666667,True,309.6781115879828,230.41630901287553,310.0120481927711,230.55421686746988,233,7
15,0.5,True,310.0120481927711,230.55421686746988,309.6781115879828,230.41630901287553,249,7
16,0.5333333333333333,True,307.45299145299145,227.42307692307693,307.45299145299145,229.52697095435684,234,7
17,0.5666666666666667,True,305.984126984127,227.6468253968254,305.984126984127,227.6468253968254,252,7
18,0.6,True,304.3319502074689,229.52697095435684,304.3319502074689,227.42307692307693,241,7
19,0.6333333333333333,True,301.9186991869919,227.1991869918699,301.9186991869919,227.1991869918699,246,7
20,0.6666666666666666,True,300.93277310924367,225.81512605042016,300.93277310924367,226.75324675324674,238,7
21,0.7,True,299.8508064516129,225.54435483870967,299.8508064516129,226.45258620689654,248,7
